flowtime, d1, d2, d3
4.1, 0.9999999999999984 + 4.7704895589362195e-18im, 1.0000000000000029 + 1.0842021724855044e-18im, 0.9999999999999946 - 1.0408340855860843e-17im
4.2, 0.9999999999999993 + 2.168404344971009e-18im, 1.0000000000000056 + 1.0842021724855044e-18im, 0.999999999999994 - 5.204170427930421e-18im
4.3, 0.9999999999999992 + 3.469446951953614e-18im, 1.0000000000000056 + 1.5178830414797062e-18im, 0.9999999999999943 - 6.938893903907228e-18im
4.4, 1.000000000000001 + 4.336808689942018e-18im, 1.000000000000006 + 1.0842021724855044e-18im, 0.9999999999999933 - 6.938893903907228e-18im
4.5, 0.9999999999999993 + 3.0357660829594124e-18im, 1.000000000000004 + 1.3010426069826053e-18im, 0.9999999999999913 - 1.0408340855860843e-17im
4.6, 0.9999999999999957 + 3.903127820947816e-18im, 1.0000000000000047 + 9.75781955236954e-19im, 0.9999999999999923 - 6.938893903907228e-18im
4.7, 0.9999999999999928 + 3.469446951953614e-18im, 1.000000000000005 + 1.0842021724855044e-18im, 0.9999999999999938 - 1.214306433183765e-17im
4.8, 0.9999999999999906 + 4.336808689942018e-18im, 1.0000000000000038 + 1.3552527156068805e-18im, 0.9999999999999923 - 1.214306433183765e-17im
4.9, 0.9999999999999881 + 4.336808689942018e-18im, 1.0000000000000033 + 1.0842021724855044e-18im, 0.9999999999999906 - 8.673617379884035e-18im
5.0, 0.9999999999999889 + 3.903127820947816e-18im, 1.000000000000001 + 1.0299920638612292e-18im, 0.9999999999999915 - 1.0408340855860843e-17im
5.1, 0.999999999999986 + 3.903127820947816e-18im, 0.9999999999999999 + 1.0299920638612292e-18im, 0.9999999999999905 - 8.673617379884035e-18im
5.2, 0.9999999999999862 + 3.686287386450715e-18im, 0.9999999999999981 + 9.215718466126788e-19im, 0.9999999999999916 - 6.938893903907228e-18im
5.3, 0.9999999999999858 + 3.686287386450715e-18im, 0.9999999999999959 + 1.0299920638612292e-18im, 0.9999999999999913 - 8.673617379884035e-18im
5.4, 0.9999999999999839 + 3.903127820947816e-18im, 0.999999999999995 + 1.1384122811097797e-18im, 0.9999999999999915 - 8.673617379884035e-18im
5.5, 0.999999999999985 + 4.336808689942018e-18im, 0.9999999999999943 + 1.3010426069826053e-18im, 0.9999999999999919 - 5.204170427930421e-18im
5.6, 0.9999999999999836 + 4.553649124439119e-18im, 0.9999999999999933 + 1.1926223897340549e-18im, 0.9999999999999915 - 6.938893903907228e-18im
5.7, 0.999999999999983 + 4.7704895589362195e-18im, 0.9999999999999951 + 1.111307226797642e-18im, 0.9999999999999929 - 1.0408340855860843e-17im
5.8, 0.9999999999999838 + 4.553649124439119e-18im, 0.999999999999994 + 1.0842021724855044e-18im, 0.9999999999999931 - 8.673617379884035e-18im
5.9, 0.9999999999999836 + 5.204170427930421e-18im, 0.9999999999999923 + 1.0570971181733668e-18im, 0.9999999999999956 - 6.938893903907228e-18im
6.0, 0.9999999999999839 + 5.421010862427522e-18im, 0.9999999999999929 + 1.1384122811097797e-18im, 0.9999999999999977 - 6.938893903907228e-18im
6.1, 0.9999999999999838 + 5.204170427930421e-18im, 0.9999999999999928 + 1.1384122811097797e-18im, 0.9999999999999971 + 0.0im
