flowtime, dM3R1, dM3R2, dM3R3, dM3R4, dM3R5, dM3R6, dM3R7, dM3R8, dM3R9, dM3R10, dM3R11, dM3R12, dM3R13, dM3R14, dM(mass_num)R15
0.0, 1.0 + 0.0im, 1.0 - 3.469446951953614e-18im, 0.9999999999999999 - 1.3877787807814457e-17im, 1.0 - 2.7755575615628914e-17im, 0.9999999999999998 - 8.673617379884035e-19im, 1.0 + 0.0im, 1.0 + 1.3877787807814457e-17im, 1.0 - 6.938893903907228e-18im, 1.0000000000000002 + 0.0im, 1.0000000000000004 + 0.0im, 1.0 + 0.0im, 0.9999999999999999 + 0.0im, 1.0000000000000002 + 0.0im, 1.0 + 0.0im, 0.9999999999999997 + 0.0im
0.1, 1.0000000000000002 - 1.3877787807814457e-17im, 1.0000000000000018 - 4.163336342344337e-17im, 1.0 + 1.3877787807814457e-17im, 0.9999999999999986 + 1.3877787807814457e-17im, 0.9999999999999991 + 2.6020852139652106e-18im, 1.0 + 3.122502256758253e-17im, 1.0000000000000013 - 1.3877787807814457e-17im, 1.0000000000000009 - 6.938893903907228e-18im, 0.9999999999999989 + 1.0408340855860843e-17im, 1.0000000000000002 + 6.938893903907228e-18im, 1.0000000000000009 - 6.938893903907228e-18im, 1.0000000000000009 + 5.551115123125783e-17im, 1.0000000000000013 + 2.7755575615628914e-17im, 1.0000000000000004 - 5.551115123125783e-17im, 0.9999999999999989 + 6.938893903907228e-18im
0.2, 1.0000000000000007 - 1.3877787807814457e-17im, 1.0000000000000009 + 2.7755575615628914e-17im, 1.0000000000000004 + 4.163336342344337e-17im, 0.9999999999999971 + 4.85722573273506e-17im, 1.0000000000000002 + 1.734723475976807e-18im, 0.9999999999999992 + 3.0357660829594124e-17im, 1.0000000000000013 + 0.0im, 0.9999999999999999 - 3.469446951953614e-17im, 1.0000000000000009 + 6.938893903907228e-18im, 1.0000000000000024 + 1.3877787807814457e-17im, 1.0 - 1.734723475976807e-17im, 1.0000000000000013 + 0.0im, 1.0 + 3.469446951953614e-17im, 0.9999999999999982 - 8.326672684688674e-17im, 0.9999999999999989 + 3.469446951953614e-18im
0.3, 1.0000000000000013 - 1.3877787807814457e-17im, 1.0000000000000002 + 0.0im, 1.0000000000000007 + 6.938893903907228e-17im, 0.9999999999999962 + 3.469446951953614e-17im, 1.0000000000000002 - 3.469446951953614e-18im, 0.999999999999999 + 2.905661822261152e-17im, 1.0000000000000009 + 0.0im, 0.999999999999999 - 6.245004513516506e-17im, 1.000000000000003 + 2.7755575615628914e-17im, 1.0000000000000062 + 2.0816681711721685e-17im, 1.0000000000000007 - 2.0816681711721685e-17im, 1.0000000000000007 - 8.326672684688674e-17im, 1.0 + 3.8163916471489756e-17im, 0.9999999999999986 + 2.7755575615628914e-17im, 1.0000000000000007 - 5.204170427930421e-18im
0.4, 0.9999999999999999 - 2.0816681711721685e-17im, 0.9999999999999996 + 1.3877787807814457e-17im, 1.0000000000000013 + 8.326672684688674e-17im, 0.9999999999999926 + 3.469446951953614e-17im, 0.9999999999999996 - 1.734723475976807e-18im, 0.999999999999999 + 3.0357660829594124e-17im, 0.9999999999999978 + 2.7755575615628914e-17im, 0.9999999999999982 - 4.163336342344337e-17im, 1.000000000000003 + 6.938893903907228e-17im, 1.000000000000006 - 1.3877787807814457e-17im, 1.0000000000000018 - 2.7755575615628914e-17im, 0.9999999999999971 - 5.551115123125783e-17im, 0.9999999999999994 + 4.163336342344337e-17im, 0.9999999999999994 + 5.551115123125783e-17im, 0.9999999999999997 + 0.0im
0.5, 1.0000000000000002 - 4.85722573273506e-17im, 1.0000000000000016 - 3.469446951953614e-18im, 1.0000000000000016 + 8.326672684688674e-17im, 0.9999999999999929 + 4.5102810375396984e-17im, 1.0000000000000002 - 6.938893903907228e-18im, 0.9999999999999989 + 2.949029909160572e-17im, 0.9999999999999967 + 4.163336342344337e-17im, 0.9999999999999989 - 8.326672684688674e-17im, 1.000000000000004 + 1.3877787807814457e-17im, 1.0000000000000067 - 2.0816681711721685e-17im, 1.000000000000004 - 3.8163916471489756e-17im, 0.9999999999999989 + 2.7755575615628914e-17im, 1.0 + 4.85722573273506e-17im, 1.0000000000000002 + 8.326672684688674e-17im, 1.000000000000001 + 3.469446951953614e-18im
0.6, 1.0000000000000013 - 3.469446951953614e-17im, 1.0000000000000009 - 3.469446951953614e-18im, 1.0000000000000036 + 4.163336342344337e-17im, 0.9999999999999918 + 5.551115123125783e-17im, 0.9999999999999992 - 1.734723475976807e-18im, 0.9999999999999988 + 2.0816681711721685e-17im, 0.9999999999999971 + 5.551115123125783e-17im, 0.9999999999999992 - 2.7755575615628914e-17im, 1.0000000000000036 - 4.163336342344337e-17im, 1.0000000000000082 - 1.3877787807814457e-17im, 1.0000000000000024 - 4.5102810375396984e-17im, 0.9999999999999974 - 2.7755575615628914e-17im, 1.0 + 4.5102810375396984e-17im, 1.0000000000000002 + 1.1102230246251565e-16im, 1.0 + 6.938893903907228e-18im
0.7, 1.0 - 4.85722573273506e-17im, 1.0000000000000022 - 9.107298248878237e-18im, 1.0000000000000038 + 1.3877787807814457e-17im, 0.9999999999999944 + 4.163336342344337e-17im, 1.0000000000000004 - 1.734723475976807e-18im, 0.9999999999999984 + 1.0408340855860843e-17im, 0.9999999999999977 + 5.551115123125783e-17im, 0.9999999999999991 + 1.3877787807814457e-17im, 1.0000000000000042 - 4.163336342344337e-17im, 1.0000000000000095 - 4.5102810375396984e-17im, 1.000000000000003 - 4.5102810375396984e-17im, 0.9999999999999963 - 2.7755575615628914e-17im, 1.0000000000000016 + 5.551115123125783e-17im, 1.0 + 8.326672684688674e-17im, 0.9999999999999998 + 3.469446951953614e-18im
0.8, 1.0000000000000018 - 6.938893903907228e-18im, 1.000000000000002 - 6.938893903907228e-18im, 1.0000000000000038 + 5.551115123125783e-17im, 0.9999999999999936 + 2.0816681711721685e-17im, 1.0000000000000007 - 1.734723475976807e-18im, 0.9999999999999961 + 1.214306433183765e-17im, 0.999999999999997 + 6.938893903907228e-17im, 0.9999999999999976 + 2.7755575615628914e-17im, 1.0000000000000027 - 4.163336342344337e-17im, 1.0000000000000073 - 6.245004513516506e-17im, 1.0000000000000022 - 4.336808689942018e-17im, 0.9999999999999959 + 8.326672684688674e-17im, 1.0000000000000018 + 4.85722573273506e-17im, 0.999999999999999 + 1.1102230246251565e-16im, 1.0000000000000007 + 0.0im
0.9, 0.9999999999999973 - 4.85722573273506e-17im, 1.0000000000000016 - 6.938893903907228e-18im, 1.0000000000000044 + 0.0im, 0.9999999999999923 + 1.214306433183765e-17im, 0.9999999999999988 - 1.0408340855860843e-17im, 0.9999999999999941 + 1.734723475976807e-17im, 0.9999999999999973 + 4.163336342344337e-17im, 0.9999999999999988 + 4.163336342344337e-17im, 1.000000000000004 + 0.0im, 1.000000000000008 - 8.326672684688674e-17im, 1.0000000000000033 - 4.336808689942018e-17im, 0.9999999999999956 + 1.6653345369377348e-16im, 1.0000000000000022 + 4.5102810375396984e-17im, 0.9999999999999983 + 1.3877787807814457e-16im, 1.0000000000000007 + 3.469446951953614e-18im
