flowtime, dM2R1, dM2R2, dM2R3, dM2R4, dM2R5, dM2R6, dM2R7, dM2R8, dM2R9, dM2R10, dM2R11, dM2R12, dM2R13, dM2R14, dM2R15, dM2R16, dM2R17, dM2R18, dM2R19, dM(mass_num)R20
0.0, 1.0000000000000002 + 0.0im, 1.0 + 1.3877787807814457e-17im, 1.0 + 1.734723475976807e-18im, 1.0000000000000002 + 2.168404344971009e-19im, 0.9999999999999998 - 8.673617379884035e-19im, 0.9999999999999999 + 0.0im, 0.9999999999999998 + 0.0im, 1.0 + 0.0im, 1.0 + 4.336808689942018e-19im, 1.0 + 0.0im, 1.0 + 0.0im, 0.9999999999999998 + 0.0im, 1.0000000000000002 + 0.0im, 0.9999999999999999 + 1.734723475976807e-18im, 0.9999999999999999 + 0.0im, 1.0 - 1.3877787807814457e-17im, 1.0000000000000002 + 0.0im, 0.9999999999999999 + 0.0im, 0.9999999999999999 + 0.0im, 0.9999999999999999 + 0.0im
0.1, 1.0000000000000007 + 4.336808689942018e-19im, 0.9999999999999997 - 2.7755575615628914e-17im, 0.9999999999999993 - 6.938893903907228e-18im, 1.0000000000000002 + 6.505213034913027e-19im, 1.0000000000000036 - 4.336808689942018e-18im, 0.9999999999999996 - 3.469446951953614e-18im, 1.000000000000002 + 5.421010862427522e-20im, 0.9999999999999982 + 6.938893903907228e-18im, 1.0 - 8.673617379884035e-19im, 1.0000000000000018 + 2.168404344971009e-18im, 1.0000000000000004 + 0.0im, 0.9999999999999992 + 1.3877787807814457e-17im, 1.0000000000000013 + 6.938893903907228e-18im, 1.000000000000002 + 5.204170427930421e-18im, 0.9999999999999996 + 1.734723475976807e-18im, 0.9999999999999998 + 0.0im, 0.9999999999999991 - 1.3877787807814457e-17im, 1.0000000000000016 - 6.938893903907228e-18im, 1.0 - 8.673617379884035e-19im, 0.9999999999999962 + 1.0408340855860843e-17im
0.2, 1.0000000000000004 + 4.336808689942018e-19im, 0.9999999999999987 + 2.7755575615628914e-17im, 0.9999999999999986 + 1.734723475976807e-18im, 0.9999999999999993 + 1.0842021724855044e-18im, 1.000000000000004 - 4.336808689942018e-18im, 1.0 - 5.204170427930421e-18im, 1.0000000000000022 + 5.421010862427522e-20im, 0.999999999999997 + 3.469446951953614e-18im, 1.0000000000000002 + 0.0im, 1.0000000000000004 + 2.6020852139652106e-18im, 1.000000000000002 + 0.0im, 0.9999999999999983 + 0.0im, 1.000000000000002 - 3.469446951953614e-18im, 1.0000000000000009 + 1.734723475976807e-18im, 0.9999999999999993 + 5.204170427930421e-18im, 0.9999999999999986 + 0.0im, 0.9999999999999992 - 2.0816681711721685e-17im, 1.0000000000000047 - 2.7755575615628914e-17im, 1.0000000000000016 - 4.336808689942018e-19im, 0.9999999999999946 + 1.734723475976807e-17im
0.3, 1.0000000000000022 + 0.0im, 0.9999999999999984 + 2.0816681711721685e-17im, 0.9999999999999977 + 6.938893903907228e-18im, 0.9999999999999981 + 4.336808689942018e-19im, 1.000000000000004 - 3.903127820947816e-18im, 0.9999999999999983 + 1.734723475976807e-18im, 1.000000000000004 + 1.0842021724855044e-19im, 0.9999999999999981 + 3.469446951953614e-18im, 0.9999999999999979 - 5.421010862427522e-19im, 1.0000000000000007 + 2.2768245622195593e-18im, 1.0000000000000038 - 6.938893903907228e-18im, 0.9999999999999977 + 1.0408340855860843e-17im, 1.0000000000000016 - 5.204170427930421e-18im, 0.9999999999999996 + 0.0im, 1.0 + 5.204170427930421e-18im, 0.9999999999999992 + 2.0816681711721685e-17im, 0.9999999999999971 - 2.0816681711721685e-17im, 1.000000000000004 + 0.0im, 1.000000000000002 + 4.336808689942018e-19im, 0.9999999999999942 + 1.214306433183765e-17im
0.4, 1.0000000000000024 - 2.168404344971009e-19im, 0.9999999999999976 + 0.0im, 0.9999999999999974 + 6.938893903907228e-18im, 0.9999999999999987 + 1.3010426069826053e-18im, 1.000000000000005 - 5.204170427930421e-18im, 1.0000000000000002 - 3.469446951953614e-18im, 1.0000000000000033 + 9.084428359302371e-20im, 0.9999999999999961 + 1.734723475976807e-17im, 0.9999999999999968 - 7.047314121155779e-19im, 1.0000000000000036 + 2.0599841277224584e-18im, 1.000000000000005 - 2.0816681711721685e-17im, 0.9999999999999972 + 1.5612511283791264e-17im, 1.000000000000002 + 1.734723475976807e-18im, 1.0000000000000007 + 0.0im, 0.9999999999999982 + 4.336808689942018e-18im, 0.999999999999998 + 4.85722573273506e-17im, 0.9999999999999944 - 1.0408340855860843e-17im, 1.0000000000000024 - 6.938893903907228e-18im, 1.0000000000000009 + 1.734723475976807e-18im, 0.9999999999999932 + 9.540979117872439e-18im
0.5, 1.0000000000000033 + 2.168404344971009e-19im, 0.9999999999999982 + 1.3877787807814457e-17im, 0.999999999999995 + 5.421010862427522e-18im, 0.9999999999999994 + 1.4094628242311558e-18im, 1.000000000000006 - 5.5658534964080075e-18im, 0.9999999999999986 - 3.469446951953614e-18im, 1.0000000000000022 + 9.486769009248164e-20im, 0.9999999999999968 + 1.3877787807814457e-17im, 0.9999999999999981 - 5.692061405548898e-19im, 1.0000000000000033 + 1.9922214919421144e-18im, 1.0000000000000036 - 2.42861286636753e-17im, 0.9999999999999958 + 1.5612511283791264e-17im, 1.0000000000000033 + 5.204170427930421e-18im, 0.9999999999999991 - 8.673617379884035e-19im, 0.9999999999999999 + 4.7704895589362195e-18im, 0.9999999999999967 + 4.85722573273506e-17im, 0.9999999999999933 - 1.734723475976807e-17im, 1.0000000000000016 + 1.0408340855860843e-17im, 1.0000000000000016 + 1.734723475976807e-18im, 0.9999999999999923 + 8.456776945386935e-18im
0.6, 1.0000000000000049 + 3.2526065174565133e-19im, 0.9999999999999991 + 2.0816681711721685e-17im, 0.9999999999999951 + 4.7704895589362195e-18im, 1.0000000000000022 + 8.673617379884035e-19im, 1.0000000000000062 - 5.854691731421724e-18im, 0.9999999999999989 + 3.469446951953614e-18im, 1.0000000000000004 + 6.776263578034403e-20im, 0.9999999999999998 + 6.938893903907228e-18im, 0.9999999999999967 - 6.505213034913027e-19im, 1.0000000000000044 + 2.032879073410321e-18im, 1.0000000000000024 - 1.0408340855860843e-17im, 0.9999999999999958 + 1.734723475976807e-17im, 1.000000000000004 + 8.673617379884035e-18im, 0.9999999999999991 + 4.336808689942018e-19im, 1.0000000000000016 + 3.903127820947816e-18im, 0.9999999999999964 + 6.591949208711867e-17im, 0.9999999999999951 - 2.7755575615628914e-17im, 1.0000000000000027 + 1.0408340855860843e-17im, 1.0000000000000009 + 2.6020852139652106e-18im, 0.9999999999999926 + 8.782037597132586e-18im
0.7, 1.0000000000000042 + 1.6263032587282567e-19im, 1.0000000000000002 + 2.0816681711721685e-17im, 0.9999999999999929 + 5.041540102057596e-18im, 1.0000000000000013 + 7.589415207398531e-19im, 1.0000000000000075 - 5.637851296924623e-18im, 0.9999999999999994 + 1.214306433183765e-17im, 0.999999999999999 + 1.0842021724855044e-19im, 0.9999999999999993 + 0.0im, 0.999999999999997 - 9.75781955236954e-19im, 1.000000000000006 + 1.951563910473908e-18im, 1.000000000000003 - 1.3877787807814457e-17im, 0.9999999999999959 + 1.734723475976807e-17im, 1.000000000000005 + 1.3877787807814457e-17im, 1.0000000000000007 + 4.336808689942018e-19im, 1.0000000000000007 + 3.0357660829594124e-18im, 0.9999999999999988 + 6.245004513516506e-17im, 0.9999999999999953 - 2.2551405187698492e-17im, 1.0000000000000004 + 1.0408340855860843e-17im, 1.0000000000000018 + 1.951563910473908e-18im, 0.9999999999999921 + 9.540979117872439e-18im
0.8, 1.0000000000000004 + 1.0842021724855044e-19im, 0.9999999999999991 + 1.0408340855860843e-17im, 0.9999999999999933 + 4.7704895589362195e-18im, 1.0000000000000002 + 5.421010862427522e-19im, 1.0000000000000082 - 5.204170427930421e-18im, 0.9999999999999992 + 1.734723475976807e-17im, 0.999999999999998 + 0.0im, 0.9999999999999989 + 8.673617379884035e-18im, 0.9999999999999976 - 2.168404344971009e-19im, 1.000000000000006 + 1.8431436932253575e-18im, 1.0000000000000062 - 3.469446951953614e-18im, 0.9999999999999944 + 2.0816681711721685e-17im, 1.0000000000000062 + 1.734723475976807e-18im, 0.9999999999999992 - 8.673617379884035e-19im, 0.9999999999999998 + 3.469446951953614e-18im, 0.9999999999999978 + 6.418476861114186e-17im, 0.9999999999999947 - 1.214306433183765e-17im, 1.000000000000001 + 1.3877787807814457e-17im, 1.0000000000000024 + 2.0599841277224584e-18im, 0.9999999999999932 + 1.2576745200831851e-17im
0.9, 1.0000000000000004 + 1.3552527156068805e-20im, 0.9999999999999979 + 2.42861286636753e-17im, 0.999999999999993 + 4.119968255444917e-18im, 0.9999999999999996 + 7.589415207398531e-19im, 1.0000000000000089 - 1.734723475976807e-18im, 0.9999999999999998 + 1.9949319973733282e-17im, 0.9999999999999992 - 5.421010862427522e-20im, 0.9999999999999994 + 1.0408340855860843e-17im, 0.999999999999998 + 4.336808689942018e-19im, 1.0000000000000056 + 2.168404344971009e-18im, 1.0000000000000069 - 1.734723475976807e-17im, 0.9999999999999956 + 2.168404344971009e-17im, 1.000000000000006 + 3.469446951953614e-18im, 0.9999999999999996 - 1.3010426069826053e-18im, 1.0000000000000004 + 3.469446951953614e-18im, 0.9999999999999968 + 6.071532165918825e-17im, 0.9999999999999973 - 1.0408340855860843e-17im, 1.0 + 6.938893903907228e-18im, 1.000000000000003 + 2.0599841277224584e-18im, 0.9999999999999944 + 1.1275702593849246e-17im
1.0, 1.0000000000000004 - 2.0328790734103208e-20im, 0.9999999999999963 + 3.469446951953614e-17im, 0.999999999999992 + 4.553649124439119e-18im, 0.9999999999999998 + 7.589415207398531e-19im, 1.0000000000000084 - 8.673617379884035e-19im, 1.0000000000000002 + 1.9949319973733282e-17im, 1.0000000000000007 - 8.131516293641283e-20im, 1.0000000000000016 + 2.2551405187698492e-17im, 1.000000000000001 + 8.673617379884035e-19im, 1.0000000000000038 + 2.4936649967166602e-18im, 1.0000000000000064 - 1.214306433183765e-17im, 0.9999999999999957 + 2.0816681711721685e-17im, 1.0000000000000058 + 2.6020852139652106e-18im, 1.0000000000000004 - 1.0842021724855044e-18im, 1.0000000000000007 + 6.071532165918825e-18im, 0.9999999999999994 + 6.071532165918825e-17im, 0.999999999999995 - 1.3877787807814457e-17im, 1.000000000000001 + 1.0408340855860843e-17im, 1.0000000000000024 + 2.0599841277224584e-18im, 0.9999999999999946 + 1.214306433183765e-17im
