flowtime, d1, d2, d3
0.0, 1.0000000000000002 - 3.469446951953614e-18im, 1.0 + 0.0im, 1.0 + 6.938893903907228e-18im
0.1, 0.9999999999999992 + 0.0im, 1.000000000000001 + 1.3877787807814457e-17im, 1.0000000000000033 + 0.0im
0.2, 1.0000000000000002 + 0.0im, 0.9999999999999998 + 2.0816681711721685e-17im, 1.0000000000000027 - 1.3877787807814457e-17im
0.3, 1.0000000000000007 + 3.469446951953614e-18im, 1.0000000000000016 + 2.7755575615628914e-17im, 1.0000000000000007 - 4.163336342344337e-17im
0.4, 1.0000000000000022 - 1.0408340855860843e-17im, 1.0000000000000002 + 6.245004513516506e-17im, 1.0000000000000004 - 3.8163916471489756e-17im
0.5, 1.000000000000002 - 1.0408340855860843e-17im, 0.9999999999999998 + 6.245004513516506e-17im, 1.0 - 4.683753385137379e-17im
0.6, 1.0000000000000013 - 1.5612511283791264e-17im, 0.9999999999999996 + 6.938893903907228e-17im, 1.0 - 4.683753385137379e-17im
0.7, 0.9999999999999997 - 1.5612511283791264e-17im, 0.9999999999999996 + 8.326672684688674e-17im, 0.9999999999999991 - 5.0306980803327406e-17im
0.8, 1.0000000000000009 - 1.214306433183765e-17im, 0.9999999999999982 + 8.326672684688674e-17im, 1.0000000000000007 - 5.2475385148298415e-17im
0.9, 1.000000000000002 - 1.214306433183765e-17im, 0.9999999999999981 + 8.326672684688674e-17im, 0.9999999999999971 - 5.160802341031001e-17im
1.0, 1.0000000000000022 - 8.673617379884035e-18im, 0.9999999999999994 + 7.632783294297951e-17im, 0.999999999999996 - 5.117434254131581e-17im
1.1, 1.0000000000000018 - 5.204170427930421e-18im, 0.9999999999999981 + 8.326672684688674e-17im, 0.9999999999999958 - 4.9439619065339e-17im
1.2, 1.000000000000001 - 1.734723475976807e-18im, 0.9999999999999989 + 9.367506770274758e-17im, 0.9999999999999947 - 4.85722573273506e-17im
1.3, 1.0000000000000024 - 8.673617379884035e-19im, 0.9999999999999992 + 7.632783294297951e-17im, 0.9999999999999978 - 5.204170427930421e-17im
1.4, 1.0000000000000027 - 2.6020852139652106e-18im, 0.9999999999999993 + 7.632783294297951e-17im, 0.9999999999999967 - 5.0306980803327406e-17im
1.5, 1.000000000000003 - 2.6020852139652106e-18im, 0.9999999999999979 + 8.673617379884035e-17im, 0.9999999999999963 - 5.117434254131581e-17im
1.6, 1.0000000000000024 - 8.673617379884035e-19im, 0.999999999999996 + 7.979727989493313e-17im, 0.999999999999995 - 5.0306980803327406e-17im
1.7, 1.0000000000000018 + 3.469446951953614e-18im, 0.9999999999999967 + 6.591949208711867e-17im, 0.999999999999993 - 5.117434254131581e-17im
1.8, 1.000000000000003 + 0.0im, 0.9999999999999961 + 6.765421556309548e-17im, 0.999999999999991 - 4.683753385137379e-17im
1.9, 1.000000000000003 + 2.6020852139652106e-18im, 0.999999999999995 + 6.071532165918825e-17im, 0.9999999999999903 - 4.7704895589362195e-17im
2.0, 1.0000000000000027 - 1.734723475976807e-18im, 0.9999999999999954 + 5.724587470723463e-17im, 0.9999999999999896 - 4.7704895589362195e-17im
2.1, 1.0000000000000049 + 8.673617379884035e-19im, 0.9999999999999943 + 5.377642775528102e-17im, 0.9999999999999902 - 4.597017211338539e-17im
2.2, 1.000000000000006 - 1.734723475976807e-18im, 0.9999999999999948 + 5.377642775528102e-17im, 0.9999999999999897 - 4.423544863740858e-17im
2.3, 1.0000000000000062 + 1.3010426069826053e-18im, 0.9999999999999925 + 5.0306980803327406e-17im, 0.9999999999999905 - 4.597017211338539e-17im
2.4, 1.0000000000000069 - 4.336808689942018e-19im, 0.9999999999999938 + 5.377642775528102e-17im, 0.9999999999999901 - 4.336808689942018e-17im
2.5, 1.0000000000000053 - 8.673617379884035e-19im, 0.9999999999999939 + 4.85722573273506e-17im, 0.9999999999999903 - 4.2934406030425976e-17im
2.6, 1.0000000000000047 + 8.673617379884035e-19im, 0.9999999999999944 + 5.551115123125783e-17im, 0.9999999999999913 - 4.391018798566293e-17im
2.7, 1.0000000000000022 + 0.0im, 0.9999999999999939 + 5.551115123125783e-17im, 0.9999999999999906 - 4.391018798566293e-17im
2.8, 1.0000000000000013 + 8.673617379884035e-19im, 0.999999999999994 + 5.0306980803327406e-17im, 0.9999999999999917 - 4.336808689942018e-17im
2.9, 1.0000000000000036 - 1.3010426069826053e-18im, 0.9999999999999942 + 4.85722573273506e-17im, 0.9999999999999916 - 4.0766001685454967e-17im
3.0, 1.0000000000000053 - 2.6020852139652106e-18im, 0.9999999999999931 + 4.683753385137379e-17im, 0.9999999999999918 - 3.8163916471489756e-17im
3.1, 1.0000000000000082 - 2.168404344971009e-18im, 0.9999999999999922 + 4.163336342344337e-17im, 0.9999999999999899 - 3.2959746043559335e-17im
3.2, 1.000000000000008 - 2.6020852139652106e-18im, 0.9999999999999939 + 3.642919299551295e-17im, 0.9999999999999911 - 3.2959746043559335e-17im
3.3, 1.0000000000000082 - 2.6020852139652106e-18im, 0.9999999999999929 + 3.642919299551295e-17im, 0.9999999999999913 - 3.122502256758253e-17im
3.4, 1.0000000000000073 - 8.673617379884035e-19im, 0.9999999999999922 + 3.9898639947466563e-17im, 0.9999999999999927 - 3.8163916471489756e-17im
3.5, 1.0000000000000069 - 3.0357660829594124e-18im, 0.9999999999999907 + 3.642919299551295e-17im, 0.9999999999999923 - 4.5102810375396984e-17im
3.6, 1.0000000000000067 - 2.168404344971009e-18im, 0.9999999999999871 + 3.8163916471489756e-17im, 0.9999999999999918 - 5.898059818321144e-17im
3.7, 1.0000000000000058 - 1.3010426069826053e-18im, 0.9999999999999876 + 4.163336342344337e-17im, 0.9999999999999909 - 4.85722573273506e-17im
3.8, 1.0000000000000064 - 2.6020852139652106e-18im, 0.9999999999999881 + 4.336808689942018e-17im, 0.9999999999999906 - 4.163336342344337e-17im
3.9, 1.0000000000000064 - 2.168404344971009e-18im, 0.9999999999999871 + 3.9898639947466563e-17im, 0.999999999999991 - 1.3877787807814457e-17im
4.0, 1.0000000000000053 - 2.6020852139652106e-18im, 0.9999999999999869 + 4.336808689942018e-17im, 0.9999999999999896 - 3.469446951953614e-17im
4.1, 1.0000000000000049 - 2.168404344971009e-18im, 0.999999999999986 + 4.683753385137379e-17im, 0.9999999999999903 - 4.85722573273506e-17im
4.2, 1.0000000000000042 - 2.6020852139652106e-18im, 0.9999999999999851 + 4.163336342344337e-17im, 0.9999999999999897 - 6.938893903907228e-18im
