flowtime, d1, d2, d3
0.0, 1.0 + 0.0im, 0.9999999999999999 + 5.421010862427522e-20im, 1.0 + 0.0im
0.1, 0.9999999999999996 + 2.168404344971009e-19im, 1.0000000000000007 + 4.336808689942018e-19im, 0.9999999999999981 - 2.6020852139652106e-18im
0.2, 0.9999999999999988 + 0.0im, 1.0000000000000029 - 4.336808689942018e-19im, 0.9999999999999993 - 2.6020852139652106e-18im
0.3, 0.9999999999999978 + 4.336808689942018e-19im, 1.000000000000004 - 6.505213034913027e-19im, 0.999999999999999 - 1.734723475976807e-18im
0.4, 0.9999999999999986 + 2.168404344971009e-19im, 1.0000000000000038 - 1.0842021724855044e-18im, 0.9999999999999994 - 1.734723475976807e-18im
0.5, 0.9999999999999978 + 4.336808689942018e-19im, 1.000000000000003 - 8.673617379884035e-19im, 1.0000000000000024 + 8.673617379884035e-19im
0.6, 0.9999999999999981 + 0.0im, 1.0000000000000042 - 1.734723475976807e-18im, 1.000000000000002 - 1.734723475976807e-18im
0.7, 0.9999999999999969 + 4.336808689942018e-19im, 1.0000000000000013 - 6.505213034913027e-19im, 1.0000000000000013 - 1.734723475976807e-18im
0.8, 0.9999999999999956 + 2.168404344971009e-19im, 1.0000000000000007 - 2.168404344971009e-19im, 1.0000000000000018 - 2.6020852139652106e-18im
0.9, 0.9999999999999947 + 0.0im, 0.9999999999999982 + 4.336808689942018e-19im, 1.0000000000000038 + 0.0im
1.0, 0.9999999999999931 + 8.673617379884035e-19im, 0.9999999999999988 - 6.505213034913027e-19im, 1.0000000000000042 - 8.673617379884035e-19im
1.1, 0.9999999999999937 + 8.673617379884035e-19im, 0.9999999999999989 - 1.0842021724855044e-18im, 1.000000000000003 + 8.673617379884035e-19im
1.2, 0.999999999999993 + 1.0842021724855044e-18im, 0.9999999999999981 - 1.3010426069826053e-18im, 1.000000000000002 - 4.336808689942018e-18im
1.3, 0.9999999999999934 + 1.734723475976807e-18im, 0.9999999999999992 + 0.0im, 1.000000000000004 - 8.673617379884035e-19im
1.4, 0.9999999999999908 + 2.168404344971009e-19im, 0.9999999999999986 + 2.168404344971009e-18im, 1.0000000000000058 - 3.469446951953614e-18im
1.5, 0.9999999999999892 + 6.505213034913027e-19im, 0.9999999999999951 + 1.734723475976807e-18im, 1.0000000000000067 - 3.469446951953614e-18im
1.6, 0.9999999999999902 + 4.336808689942018e-19im, 0.999999999999995 + 8.673617379884035e-19im, 1.0000000000000095 - 6.071532165918825e-18im
1.7, 0.9999999999999903 + 8.673617379884035e-19im, 0.9999999999999942 + 4.336808689942018e-19im, 1.0000000000000118 - 5.204170427930421e-18im
1.8, 0.9999999999999892 + 8.673617379884035e-19im, 0.9999999999999923 + 1.734723475976807e-18im, 1.0000000000000118 - 5.637851296924623e-18im
1.9, 0.9999999999999903 + 1.3010426069826053e-18im, 0.9999999999999925 + 8.673617379884035e-19im, 1.0000000000000107 - 5.637851296924623e-18im
2.0, 0.9999999999999887 + 1.5178830414797062e-18im, 0.9999999999999939 + 4.336808689942018e-19im, 1.00000000000001 - 5.637851296924623e-18im
2.1, 0.9999999999999898 + 1.5178830414797062e-18im, 0.9999999999999905 + 4.336808689942018e-19im, 1.00000000000001 - 4.7704895589362195e-18im
2.2, 0.9999999999999897 + 1.0842021724855044e-18im, 0.9999999999999906 + 8.673617379884035e-19im, 1.0000000000000113 - 4.336808689942018e-18im
