flowtime, dM1R1, dM1R2, dM1R3, dM1R4, dM1R5, dM1R6, dM1R7, dM1R8, dM1R9, dM1R10, dM1R11, dM1R12, dM1R13, dM1R14, dM1R15, dM1R16, dM1R17, dM1R18, dM1R19, dM(mass_num)R20
0.0, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 5.421010862427522e-20im, 0.9999999999999998 + 6.938893903907228e-18im, 0.9999999999999998 + 0.0im, 1.0 + 0.0im, 1.0000000000000002 + 0.0im, 1.0000000000000002 + 0.0im, 1.0 + 0.0im, 0.9999999999999999 + 0.0im, 0.9999999999999999 + 0.0im, 1.0000000000000002 + 0.0im, 1.0000000000000002 + 1.0842021724855044e-19im, 1.0 + 1.734723475976807e-18im, 1.0000000000000002 + 0.0im, 1.0 - 3.469446951953614e-18im, 0.9999999999999997 + 0.0im, 1.0000000000000002 + 0.0im, 1.0 + 0.0im, 0.9999999999999999 + 0.0im
0.1, 0.9999999999999999 - 3.469446951953614e-18im, 0.9999999999999998 + 0.0im, 0.9999999999999992 + 2.168404344971009e-19im, 0.9999999999999996 + 0.0im, 0.9999999999999998 + 0.0im, 0.9999999999999992 + 1.734723475976807e-18im, 1.0000000000000004 - 6.938893903907228e-18im, 0.9999999999999997 + 1.734723475976807e-18im, 1.0000000000000016 - 6.938893903907228e-18im, 0.9999999999999987 + 6.938893903907228e-18im, 1.0000000000000002 + 2.7755575615628914e-17im, 0.9999999999999999 + 6.938893903907228e-18im, 1.0000000000000002 - 5.421010862427522e-19im, 1.000000000000001 - 1.734723475976807e-18im, 1.0000000000000018 - 6.938893903907228e-18im, 0.9999999999999998 + 6.938893903907228e-18im, 1.0 + 2.0816681711721685e-17im, 1.0000000000000002 + 0.0im, 1.0000000000000018 + 2.0816681711721685e-17im, 0.9999999999999981 - 3.469446951953614e-18im
0.2, 1.0000000000000009 - 3.469446951953614e-18im, 0.9999999999999992 + 0.0im, 0.9999999999999987 + 1.3010426069826053e-18im, 1.0000000000000004 + 3.469446951953614e-18im, 0.9999999999999986 - 6.938893903907228e-18im, 0.999999999999998 + 1.734723475976807e-18im, 0.999999999999999 - 1.0408340855860843e-17im, 1.0000000000000009 - 1.734723475976807e-18im, 1.0000000000000004 + 3.469446951953614e-18im, 0.9999999999999983 - 3.469446951953614e-17im, 1.0 + 2.0816681711721685e-17im, 0.9999999999999983 + 1.0408340855860843e-17im, 0.9999999999999983 - 6.505213034913027e-19im, 1.000000000000002 + 0.0im, 1.0000000000000016 - 6.938893903907228e-18im, 1.0 + 8.673617379884035e-18im, 1.0 + 1.3877787807814457e-17im, 0.9999999999999994 - 4.336808689942018e-19im, 1.0000000000000029 + 2.7755575615628914e-17im, 0.9999999999999968 - 1.0408340855860843e-17im
0.3, 0.9999999999999982 - 1.214306433183765e-17im, 0.9999999999999998 + 0.0im, 0.9999999999999978 + 1.734723475976807e-18im, 1.0000000000000029 - 3.469446951953614e-18im, 0.9999999999999962 + 2.0816681711721685e-17im, 0.9999999999999986 + 0.0im, 0.9999999999999983 + 3.469446951953614e-18im, 1.000000000000002 + 3.469446951953614e-18im, 1.0000000000000022 - 3.469446951953614e-18im, 0.9999999999999973 - 4.85722573273506e-17im, 1.000000000000001 + 3.469446951953614e-18im, 0.9999999999999992 + 1.214306433183765e-17im, 0.9999999999999968 - 7.182839392716467e-19im, 1.000000000000001 - 7.806255641895632e-18im, 1.0000000000000036 + 3.469446951953614e-18im, 1.0000000000000004 + 1.214306433183765e-17im, 1.0000000000000016 + 6.938893903907228e-18im, 0.9999999999999976 - 6.505213034913027e-19im, 1.000000000000001 + 2.6020852139652106e-17im, 0.9999999999999977 - 1.3877787807814457e-17im
0.4, 0.999999999999997 - 6.938893903907228e-18im, 0.9999999999999989 - 8.673617379884035e-18im, 0.9999999999999988 + 2.6020852139652106e-18im, 1.000000000000002 + 0.0im, 0.9999999999999963 - 6.938893903907228e-18im, 0.9999999999999967 + 8.673617379884035e-19im, 0.9999999999999977 + 0.0im, 1.0000000000000022 + 6.938893903907228e-18im, 1.000000000000001 - 1.0408340855860843e-17im, 0.9999999999999996 - 4.85722573273506e-17im, 1.0000000000000007 + 6.938893903907228e-18im, 0.9999999999999992 + 6.938893903907228e-18im, 0.9999999999999962 - 7.318364664277155e-19im, 0.999999999999999 - 8.673617379884035e-18im, 1.0000000000000044 + 6.938893903907228e-18im, 1.0000000000000009 + 1.734723475976807e-17im, 1.0000000000000009 + 1.0408340855860843e-17im, 0.9999999999999977 - 1.4094628242311558e-18im, 1.000000000000002 + 2.2551405187698492e-17im, 0.9999999999999992 - 1.3877787807814457e-17im
0.5, 0.9999999999999958 - 1.734723475976807e-18im, 0.9999999999999973 - 8.673617379884035e-18im, 0.9999999999999987 + 2.168404344971009e-18im, 1.0000000000000022 + 0.0im, 0.9999999999999966 + 3.469446951953614e-18im, 0.9999999999999964 + 6.071532165918825e-18im, 1.0000000000000002 + 6.938893903907228e-18im, 1.0000000000000004 + 1.214306433183765e-17im, 1.0000000000000029 - 1.0408340855860843e-17im, 1.0000000000000013 - 4.163336342344337e-17im, 1.0000000000000013 + 6.938893903907228e-18im, 0.9999999999999983 - 5.204170427930421e-18im, 0.999999999999998 - 4.87890977618477e-19im, 0.999999999999997 - 6.938893903907228e-18im, 1.0000000000000058 + 1.734723475976807e-17im, 1.0000000000000022 + 1.9949319973733282e-17im, 1.0000000000000004 + 0.0im, 0.9999999999999979 - 1.0045810754436002e-18im, 1.0000000000000004 + 2.0816681711721685e-17im, 0.9999999999999996 - 1.734723475976807e-17im
0.6, 0.9999999999999962 - 1.734723475976807e-18im, 0.9999999999999991 - 1.0408340855860843e-17im, 0.9999999999999978 + 0.0im, 1.0000000000000042 + 0.0im, 0.999999999999997 + 3.469446951953614e-18im, 0.9999999999999952 + 5.204170427930421e-18im, 0.9999999999999993 + 0.0im, 1.0000000000000007 + 6.071532165918825e-18im, 1.0000000000000053 - 3.469446951953614e-18im, 1.0000000000000009 - 4.85722573273506e-17im, 1.000000000000001 + 6.938893903907228e-18im, 0.9999999999999988 - 8.673617379884035e-18im, 0.999999999999997 - 4.336808689942018e-19im, 0.9999999999999978 - 5.204170427930421e-18im, 1.000000000000006 + 1.734723475976807e-17im, 1.000000000000003 + 1.9949319973733282e-17im, 0.9999999999999992 - 1.0408340855860843e-17im, 0.9999999999999958 - 9.75781955236954e-19im, 1.0000000000000009 + 2.0816681711721685e-17im, 0.9999999999999987 - 1.3877787807814457e-17im
0.7, 0.9999999999999972 - 1.214306433183765e-17im, 0.9999999999999986 - 1.214306433183765e-17im, 0.9999999999999974 + 0.0im, 1.0000000000000053 - 1.0408340855860843e-17im, 0.9999999999999967 + 3.469446951953614e-18im, 0.9999999999999956 + 6.938893903907228e-18im, 1.0 + 0.0im, 1.0000000000000002 + 5.204170427930421e-18im, 1.0000000000000069 + 1.3877787807814457e-17im, 1.000000000000002 - 5.204170427930421e-17im, 1.0000000000000013 + 6.938893903907228e-18im, 0.9999999999999991 - 8.673617379884035e-18im, 0.9999999999999986 - 6.505213034913027e-19im, 0.9999999999999986 - 6.5052130349130266e-18im, 1.000000000000007 + 1.3877787807814457e-17im, 1.0000000000000027 + 1.9081958235744878e-17im, 0.9999999999999988 + 3.469446951953614e-18im, 0.9999999999999969 - 5.421010862427522e-19im, 1.000000000000002 + 2.0383000842727483e-17im, 0.9999999999999987 - 1.3877787807814457e-17im
0.8, 0.9999999999999952 - 1.5612511283791264e-17im, 0.9999999999999971 - 1.3877787807814457e-17im, 0.9999999999999964 - 1.3010426069826053e-18im, 1.0000000000000047 - 3.469446951953614e-18im, 0.9999999999999961 - 3.469446951953614e-18im, 0.9999999999999953 + 5.204170427930421e-18im, 0.9999999999999996 - 3.469446951953614e-18im, 0.9999999999999997 + 6.071532165918825e-18im, 1.000000000000007 + 1.9081958235744878e-17im, 1.0000000000000024 - 4.5102810375396984e-17im, 1.0000000000000022 + 3.469446951953614e-18im, 1.0000000000000002 - 6.938893903907228e-18im, 1.0000000000000009 - 5.421010862427522e-19im, 0.9999999999999994 - 6.5052130349130266e-18im, 1.0000000000000053 + 1.3877787807814457e-17im, 1.0000000000000027 + 1.951563910473908e-17im, 1.0000000000000004 - 1.3877787807814457e-17im, 0.9999999999999953 + 0.0im, 1.0000000000000029 + 2.233456475320139e-17im, 1.0000000000000004 - 1.0408340855860843e-17im
0.9, 0.9999999999999944 - 2.0816681711721685e-17im, 0.9999999999999979 - 1.9081958235744878e-17im, 0.9999999999999974 - 1.734723475976807e-18im, 1.0000000000000044 - 3.469446951953614e-18im, 0.9999999999999962 - 6.938893903907228e-18im, 0.9999999999999964 + 6.071532165918825e-18im, 1.000000000000001 - 2.6020852139652106e-18im, 0.9999999999999991 + 1.0408340855860843e-17im, 1.000000000000008 + 1.214306433183765e-17im, 1.000000000000001 - 3.469446951953614e-17im, 1.0000000000000027 - 3.469446951953614e-18im, 1.0000000000000007 - 6.938893903907228e-18im, 1.0000000000000013 - 9.75781955236954e-19im, 1.0000000000000013 - 6.7220534694101275e-18im, 1.0000000000000042 + 2.0816681711721685e-17im, 1.000000000000003 + 1.8865117801247777e-17im, 0.9999999999999989 - 1.3877787807814457e-17im, 0.9999999999999967 - 4.336808689942018e-19im, 1.000000000000003 + 2.2280354644577116e-17im, 0.9999999999999991 - 1.5612511283791264e-17im
