flowtime, dM3R1, dM3R2, dM3R3, dM3R4, dM3R5, dM3R6, dM3R7, dM3R8, dM3R9, dM3R10, dM3R11, dM3R12, dM3R13, dM3R14, dM3R15, dM3R16, dM3R17, dM3R18, dM3R19, dM(mass_num)R20
0.0, 0.9999999999999998 + 0.0im, 1.0000000000000002 + 1.3877787807814457e-17im, 1.0000000000000002 + 0.0im, 1.0 + 0.0im, 1.0000000000000004 - 6.938893903907228e-18im, 1.0 + 3.469446951953614e-18im, 0.9999999999999999 + 8.673617379884035e-19im, 0.9999999999999999 - 3.469446951953614e-18im, 1.0 + 0.0im, 0.9999999999999998 + 0.0im, 1.0 + 0.0im, 1.0000000000000002 - 3.469446951953614e-18im, 0.9999999999999997 - 4.336808689942018e-19im, 1.0000000000000002 + 0.0im, 1.0 + 3.469446951953614e-18im, 1.0 + 0.0im, 0.9999999999999999 + 2.7755575615628914e-17im, 1.0 - 6.938893903907228e-18im, 1.0000000000000002 + 1.734723475976807e-18im, 0.9999999999999998 + 0.0im
0.1, 0.9999999999999986 - 4.163336342344337e-17im, 0.9999999999999982 - 2.0816681711721685e-17im, 0.999999999999998 - 6.071532165918825e-18im, 1.0000000000000002 + 1.5720931501039814e-18im, 1.0000000000000004 - 6.938893903907228e-18im, 0.9999999999999999 - 6.938893903907228e-18im, 0.9999999999999979 + 4.336808689942018e-19im, 0.9999999999999998 + 1.2576745200831851e-17im, 0.9999999999999988 - 1.3877787807814457e-17im, 0.9999999999999989 + 6.938893903907228e-18im, 0.9999999999999998 + 3.903127820947816e-18im, 1.0000000000000002 + 0.0im, 1.0000000000000004 - 4.336808689942018e-19im, 1.0000000000000009 - 2.0816681711721685e-17im, 0.9999999999999996 + 3.469446951953614e-18im, 1.0000000000000009 + 2.6020852139652106e-18im, 0.9999999999999974 + 1.3877787807814457e-17im, 0.9999999999999982 + 3.469446951953614e-17im, 1.0000000000000002 - 2.3852447794681098e-18im, 1.0000000000000009 + 1.734723475976807e-18im
0.2, 0.9999999999999962 - 6.245004513516506e-17im, 0.9999999999999983 - 1.734723475976807e-17im, 0.9999999999999969 - 4.336808689942018e-18im, 1.0000000000000013 + 1.734723475976807e-18im, 1.0000000000000018 - 1.0408340855860843e-17im, 0.9999999999999996 + 3.469446951953614e-18im, 0.999999999999998 + 6.505213034913027e-19im, 1.0 + 8.673617379884035e-18im, 0.9999999999999997 - 1.0408340855860843e-17im, 0.999999999999999 + 6.938893903907228e-18im, 1.0000000000000007 + 2.168404344971009e-18im, 1.0000000000000002 + 2.0816681711721685e-17im, 1.0000000000000036 + 0.0im, 1.0000000000000013 - 3.469446951953614e-17im, 0.9999999999999999 + 4.0115480381963664e-18im, 1.0000000000000013 + 3.469446951953614e-18im, 0.9999999999999998 + 6.938893903907228e-18im, 0.9999999999999989 + 2.0816681711721685e-17im, 0.9999999999999986 - 2.8189256484623115e-18im, 0.999999999999999 + 0.0im
0.3, 0.9999999999999963 - 7.632783294297951e-17im, 0.9999999999999982 - 2.0816681711721685e-17im, 0.999999999999998 - 5.204170427930421e-18im, 0.9999999999999999 - 8.673617379884035e-19im, 1.0000000000000004 - 1.3877787807814457e-17im, 1.000000000000001 + 5.204170427930421e-18im, 0.9999999999999967 + 4.336808689942018e-19im, 1.000000000000001 + 1.3877787807814457e-17im, 1.000000000000001 - 9.540979117872439e-18im, 0.9999999999999977 - 6.938893903907228e-18im, 1.000000000000003 + 1.734723475976807e-18im, 0.9999999999999997 + 1.3877787807814457e-17im, 1.0000000000000064 + 4.336808689942018e-19im, 1.000000000000003 - 2.7755575615628914e-17im, 0.999999999999998 + 4.7704895589362195e-18im, 1.0000000000000013 + 1.734723475976807e-18im, 1.000000000000001 + 6.938893903907228e-18im, 0.9999999999999979 + 2.7755575615628914e-17im, 0.9999999999999981 - 3.469446951953614e-18im, 0.9999999999999988 + 1.734723475976807e-18im
0.4, 0.9999999999999978 - 1.1102230246251565e-16im, 0.9999999999999969 - 1.3877787807814457e-17im, 0.9999999999999969 - 7.806255641895632e-18im, 0.9999999999999998 - 6.938893903907228e-18im, 1.0000000000000018 - 1.3877787807814457e-17im, 1.0000000000000013 + 0.0im, 0.9999999999999944 + 8.673617379884035e-19im, 1.0000000000000022 + 3.469446951953614e-18im, 1.000000000000002 - 7.806255641895632e-18im, 0.9999999999999986 - 1.734723475976807e-17im, 1.0000000000000029 + 2.168404344971009e-18im, 1.0 + 0.0im, 1.0000000000000078 + 6.505213034913027e-19im, 1.0000000000000002 - 3.469446951953614e-17im, 0.999999999999999 + 6.938893903907228e-18im, 1.0000000000000024 + 0.0im, 1.0000000000000009 + 0.0im, 1.0000000000000002 + 2.42861286636753e-17im, 0.9999999999999982 - 4.336808689942018e-18im, 0.9999999999999991 + 1.3010426069826053e-18im
0.5, 0.9999999999999987 - 1.0408340855860843e-16im, 0.9999999999999957 - 2.7755575615628914e-17im, 0.9999999999999963 - 3.469446951953614e-18im, 0.9999999999999998 - 5.204170427930421e-18im, 1.0000000000000002 - 1.5612511283791264e-17im, 1.0000000000000007 + 0.0im, 0.9999999999999953 + 1.734723475976807e-18im, 1.0000000000000033 + 6.938893903907228e-18im, 1.000000000000001 - 1.0408340855860843e-17im, 0.9999999999999974 - 1.3877787807814457e-17im, 1.0000000000000047 + 4.336808689942018e-18im, 1.0000000000000009 + 1.3877787807814457e-17im, 1.0000000000000067 + 4.336808689942018e-19im, 1.0000000000000004 - 5.551115123125783e-17im, 0.9999999999999983 + 6.938893903907228e-18im, 1.0000000000000029 - 3.469446951953614e-18im, 1.000000000000001 + 2.7755575615628914e-17im, 1.0000000000000004 + 2.6020852139652106e-17im, 0.9999999999999968 - 3.469446951953614e-18im, 0.9999999999999998 + 2.168404344971009e-18im
0.6, 0.9999999999999979 - 1.0408340855860843e-16im, 0.9999999999999954 + 6.938893903907228e-18im, 0.9999999999999954 - 4.336808689942018e-18im, 0.9999999999999989 + 6.938893903907228e-18im, 1.0000000000000007 - 1.3877787807814457e-17im, 1.000000000000002 - 5.204170427930421e-18im, 0.9999999999999962 - 5.204170427930421e-18im, 1.0000000000000047 + 0.0im, 1.0000000000000002 - 9.540979117872439e-18im, 0.9999999999999964 - 1.3877787807814457e-17im, 1.000000000000005 + 5.204170427930421e-18im, 1.0000000000000009 + 2.0816681711721685e-17im, 1.000000000000007 + 0.0im, 1.0000000000000013 - 6.245004513516506e-17im, 0.9999999999999971 + 5.204170427930421e-18im, 1.000000000000003 - 5.204170427930421e-18im, 1.0 + 3.8163916471489756e-17im, 0.9999999999999993 + 3.122502256758253e-17im, 0.9999999999999952 - 3.469446951953614e-18im, 1.0000000000000022 + 1.3010426069826053e-18im
0.7, 0.9999999999999961 - 1.1796119636642288e-16im, 0.9999999999999951 + 1.3877787807814457e-17im, 0.9999999999999939 - 1.734723475976807e-18im, 0.9999999999999988 + 3.469446951953614e-18im, 1.0000000000000009 - 1.5612511283791264e-17im, 1.000000000000003 - 5.204170427930421e-18im, 0.9999999999999963 + 0.0im, 1.0000000000000058 + 3.469446951953614e-18im, 1.0000000000000013 - 8.673617379884035e-18im, 0.9999999999999968 - 1.3877787807814457e-17im, 1.0000000000000044 + 5.637851296924623e-18im, 0.9999999999999998 + 1.734723475976807e-17im, 1.0000000000000082 + 0.0im, 1.0000000000000016 - 4.85722573273506e-17im, 0.9999999999999967 - 1.734723475976807e-18im, 1.0000000000000022 - 3.469446951953614e-18im, 0.9999999999999986 + 2.0816681711721685e-17im, 1.0000000000000013 + 3.122502256758253e-17im, 0.9999999999999979 - 3.686287386450715e-18im, 1.0000000000000036 + 1.5178830414797062e-18im
0.8, 0.9999999999999951 - 1.457167719820518e-16im, 0.9999999999999952 + 0.0im, 0.9999999999999923 - 8.673617379884035e-19im, 0.9999999999999983 - 6.938893903907228e-18im, 1.0000000000000009 - 1.3877787807814457e-17im, 1.0000000000000038 - 5.204170427930421e-18im, 0.9999999999999969 + 6.938893903907228e-18im, 1.0000000000000075 + 1.3877787807814457e-17im, 0.9999999999999994 - 1.1275702593849246e-17im, 0.9999999999999963 - 2.7755575615628914e-17im, 1.0000000000000038 + 7.37257477290143e-18im, 1.0000000000000009 + 2.0816681711721685e-17im, 1.0000000000000093 + 2.168404344971009e-19im, 1.0000000000000029 - 5.551115123125783e-17im, 0.9999999999999959 - 6.938893903907228e-18im, 1.0000000000000029 + 1.734723475976807e-18im, 0.9999999999999987 + 2.42861286636753e-17im, 1.0000000000000013 + 2.7755575615628914e-17im, 0.9999999999999967 - 4.119968255444917e-18im, 1.0000000000000044 + 1.951563910473908e-18im
0.9, 0.9999999999999936 - 1.3877787807814457e-16im, 0.999999999999994 - 1.3877787807814457e-17im, 0.9999999999999918 - 8.673617379884035e-19im, 0.9999999999999988 + 6.938893903907228e-18im, 1.0000000000000004 - 1.5612511283791264e-17im, 1.000000000000003 - 1.734723475976807e-18im, 0.9999999999999954 + 0.0im, 1.0000000000000073 + 3.469446951953614e-18im, 0.9999999999999998 - 1.214306433183765e-17im, 0.9999999999999978 - 1.734723475976807e-17im, 1.0000000000000018 + 7.37257477290143e-18im, 0.9999999999999994 + 1.9081958235744878e-17im, 1.0000000000000095 - 4.336808689942018e-19im, 1.0000000000000004 - 6.938893903907228e-17im, 0.9999999999999964 + 0.0im, 1.0000000000000007 + 8.673617379884035e-18im, 0.9999999999999971 + 3.469446951953614e-17im, 1.0000000000000029 + 2.862293735361732e-17im, 0.9999999999999991 - 3.903127820947816e-18im, 1.0000000000000053 + 2.2768245622195593e-18im
