flowtime, d1, d2, d3
7.9, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
8.0, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
8.1, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
8.2, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
8.3, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
8.4, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
8.5, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
8.6, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
8.7, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
8.8, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
8.9, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
9.0, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
9.1, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
9.2, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
9.3, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
9.4, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
9.5, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
9.6, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
9.7, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
9.8, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
9.9, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
10.0, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
10.1, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
10.2, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
10.3, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
10.4, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
10.5, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
10.6, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
10.7, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
10.8, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
10.9, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
11.0, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
11.1, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
11.2, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
11.3, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
11.4, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
11.5, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
11.6, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
11.7, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
11.8, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
11.9, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
12.0, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
12.1, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
12.2, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
12.3, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
12.4, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
12.5, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
12.6, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
12.7, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
12.8, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
12.9, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
13.0, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
13.1, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
13.2, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
13.3, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
13.4, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
13.5, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
13.6, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
13.7, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
13.8, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
13.9, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
14.0, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
14.1, 1.0 + 0.0im, 1.0000000000000002 - 1.6543612251060553e-24im, 1.0 + 0.0im
14.2, 1.0 + 0.0im, 1.000000000000001 - 3.308722450212111e-24im, 1.0 + 0.0im
14.3, 1.0 + 0.0im, 1.0000000000000029 + 6.617444900424222e-24im, 1.0 + 0.0im
14.4, 1.0 + 0.0im, 1.000000000000003 + 0.0im, 1.0 + 0.0im
14.5, 1.0 + 0.0im, 1.0000000000000027 + 0.0im, 1.0 + 0.0im
14.6, 1.0 + 0.0im, 1.0000000000000027 - 1.3234889800848443e-23im, 1.0 + 0.0im
14.7, 1.0 + 0.0im, 1.000000000000001 + 8.470329472543003e-22im, 1.0 + 0.0im
14.8, 1.0 + 0.0im, 1.0000000000000027 + 0.0im, 1.0 + 0.0im
14.9, 1.0 + 0.0im, 1.0000000000000029 + 1.0164395367051604e-20im, 1.0 + 0.0im
15.0, 1.0 + 0.0im, 1.0000000000000018 - 1.3552527156068805e-20im, 1.0 + 0.0im
15.1, 1.0 + 0.0im, 1.0000000000000016 - 1.3552527156068805e-20im, 1.0 + 0.0im
15.2, 1.0 + 0.0im, 1.000000000000003 + 2.710505431213761e-20im, 1.0 + 0.0im
15.3, 1.0 + 0.0im, 1.0000000000000024 + 5.421010862427522e-20im, 1.0 + 0.0im
15.4, 1.0 + 0.0im, 1.000000000000005 - 2.710505431213761e-20im, 1.0 + 0.0im
15.5, 1.0 + 0.0im, 1.0000000000000056 + 2.168404344971009e-19im, 1.0 + 0.0im
15.6, 1.0 + 0.0im, 1.0000000000000033 + 5.421010862427522e-20im, 1.0 + 0.0im
15.7, 1.0 + 0.0im, 1.0000000000000042 + 0.0im, 1.0 + 0.0im
15.8, 1.0 + 0.0im, 1.0000000000000042 - 2.168404344971009e-19im, 1.0 + 0.0im
15.9, 1.0 + 0.0im, 1.000000000000006 - 1.0842021724855044e-19im, 1.0 + 0.0im
16.0, 1.0 + 0.0im, 1.000000000000005 - 1.0842021724855044e-19im, 1.0 + 0.0im
16.1, 1.0 + 0.0im, 1.0000000000000038 - 8.131516293641283e-20im, 1.0 + 0.0im
16.2, 1.0 + 0.0im, 1.0000000000000042 - 8.131516293641283e-20im, 1.0 + 0.0im
16.3, 1.0 + 0.0im, 1.0000000000000047 - 5.421010862427522e-20im, 1.0 + 0.0im
16.4, 1.0 + 0.0im, 1.0000000000000056 - 1.0164395367051604e-19im, 1.0 + 0.0im
16.5, 1.0 + 0.0im, 1.0000000000000075 - 1.2874900798265365e-19im, 1.0 + 0.0im
16.6, 1.0 + 0.0im, 1.0000000000000073 - 1.0164395367051604e-19im, 1.0 + 0.0im
16.7, 1.0 + 0.0im, 1.000000000000007 - 1.0333801956502464e-19im, 1.0 + 0.0im
16.8, 1.0 + 0.0im, 1.0000000000000078 - 1.0503208545953324e-19im, 1.0 + 0.0im
16.9, 1.0 + 0.0im, 1.0000000000000084 - 1.1180834903756764e-19im, 1.0 + 0.0im
17.0, 1.0 + 0.0im, 1.0000000000000078 - 1.1350241493207625e-19im, 1.0 + 0.0im
17.1, 1.0 + 0.0im, 1.000000000000008 - 1.1858461261560205e-19im, 1.0 + 0.0im
17.2, 1.0 + 0.0im, 1.0000000000000078 - 1.1519648082658485e-19im, 1.0 + 0.0im
17.3, 1.0 + 0.0im, 1.0000000000000058 - 1.1350241493207625e-19im, 1.0 + 0.0im
17.4, 1.0 + 0.0im, 1.000000000000007 - 1.2197274440461925e-19im, 1.0 + 0.0im
17.5, 1.0 + 0.0im, 1.0000000000000056 - 1.1858461261560205e-19im, 1.0 + 0.0im
17.6, 1.0 + 0.0im, 1.000000000000005 - 1.1689054672109345e-19im, 1.0 + 0.0im
17.7, 1.0 + 0.0im, 1.000000000000005 - 1.1858461261560205e-19im, 1.0 + 0.0im
17.8, 1.0 + 0.0im, 1.000000000000003 - 1.2197274440461925e-19im, 1.0 + 0.0im
17.9, 1.0 + 0.0im, 1.0000000000000024 - 1.0842021724855044e-19im, 1.0 + 0.0im
18.0, 1.0 + 0.0im, 1.0000000000000024 - 1.2197274440461925e-19im, 1.0 + 0.0im
18.1, 1.0 + 0.0im, 1.0000000000000024 - 1.2197274440461925e-19im, 1.0 + 0.0im
18.2, 1.0 + 0.0im, 1.0000000000000024 - 9.486769009248164e-20im, 1.0 + 0.0im
18.3, 1.0 + 0.0im, 1.0000000000000033 - 1.0842021724855044e-19im, 1.0 + 0.0im
18.4, 1.0 + 0.0im, 1.0000000000000049 - 8.131516293641283e-20im, 1.0 + 0.0im
18.5, 1.0 + 0.0im, 1.0000000000000058 - 1.6263032587282567e-19im, 1.0 + 0.0im
18.6, 1.0 + 0.0im, 1.0000000000000058 - 2.439454888092385e-19im, 1.0 + 0.0im
18.7, 1.0 + 0.0im, 1.000000000000006 - 1.6263032587282567e-19im, 1.0 + 0.0im
18.8, 1.0 + 0.0im, 1.0000000000000053 - 1.6263032587282567e-19im, 1.0 + 0.0im
18.9, 1.0 + 0.0im, 1.000000000000005 - 2.710505431213761e-19im, 1.0 + 0.0im
19.0, 1.0 + 0.0im, 1.0000000000000044 - 2.710505431213761e-19im, 1.0 + 0.0im
19.1, 1.0 + 0.0im, 1.000000000000005 - 5.421010862427522e-20im, 1.0 + 0.0im
19.2, 1.0 + 0.0im, 1.000000000000004 + 0.0im, 1.0 + 0.0im
19.3, 1.0 + 0.0im, 1.0000000000000024 - 1.0842021724855044e-19im, 1.0 + 0.0im
19.4, 1.0 + 0.0im, 1.0000000000000013 + 1.0842021724855044e-19im, 1.0 + 0.0im
19.5, 1.0 + 0.0im, 1.0000000000000007 - 2.168404344971009e-19im, 1.0 + 0.0im
19.6, 1.0 + 0.0im, 1.0 - 2.168404344971009e-19im, 1.0 + 0.0im
19.7, 1.0 + 0.0im, 1.000000000000001 - 5.421010862427522e-19im, 1.0 + 0.0im
19.8, 1.0 + 0.0im, 0.9999999999999998 - 2.168404344971009e-19im, 1.0 + 0.0im
19.9, 1.0 + 0.0im, 0.999999999999997 + 0.0im, 1.0 + 0.0im
20.0, 1.0 + 0.0im, 0.9999999999999966 + 0.0im, 1.0 + 0.0im
20.1, 1.0 + 0.0im, 0.9999999999999961 + 1.0842021724855044e-19im, 1.0 + 0.0im
20.2, 1.0 + 0.0im, 0.9999999999999963 + 3.2526065174565133e-19im, 1.0 + 0.0im
20.3, 1.0 + 0.0im, 0.9999999999999969 + 0.0im, 1.0 + 0.0im
20.4, 1.0 + 0.0im, 0.9999999999999954 - 4.336808689942018e-19im, 1.0 + 0.0im
20.5, 1.0 + 0.0im, 0.999999999999996 + 4.336808689942018e-19im, 1.0 + 0.0im
20.6, 1.0 + 0.0im, 0.9999999999999948 + 8.673617379884035e-19im, 1.0 + 0.0im
20.7, 1.0 + 0.0im, 0.999999999999993 + 8.673617379884035e-19im, 1.0 + 0.0im
20.8, 1.0 + 0.0im, 0.9999999999999936 + 8.673617379884035e-19im, 1.0 + 0.0im
20.9, 1.0 + 0.0im, 0.9999999999999944 + 8.673617379884035e-19im, 1.0 + 0.0im
21.0, 1.0 + 0.0im, 0.9999999999999922 + 2.168404344971009e-19im, 1.0 + 0.0im
21.1, 1.0 + 0.0im, 0.9999999999999899 - 6.505213034913027e-19im, 1.0 + 0.0im
21.2, 1.0 + 0.0im, 0.9999999999999877 - 2.168404344971009e-19im, 1.0 + 0.0im
21.3, 1.0 + 0.0im, 0.9999999999999851 - 6.505213034913027e-19im, 1.0 + 0.0im
21.4, 1.0 + 0.0im, 0.9999999999999828 - 2.168404344971009e-19im, 1.0 + 0.0im
21.5, 1.0 + 0.0im, 0.999999999999981 + 6.505213034913027e-19im, 1.0 + 0.0im
21.6, 1.0 + 0.0im, 0.9999999999999806 + 1.0842021724855044e-18im, 1.0 + 0.0im
21.7, 1.0 + 0.0im, 0.9999999999999798 + 4.336808689942018e-19im, 1.0 + 0.0im
