flowtime, dM1R1, dM1R2, dM1R3, dM1R4, dM1R5, dM1R6, dM1R7, dM1R8, dM1R9, dM1R10, dM1R11, dM1R12, dM1R13, dM1R14, dM(mass_num)R15
15.1, 0.9999999999999502 + 3.0357660829594124e-17im, 0.9999999999999792 + 4.553649124439119e-18im, 1.0000000000000475 + 2.3852447794681098e-18im, 0.9999999999999972 + 2.6020852139652106e-18im, 0.9999999999999446 - 9.486769009248164e-18im, 1.0000000000001126 + 2.1751806085490433e-18im, 0.9999999999999912 - 2.8189256484623115e-18im, 1.0000000000003064 + 6.098637220230962e-20im, 1.0000000000000144 - 3.903127820947816e-18im, 0.9999999999999649 + 1.929879867024198e-17im, 1.0000000000000295 - 1.5612511283791264e-17im, 1.0000000000000169 - 6.179952383167375e-18im, 1.0000000000000058 - 2.190088388420719e-17im, 0.9999999999999626 + 7.806255641895632e-18im, 0.999999999999971 - 4.206704429243757e-17im
15.2, 0.999999999999952 + 3.209238430557093e-17im, 0.9999999999999815 + 4.9873299934333204e-18im, 1.0000000000000469 + 2.4936649967166602e-18im, 0.9999999999999952 + 2.168404344971009e-18im, 0.9999999999999476 - 9.215718466126788e-18im, 1.0000000000001132 + 2.1819568721270777e-18im, 0.9999999999999937 - 2.168404344971009e-18im, 1.0000000000003106 + 1.0164395367051604e-19im, 1.0000000000000164 - 4.336808689942018e-18im, 0.9999999999999618 + 1.9081958235744878e-17im, 1.0000000000000289 - 1.5178830414797062e-17im, 1.000000000000017 - 6.071532165918825e-18im, 1.0000000000000047 - 2.1250362580715887e-17im, 0.9999999999999629 + 7.37257477290143e-18im, 0.9999999999999712 - 4.2500725161431774e-17im
15.3, 0.9999999999999525 + 3.122502256758253e-17im, 0.9999999999999832 + 5.5294310796760726e-18im, 1.0000000000000517 + 2.2768245622195593e-18im, 0.9999999999999939 + 2.6020852139652106e-18im, 0.9999999999999472 - 9.378348791999613e-18im, 1.0000000000001135 + 2.1819568721270777e-18im, 0.9999999999999946 - 2.6020852139652106e-18im, 1.0000000000003157 + 1.1519648082658485e-19im, 1.0000000000000178 - 5.204170427930421e-18im, 0.999999999999961 + 2.0166160408230382e-17im, 1.0000000000000315 - 1.5829351718288365e-17im, 1.000000000000016 - 6.288372600415926e-18im, 1.0000000000000024 - 2.1467203015212988e-17im, 0.9999999999999648 + 7.37257477290143e-18im, 0.9999999999999689 - 4.423544863740858e-17im
15.4, 0.9999999999999502 + 3.209238430557093e-17im, 0.9999999999999823 + 5.637851296924623e-18im, 1.0000000000000546 + 1.8431436932253575e-18im, 0.9999999999999905 + 5.204170427930421e-18im, 0.9999999999999496 - 9.324138683375338e-18im, 1.0000000000001126 + 2.2090619264392153e-18im, 0.9999999999999957 - 2.3852447794681098e-18im, 1.0000000000003189 + 1.0164395367051604e-19im, 1.0000000000000182 - 6.938893903907228e-18im, 0.9999999999999638 + 1.973247953923618e-17im, 1.0000000000000369 - 1.6696713456276768e-17im, 1.0000000000000195 - 6.830473686658678e-18im, 1.0000000000000009 - 2.1467203015212988e-17im, 0.9999999999999641 + 7.37257477290143e-18im, 0.9999999999999681 - 4.5536491244391186e-17im
15.5, 0.9999999999999495 + 3.209238430557093e-17im, 0.9999999999999787 + 5.312590645178972e-18im, 1.0000000000000557 + 1.951563910473908e-18im, 0.9999999999999906 + 5.637851296924623e-18im, 0.9999999999999502 - 9.053088140253962e-18im, 1.0000000000001106 + 2.2090619264392153e-18im, 0.9999999999999967 - 2.0599841277224584e-18im, 1.0000000000003224 + 9.486769009248164e-20im, 1.0000000000000204 - 6.938893903907228e-18im, 0.9999999999999643 + 1.9081958235744878e-17im, 1.000000000000041 - 1.6479873021779667e-17im, 1.0000000000000187 - 7.26415455565288e-18im, 0.9999999999999976 - 2.1467203015212988e-17im, 0.999999999999963 + 7.589415207398531e-18im, 0.9999999999999678 - 4.640385298237959e-17im
15.6, 0.9999999999999488 + 3.0357660829594124e-17im, 0.999999999999979 + 5.095750210681871e-18im, 1.0000000000000542 + 1.5178830414797062e-18im, 0.9999999999999911 + 5.204170427930421e-18im, 0.9999999999999514 - 9.215718466126788e-18im, 1.0000000000001092 + 2.2429432443293873e-18im, 0.9999999999999973 - 2.4936649967166602e-18im, 1.0000000000003249 + 8.131516293641283e-20im, 1.0000000000000213 - 6.071532165918825e-18im, 0.9999999999999656 + 1.7780915628762273e-17im, 1.0000000000000437 - 1.7997756063259374e-17im, 1.0000000000000213 - 7.15573433840433e-18im, 0.9999999999999984 - 2.168404344971009e-17im, 0.9999999999999633 + 7.589415207398531e-18im, 0.9999999999999676 - 4.5536491244391186e-17im
15.7, 0.9999999999999483 + 3.2959746043559335e-17im, 0.9999999999999799 + 4.9873299934333204e-18im, 1.0000000000000533 + 1.951563910473908e-18im, 0.9999999999999916 + 4.336808689942018e-18im, 0.9999999999999497 - 9.378348791999613e-18im, 1.000000000000107 + 2.2158381900172497e-18im, 0.9999999999999972 - 2.2768245622195593e-18im, 1.0000000000003273 + 1.4907779871675686e-19im, 1.0000000000000213 - 6.5052130349130266e-18im, 0.999999999999965 + 1.734723475976807e-17im, 1.0000000000000444 - 1.929879867024198e-17im, 1.000000000000024 - 7.37257477290143e-18im, 0.9999999999999957 - 2.1467203015212988e-17im, 0.999999999999962 + 8.023096076392733e-18im, 0.9999999999999659 - 4.5102810375396984e-17im
15.8, 0.9999999999999485 + 2.7755575615628914e-17im, 0.99999999999998 + 4.662069341687669e-18im, 1.000000000000054 + 2.168404344971009e-18im, 0.9999999999999918 + 4.336808689942018e-18im, 0.9999999999999487 - 9.432558900623889e-18im, 1.0000000000001028 + 2.202285662861181e-18im, 0.9999999999999967 - 1.8431436932253575e-18im, 1.0000000000003306 + 2.236166980751353e-19im, 1.0000000000000204 - 6.5052130349130266e-18im, 0.9999999999999658 + 1.713039432527097e-17im, 1.0000000000000488 - 1.8648277366750676e-17im, 1.0000000000000249 - 7.26415455565288e-18im, 0.9999999999999951 - 2.168404344971009e-17im, 0.9999999999999624 + 8.673617379884035e-18im, 0.9999999999999661 - 4.5102810375396984e-17im
15.9, 0.9999999999999478 + 2.688821387764051e-17im, 0.9999999999999787 + 4.7704895589362195e-18im, 1.000000000000056 + 2.3852447794681098e-18im, 0.9999999999999937 + 3.903127820947816e-18im, 0.9999999999999502 - 9.540979117872439e-18im, 1.0000000000000957 + 2.15485181781494e-18im, 0.9999999999999959 - 1.8431436932253575e-18im, 1.0000000000003344 + 2.236166980751353e-19im, 1.0000000000000249 - 4.7704895589362195e-18im, 0.9999999999999675 + 1.6696713456276768e-17im, 1.0000000000000493 - 1.6046192152785466e-17im, 1.0000000000000253 - 7.48099499014998e-18im, 0.9999999999999942 - 2.1467203015212988e-17im, 0.999999999999962 + 6.7220534694101275e-18im, 0.999999999999965 - 4.423544863740858e-17im
16.0, 0.9999999999999468 + 2.688821387764051e-17im, 0.9999999999999752 + 4.662069341687669e-18im, 1.0000000000000555 + 2.2768245622195593e-18im, 0.9999999999999942 + 4.336808689942018e-18im, 0.9999999999999521 - 9.75781955236954e-18im, 1.0000000000000906 + 2.120970499924768e-18im, 0.9999999999999928 - 2.0599841277224584e-18im, 1.0000000000003384 + 2.168404344971009e-19im, 1.0000000000000249 - 6.071532165918825e-18im, 0.9999999999999708 + 1.7564075194265172e-17im, 1.0000000000000513 - 1.3660947373317356e-17im, 1.000000000000023 - 7.697835424647081e-18im, 0.9999999999999929 - 2.1467203015212988e-17im, 0.999999999999963 + 7.37257477290143e-18im, 0.9999999999999647 - 4.423544863740858e-17im
16.1, 0.9999999999999478 + 2.6454533008646308e-17im, 0.9999999999999732 + 4.7704895589362195e-18im, 1.000000000000056 + 2.3852447794681098e-18im, 0.9999999999999976 + 3.903127820947816e-18im, 0.999999999999953 - 9.595189226496714e-18im, 1.000000000000087 + 2.1616280813929745e-18im, 0.9999999999999928 - 2.168404344971009e-18im, 1.0000000000003426 + 2.778268066994105e-19im, 1.0000000000000264 - 6.071532165918825e-18im, 0.999999999999972 + 1.691355389077387e-17im, 1.0000000000000513 - 1.431146867680866e-17im, 1.00000000000002 - 7.589415207398531e-18im, 0.9999999999999916 - 2.1250362580715887e-17im, 0.9999999999999635 + 7.806255641895632e-18im, 0.9999999999999634 - 4.466912950640278e-17im
16.2, 0.9999999999999489 + 2.5587171270657905e-17im, 0.9999999999999705 + 4.7704895589362195e-18im, 1.0000000000000557 + 2.168404344971009e-18im, 0.9999999999999986 + 4.7704895589362195e-18im, 0.9999999999999538 - 9.703609443745265e-18im, 1.0000000000000844 + 2.1751806085490433e-18im, 0.9999999999999949 - 2.4936649967166602e-18im, 1.0000000000003473 + 2.710505431213761e-19im, 1.0000000000000284 - 6.071532165918825e-18im, 0.9999999999999696 + 1.5829351718288365e-17im, 1.000000000000054 - 1.5829351718288365e-17im, 1.0000000000000189 - 7.589415207398531e-18im, 0.9999999999999911 - 2.190088388420719e-17im, 0.9999999999999625 + 7.37257477290143e-18im, 0.9999999999999645 - 4.466912950640278e-17im
16.3, 0.9999999999999484 + 2.6020852139652106e-17im, 0.999999999999966 + 4.662069341687669e-18im, 1.0000000000000555 + 2.0599841277224584e-18im, 1.0 + 4.7704895589362195e-18im, 0.9999999999999514 - 9.86623976961809e-18im, 1.000000000000086 + 2.256495771485456e-18im, 0.9999999999999911 - 2.6020852139652106e-18im, 1.00000000000035 + 2.710505431213761e-19im, 1.0000000000000295 - 7.806255641895632e-18im, 0.9999999999999682 + 1.713039432527097e-17im, 1.0000000000000553 - 1.691355389077387e-17im, 1.0000000000000178 - 8.023096076392733e-18im, 0.9999999999999902 - 1.9949319973733282e-17im, 0.9999999999999619 + 7.37257477290143e-18im, 0.9999999999999646 - 4.597017211338539e-17im
16.4, 0.9999999999999496 + 2.5587171270657905e-17im, 0.9999999999999637 + 4.7704895589362195e-18im, 1.0000000000000602 + 1.6263032587282567e-18im, 1.0000000000000002 + 1.3010426069826053e-18im, 0.9999999999999518 - 9.974659986866641e-18im, 1.000000000000087 + 2.202285662861181e-18im, 0.9999999999999923 - 2.0599841277224584e-18im, 1.000000000000352 + 2.642742795433417e-19im, 1.0000000000000318 - 8.239936510889834e-18im, 0.9999999999999641 + 1.8431436932253575e-17im, 1.0000000000000548 - 1.7997756063259374e-17im, 1.0000000000000169 - 8.998878031629687e-18im, 0.99999999999999 - 2.0816681711721685e-17im, 0.9999999999999615 + 6.938893903907228e-18im, 0.9999999999999644 - 4.423544863740858e-17im
16.5, 0.9999999999999499 + 2.688821387764051e-17im, 0.9999999999999666 + 4.662069341687669e-18im, 1.000000000000063 + 1.1926223897340549e-18im, 0.9999999999999956 - 8.673617379884035e-19im, 0.9999999999999523 - 9.703609443745265e-18im, 1.0000000000000848 + 2.15485181781494e-18im, 0.9999999999999906 - 7.589415207398531e-19im, 1.0000000000003533 + 2.574980159653073e-19im, 1.0000000000000324 - 9.540979117872439e-18im, 0.9999999999999604 + 1.8648277366750676e-17im, 1.0000000000000535 - 1.7997756063259374e-17im, 1.0000000000000187 - 8.565197162635485e-18im, 0.9999999999999903 - 2.0816681711721685e-17im, 0.9999999999999633 + 6.288372600415926e-18im, 0.999999999999962 - 4.423544863740858e-17im
16.6, 0.9999999999999495 + 2.6454533008646308e-17im, 0.999999999999966 + 4.9873299934333204e-18im, 1.0000000000000615 + 8.673617379884035e-19im, 0.9999999999999937 - 1.734723475976807e-18im, 0.9999999999999489 - 9.486769009248164e-18im, 1.000000000000082 + 2.2429432443293873e-18im, 0.9999999999999922 - 1.3010426069826053e-18im, 1.0000000000003548 + 2.507217523872729e-19im, 1.0000000000000344 - 9.974659986866641e-18im, 0.9999999999999584 + 1.8214596497756474e-17im, 1.0000000000000473 - 1.7997756063259374e-17im, 1.0000000000000167 - 8.023096076392733e-18im, 0.9999999999999895 - 2.0383000842727483e-17im, 0.9999999999999626 + 6.5052130349130266e-18im, 0.9999999999999604 - 4.466912950640278e-17im
16.7, 0.9999999999999499 + 2.6020852139652106e-17im, 0.9999999999999662 + 4.87890977618477e-18im, 1.000000000000062 + 6.505213034913027e-19im, 0.9999999999999902 - 5.204170427930421e-18im, 0.9999999999999483 - 9.486769009248164e-18im, 1.0000000000000817 + 2.2971533529536625e-18im, 0.9999999999999959 - 1.8431436932253575e-18im, 1.0000000000003577 + 2.439454888092385e-19im, 1.0000000000000338 - 8.673617379884035e-18im, 0.999999999999955 + 1.7564075194265172e-17im, 1.000000000000045 - 1.7564075194265172e-17im, 1.000000000000017 - 8.348356728138384e-18im, 0.9999999999999878 - 1.9949319973733282e-17im, 0.9999999999999635 + 6.5052130349130266e-18im, 0.9999999999999595 - 4.597017211338539e-17im
16.8, 0.9999999999999495 + 2.5587171270657905e-17im, 0.9999999999999694 + 4.87890977618477e-18im, 1.0000000000000602 + 3.2526065174565133e-19im, 0.9999999999999893 - 8.239936510889834e-18im, 0.9999999999999506 - 9.432558900623889e-18im, 1.0000000000000817 + 2.3107058801097313e-18im, 0.9999999999999932 - 1.5178830414797062e-18im, 1.0000000000003584 + 2.439454888092385e-19im, 1.0000000000000346 - 9.974659986866641e-18im, 0.999999999999958 + 1.7780915628762273e-17im, 1.0000000000000462 - 1.6479873021779667e-17im, 1.0000000000000162 - 8.348356728138384e-18im, 0.9999999999999872 - 1.951563910473908e-17im, 0.9999999999999627 + 6.938893903907228e-18im, 0.9999999999999589 - 4.683753385137379e-17im
16.9, 0.9999999999999494 + 2.5587171270657905e-17im, 0.9999999999999684 + 5.312590645178972e-18im, 1.0000000000000604 + 4.336808689942018e-19im, 0.9999999999999873 - 1.1275702593849246e-17im, 0.9999999999999526 - 9.378348791999613e-18im, 1.0000000000000817 + 2.3649159887340065e-18im, 0.9999999999999946 - 1.8431436932253575e-18im, 1.0000000000003602 + 2.303929616531697e-19im, 1.0000000000000342 - 9.974659986866641e-18im, 0.9999999999999593 + 1.691355389077387e-17im, 1.000000000000047 - 1.5829351718288365e-17im, 1.0000000000000178 - 7.806255641895632e-18im, 0.9999999999999862 - 1.7780915628762273e-17im, 0.9999999999999635 + 7.589415207398531e-18im, 0.9999999999999586 - 4.5102810375396984e-17im
17.0, 0.9999999999999494 + 2.5153490401663703e-17im, 0.9999999999999682 + 5.312590645178972e-18im, 1.0000000000000622 + 5.421010862427522e-19im, 0.999999999999983 - 9.540979117872439e-18im, 0.9999999999999505 - 9.324138683375338e-18im, 1.0000000000000784 + 2.4530074152484538e-18im, 0.9999999999999967 - 1.8431436932253575e-18im, 1.000000000000361 + 2.371692252312041e-19im, 1.0000000000000349 - 1.0842021724855044e-17im, 0.999999999999955 + 1.734723475976807e-17im, 1.0000000000000502 - 1.474514954580286e-17im, 1.0000000000000173 - 8.348356728138384e-18im, 0.9999999999999883 - 1.951563910473908e-17im, 0.9999999999999631 + 7.589415207398531e-18im, 0.9999999999999574 - 4.683753385137379e-17im
