flowtime, dM3R1, dM3R2, dM3R3, dM3R4, dM3R5, dM3R6, dM3R7, dM3R8, dM3R9, dM3R10, dM3R11, dM3R12, dM3R13, dM3R14, dM3R15, dM3R16, dM3R17, dM3R18, dM3R19, dM(mass_num)R20
0.0, 1.0000000000000002 + 0.0im, 1.0 + 0.0im, 0.9999999999999998 - 1.734723475976807e-18im, 1.0000000000000002 + 0.0im, 0.9999999999999998 + 0.0im, 1.0 + 1.3877787807814457e-17im, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 3.469446951953614e-18im, 0.9999999999999997 - 3.469446951953614e-18im, 0.9999999999999998 + 1.3877787807814457e-17im, 1.0 + 0.0im, 1.0 - 1.3877787807814457e-17im, 1.0000000000000002 + 0.0im, 0.9999999999999997 + 0.0im, 1.0 + 0.0im, 1.0 - 3.469446951953614e-18im, 0.9999999999999998 + 0.0im, 1.0 - 6.938893903907228e-18im, 1.0 + 0.0im
0.1, 1.0000000000000007 - 2.42861286636753e-17im, 0.9999999999999994 + 0.0im, 1.0000000000000009 + 1.3010426069826053e-18im, 1.0000000000000016 + 0.0im, 0.9999999999999991 + 8.673617379884035e-18im, 0.9999999999999974 + 3.122502256758253e-17im, 0.9999999999999997 - 6.938893903907228e-18im, 0.9999999999999974 + 2.0816681711721685e-17im, 1.0000000000000007 - 3.469446951953614e-18im, 1.0 + 0.0im, 0.9999999999999997 + 0.0im, 0.9999999999999994 - 8.673617379884035e-19im, 1.0000000000000002 - 6.938893903907228e-18im, 1.0000000000000013 + 1.0408340855860843e-17im, 0.9999999999999988 + 1.3877787807814457e-17im, 1.0 + 1.734723475976807e-18im, 0.9999999999999998 + 6.071532165918825e-18im, 0.9999999999999999 + 1.734723475976807e-18im, 1.0000000000000029 - 8.673617379884035e-19im, 0.9999999999999997 + 3.469446951953614e-18im
0.2, 1.0000000000000022 - 1.3877787807814457e-17im, 1.0000000000000013 - 3.469446951953614e-18im, 1.0000000000000044 + 4.336808689942018e-19im, 1.0000000000000024 - 6.938893903907228e-18im, 0.9999999999999987 + 6.938893903907228e-18im, 0.9999999999999982 + 2.42861286636753e-17im, 1.0000000000000007 - 6.938893903907228e-18im, 0.9999999999999956 + 2.949029909160572e-17im, 1.000000000000002 - 1.0408340855860843e-17im, 0.9999999999999998 + 0.0im, 0.9999999999999988 - 8.673617379884035e-19im, 0.9999999999999992 - 1.734723475976807e-18im, 0.9999999999999997 - 1.3877787807814457e-17im, 1.0000000000000013 + 1.3444106938820255e-17im, 0.9999999999999984 + 1.0408340855860843e-17im, 0.9999999999999999 - 5.421010862427522e-19im, 1.0000000000000002 + 8.239936510889834e-18im, 0.9999999999999987 + 8.673617379884035e-18im, 1.0000000000000036 + 1.734723475976807e-18im, 0.9999999999999992 + 1.3877787807814457e-17im
0.3, 1.000000000000004 - 3.469446951953614e-18im, 1.0 + 6.938893903907228e-18im, 1.000000000000004 + 8.673617379884035e-19im, 1.000000000000003 - 8.673617379884035e-18im, 0.9999999999999991 + 1.214306433183765e-17im, 0.9999999999999978 + 2.0816681711721685e-17im, 1.0000000000000007 + 0.0im, 0.9999999999999957 + 3.2959746043559335e-17im, 1.0000000000000047 + 0.0im, 0.9999999999999997 - 5.204170427930421e-18im, 0.9999999999999992 - 2.6020852139652106e-18im, 0.9999999999999991 + 8.673617379884035e-19im, 1.0 - 2.42861286636753e-17im, 0.9999999999999987 + 1.3444106938820255e-17im, 0.9999999999999978 + 1.0408340855860843e-17im, 1.0000000000000013 - 5.692061405548898e-19im, 0.9999999999999999 + 8.239936510889834e-18im, 0.9999999999999996 + 1.1275702593849246e-17im, 1.0000000000000027 + 8.673617379884035e-18im, 0.9999999999999991 + 6.938893903907228e-18im
0.4, 1.0000000000000078 - 6.938893903907228e-18im, 0.9999999999999984 + 6.938893903907228e-18im, 1.000000000000003 + 1.3010426069826053e-18im, 1.0000000000000053 - 1.214306433183765e-17im, 0.9999999999999986 + 5.204170427930421e-18im, 0.9999999999999971 + 3.469446951953614e-17im, 1.0000000000000027 - 4.336808689942018e-18im, 0.999999999999996 + 3.2959746043559335e-17im, 1.000000000000004 + 0.0im, 0.9999999999999996 - 5.204170427930421e-18im, 1.0000000000000022 - 2.6020852139652106e-18im, 1.0 + 1.734723475976807e-18im, 1.0000000000000007 - 6.938893903907228e-18im, 0.9999999999999966 + 1.1275702593849246e-17im, 0.9999999999999982 + 1.3877787807814457e-17im, 1.000000000000001 - 6.2341624917916505e-19im, 1.0000000000000018 + 7.806255641895632e-18im, 0.9999999999999996 + 9.540979117872439e-18im, 1.0000000000000027 + 5.204170427930421e-18im, 0.9999999999999961 + 0.0im
0.5, 1.0000000000000087 - 1.0408340855860843e-17im, 1.0 + 1.0408340855860843e-17im, 1.000000000000002 + 4.336808689942018e-19im, 1.0000000000000062 - 8.673617379884035e-18im, 0.999999999999996 + 0.0im, 0.9999999999999972 + 4.85722573273506e-17im, 1.0000000000000036 - 4.336808689942018e-18im, 0.9999999999999952 + 3.2742905609062234e-17im, 1.0000000000000056 + 6.938893903907228e-18im, 0.999999999999999 - 3.469446951953614e-18im, 1.0000000000000009 - 6.938893903907228e-18im, 0.9999999999999987 + 1.734723475976807e-18im, 0.9999999999999997 - 6.938893903907228e-18im, 0.9999999999999973 + 9.540979117872439e-18im, 1.000000000000001 + 3.469446951953614e-18im, 0.9999999999999999 - 7.047314121155779e-19im, 1.0000000000000009 + 9.107298248878237e-18im, 0.9999999999999999 + 9.432558900623889e-18im, 1.0000000000000062 - 1.734723475976807e-18im, 0.9999999999999951 + 1.0408340855860843e-17im
0.6, 1.0000000000000089 - 3.469446951953614e-18im, 0.9999999999999996 + 3.469446951953614e-18im, 1.0000000000000038 + 1.734723475976807e-18im, 1.000000000000007 - 9.540979117872439e-18im, 0.9999999999999951 + 3.469446951953614e-18im, 0.9999999999999974 + 4.85722573273506e-17im, 1.0000000000000047 - 3.469446951953614e-18im, 0.9999999999999979 + 3.2959746043559335e-17im, 1.0000000000000067 + 8.673617379884035e-18im, 1.0000000000000007 - 8.673617379884035e-18im, 1.000000000000001 - 7.806255641895632e-18im, 0.9999999999999998 + 0.0im, 0.9999999999999987 - 6.938893903907228e-18im, 0.9999999999999994 + 1.1275702593849246e-17im, 1.0000000000000018 + 6.938893903907228e-18im, 1.0000000000000016 - 7.453889935837843e-19im, 1.0000000000000009 + 9.974659986866641e-18im, 1.0 + 8.890457814381136e-18im, 1.0000000000000056 + 0.0im, 0.9999999999999947 + 3.469446951953614e-18im
0.7, 1.0000000000000082 + 0.0im, 1.0000000000000009 + 0.0im, 1.000000000000005 + 2.3852447794681098e-18im, 1.0000000000000062 - 7.806255641895632e-18im, 0.9999999999999957 + 8.673617379884035e-18im, 0.999999999999998 + 6.245004513516506e-17im, 1.0000000000000042 - 3.469446951953614e-18im, 0.9999999999999998 + 3.469446951953614e-17im, 1.000000000000007 + 6.5052130349130266e-18im, 0.9999999999999999 - 5.204170427930421e-18im, 1.0000000000000029 - 6.071532165918825e-18im, 1.0000000000000002 + 3.469446951953614e-18im, 0.9999999999999998 + 1.734723475976807e-18im, 0.9999999999999973 + 1.1275702593849246e-17im, 1.0000000000000024 - 6.938893903907228e-18im, 1.0000000000000018 - 8.131516293641283e-19im, 0.9999999999999996 + 9.974659986866641e-18im, 0.9999999999999999 + 9.324138683375338e-18im, 1.0000000000000056 - 1.734723475976807e-18im, 0.999999999999994 + 3.469446951953614e-18im
0.8, 1.0000000000000082 + 3.469446951953614e-18im, 1.0000000000000013 - 3.469446951953614e-18im, 1.0000000000000036 + 2.3852447794681098e-18im, 1.000000000000008 - 8.673617379884035e-18im, 0.9999999999999959 + 6.938893903907228e-18im, 0.9999999999999978 + 6.591949208711867e-17im, 1.0000000000000058 - 4.336808689942018e-18im, 0.9999999999999984 + 3.8163916471489756e-17im, 1.0000000000000044 + 6.288372600415926e-18im, 1.000000000000002 - 3.469446951953614e-18im, 1.0000000000000036 - 4.9873299934333204e-18im, 0.9999999999999988 + 2.6020852139652106e-18im, 0.999999999999998 + 5.204170427930421e-18im, 0.9999999999999991 + 9.540979117872439e-18im, 1.000000000000002 - 3.469446951953614e-18im, 1.0000000000000002 - 8.673617379884035e-19im, 1.0000000000000013 + 1.1275702593849246e-17im, 1.0000000000000004 + 9.107298248878237e-18im, 1.000000000000007 + 1.734723475976807e-18im, 0.9999999999999938 + 3.469446951953614e-18im
0.9, 1.000000000000008 + 3.469446951953614e-18im, 1.000000000000002 - 6.938893903907228e-18im, 1.0000000000000038 + 2.8189256484623115e-18im, 1.000000000000007 - 6.938893903907228e-18im, 0.9999999999999954 + 8.673617379884035e-18im, 0.9999999999999994 + 6.591949208711867e-17im, 1.000000000000005 - 6.071532165918825e-18im, 1.0000000000000013 + 3.2959746043559335e-17im, 1.0000000000000038 + 5.637851296924623e-18im, 1.0000000000000033 - 6.938893903907228e-18im, 1.000000000000004 - 4.9873299934333204e-18im, 0.9999999999999987 + 3.469446951953614e-18im, 0.9999999999999959 + 3.469446951953614e-18im, 1.0000000000000002 + 7.806255641895632e-18im, 1.0000000000000022 - 1.3877787807814457e-17im, 1.0 - 1.0299920638612292e-18im, 1.000000000000003 + 1.0842021724855044e-17im, 0.9999999999999999 + 9.974659986866641e-18im, 1.0000000000000064 - 1.734723475976807e-18im, 0.9999999999999934 + 1.734723475976807e-18im
1.0, 1.0000000000000087 - 1.734723475976807e-18im, 1.0000000000000027 - 1.0408340855860843e-17im, 1.0000000000000029 + 3.469446951953614e-18im, 1.0000000000000082 - 9.540979117872439e-18im, 0.9999999999999941 + 6.071532165918825e-18im, 1.0000000000000009 + 6.938893903907228e-17im, 1.0000000000000036 - 8.673617379884035e-18im, 1.0000000000000009 + 3.642919299551295e-17im, 1.0000000000000049 + 4.7704895589362195e-18im, 1.0000000000000047 - 1.0408340855860843e-17im, 1.000000000000005 - 4.662069341687669e-18im, 0.9999999999999953 + 8.673617379884035e-19im, 0.9999999999999953 + 8.673617379884035e-18im, 1.0000000000000016 + 6.938893903907228e-18im, 1.0000000000000016 - 2.0816681711721685e-17im, 0.9999999999999984 - 1.1926223897340549e-18im, 1.0000000000000016 + 9.974659986866641e-18im, 0.9999999999999987 + 1.0408340855860843e-17im, 1.000000000000008 + 1.734723475976807e-18im, 0.999999999999995 + 5.204170427930421e-18im
1.1, 1.0000000000000089 + 0.0im, 1.0000000000000033 - 3.469446951953614e-18im, 1.0000000000000044 + 3.469446951953614e-18im, 1.00000000000001 - 9.540979117872439e-18im, 0.9999999999999923 + 6.071532165918825e-18im, 1.0000000000000036 + 6.938893903907228e-17im, 1.0000000000000049 - 7.806255641895632e-18im, 1.0 + 3.642919299551295e-17im, 1.0000000000000047 + 4.7704895589362195e-18im, 1.0000000000000087 - 5.204170427930421e-18im, 1.0000000000000062 - 4.336808689942018e-18im, 0.9999999999999979 + 1.734723475976807e-18im, 0.9999999999999973 + 5.204170427930421e-18im, 0.9999999999999994 + 7.806255641895632e-18im, 1.000000000000003 - 1.734723475976807e-17im, 0.9999999999999989 - 9.75781955236954e-19im, 1.0000000000000016 + 1.0842021724855044e-17im, 0.9999999999999998 + 9.107298248878237e-18im, 1.000000000000008 + 0.0im, 0.9999999999999963 + 1.734723475976807e-18im
1.2, 1.0000000000000089 - 1.734723475976807e-18im, 1.000000000000004 - 6.938893903907228e-18im, 1.000000000000007 + 3.0357660829594124e-18im, 1.0000000000000107 - 9.107298248878237e-18im, 0.9999999999999922 + 4.336808689942018e-18im, 1.000000000000004 + 6.591949208711867e-17im, 1.000000000000005 - 6.071532165918825e-18im, 1.000000000000003 + 3.469446951953614e-17im, 1.0000000000000027 + 4.336808689942018e-18im, 1.0000000000000087 - 5.204170427930421e-18im, 1.0000000000000078 - 4.119968255444917e-18im, 0.9999999999999942 + 3.469446951953614e-18im, 0.9999999999999979 - 1.734723475976807e-18im, 1.0000000000000004 + 8.673617379884035e-18im, 1.0000000000000069 - 2.42861286636753e-17im, 1.000000000000002 - 1.1926223897340549e-18im, 1.0000000000000013 + 1.0408340855860843e-17im, 0.9999999999999991 + 7.37257477290143e-18im, 1.0000000000000075 + 0.0im, 0.9999999999999977 + 1.734723475976807e-18im
1.3, 1.000000000000007 + 1.734723475976807e-18im, 1.0000000000000058 - 3.469446951953614e-18im, 1.0000000000000069 + 4.336808689942018e-18im, 1.0000000000000093 - 9.107298248878237e-18im, 0.9999999999999908 + 3.469446951953614e-18im, 1.0000000000000067 + 6.938893903907228e-17im, 1.0000000000000036 - 2.6020852139652106e-18im, 1.000000000000003 + 3.469446951953614e-17im, 1.0000000000000029 + 6.071532165918825e-18im, 1.0000000000000089 - 8.673617379884035e-18im, 1.0000000000000078 - 3.903127820947816e-18im, 0.9999999999999936 + 1.734723475976807e-18im, 0.9999999999999996 + 1.734723475976807e-18im, 0.9999999999999997 + 1.1275702593849246e-17im, 1.000000000000007 - 3.469446951953614e-17im, 1.0000000000000004 - 1.1926223897340549e-18im, 1.000000000000001 + 1.0842021724855044e-17im, 0.9999999999999964 + 7.806255641895632e-18im, 1.000000000000007 + 1.734723475976807e-18im, 0.9999999999999977 + 5.204170427930421e-18im
