flowtime, d1, d2, d3
4.3, 1.0000000000000058 - 8.881784197001252e-16im, 1.0000000000000067 - 5.3013149425851225e-15im, 0.9999999999999991 - 2.3314683517128287e-15im
4.4, 1.0000000000000067 - 8.326672684688674e-16im, 1.0000000000000073 - 5.051514762044462e-15im, 0.9999999999999991 - 2.220446049250313e-15im
4.5, 1.000000000000005 - 3.885780586188048e-16im, 1.0000000000000075 - 4.773959005888173e-15im, 0.9999999999999978 - 2.4980018054066022e-15im
4.6, 1.0000000000000058 - 1.6653345369377348e-16im, 1.000000000000008 - 4.884981308350689e-15im, 0.9999999999999973 - 2.831068712794149e-15im
4.7, 1.0000000000000053 - 4.440892098500626e-16im, 1.000000000000008 - 5.245803791353865e-15im, 0.999999999999998 - 3.1086244689504383e-15im
4.8, 1.0000000000000056 - 4.440892098500626e-16im, 1.0000000000000087 - 4.9960036108132044e-15im, 0.9999999999999982 - 3.497202527569243e-15im
4.9, 1.0000000000000053 - 1.6653345369377348e-16im, 1.0000000000000093 - 4.9404924595819466e-15im, 0.9999999999999987 - 3.6637359812630166e-15im
5.0, 1.0000000000000056 - 3.3306690738754696e-16im, 1.0000000000000084 - 4.9404924595819466e-15im, 1.0 - 2.9976021664879227e-15im
5.1, 1.0000000000000033 + 1.6653345369377348e-16im, 1.0000000000000089 - 4.8155923693116165e-15im, 1.0 - 2.7200464103316335e-15im
5.2, 1.0000000000000036 + 1.6653345369377348e-16im, 1.0000000000000082 - 5.10702591327572e-15im, 1.0000000000000004 - 2.886579864025407e-15im
5.3, 1.0000000000000029 + 5.551115123125783e-17im, 1.0000000000000067 - 5.6066262743570405e-15im, 1.0 - 3.1086244689504383e-15im
5.4, 1.000000000000001 - 2.220446049250313e-16im, 1.000000000000005 - 4.884981308350689e-15im, 0.9999999999999987 - 2.886579864025407e-15im
5.5, 1.0000000000000022 - 1.1102230246251565e-16im, 1.0000000000000033 - 5.717648576819556e-15im, 0.9999999999999973 - 2.831068712794149e-15im
5.6, 0.9999999999999997 - 2.7755575615628914e-16im, 1.000000000000003 - 5.10702591327572e-15im, 0.9999999999999977 - 3.1086244689504383e-15im
5.7, 0.9999999999999986 - 4.996003610813204e-16im, 1.0000000000000029 - 5.051514762044462e-15im, 0.9999999999999982 - 3.3306690738754696e-15im
5.8, 0.9999999999999984 - 3.885780586188048e-16im, 1.000000000000003 - 5.10702591327572e-15im, 0.9999999999999993 - 2.7755575615628914e-15im
5.9, 0.9999999999999982 - 3.885780586188048e-16im, 1.000000000000005 - 5.6066262743570405e-15im, 0.999999999999997 - 3.0531133177191805e-15im
6.0, 0.9999999999999961 - 6.106226635438361e-16im, 1.000000000000005 - 5.717648576819556e-15im, 0.9999999999999979 - 3.497202527569243e-15im
6.1, 0.9999999999999978 - 4.996003610813204e-16im, 1.000000000000004 - 5.523359547510154e-15im, 0.9999999999999982 - 3.164135620181696e-15im
6.2, 0.9999999999999986 - 4.996003610813204e-16im, 1.0000000000000053 - 5.495603971894525e-15im, 0.9999999999999982 - 3.2751579226442118e-15im
6.3, 0.9999999999999977 - 6.106226635438361e-16im, 1.0000000000000067 - 5.6066262743570405e-15im, 0.9999999999999973 - 3.6637359812630166e-15im
6.4, 0.9999999999999992 - 4.996003610813204e-16im, 1.0000000000000089 - 5.523359547510154e-15im, 0.9999999999999966 - 3.885780586188048e-15im
6.5, 0.9999999999999982 - 4.0245584642661925e-16im, 1.00000000000001 - 6.2103100439969694e-15im, 0.9999999999999948 - 4.496403249731884e-15im
6.6, 0.9999999999999993 + 2.7755575615628914e-17im, 1.0000000000000087 - 6.432354648922001e-15im, 0.9999999999999941 - 4.6074255521944e-15im
6.7, 1.0000000000000007 - 1.6653345369377348e-16im, 1.0000000000000075 - 6.189493362285248e-15im, 0.9999999999999932 - 4.6074255521944e-15im
6.8, 1.0000000000000016 - 3.3306690738754696e-16im, 1.0000000000000084 - 6.356026815979021e-15im, 0.999999999999995 - 4.468647674116255e-15im
6.9, 1.0000000000000004 - 2.7755575615628914e-16im, 1.0000000000000075 - 6.286637876939949e-15im, 0.9999999999999953 - 3.941291737419306e-15im
7.0, 0.9999999999999986 - 5.551115123125783e-16im, 1.0000000000000075 - 6.231126725708691e-15im, 0.9999999999999963 - 4.052314039881821e-15im
7.1, 1.0000000000000013 - 3.885780586188048e-16im, 1.0000000000000084 - 6.189493362285248e-15im, 0.9999999999999987 - 4.385380947269368e-15im
7.2, 1.0000000000000002 - 6.661338147750939e-16im, 1.0000000000000087 - 6.0645932720149176e-15im, 0.9999999999999973 - 4.676814491233472e-15im
7.3, 1.0000000000000004 - 8.881784197001252e-16im, 1.0000000000000067 - 6.689093723366568e-15im, 0.9999999999999977 - 4.586608870482678e-15im
7.4, 1.0000000000000022 - 6.661338147750939e-16im, 1.0000000000000073 - 6.675215935558754e-15im, 0.9999999999999968 - 4.551914400963142e-15im
7.5, 1.000000000000002 - 8.881784197001252e-16im, 1.0000000000000069 - 6.5503158452884236e-15im, 0.9999999999999974 - 4.496403249731884e-15im
7.6, 1.000000000000004 - 9.71445146547012e-16im, 1.000000000000007 - 6.439293542825908e-15im, 0.9999999999999978 - 4.052314039881821e-15im
7.7, 1.0000000000000038 - 1.1934897514720433e-15im, 1.0000000000000044 - 6.439293542825908e-15im, 0.9999999999999978 - 4.773959005888173e-15im
7.8, 1.0000000000000044 - 6.661338147750939e-16im, 1.0000000000000036 - 6.772360450213455e-15im, 1.0000000000000004 - 4.440892098500626e-15im
7.9, 1.0000000000000049 - 1.1657341758564144e-15im, 1.0000000000000053 - 6.716849298982197e-15im, 1.0000000000000004 - 5.10702591327572e-15im
8.0, 1.0000000000000069 - 1.1657341758564144e-15im, 1.0000000000000053 - 6.467049118441537e-15im, 1.0000000000000009 - 4.791306240647941e-15im
