flowtime, dM2R1, dM2R2, dM2R3, dM2R4, dM2R5, dM2R6, dM2R7, dM2R8, dM2R9, dM2R10, dM2R11, dM2R12, dM2R13, dM2R14, dM(mass_num)R15
0.0, 1.0000000000000002 + 0.0im, 1.0000000000000002 - 3.469446951953614e-18im, 1.0 + 0.0im, 1.0 + 1.0842021724855044e-19im, 0.9999999999999999 + 6.938893903907228e-18im, 1.0000000000000002 + 0.0im, 1.0000000000000002 + 0.0im, 1.0 - 3.469446951953614e-18im, 1.0 + 0.0im, 0.9999999999999998 - 8.673617379884035e-19im, 0.9999999999999999 + 0.0im, 1.0000000000000002 + 1.734723475976807e-18im, 1.0000000000000002 + 0.0im, 1.0000000000000002 + 0.0im, 1.0000000000000002 + 4.336808689942018e-19im
0.1, 1.0000000000000009 + 0.0im, 1.0000000000000013 + 0.0im, 1.000000000000001 + 6.938893903907228e-18im, 1.0000000000000009 - 2.168404344971009e-19im, 1.0000000000000018 + 0.0im, 0.9999999999999994 + 6.938893903907228e-18im, 0.999999999999999 - 1.3877787807814457e-17im, 1.0 + 6.938893903907228e-18im, 1.0000000000000002 + 0.0im, 1.0000000000000002 - 3.469446951953614e-18im, 1.0000000000000016 - 1.3877787807814457e-17im, 0.9999999999999982 + 0.0im, 0.9999999999999998 + 1.3877787807814457e-17im, 0.9999999999999982 + 5.204170427930421e-18im, 1.000000000000001 + 0.0im
0.2, 1.0000000000000009 + 2.0816681711721685e-17im, 1.0000000000000009 - 3.469446951953614e-18im, 1.000000000000001 + 1.3877787807814457e-17im, 1.0000000000000009 - 4.336808689942018e-19im, 1.0000000000000013 - 1.3877787807814457e-17im, 1.0000000000000013 + 1.0408340855860843e-17im, 1.0000000000000013 + 0.0im, 0.9999999999999993 + 3.469446951953614e-18im, 1.0000000000000009 + 0.0im, 0.9999999999999996 - 1.5612511283791264e-17im, 1.0 - 2.7755575615628914e-17im, 0.9999999999999966 + 6.938893903907228e-18im, 1.0000000000000013 + 1.6479873021779667e-17im, 0.9999999999999983 + 8.673617379884035e-18im, 1.0000000000000009 + 0.0im
0.3, 1.000000000000002 + 2.7755575615628914e-17im, 0.9999999999999999 + 2.6020852139652106e-18im, 1.0000000000000029 + 2.0816681711721685e-17im, 1.000000000000002 + 0.0im, 0.9999999999999998 + 3.469446951953614e-17im, 1.000000000000002 + 1.3877787807814457e-17im, 1.0000000000000024 - 2.0816681711721685e-17im, 0.9999999999999992 - 3.469446951953614e-18im, 0.9999999999999986 - 2.168404344971009e-18im, 0.9999999999999992 - 1.5829351718288365e-17im, 0.9999999999999994 - 4.163336342344337e-17im, 0.9999999999999954 + 0.0im, 1.0000000000000002 + 1.734723475976807e-17im, 1.0000000000000013 + 5.204170427930421e-18im, 1.000000000000001 + 0.0im
0.4, 1.000000000000003 + 4.163336342344337e-17im, 1.0000000000000004 + 1.734723475976807e-18im, 1.0000000000000038 + 5.551115123125783e-17im, 1.000000000000001 - 1.734723475976807e-18im, 0.9999999999999999 + 5.551115123125783e-17im, 1.0000000000000013 - 6.938893903907228e-18im, 1.0000000000000036 + 6.938893903907228e-18im, 0.999999999999999 - 3.469446951953614e-18im, 0.999999999999999 + 0.0im, 0.9999999999999998 - 1.734723475976807e-17im, 0.9999999999999989 - 1.3877787807814457e-17im, 0.9999999999999952 - 2.7755575615628914e-17im, 1.0000000000000007 + 0.0im, 0.9999999999999988 + 1.214306433183765e-17im, 1.0000000000000007 + 0.0im
0.5, 1.0000000000000018 + 5.204170427930421e-17im, 0.9999999999999998 + 1.734723475976807e-17im, 1.0000000000000042 + 2.7755575615628914e-17im, 1.0000000000000033 - 2.168404344971009e-18im, 1.0000000000000016 + 2.7755575615628914e-17im, 1.0000000000000002 + 0.0im, 1.0000000000000042 + 6.938893903907228e-18im, 0.9999999999999988 - 1.734723475976807e-17im, 0.9999999999999984 + 1.734723475976807e-18im, 1.0000000000000002 - 1.734723475976807e-17im, 0.9999999999999987 - 1.3877787807814457e-17im, 0.9999999999999949 - 1.3877787807814457e-17im, 1.0000000000000009 + 1.3877787807814457e-17im, 0.9999999999999993 + 8.673617379884035e-18im, 0.9999999999999993 + 1.3877787807814457e-17im
0.6, 1.0000000000000047 + 5.898059818321144e-17im, 0.9999999999999999 + 6.938893903907228e-18im, 1.0000000000000073 + 3.469446951953614e-17im, 1.0000000000000033 - 3.469446951953614e-18im, 1.000000000000003 - 2.7755575615628914e-17im, 1.000000000000002 + 6.938893903907228e-18im, 1.0000000000000036 - 4.336808689942018e-18im, 0.9999999999999982 - 2.0816681711721685e-17im, 0.9999999999999994 + 1.734723475976807e-18im, 0.9999999999999998 - 1.3877787807814457e-17im, 0.9999999999999974 + 0.0im, 0.9999999999999963 + 1.3877787807814457e-17im, 1.0000000000000009 + 1.3877787807814457e-17im, 0.9999999999999994 + 1.0408340855860843e-17im, 1.0 + 1.0408340855860843e-17im
0.7, 1.000000000000004 + 4.5102810375396984e-17im, 0.9999999999999979 + 0.0im, 1.000000000000008 + 1.0408340855860843e-17im, 1.000000000000005 - 5.204170427930421e-18im, 1.0000000000000042 - 1.5265566588595902e-16im, 1.0000000000000009 - 6.938893903907228e-18im, 1.0000000000000047 - 2.656295322589486e-18im, 0.9999999999999987 - 2.42861286636753e-17im, 0.9999999999999998 + 5.204170427930421e-18im, 0.9999999999999973 - 3.469446951953614e-17im, 0.9999999999999968 + 2.7755575615628914e-17im, 0.9999999999999961 + 2.7755575615628914e-17im, 1.0000000000000002 + 0.0im, 0.999999999999997 + 2.0816681711721685e-17im, 1.0000000000000013 + 1.0408340855860843e-17im
0.8, 1.000000000000002 + 4.683753385137379e-17im, 0.9999999999999984 + 1.3877787807814457e-17im, 1.0000000000000078 + 1.734723475976807e-18im, 1.0000000000000062 + 8.673617379884035e-19im, 1.000000000000003 - 1.1102230246251565e-16im, 1.0000000000000004 + 6.938893903907228e-18im, 1.000000000000005 - 4.7704895589362195e-18im, 0.9999999999999992 - 1.734723475976807e-17im, 0.9999999999999976 + 6.938893903907228e-18im, 0.9999999999999971 - 3.469446951953614e-17im, 0.9999999999999976 + 3.469446951953614e-17im, 0.9999999999999968 + 5.551115123125783e-17im, 1.0000000000000007 - 4.163336342344337e-17im, 0.9999999999999939 + 1.3877787807814457e-17im, 1.0000000000000007 + 8.673617379884035e-18im
0.9, 1.0000000000000027 + 4.5102810375396984e-17im, 0.9999999999999968 + 4.163336342344337e-17im, 1.0000000000000073 + 6.071532165918825e-18im, 1.0000000000000044 + 8.673617379884035e-19im, 1.000000000000003 - 1.249000902703301e-16im, 1.0000000000000002 - 6.938893903907228e-18im, 1.0000000000000047 - 4.336808689942018e-18im, 0.9999999999999998 - 3.122502256758253e-17im, 0.9999999999999977 + 0.0im, 0.999999999999999 - 6.938893903907228e-17im, 0.9999999999999989 + 4.85722573273506e-17im, 0.9999999999999969 + 1.3877787807814457e-17im, 1.0000000000000004 + 1.3877787807814457e-17im, 0.9999999999999944 + 1.734723475976807e-17im, 1.0000000000000022 + 5.204170427930421e-18im
