flowtime, dM2R1, dM2R2, dM2R3, dM2R4, dM2R5, dM2R6, dM2R7, dM2R8, dM2R9, dM2R10, dM2R11, dM2R12, dM2R13, dM2R14, dM(mass_num)R15
17.9, 1.0000000000001525 - 2.0122792321330962e-16im, 0.9999999999999957 + 1.708702623837155e-16im, 1.0000000000000602 - 2.2551405187698492e-17im, 1.000000000000105 + 1.3877787807814457e-17im, 1.00000000000004 + 3.729655473350135e-17im, 1.0000000000000484 + 4.7271214720367993e-17im, 1.0000000000000604 + 1.8318679906315083e-15im, 1.0000000000000597 + 5.637851296924623e-18im, 1.0000000000000457 - 1.231653667943533e-16im, 1.0000000000000913 + 3.8163916471489756e-16im, 1.0000000000000548 + 8.673617379884035e-18im, 1.0000000000000195 + 4.5102810375396984e-17im, 1.0000000000000577 - 4.5102810375396984e-17im, 1.0000000000000424 + 5.238864897449957e-16im, 1.0000000000000495 + 4.489274620447792e-20im
18.0, 1.000000000000154 - 1.97758476261356e-16im, 0.9999999999999976 + 1.700029006457271e-16im, 1.000000000000061 - 2.2551405187698492e-17im, 1.0000000000001017 + 1.1102230246251565e-16im, 1.0000000000000395 + 3.642919299551295e-17im, 1.0000000000000488 + 4.7271214720367993e-17im, 1.0000000000000624 + 1.824929096727601e-15im, 1.0000000000000588 + 5.637851296924623e-18im, 1.0000000000000453 - 1.231653667943533e-16im, 1.0000000000000937 + 3.7470027081099033e-16im, 1.0000000000000548 + 8.673617379884035e-18im, 1.0000000000000198 + 4.5102810375396984e-17im, 1.0000000000000573 - 5.204170427930421e-17im, 1.0000000000000426 + 5.238864897449957e-16im, 1.0000000000000502 + 4.404571325722362e-20im
18.1, 1.0000000000001557 - 2.0122792321330962e-16im, 0.9999999999999999 + 1.700029006457271e-16im, 1.0000000000000624 - 2.2551405187698492e-17im, 1.0000000000000986 + 1.5265566588595902e-16im, 1.00000000000004 + 3.642919299551295e-17im, 1.0000000000000477 + 4.7271214720367993e-17im, 1.0000000000000648 + 1.824929096727601e-15im, 1.0000000000000595 + 5.637851296924623e-18im, 1.000000000000045 - 1.231653667943533e-16im, 1.000000000000095 + 3.677613769070831e-16im, 1.0000000000000553 + 8.673617379884035e-18im, 1.0000000000000202 + 4.5102810375396984e-17im, 1.0000000000000575 - 4.85722573273506e-17im, 1.000000000000043 + 5.238864897449957e-16im, 1.0000000000000515 + 4.489274620447792e-20im
18.2, 1.0000000000001557 - 1.942890293094024e-16im, 1.000000000000002 + 1.717376241217039e-16im, 1.0000000000000635 - 2.0816681711721685e-17im, 1.0000000000000966 + 8.326672684688674e-17im, 1.0000000000000395 + 3.642919299551295e-17im, 1.000000000000048 + 4.8138576458356397e-17im, 1.000000000000067 + 1.8318679906315083e-15im, 1.000000000000059 + 5.204170427930421e-18im, 1.0000000000000457 - 1.231653667943533e-16im, 1.0000000000000966 + 3.7470027081099033e-16im, 1.000000000000055 + 8.673617379884035e-18im, 1.00000000000002 + 4.5102810375396984e-17im, 1.000000000000058 - 4.85722573273506e-17im, 1.0000000000000426 + 5.238864897449957e-16im, 1.000000000000054 + 4.489274620447792e-20im
18.3, 1.0000000000001579 - 2.0469737016526324e-16im, 1.0000000000000038 + 1.708702623837155e-16im, 1.0000000000000648 - 2.0816681711721685e-17im, 1.000000000000097 + 8.326672684688674e-17im, 1.0000000000000397 + 3.729655473350135e-17im, 1.0000000000000482 + 4.7704895589362195e-17im, 1.000000000000069 + 1.8388068845354155e-15im, 1.0000000000000597 + 5.637851296924623e-18im, 1.000000000000045 - 1.231653667943533e-16im, 1.0000000000000984 + 3.7470027081099033e-16im, 1.0000000000000546 + 6.938893903907228e-18im, 1.0000000000000198 + 4.5102810375396984e-17im, 1.000000000000058 - 4.5102810375396984e-17im, 1.0000000000000435 + 5.238864897449957e-16im, 1.0000000000000562 + 4.489274620447792e-20im
18.4, 1.0000000000001594 - 2.0122792321330962e-16im, 1.0000000000000053 + 1.717376241217039e-16im, 1.0000000000000664 - 2.6020852139652106e-17im, 1.0000000000000981 + 2.7755575615628914e-17im, 1.0000000000000393 + 3.5561831257524545e-17im, 1.0000000000000477 + 4.7704895589362195e-17im, 1.000000000000071 + 1.8318679906315083e-15im, 1.0000000000000595 + 6.071532165918825e-18im, 1.0000000000000457 - 1.231653667943533e-16im, 1.0000000000001 + 3.7470027081099033e-16im, 1.0000000000000546 + 6.938893903907228e-18im, 1.0000000000000202 + 4.5102810375396984e-17im, 1.0000000000000577 - 4.5102810375396984e-17im, 1.000000000000044 + 5.238864897449957e-16im, 1.0000000000000584 + 4.489274620447792e-20im
18.5, 1.0000000000001614 - 2.0122792321330962e-16im, 1.0000000000000075 + 1.708702623837155e-16im, 1.0000000000000668 - 2.2551405187698492e-17im, 1.0000000000001021 + 1.249000902703301e-16im, 1.000000000000039 + 3.642919299551295e-17im, 1.0000000000000475 + 4.7271214720367993e-17im, 1.0000000000000726 + 1.8318679906315083e-15im, 1.000000000000059 + 5.637851296924623e-18im, 1.000000000000046 - 1.231653667943533e-16im, 1.0000000000001017 + 3.7470027081099033e-16im, 1.0000000000000548 + 8.673617379884035e-18im, 1.0000000000000207 + 4.163336342344337e-17im, 1.0000000000000573 - 4.5102810375396984e-17im, 1.0000000000000435 + 5.273559366969494e-16im, 1.0000000000000602 + 4.573977915173222e-20im
18.6, 1.0000000000001632 - 2.0122792321330962e-16im, 1.0000000000000095 + 1.700029006457271e-16im, 1.0000000000000673 - 2.2551405187698492e-17im, 1.0000000000001046 + 2.636779683484747e-16im, 1.0000000000000389 + 3.642919299551295e-17im, 1.0000000000000469 + 4.7271214720367993e-17im, 1.0000000000000744 + 1.8318679906315083e-15im, 1.0000000000000595 + 5.204170427930421e-18im, 1.000000000000046 - 1.231653667943533e-16im, 1.0000000000001033 + 3.7470027081099033e-16im, 1.0000000000000544 + 8.673617379884035e-18im, 1.0000000000000204 + 4.5102810375396984e-17im, 1.0000000000000575 - 4.163336342344337e-17im, 1.0000000000000442 + 5.238864897449957e-16im, 1.0000000000000622 + 4.573977915173222e-20im
18.7, 1.000000000000165 - 1.97758476261356e-16im, 1.0000000000000104 + 1.708702623837155e-16im, 1.0000000000000675 - 2.2551405187698492e-17im, 1.0000000000001046 + 4.163336342344337e-16im, 1.0000000000000389 + 3.642919299551295e-17im, 1.000000000000047 + 4.7704895589362195e-17im, 1.0000000000000757 + 1.8388068845354155e-15im, 1.0000000000000595 + 5.637851296924623e-18im, 1.000000000000047 - 1.231653667943533e-16im, 1.0000000000001041 + 3.7470027081099033e-16im, 1.0000000000000542 + 1.0408340855860843e-17im, 1.0000000000000209 + 4.5102810375396984e-17im, 1.0000000000000575 - 4.85722573273506e-17im, 1.000000000000045 + 5.238864897449957e-16im, 1.0000000000000637 + 4.573977915173222e-20im
18.8, 1.000000000000166 - 2.0122792321330962e-16im, 1.000000000000011 + 1.708702623837155e-16im, 1.0000000000000686 - 2.42861286636753e-17im, 1.0000000000001026 + 4.0245584642661925e-16im, 1.0000000000000402 + 3.729655473350135e-17im, 1.000000000000047 + 4.7271214720367993e-17im, 1.0000000000000777 + 1.8318679906315083e-15im, 1.000000000000059 + 5.637851296924623e-18im, 1.000000000000047 - 1.231653667943533e-16im, 1.0000000000001052 + 3.7470027081099033e-16im, 1.0000000000000548 + 1.214306433183765e-17im, 1.0000000000000209 + 4.5102810375396984e-17im, 1.0000000000000582 - 4.5102810375396984e-17im, 1.0000000000000457 + 5.238864897449957e-16im, 1.0000000000000653 + 4.658681209898652e-20im
