flowtime, dM2R1, dM2R2, dM2R3, dM2R4, dM2R5, dM2R6, dM2R7, dM2R8, dM2R9, dM2R10, dM2R11, dM2R12, dM2R13, dM2R14, dM(mass_num)R15
0.0, 1.0 + 4.336808689942018e-19im, 1.0000000000000002 + 0.0im, 0.9999999999999999 + 0.0im, 1.0 - 1.734723475976807e-18im, 1.0000000000000002 - 1.734723475976807e-18im, 1.0 - 6.938893903907228e-18im, 1.0 - 1.734723475976807e-18im, 1.0 + 0.0im, 1.0 + 0.0im, 1.0000000000000002 + 1.0842021724855044e-19im, 1.0 + 6.938893903907228e-18im, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 1.0842021724855044e-19im, 1.0 - 2.168404344971009e-19im
0.1, 1.0000000000000013 + 8.673617379884035e-19im, 1.0000000000000004 - 1.734723475976807e-18im, 0.9999999999999996 - 1.0408340855860843e-17im, 1.0000000000000009 - 3.469446951953614e-18im, 0.9999999999999993 + 1.0408340855860843e-17im, 1.0000000000000022 - 1.3877787807814457e-17im, 1.0000000000000016 - 3.469446951953614e-18im, 0.9999999999999987 - 1.214306433183765e-17im, 1.0000000000000007 - 3.0357660829594124e-18im, 1.0000000000000022 + 0.0im, 0.9999999999999979 - 2.0816681711721685e-17im, 1.0000000000000013 + 0.0im, 0.9999999999999992 + 0.0im, 0.9999999999999997 + 6.776263578034403e-20im, 0.9999999999999993 - 1.734723475976807e-18im
0.2, 1.0000000000000022 + 4.336808689942018e-18im, 1.0000000000000004 + 1.734723475976807e-18im, 0.9999999999999972 - 3.469446951953614e-18im, 1.0000000000000013 - 1.734723475976807e-18im, 0.9999999999999981 + 1.1275702593849246e-17im, 1.0000000000000018 - 1.2468324983583301e-17im, 1.0000000000000013 - 2.7755575615628914e-17im, 0.9999999999999978 - 8.673617379884035e-18im, 0.9999999999999992 + 6.938893903907228e-18im, 1.0000000000000029 - 8.673617379884035e-19im, 0.9999999999999964 - 2.7755575615628914e-17im, 1.0000000000000024 + 1.734723475976807e-18im, 0.9999999999999998 - 4.336808689942018e-19im, 0.999999999999998 + 5.421010862427522e-20im, 0.999999999999998 - 3.469446951953614e-18im
0.3, 1.0000000000000027 + 4.336808689942018e-18im, 1.0000000000000004 + 3.469446951953614e-18im, 0.9999999999999957 - 3.469446951953614e-18im, 1.000000000000001 - 4.336808689942018e-18im, 0.9999999999999983 + 9.540979117872439e-18im, 1.0000000000000002 - 8.673617379884035e-18im, 1.0000000000000002 - 3.469446951953614e-17im, 0.9999999999999976 - 5.204170427930421e-18im, 0.9999999999999993 - 6.938893903907228e-18im, 1.000000000000003 - 4.336808689942018e-18im, 0.9999999999999952 - 4.5102810375396984e-17im, 1.0000000000000018 + 2.6020852139652106e-18im, 1.0000000000000004 - 2.168404344971009e-19im, 0.9999999999999957 + 1.3552527156068805e-20im, 0.9999999999999974 - 6.938893903907228e-18im
0.4, 1.0000000000000029 + 6.071532165918825e-18im, 0.9999999999999989 + 1.214306433183765e-17im, 0.9999999999999972 + 0.0im, 1.0000000000000004 - 6.003769530138481e-18im, 0.9999999999999986 + 7.806255641895632e-18im, 1.000000000000003 - 1.3877787807814457e-17im, 1.000000000000002 - 2.0816681711721685e-17im, 0.9999999999999949 - 5.204170427930421e-18im, 0.9999999999999996 - 6.938893903907228e-18im, 1.0000000000000042 - 3.469446951953614e-18im, 0.9999999999999947 - 4.163336342344337e-17im, 0.9999999999999996 + 2.6020852139652106e-18im, 1.0000000000000016 - 7.589415207398531e-19im, 0.9999999999999942 + 2.710505431213761e-20im, 0.9999999999999977 - 3.469446951953614e-18im
0.5, 1.0000000000000013 + 6.938893903907228e-18im, 0.999999999999999 + 1.3877787807814457e-17im, 0.999999999999996 + 6.938893903907228e-18im, 0.9999999999999984 - 5.854691731421724e-18im, 0.9999999999999986 + 1.214306433183765e-17im, 1.0000000000000033 - 2.7755575615628914e-17im, 1.0000000000000022 - 1.3877787807814457e-17im, 0.9999999999999961 - 8.673617379884035e-18im, 1.0 - 6.938893903907228e-18im, 1.0000000000000044 - 4.336808689942018e-18im, 0.9999999999999954 - 4.85722573273506e-17im, 1.0000000000000007 + 0.0im, 1.0000000000000009 - 7.589415207398531e-19im, 0.9999999999999936 + 2.710505431213761e-20im, 0.999999999999999 + 0.0im
0.6, 1.0000000000000009 + 7.806255641895632e-18im, 1.0000000000000018 + 1.9081958235744878e-17im, 0.9999999999999971 + 2.0816681711721685e-17im, 0.9999999999999981 - 6.5052130349130266e-18im, 0.9999999999999999 + 1.5612511283791264e-17im, 1.0000000000000016 - 2.42861286636753e-17im, 1.000000000000005 + 6.938893903907228e-18im, 0.9999999999999939 - 6.938893903907228e-18im, 0.9999999999999974 - 1.3877787807814457e-17im, 1.0000000000000038 - 4.336808689942018e-18im, 0.9999999999999981 - 4.5102810375396984e-17im, 1.000000000000001 + 0.0im, 1.000000000000001 - 8.131516293641283e-19im, 0.9999999999999912 + 3.049318610115481e-20im, 0.9999999999999978 - 8.673617379884035e-18im
0.7, 1.0000000000000002 + 1.0408340855860843e-17im, 1.000000000000003 + 1.9081958235744878e-17im, 0.9999999999999982 + 1.3877787807814457e-17im, 0.9999999999999987 - 6.071532165918825e-18im, 1.0 + 2.0816681711721685e-17im, 1.000000000000002 - 3.8163916471489756e-17im, 1.0000000000000042 + 6.938893903907228e-18im, 0.9999999999999926 - 1.214306433183765e-17im, 0.9999999999999987 - 1.3877787807814457e-17im, 1.000000000000003 + 1.734723475976807e-18im, 0.9999999999999966 - 3.8163916471489756e-17im, 1.0000000000000029 + 4.336808689942018e-18im, 1.0000000000000029 - 9.75781955236954e-19im, 0.9999999999999919 + 2.879912020664621e-20im, 0.9999999999999994 - 5.204170427930421e-18im
0.8, 0.9999999999999986 + 8.673617379884035e-18im, 1.000000000000002 + 2.0816681711721685e-17im, 0.9999999999999967 + 6.938893903907228e-18im, 0.999999999999999 - 6.071532165918825e-18im, 0.9999999999999986 + 2.7755575615628914e-17im, 1.000000000000002 - 1.734723475976807e-17im, 1.0000000000000053 + 0.0im, 0.9999999999999944 - 1.0408340855860843e-17im, 0.9999999999999996 + 6.938893903907228e-18im, 1.0000000000000033 + 5.204170427930421e-18im, 0.9999999999999973 - 4.5102810375396984e-17im, 1.0000000000000013 + 5.204170427930421e-18im, 1.0000000000000029 - 1.4094628242311558e-18im, 0.9999999999999922 + 3.049318610115481e-20im, 0.999999999999999 - 1.734723475976807e-18im
0.9, 1.0000000000000016 + 6.938893903907228e-18im, 1.0000000000000024 + 2.42861286636753e-17im, 1.0000000000000007 + 1.3877787807814457e-17im, 0.9999999999999967 - 2.6020852139652106e-18im, 0.9999999999999996 + 2.7755575615628914e-17im, 0.9999999999999999 - 6.938893903907228e-18im, 1.0000000000000044 - 6.938893903907228e-18im, 0.9999999999999948 - 1.214306433183765e-17im, 0.9999999999999999 - 6.938893903907228e-18im, 1.0000000000000016 + 4.336808689942018e-18im, 0.9999999999999983 - 4.5102810375396984e-17im, 1.0000000000000016 + 1.734723475976807e-18im, 1.0000000000000022 - 1.5178830414797062e-18im, 0.9999999999999912 + 2.371692252312041e-20im, 0.9999999999999977 + 5.204170427930421e-18im
