flowtime, dM3R1, dM3R2, dM3R3, dM3R4, dM3R5, dM3R6, dM3R7, dM3R8, dM3R9, dM3R10, dM3R11, dM3R12, dM3R13, dM3R14, dM(mass_num)R15
0.0, 1.0000000000000002 + 1.3877787807814457e-17im, 1.0000000000000002 + 1.3877787807814457e-17im, 1.0 - 1.734723475976807e-18im, 1.0000000000000002 - 1.734723475976807e-18im, 1.0000000000000002 + 0.0im, 0.9999999999999999 - 4.336808689942018e-19im, 1.0000000000000002 - 1.734723475976807e-18im, 1.0 - 6.938893903907228e-18im, 0.9999999999999999 + 0.0im, 0.9999999999999997 + 3.469446951953614e-18im, 0.9999999999999999 + 1.3877787807814457e-17im, 1.0000000000000002 + 0.0im, 1.0 + 8.673617379884035e-19im, 1.0000000000000002 + 0.0im, 1.0 + 0.0im
0.1, 1.0 + 1.3877787807814457e-17im, 0.9999999999999997 + 2.0816681711721685e-17im, 0.9999999999999987 - 2.6020852139652106e-18im, 1.0000000000000002 + 4.336808689942018e-19im, 0.9999999999999969 + 0.0im, 0.9999999999999991 + 0.0im, 0.999999999999997 - 3.469446951953614e-18im, 0.9999999999999991 - 1.3877787807814457e-17im, 0.9999999999999988 + 1.3877787807814457e-17im, 0.9999999999999983 - 1.0408340855860843e-17im, 0.999999999999999 + 0.0im, 1.0000000000000009 + 6.938893903907228e-17im, 1.0000000000000004 - 8.673617379884035e-19im, 1.0000000000000002 - 4.163336342344337e-17im, 0.999999999999999 - 1.3877787807814457e-17im
0.2, 1.0000000000000013 + 1.3877787807814457e-17im, 1.0000000000000009 + 6.938893903907228e-18im, 0.9999999999999983 - 1.734723475976807e-18im, 0.999999999999999 + 1.734723475976807e-18im, 0.9999999999999971 + 2.7755575615628914e-17im, 0.9999999999999996 + 1.0842021724855044e-19im, 0.9999999999999972 + 0.0im, 0.9999999999999984 + 0.0im, 0.9999999999999986 + 1.3877787807814457e-17im, 0.9999999999999972 + 0.0im, 0.9999999999999992 - 2.7755575615628914e-17im, 0.9999999999999994 + 1.249000902703301e-16im, 1.0000000000000009 - 8.673617379884035e-19im, 1.0000000000000002 - 6.938893903907228e-17im, 0.999999999999999 + 3.469446951953614e-17im
0.3, 1.0000000000000016 + 6.938893903907228e-18im, 0.9999999999999993 - 1.0408340855860843e-17im, 0.9999999999999998 - 2.3852447794681098e-18im, 1.0000000000000002 + 5.204170427930421e-18im, 0.9999999999999982 + 4.163336342344337e-17im, 0.9999999999999994 + 1.3552527156068805e-19im, 0.9999999999999971 - 3.469446951953614e-18im, 0.9999999999999981 - 2.7755575615628914e-17im, 0.9999999999999969 - 2.7755575615628914e-17im, 0.9999999999999974 - 1.734723475976807e-18im, 0.9999999999999998 - 4.163336342344337e-17im, 0.9999999999999982 + 1.5265566588595902e-16im, 0.9999999999999993 + 1.734723475976807e-18im, 0.9999999999999986 - 1.249000902703301e-16im, 0.999999999999997 + 4.163336342344337e-17im
0.4, 1.000000000000002 + 1.3877787807814457e-17im, 0.9999999999999997 - 1.734723475976807e-17im, 0.9999999999999997 - 2.6020852139652106e-18im, 0.9999999999999998 + 1.3877787807814457e-17im, 0.9999999999999982 + 5.551115123125783e-17im, 0.9999999999999987 + 1.0842021724855044e-19im, 0.9999999999999967 - 1.0408340855860843e-17im, 0.9999999999999987 + 2.7755575615628914e-17im, 0.9999999999999988 - 4.163336342344337e-17im, 0.9999999999999978 + 1.734723475976807e-18im, 1.0000000000000007 - 2.42861286636753e-17im, 0.9999999999999972 + 1.3877787807814457e-16im, 0.9999999999999976 + 8.673617379884035e-19im, 0.9999999999999976 - 8.326672684688674e-17im, 0.9999999999999956 + 4.85722573273506e-17im
0.5, 1.000000000000002 + 2.0816681711721685e-17im, 1.000000000000002 + 6.938893903907228e-18im, 0.9999999999999999 + 3.469446951953614e-18im, 0.9999999999999979 + 0.0im, 0.9999999999999967 + 4.163336342344337e-17im, 0.9999999999999973 + 8.131516293641283e-20im, 0.9999999999999958 - 1.734723475976807e-18im, 0.9999999999999993 + 4.163336342344337e-17im, 0.9999999999999989 - 3.469446951953614e-17im, 0.9999999999999963 - 2.6020852139652106e-18im, 1.0 - 1.0408340855860843e-17im, 0.9999999999999972 + 1.3183898417423734e-16im, 0.9999999999999963 + 0.0im, 0.9999999999999971 - 9.71445146547012e-17im, 0.999999999999996 + 5.204170427930421e-17im
0.6, 0.9999999999999983 + 0.0im, 1.0000000000000024 + 6.938893903907228e-18im, 0.9999999999999997 + 4.336808689942018e-18im, 0.9999999999999962 - 1.3877787807814457e-17im, 0.9999999999999966 + 2.7755575615628914e-17im, 0.9999999999999994 - 2.168404344971009e-19im, 0.9999999999999958 - 3.469446951953614e-18im, 0.9999999999999996 + 1.3877787807814457e-17im, 1.0 - 4.163336342344337e-17im, 0.9999999999999972 - 1.734723475976807e-18im, 0.9999999999999977 - 8.673617379884035e-18im, 0.9999999999999982 + 1.3183898417423734e-16im, 0.9999999999999942 + 0.0im, 0.9999999999999967 - 4.163336342344337e-17im, 0.9999999999999938 + 4.5102810375396984e-17im
0.7, 0.999999999999998 + 2.7755575615628914e-17im, 1.0000000000000022 + 0.0im, 0.9999999999999996 + 6.071532165918825e-18im, 0.9999999999999974 + 6.938893903907228e-18im, 0.9999999999999982 + 3.469446951953614e-17im, 1.0000000000000004 - 4.336808689942018e-19im, 0.9999999999999953 + 0.0im, 1.0000000000000022 + 0.0im, 1.0000000000000004 - 2.7755575615628914e-17im, 0.9999999999999976 - 3.469446951953614e-18im, 0.9999999999999971 - 8.673617379884035e-18im, 0.9999999999999968 + 1.457167719820518e-16im, 0.9999999999999934 - 6.938893903907228e-18im, 0.9999999999999971 - 5.551115123125783e-17im, 0.9999999999999951 + 4.85722573273506e-17im
0.8, 0.9999999999999978 + 1.3877787807814457e-17im, 1.0000000000000007 + 6.938893903907228e-18im, 0.9999999999999998 + 3.903127820947816e-18im, 0.9999999999999962 + 6.938893903907228e-18im, 0.9999999999999974 + 1.3877787807814457e-17im, 1.0000000000000009 - 1.734723475976807e-18im, 0.9999999999999971 + 6.938893903907228e-18im, 1.0000000000000027 + 2.7755575615628914e-17im, 1.000000000000001 - 1.3877787807814457e-17im, 0.9999999999999979 + 1.0408340855860843e-17im, 0.9999999999999976 - 2.42861286636753e-17im, 0.9999999999999949 + 1.5265566588595902e-16im, 0.9999999999999937 - 2.42861286636753e-17im, 0.9999999999999967 - 5.551115123125783e-17im, 0.9999999999999958 + 5.204170427930421e-17im
0.9, 0.9999999999999986 + 4.163336342344337e-17im, 0.9999999999999988 + 6.938893903907228e-18im, 1.0000000000000002 + 4.119968255444917e-18im, 0.999999999999997 + 4.85722573273506e-17im, 0.9999999999999968 + 1.0408340855860843e-17im, 1.0000000000000004 - 2.6020852139652106e-18im, 0.9999999999999978 + 6.071532165918825e-18im, 1.000000000000002 - 2.7755575615628914e-17im, 1.000000000000002 + 0.0im, 0.9999999999999977 + 2.0816681711721685e-17im, 0.9999999999999981 - 3.122502256758253e-17im, 0.999999999999996 + 1.8041124150158794e-16im, 0.9999999999999927 - 1.0408340855860843e-17im, 0.9999999999999974 - 1.3877787807814457e-16im, 0.9999999999999951 + 5.377642775528102e-17im
