flowtime, dM1R1, dM1R2, dM1R3, dM1R4, dM1R5, dM1R6, dM1R7, dM1R8, dM1R9, dM1R10, dM1R11, dM1R12, dM1R13, dM1R14, dM1R15, dM1R16, dM1R17, dM1R18, dM1R19, dM(mass_num)R20
24.6, 1.0000000000001563 + 4.2500725161431774e-17im, 1.000000000000023 - 1.5612511283791264e-17im, 1.000000000000009 + 3.0357660829594124e-18im, 1.0000000000000564 + 2.6020852139652106e-18im, 1.0000000000000004 + 1.1587410718438829e-17im, 0.999999999999943 - 1.769960046582586e-17im, 1.0000000000001004 - 4.119968255444917e-18im, 1.0000000000000724 - 3.0357660829594124e-17im, 0.999999999999973 - 1.4203048459560108e-17im, 1.0000000000006455 + 1.146543797403421e-17im, 0.9999999999999688 + 6.071532165918825e-18im, 0.9999999999999539 + 1.1709383462843448e-17im, 1.0000000000000195 - 1.8648277366750676e-17im, 1.0000000000000389 + 1.1140177322288558e-17im, 1.0000000000000382 + 9.540979117872439e-18im, 0.9999999999999458 + 4.119968255444917e-18im, 0.9999999999997745 - 4.662069341687669e-18im, 0.9999999999999825 - 1.2295530262343424e-17im, 1.0000000000000309 + 3.686287386450715e-18im, 0.9999999999998446 + 4.0549161250957866e-17im
24.7, 1.0000000000001543 + 4.2934406030425976e-17im, 1.0000000000000242 - 1.474514954580286e-17im, 1.000000000000011 + 1.734723475976807e-18im, 1.0000000000000595 + 2.6020852139652106e-18im, 0.999999999999995 + 1.1587410718438829e-17im, 0.9999999999999412 - 1.7780915628762273e-17im, 1.0000000000001013 - 4.336808689942018e-18im, 1.0000000000000695 - 2.7321894746634712e-17im, 0.9999999999999706 - 1.3660947373317356e-17im, 1.0000000000006475 + 1.1438332919722072e-17im, 0.9999999999999686 + 5.637851296924623e-18im, 0.9999999999999557 + 1.0842021724855044e-17im, 1.000000000000018 - 1.8919327909872052e-17im, 1.0000000000000402 + 1.112662479513249e-17im, 1.0000000000000362 + 1.1275702593849246e-17im, 0.9999999999999409 + 5.204170427930421e-18im, 0.9999999999997755 - 4.363913744254155e-18im, 0.9999999999999867 - 1.2285365866976372e-17im, 1.000000000000033 + 3.577867169202165e-18im, 0.9999999999998458 + 4.185020385794047e-17im
24.8, 1.0000000000001574 + 4.2500725161431774e-17im, 1.0000000000000235 - 1.431146867680866e-17im, 1.0000000000000122 - 4.336808689942018e-19im, 1.0000000000000568 - 5.204170427930421e-18im, 0.9999999999999951 + 1.157385819128276e-17im, 0.9999999999999403 - 1.7726705520137997e-17im, 1.0000000000001006 - 4.9873299934333204e-18im, 1.00000000000007 - 2.6020852139652106e-17im, 0.9999999999999736 - 1.3335686721571705e-17im, 1.00000000000065 + 1.146543797403421e-17im, 0.9999999999999687 + 4.336808689942018e-18im, 0.9999999999999539 + 7.806255641895632e-18im, 1.0000000000000158 - 1.8919327909872052e-17im, 1.0000000000000404 + 1.1153729849444627e-17im, 1.0000000000000344 + 9.540979117872439e-18im, 0.9999999999999412 + 4.553649124439119e-18im, 0.9999999999997768 - 4.119968255444917e-18im, 0.9999999999999915 - 1.228875399876539e-17im, 1.0000000000000349 + 3.686287386450715e-18im, 0.9999999999998498 + 4.141652298894627e-17im
24.9, 1.00000000000016 + 4.2500725161431774e-17im, 1.0000000000000209 - 1.5829351718288365e-17im, 1.0000000000000122 - 4.336808689942018e-19im, 1.0000000000000568 - 9.540979117872439e-18im, 0.999999999999994 + 1.1641620827063104e-17im, 0.9999999999999402 - 1.769960046582586e-17im, 1.0000000000001028 - 4.7704895589362195e-18im, 1.0000000000000675 - 2.7755575615628914e-17im, 0.9999999999999729 - 1.3335686721571705e-17im, 1.0000000000006526 + 1.146543797403421e-17im, 0.9999999999999668 + 7.37257477290143e-18im, 0.9999999999999519 + 5.637851296924623e-18im, 1.0000000000000142 - 1.870248747537495e-17im, 1.0000000000000409 + 1.1194387430912833e-17im, 1.0000000000000346 + 9.974659986866641e-18im, 0.999999999999942 + 4.336808689942018e-18im, 0.9999999999997787 - 3.957337929572091e-18im, 0.999999999999997 - 1.2295530262343424e-17im, 1.0000000000000377 + 3.577867169202165e-18im, 0.9999999999998531 + 4.098284211995207e-17im
25.0, 1.0000000000001639 + 3.946495907847236e-17im, 1.0000000000000175 - 1.5178830414797062e-17im, 1.0000000000000093 - 4.336808689942018e-19im, 1.0000000000000575 - 1.3010426069826053e-17im, 0.9999999999999911 + 1.1628068299907035e-17im, 0.9999999999999418 - 1.7753810574450135e-17im, 1.0000000000001037 - 4.336808689942018e-18im, 1.0000000000000704 - 2.7755575615628914e-17im, 0.9999999999999747 - 1.3660947373317356e-17im, 1.0000000000006548 + 1.146543797403421e-17im, 0.999999999999967 + 6.938893903907228e-18im, 0.9999999999999507 + 5.204170427930421e-18im, 1.0000000000000138 - 1.8756697583999227e-17im, 1.0000000000000457 + 1.1180834903756764e-17im, 1.0000000000000333 + 9.974659986866641e-18im, 0.9999999999999422 + 3.903127820947816e-18im, 0.9999999999997787 - 3.63207727782644e-18im, 1.0 - 1.2295530262343424e-17im, 1.0000000000000395 + 3.577867169202165e-18im, 0.9999999999998576 + 4.141652298894627e-17im
25.1, 1.000000000000166 + 3.5561831257524545e-17im, 1.000000000000017 - 1.5829351718288365e-17im, 1.0000000000000053 - 6.505213034913027e-19im, 1.000000000000058 - 1.3877787807814457e-17im, 0.9999999999999925 + 1.1628068299907035e-17im, 0.9999999999999449 - 1.7835125737386548e-17im, 1.0000000000001055 - 4.7704895589362195e-18im, 1.0000000000000686 - 2.5587171270657905e-17im, 0.999999999999981 - 1.3552527156068805e-17im, 1.0000000000006564 + 1.1438332919722072e-17im, 0.999999999999966 + 6.071532165918825e-18im, 0.9999999999999535 + 4.7704895589362195e-18im, 1.0000000000000138 - 1.8648277366750676e-17im, 1.000000000000052 + 1.1194387430912833e-17im, 1.000000000000031 + 1.1275702593849246e-17im, 0.9999999999999445 + 4.119968255444917e-18im, 0.9999999999997792 - 3.6591823321385775e-18im, 1.000000000000004 - 1.2332799712022613e-17im, 1.0000000000000413 + 3.577867169202165e-18im, 0.9999999999998607 + 4.141652298894627e-17im
25.2, 1.000000000000166 + 3.382710778154774e-17im, 1.000000000000017 - 1.6479873021779667e-17im, 1.0000000000000024 - 2.168404344971009e-19im, 1.0000000000000588 - 1.214306433183765e-17im, 0.9999999999999907 + 1.1546753136970622e-17im, 0.9999999999999462 - 1.7997756063259374e-17im, 1.0000000000001097 - 4.336808689942018e-18im, 1.0000000000000693 - 2.5153490401663703e-17im, 0.9999999999999845 - 1.3660947373317356e-17im, 1.0000000000006588 + 1.1438332919722072e-17im, 0.9999999999999657 + 4.336808689942018e-18im, 0.999999999999955 + 6.938893903907228e-18im, 1.00000000000001 - 1.8973538018496328e-17im, 1.0000000000000573 + 1.1207939958068902e-17im, 1.0000000000000275 + 1.1709383462843448e-17im, 0.9999999999999476 + 4.119968255444917e-18im, 0.9999999999997807 - 3.9302328752599536e-18im, 1.000000000000008 - 1.2353128502756716e-17im, 1.000000000000044 + 3.686287386450715e-18im, 0.9999999999998643 + 4.119968255444917e-17im
25.3, 1.0000000000001652 + 3.426078865054194e-17im, 1.0000000000000158 - 1.713039432527097e-17im, 1.0000000000000009 + 2.168404344971009e-19im, 1.0000000000000597 - 1.5612511283791264e-17im, 0.9999999999999901 + 1.1587410718438829e-17im, 0.9999999999999424 - 1.8079071226195786e-17im, 1.0000000000001135 - 5.204170427930421e-18im, 1.0000000000000695 - 2.688821387764051e-17im, 0.9999999999999825 - 1.3769367590565906e-17im, 1.00000000000066 + 1.1411227865409934e-17im, 0.9999999999999672 + 5.637851296924623e-18im, 0.9999999999999567 + 3.469446951953614e-18im, 1.000000000000009 - 1.8756697583999227e-17im, 1.00000000000006 + 1.1221492485224971e-17im, 1.0000000000000229 + 1.1709383462843448e-17im, 0.9999999999999425 + 4.553649124439119e-18im, 0.9999999999997822 - 4.174178364069192e-18im, 1.0000000000000104 - 1.2414114874959026e-17im, 1.0000000000000462 + 3.577867169202165e-18im, 0.9999999999998694 + 4.0549161250957866e-17im
25.4, 1.0000000000001636 + 3.642919299551295e-17im, 1.0000000000000135 - 1.6696713456276768e-17im, 0.9999999999999976 + 4.336808689942018e-19im, 1.000000000000064 - 1.9949319973733282e-17im, 0.9999999999999906 + 1.1492543028346347e-17im, 0.9999999999999419 - 1.7943545954635098e-17im, 1.0000000000001161 - 5.637851296924623e-18im, 1.0000000000000713 - 2.6020852139652106e-17im, 0.9999999999999819 - 1.3660947373317356e-17im, 1.0000000000006621 + 1.1438332919722072e-17im, 0.9999999999999655 + 7.37257477290143e-18im, 0.9999999999999541 + 5.204170427930421e-18im, 1.0000000000000082 - 1.8648277366750676e-17im, 1.000000000000062 + 1.1248597539537109e-17im, 1.0000000000000198 + 1.0408340855860843e-17im, 0.9999999999999434 + 4.9873299934333204e-18im, 0.9999999999997825 - 4.4994390158148434e-18im, 1.0000000000000098 - 1.2414114874959026e-17im, 1.0000000000000486 + 3.577867169202165e-18im, 0.9999999999998717 + 4.0766001685454967e-17im
25.5, 1.0000000000001645 + 3.903127820947816e-17im, 1.0000000000000144 - 1.6696713456276768e-17im, 0.9999999999999947 - 6.505213034913027e-19im, 1.0000000000000684 - 2.2551405187698492e-17im, 0.9999999999999939 + 1.1506095555502416e-17im, 0.9999999999999453 - 1.8106176280507924e-17im, 1.0000000000001166 - 6.7220534694101275e-18im, 1.0000000000000737 - 2.6020852139652106e-17im, 0.9999999999999809 - 1.3335686721571705e-17im, 1.0000000000006641 + 1.1411227865409934e-17im, 0.999999999999964 + 9.107298248878237e-18im, 0.9999999999999479 + 7.37257477290143e-18im, 1.0000000000000084 - 1.870248747537495e-17im, 1.0000000000000637 + 1.1302807648161384e-17im, 1.000000000000018 + 1.1709383462843448e-17im, 0.9999999999999433 + 4.336808689942018e-18im, 0.9999999999997835 - 4.716279450311944e-18im, 1.0000000000000062 - 1.2414114874959026e-17im, 1.000000000000052 + 3.686287386450715e-18im, 0.9999999999998749 + 4.119968255444917e-17im
