flowtime, dM2R1, dM2R2, dM2R3, dM2R4, dM2R5, dM2R6, dM2R7, dM2R8, dM2R9, dM2R10, dM2R11, dM2R12, dM2R13, dM2R14, dM2R15, dM2R16, dM2R17, dM2R18, dM2R19, dM(mass_num)R20
0.0, 1.0 + 0.0im, 0.9999999999999998 - 1.734723475976807e-18im, 1.0 - 1.734723475976807e-18im, 0.9999999999999998 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im, 1.0000000000000004 + 0.0im, 1.0000000000000002 - 1.0842021724855044e-19im, 1.0 + 0.0im, 0.9999999999999998 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im, 0.9999999999999999 + 0.0im, 1.0000000000000002 - 1.734723475976807e-18im, 1.0 + 8.673617379884035e-19im, 1.0 + 0.0im, 1.0 - 8.673617379884035e-19im, 0.9999999999999999 + 8.673617379884035e-19im, 1.0000000000000002 + 6.938893903907228e-18im, 1.0 + 0.0im
0.1, 1.0000000000000016 - 8.673617379884035e-18im, 1.0000000000000004 + 2.6020852139652106e-18im, 1.0000000000000007 + 1.734723475976807e-18im, 1.0000000000000016 + 8.673617379884035e-18im, 1.000000000000001 + 2.0816681711721685e-17im, 1.0 - 1.734723475976807e-18im, 0.9999999999999987 + 1.734723475976807e-17im, 1.0000000000000007 - 2.168404344971009e-19im, 1.0000000000000007 - 3.469446951953614e-18im, 1.0000000000000024 - 1.3877787807814457e-17im, 0.9999999999999997 - 8.673617379884035e-19im, 1.0000000000000013 + 2.0816681711721685e-17im, 0.9999999999999987 + 1.3877787807814457e-17im, 0.9999999999999992 + 4.336808689942018e-18im, 1.0 + 4.336808689942018e-18im, 0.9999999999999977 + 3.469446951953614e-18im, 0.9999999999999998 - 1.734723475976807e-18im, 0.9999999999999996 - 8.673617379884035e-19im, 1.000000000000001 - 2.0816681711721685e-17im, 0.9999999999999994 - 6.938893903907228e-18im
0.2, 1.0000000000000027 - 3.469446951953614e-18im, 0.9999999999999993 + 7.806255641895632e-18im, 0.9999999999999998 + 1.734723475976807e-18im, 1.0000000000000029 + 5.204170427930421e-18im, 0.9999999999999996 + 2.7755575615628914e-17im, 0.9999999999999984 + 0.0im, 0.9999999999999987 + 1.734723475976807e-17im, 0.9999999999999996 + 2.168404344971009e-19im, 0.9999999999999997 - 3.469446951953614e-18im, 1.0000000000000024 - 2.0816681711721685e-17im, 0.9999999999999996 - 8.673617379884035e-19im, 1.0000000000000009 + 1.734723475976807e-17im, 0.9999999999999979 + 1.0408340855860843e-17im, 0.9999999999999976 + 8.023096076392733e-18im, 1.0000000000000002 + 1.734723475976807e-18im, 0.9999999999999994 - 6.938893903907228e-18im, 1.0000000000000002 - 1.0842021724855044e-18im, 0.9999999999999996 - 2.6020852139652106e-18im, 0.9999999999999999 - 1.3877787807814457e-17im, 0.9999999999999997 + 0.0im
0.3, 1.0000000000000049 + 8.673617379884035e-19im, 1.0000000000000002 + 4.7704895589362195e-18im, 0.999999999999998 + 1.734723475976807e-18im, 1.0000000000000044 + 5.204170427930421e-18im, 0.999999999999998 + 5.551115123125783e-17im, 0.9999999999999962 + 8.673617379884035e-18im, 0.999999999999999 + 2.0816681711721685e-17im, 1.0000000000000009 + 1.6263032587282567e-19im, 1.0 + 3.469446951953614e-18im, 1.0000000000000029 - 3.469446951953614e-17im, 0.9999999999999996 + 0.0im, 0.9999999999999994 + 1.3877787807814457e-17im, 0.9999999999999971 - 6.938893903907228e-18im, 0.9999999999999968 + 7.806255641895632e-18im, 0.9999999999999997 + 0.0im, 1.0000000000000013 - 3.469446951953614e-18im, 1.0000000000000007 - 9.75781955236954e-19im, 0.9999999999999969 - 2.168404344971009e-18im, 1.0000000000000013 - 2.0816681711721685e-17im, 0.9999999999999987 - 6.938893903907228e-18im
0.4, 1.0000000000000042 + 8.673617379884035e-19im, 0.9999999999999988 + 4.336808689942018e-18im, 0.9999999999999987 + 1.0408340855860843e-17im, 1.000000000000005 + 6.071532165918825e-18im, 0.9999999999999989 + 4.163336342344337e-17im, 0.9999999999999976 + 1.5612511283791264e-17im, 0.9999999999999981 + 2.7755575615628914e-17im, 0.9999999999999999 - 5.421010862427522e-20im, 0.9999999999999991 - 1.3877787807814457e-17im, 1.0000000000000033 - 3.8163916471489756e-17im, 0.9999999999999968 + 0.0im, 0.9999999999999987 + 2.42861286636753e-17im, 0.9999999999999978 - 5.204170427930421e-18im, 0.9999999999999969 + 9.107298248878237e-18im, 0.9999999999999987 + 1.3010426069826053e-18im, 0.9999999999999989 - 1.0408340855860843e-17im, 0.9999999999999997 - 1.3010426069826053e-18im, 0.9999999999999964 - 3.0357660829594124e-18im, 0.9999999999999997 - 6.938893903907228e-18im, 0.9999999999999979 - 2.42861286636753e-17im
0.5, 1.0000000000000056 + 2.168404344971009e-19im, 0.9999999999999992 + 4.119968255444917e-18im, 0.9999999999999991 + 3.469446951953614e-18im, 1.0000000000000053 + 5.204170427930421e-18im, 0.9999999999999981 + 4.5102810375396984e-17im, 0.9999999999999979 + 2.42861286636753e-17im, 0.9999999999999968 + 2.0816681711721685e-17im, 0.9999999999999994 - 1.3552527156068805e-19im, 0.9999999999999993 - 1.3877787807814457e-17im, 1.0000000000000027 - 3.122502256758253e-17im, 0.9999999999999961 - 8.673617379884035e-19im, 0.9999999999999984 + 2.6020852139652106e-17im, 0.9999999999999973 + 0.0im, 0.9999999999999976 + 1.0408340855860843e-17im, 1.0000000000000013 + 6.505213034913027e-19im, 1.0000000000000007 - 3.469446951953614e-18im, 1.0000000000000002 - 1.734723475976807e-18im, 0.9999999999999964 - 2.6020852139652106e-18im, 0.9999999999999999 - 1.3877787807814457e-17im, 0.9999999999999952 - 2.42861286636753e-17im
0.6, 1.0000000000000044 + 1.2197274440461925e-19im, 1.0000000000000013 + 4.553649124439119e-18im, 0.9999999999999997 - 1.734723475976807e-18im, 1.000000000000006 + 6.071532165918825e-18im, 0.9999999999999989 + 5.898059818321144e-17im, 0.9999999999999996 + 2.6020852139652106e-17im, 1.0 + 3.122502256758253e-17im, 1.0 - 1.0842021724855044e-19im, 0.9999999999999988 - 6.938893903907228e-18im, 1.000000000000002 - 2.949029909160572e-17im, 0.9999999999999951 - 8.673617379884035e-19im, 0.9999999999999971 + 2.6020852139652106e-17im, 0.9999999999999971 - 3.2526065174565133e-19im, 0.9999999999999961 + 7.806255641895632e-18im, 1.0000000000000016 + 6.505213034913027e-19im, 1.000000000000001 + 0.0im, 0.9999999999999993 - 1.734723475976807e-18im, 0.999999999999997 - 2.168404344971009e-18im, 0.9999999999999997 - 2.42861286636753e-17im, 0.9999999999999968 - 2.0816681711721685e-17im
0.7, 1.0000000000000053 + 1.0842021724855044e-19im, 1.000000000000001 + 4.553649124439119e-18im, 0.9999999999999993 - 5.204170427930421e-18im, 1.000000000000007 + 5.204170427930421e-18im, 1.0000000000000007 + 5.551115123125783e-17im, 1.0000000000000018 + 2.42861286636753e-17im, 0.9999999999999994 + 2.7755575615628914e-17im, 1.0 - 6.776263578034403e-20im, 0.9999999999999973 - 1.734723475976807e-17im, 1.0000000000000027 - 2.949029909160572e-17im, 0.9999999999999964 - 1.734723475976807e-18im, 0.999999999999999 + 2.949029909160572e-17im, 0.9999999999999973 - 1.3010426069826053e-18im, 0.9999999999999979 + 8.673617379884035e-18im, 1.0000000000000016 + 4.336808689942018e-19im, 1.0000000000000033 + 3.469446951953614e-18im, 0.9999999999999964 - 2.168404344971009e-18im, 0.9999999999999998 - 1.5178830414797062e-18im, 1.000000000000001 - 1.5612511283791264e-17im, 0.9999999999999984 - 2.42861286636753e-17im
0.8, 1.0000000000000049 - 2.168404344971009e-19im, 0.9999999999999999 + 4.2825985813177425e-18im, 0.9999999999999997 - 1.734723475976807e-18im, 1.000000000000007 + 4.7704895589362195e-18im, 1.0000000000000024 + 4.85722573273506e-17im, 1.0000000000000047 + 2.7755575615628914e-17im, 0.9999999999999988 + 3.122502256758253e-17im, 0.9999999999999997 - 8.131516293641283e-20im, 0.9999999999999953 - 8.673617379884035e-18im, 1.0000000000000027 - 3.209238430557093e-17im, 0.9999999999999966 + 0.0im, 0.9999999999999998 + 3.122502256758253e-17im, 0.9999999999999974 - 2.6020852139652106e-18im, 0.9999999999999982 + 6.071532165918825e-18im, 1.0000000000000018 + 6.505213034913027e-19im, 1.0000000000000038 + 3.469446951953614e-18im, 0.9999999999999952 - 1.734723475976807e-18im, 0.9999999999999991 - 1.5178830414797062e-18im, 1.000000000000002 - 1.0408340855860843e-17im, 0.9999999999999981 - 2.0816681711721685e-17im
0.9, 1.000000000000006 + 8.673617379884035e-19im, 0.9999999999999984 + 4.363913744254155e-18im, 0.9999999999999992 + 0.0im, 1.0000000000000069 + 4.119968255444917e-18im, 1.000000000000002 + 4.85722573273506e-17im, 1.000000000000004 + 3.122502256758253e-17im, 1.0000000000000002 + 3.2959746043559335e-17im, 1.0000000000000002 - 6.776263578034403e-21im, 0.9999999999999961 - 6.938893903907228e-18im, 1.000000000000002 - 2.905661822261152e-17im, 0.9999999999999977 - 2.6020852139652106e-18im, 0.9999999999999988 + 2.2551405187698492e-17im, 0.9999999999999973 - 1.734723475976807e-18im, 1.0000000000000002 + 5.204170427930421e-18im, 1.0000000000000029 + 8.673617379884035e-19im, 1.0000000000000053 + 0.0im, 0.999999999999995 - 3.903127820947816e-18im, 0.9999999999999999 - 1.734723475976807e-18im, 1.0000000000000036 - 1.0408340855860843e-17im, 0.9999999999999984 - 1.5612511283791264e-17im
