flowtime, dM2R1, dM2R2, dM2R3, dM2R4, dM2R5, dM2R6, dM2R7, dM2R8, dM2R9, dM2R10, dM2R11, dM2R12, dM2R13, dM2R14, dM(mass_num)R15
0.0, 0.9999999999999999 + 0.0im, 0.9999999999999998 - 1.734723475976807e-18im, 0.9999999999999998 + 0.0im, 0.9999999999999998 + 0.0im, 1.0 - 1.3877787807814457e-17im, 0.9999999999999999 + 0.0im, 1.0 + 0.0im, 1.0 - 2.168404344971009e-19im, 1.0000000000000002 + 0.0im, 1.0 + 6.938893903907228e-18im, 0.9999999999999996 + 0.0im, 0.9999999999999998 + 4.336808689942018e-19im, 0.9999999999999999 + 0.0im, 1.0000000000000002 + 0.0im, 1.0 + 8.673617379884035e-19im
0.1, 0.9999999999999992 + 3.469446951953614e-18im, 1.0000000000000009 - 1.734723475976807e-18im, 1.0000000000000018 + 4.336808689942018e-19im, 1.000000000000003 - 2.0816681711721685e-17im, 0.9999999999999998 + 0.0im, 0.9999999999999979 - 6.938893903907228e-18im, 0.9999999999999993 + 1.734723475976807e-18im, 1.0000000000000004 + 4.336808689942018e-19im, 0.9999999999999997 - 3.469446951953614e-18im, 1.0000000000000018 + 0.0im, 0.999999999999999 + 2.7755575615628914e-17im, 1.0000000000000009 - 4.336808689942018e-19im, 0.9999999999999999 + 8.673617379884035e-19im, 1.000000000000001 + 0.0im, 0.9999999999999992 - 1.734723475976807e-18im
0.2, 0.9999999999999994 + 7.806255641895632e-18im, 1.0000000000000009 - 1.3010426069826053e-18im, 1.0000000000000022 + 0.0im, 1.0000000000000027 - 3.122502256758253e-17im, 0.9999999999999991 - 1.3877787807814457e-17im, 0.9999999999999986 + 3.469446951953614e-18im, 0.9999999999999978 + 6.071532165918825e-18im, 1.000000000000001 + 4.336808689942018e-19im, 1.000000000000001 - 2.6020852139652106e-18im, 1.0000000000000024 - 5.204170427930421e-18im, 0.9999999999999984 + 2.7755575615628914e-17im, 0.9999999999999993 + 2.6020852139652106e-18im, 1.0000000000000013 + 0.0im, 1.0000000000000009 - 5.204170427930421e-18im, 1.0000000000000004 + 0.0im
0.3, 1.0 + 1.0842021724855044e-17im, 1.0000000000000009 + 2.0599841277224584e-18im, 1.0000000000000009 + 1.734723475976807e-18im, 1.000000000000003 - 2.42861286636753e-17im, 0.9999999999999994 - 2.0816681711721685e-17im, 0.9999999999999977 - 6.938893903907228e-18im, 0.9999999999999976 + 2.6020852139652106e-18im, 0.9999999999999993 + 1.0842021724855044e-18im, 1.0000000000000042 - 2.168404344971009e-18im, 1.0000000000000016 - 9.974659986866641e-18im, 0.9999999999999996 + 2.7755575615628914e-17im, 0.9999999999999998 + 3.469446951953614e-18im, 1.000000000000001 - 8.673617379884035e-19im, 0.9999999999999999 - 4.336808689942018e-18im, 0.9999999999999989 - 8.673617379884035e-19im
0.4, 0.9999999999999977 + 1.1492543028346347e-17im, 1.0000000000000004 + 2.6020852139652106e-18im, 1.0000000000000007 + 1.734723475976807e-18im, 1.0000000000000022 - 3.469446951953614e-17im, 0.9999999999999994 - 1.3877787807814457e-17im, 0.9999999999999968 - 3.469446951953614e-18im, 0.9999999999999974 + 3.469446951953614e-18im, 0.9999999999999986 + 1.3010426069826053e-18im, 1.000000000000005 - 3.0357660829594124e-18im, 0.9999999999999989 - 1.1275702593849246e-17im, 0.9999999999999978 + 3.469446951953614e-17im, 1.0 + 5.204170427930421e-18im, 1.0000000000000027 + 2.6020852139652106e-18im, 0.9999999999999991 - 6.071532165918825e-18im, 0.9999999999999991 - 2.6020852139652106e-18im
0.5, 0.9999999999999959 + 1.1709383462843448e-17im, 1.0000000000000024 + 5.204170427930421e-18im, 1.0000000000000004 - 3.469446951953614e-18im, 1.0000000000000033 - 4.5102810375396984e-17im, 0.999999999999999 - 3.8163916471489756e-17im, 0.9999999999999963 - 6.071532165918825e-18im, 0.9999999999999967 + 4.336808689942018e-18im, 0.9999999999999994 + 1.5178830414797062e-18im, 1.000000000000004 - 2.6020852139652106e-18im, 0.9999999999999987 - 1.0408340855860843e-17im, 0.999999999999995 + 3.469446951953614e-17im, 0.9999999999999992 + 8.673617379884035e-18im, 1.0000000000000033 + 8.673617379884035e-19im, 0.9999999999999988 - 6.071532165918825e-18im, 0.9999999999999979 + 0.0im
0.6, 0.9999999999999968 + 1.2576745200831851e-17im, 1.0000000000000018 + 6.938893903907228e-18im, 1.0000000000000009 - 1.734723475976807e-18im, 1.000000000000004 - 4.683753385137379e-17im, 1.0 - 2.42861286636753e-17im, 0.9999999999999966 - 6.071532165918825e-18im, 0.999999999999997 + 3.469446951953614e-18im, 0.9999999999999984 + 1.951563910473908e-18im, 1.0000000000000029 - 2.8189256484623115e-18im, 1.0000000000000002 - 1.9081958235744878e-17im, 0.9999999999999978 + 2.7755575615628914e-17im, 1.000000000000001 + 7.806255641895632e-18im, 1.0000000000000049 + 8.673617379884035e-19im, 0.9999999999999978 - 6.938893903907228e-18im, 0.9999999999999986 + 8.673617379884035e-19im
0.7, 0.9999999999999954 + 1.474514954580286e-17im, 1.000000000000001 + 1.0408340855860843e-17im, 1.0000000000000009 + 1.734723475976807e-18im, 1.0000000000000044 - 3.8163916471489756e-17im, 1.0 - 2.42861286636753e-17im, 0.9999999999999958 - 6.938893903907228e-18im, 0.9999999999999977 + 1.734723475976807e-18im, 0.9999999999999989 + 1.734723475976807e-18im, 1.0 - 1.951563910473908e-18im, 1.000000000000002 - 1.214306433183765e-17im, 0.9999999999999998 + 2.7755575615628914e-17im, 1.000000000000003 + 6.071532165918825e-18im, 1.0000000000000064 - 2.6020852139652106e-18im, 0.9999999999999978 - 7.37257477290143e-18im, 0.9999999999999991 + 4.336808689942018e-18im
0.8, 0.9999999999999957 + 1.0408340855860843e-17im, 1.000000000000002 + 6.071532165918825e-18im, 1.0000000000000004 + 0.0im, 1.0000000000000047 - 4.336808689942018e-17im, 0.9999999999999998 - 3.122502256758253e-17im, 0.9999999999999958 - 1.734723475976807e-18im, 0.9999999999999987 + 2.6020852139652106e-18im, 0.9999999999999996 + 1.8431436932253575e-18im, 0.9999999999999998 - 2.2768245622195593e-18im, 1.0000000000000064 - 1.3877787807814457e-17im, 0.9999999999999996 + 2.0816681711721685e-17im, 1.0000000000000038 + 7.37257477290143e-18im, 1.0000000000000069 - 6.938893903907228e-18im, 0.9999999999999983 - 5.637851296924623e-18im, 0.9999999999999996 + 3.469446951953614e-18im
0.9, 0.9999999999999981 + 6.938893903907228e-18im, 1.0000000000000033 + 2.6020852139652106e-18im, 1.0000000000000004 + 8.673617379884035e-18im, 1.0000000000000033 - 3.8163916471489756e-17im, 0.9999999999999994 - 3.8163916471489756e-17im, 0.9999999999999962 + 0.0im, 0.999999999999996 + 1.734723475976807e-18im, 0.9999999999999994 + 2.168404344971009e-18im, 1.0000000000000013 - 2.3310346708438345e-18im, 1.0000000000000073 - 2.0816681711721685e-17im, 0.9999999999999994 + 2.0816681711721685e-17im, 1.000000000000006 + 7.37257477290143e-18im, 1.0000000000000058 - 5.204170427930421e-18im, 1.0000000000000009 - 4.336808689942018e-18im, 1.0000000000000013 + 4.336808689942018e-18im
