flowtime, dM3R1, dM3R2, dM3R3, dM3R4, dM3R5, dM3R6, dM3R7, dM3R8, dM3R9, dM3R10, dM3R11, dM3R12, dM3R13, dM3R14, dM(mass_num)R15
0.0, 1.0000000000000002 + 2.168404344971009e-19im, 0.9999999999999999 + 3.469446951953614e-18im, 1.0 + 6.938893903907228e-18im, 0.9999999999999999 + 0.0im, 1.0000000000000002 + 0.0im, 1.0000000000000002 + 1.3877787807814457e-17im, 0.9999999999999999 + 0.0im, 1.0000000000000002 + 0.0im, 1.0 + 0.0im, 1.0 - 1.3877787807814457e-17im, 1.0 + 0.0im, 1.0 - 6.938893903907228e-18im, 1.0000000000000002 + 0.0im, 1.0000000000000002 - 8.673617379884035e-19im, 0.9999999999999999 + 0.0im
0.1, 0.9999999999999986 - 2.168404344971009e-19im, 1.0 + 6.938893903907228e-18im, 0.9999999999999993 - 3.469446951953614e-18im, 1.0000000000000004 + 4.163336342344337e-17im, 1.0000000000000013 - 3.469446951953614e-18im, 1.0000000000000004 + 1.3877787807814457e-17im, 1.0000000000000002 + 0.0im, 1.0000000000000004 + 0.0im, 0.9999999999999997 - 8.673617379884035e-19im, 1.0000000000000004 + 1.3877787807814457e-17im, 1.0000000000000018 + 5.551115123125783e-17im, 0.9999999999999996 + 1.3877787807814457e-17im, 1.0000000000000007 + 1.3877787807814457e-17im, 0.9999999999999997 + 1.734723475976807e-18im, 1.0000000000000002 - 3.469446951953614e-18im
0.2, 0.9999999999999982 - 8.673617379884035e-19im, 0.9999999999999993 - 1.0408340855860843e-17im, 0.9999999999999986 - 1.0408340855860843e-17im, 0.9999999999999994 + 4.163336342344337e-17im, 1.000000000000002 - 3.469446951953614e-18im, 1.0000000000000009 - 1.3877787807814457e-17im, 1.0000000000000004 + 0.0im, 0.9999999999999982 + 0.0im, 0.9999999999999993 - 8.673617379884035e-19im, 1.0000000000000013 - 2.7755575615628914e-17im, 1.0000000000000016 + 5.551115123125783e-17im, 0.9999999999999992 + 4.163336342344337e-17im, 0.9999999999999997 + 1.3877787807814457e-17im, 1.0000000000000009 - 1.734723475976807e-18im, 1.0000000000000004 + 0.0im
0.3, 0.9999999999999967 - 1.0842021724855044e-18im, 0.9999999999999987 - 6.938893903907228e-18im, 0.9999999999999991 - 1.3877787807814457e-17im, 0.9999999999999986 + 5.551115123125783e-17im, 1.0000000000000022 - 1.734723475976807e-18im, 1.0000000000000027 - 6.938893903907228e-18im, 1.0000000000000009 - 6.938893903907228e-18im, 0.9999999999999967 - 1.3877787807814457e-17im, 0.9999999999999988 - 8.673617379884035e-19im, 1.000000000000002 - 5.551115123125783e-17im, 1.0000000000000016 + 8.326672684688674e-17im, 0.9999999999999996 + 5.551115123125783e-17im, 0.9999999999999994 + 1.3877787807814457e-17im, 1.0000000000000013 - 1.734723475976807e-18im, 1.000000000000001 - 1.734723475976807e-18im
0.4, 0.9999999999999978 - 9.215718466126788e-19im, 0.9999999999999991 - 1.734723475976807e-17im, 1.000000000000001 - 1.0408340855860843e-17im, 1.0 + 4.163336342344337e-17im, 1.0000000000000036 + 8.673617379884035e-19im, 1.0000000000000029 + 6.938893903907228e-18im, 1.0000000000000002 + 3.686287386450715e-18im, 0.9999999999999979 - 6.938893903907228e-17im, 0.9999999999999984 - 6.505213034913027e-19im, 1.000000000000001 - 8.326672684688674e-17im, 1.0000000000000024 + 8.326672684688674e-17im, 1.0000000000000007 + 5.551115123125783e-17im, 0.9999999999999982 + 0.0im, 1.0 - 3.469446951953614e-18im, 1.000000000000001 + 8.673617379884035e-19im
0.5, 1.0 - 1.0842021724855044e-18im, 0.9999999999999988 + 3.469446951953614e-18im, 1.000000000000001 - 1.734723475976807e-17im, 1.0000000000000022 + 2.7755575615628914e-17im, 1.0000000000000056 + 3.469446951953614e-18im, 1.0000000000000022 - 2.7755575615628914e-17im, 1.0000000000000007 + 6.938893903907228e-18im, 0.9999999999999988 - 9.71445146547012e-17im, 0.9999999999999986 + 4.336808689942018e-19im, 1.0000000000000018 - 6.938893903907228e-17im, 1.0000000000000029 + 9.020562075079397e-17im, 1.0000000000000009 + 4.163336342344337e-17im, 0.9999999999999978 - 1.3877787807814457e-17im, 1.0000000000000018 + 0.0im, 1.0000000000000022 - 8.673617379884035e-19im
0.6, 0.9999999999999994 - 1.0977546996415732e-18im, 0.9999999999999992 - 3.469446951953614e-18im, 1.0000000000000027 - 2.0816681711721685e-17im, 1.0000000000000033 + 2.0816681711721685e-17im, 1.000000000000005 + 5.204170427930421e-18im, 1.000000000000002 - 2.0816681711721685e-17im, 1.0000000000000018 + 6.938893903907228e-18im, 0.9999999999999979 - 1.1102230246251565e-16im, 0.9999999999999983 - 3.469446951953614e-18im, 1.0000000000000022 - 7.025630077706069e-17im, 1.0000000000000036 + 8.326672684688674e-17im, 0.9999999999999983 + 2.7755575615628914e-17im, 0.9999999999999972 - 3.469446951953614e-17im, 0.9999999999999996 + 5.204170427930421e-18im, 1.0000000000000027 + 1.734723475976807e-18im
0.7, 1.0 - 1.043544591017298e-18im, 0.9999999999999981 + 0.0im, 1.0000000000000024 - 2.7755575615628914e-17im, 1.0000000000000047 + 1.9081958235744878e-17im, 1.0000000000000047 + 5.204170427930421e-18im, 1.0000000000000013 + 0.0im, 1.0000000000000027 + 4.85722573273506e-17im, 0.9999999999999982 - 1.249000902703301e-16im, 0.9999999999999987 - 1.734723475976807e-18im, 1.0000000000000024 - 7.28583859910259e-17im, 1.0000000000000042 + 7.632783294297951e-17im, 0.9999999999999978 + 3.469446951953614e-17im, 0.9999999999999971 - 2.7755575615628914e-17im, 1.0 + 5.204170427930421e-18im, 1.0000000000000033 - 3.469446951953614e-18im
0.8, 1.0000000000000002 - 1.0028870095490916e-18im, 0.9999999999999971 - 2.7755575615628914e-17im, 1.0000000000000022 - 3.8163916471489756e-17im, 1.0000000000000064 + 2.211772431870429e-17im, 1.0000000000000058 + 6.071532165918825e-18im, 1.0000000000000024 - 6.938893903907228e-18im, 1.0000000000000036 + 0.0im, 0.9999999999999964 - 1.1102230246251565e-16im, 0.9999999999999987 + 3.469446951953614e-18im, 1.0000000000000022 - 8.326672684688674e-17im, 1.0000000000000027 + 6.938893903907228e-17im, 0.9999999999999962 + 2.7755575615628914e-17im, 0.9999999999999951 + 0.0im, 0.9999999999999999 + 6.938893903907228e-18im, 1.0000000000000018 + 0.0im
0.9, 0.9999999999999993 - 1.0842021724855044e-18im, 0.9999999999999979 - 3.469446951953614e-17im, 1.0000000000000029 - 2.7755575615628914e-17im, 1.0000000000000047 + 2.2551405187698492e-17im, 1.0000000000000058 + 5.204170427930421e-18im, 1.0000000000000033 + 2.0816681711721685e-17im, 1.000000000000003 - 2.7755575615628914e-17im, 0.9999999999999942 + 0.0im, 0.9999999999999964 - 3.469446951953614e-18im, 1.0000000000000024 - 6.938893903907228e-17im, 1.0000000000000033 + 6.591949208711867e-17im, 0.9999999999999983 + 2.7755575615628914e-17im, 0.9999999999999934 + 2.7755575615628914e-17im, 1.0000000000000004 + 2.7755575615628914e-17im, 1.0000000000000013 + 6.938893903907228e-18im
