flowtime, dM1R1, dM1R2, dM1R3, dM1R4, dM1R5, dM1R6, dM1R7, dM1R8, dM1R9, dM1R10, dM1R11, dM1R12, dM1R13, dM1R14, dM(mass_num)R15
0.0, 1.0 - 3.469446951953614e-18im, 1.0 + 4.336808689942018e-19im, 0.9999999999999998 - 6.938893903907228e-18im, 1.0000000000000002 + 0.0im, 0.9999999999999998 + 8.673617379884035e-19im, 1.0 + 0.0im, 1.0 + 0.0im, 1.0000000000000002 - 1.734723475976807e-18im, 0.9999999999999997 + 0.0im, 1.0 + 0.0im, 1.0000000000000002 + 6.938893903907228e-18im, 1.0 + 0.0im, 1.0 + 6.938893903907228e-18im, 1.0 - 4.336808689942018e-19im, 1.0 + 0.0im
0.1, 0.9999999999999971 + 0.0im, 1.0000000000000007 + 2.168404344971009e-19im, 0.9999999999999992 + 1.3877787807814457e-17im, 1.000000000000001 + 1.3877787807814457e-17im, 1.0000000000000007 - 2.6020852139652106e-18im, 1.0000000000000009 + 1.734723475976807e-18im, 0.9999999999999978 + 0.0im, 0.9999999999999994 + 0.0im, 1.0000000000000016 + 0.0im, 1.0000000000000002 + 6.938893903907228e-18im, 1.0000000000000018 + 6.938893903907228e-18im, 0.9999999999999996 + 4.336808689942018e-18im, 1.0 - 3.469446951953614e-18im, 0.9999999999999994 + 0.0im, 1.0000000000000009 + 4.336808689942018e-19im
0.2, 0.9999999999999979 - 6.938893903907228e-18im, 1.0000000000000007 + 0.0im, 1.0000000000000009 + 1.734723475976807e-17im, 1.0000000000000016 + 0.0im, 1.0000000000000013 - 4.7704895589362195e-18im, 1.0000000000000004 + 4.336808689942018e-19im, 0.9999999999999972 + 1.734723475976807e-18im, 0.9999999999999988 - 3.469446951953614e-18im, 1.0000000000000024 + 0.0im, 1.0000000000000013 + 3.469446951953614e-18im, 1.000000000000002 + 1.3877787807814457e-17im, 1.0000000000000004 + 4.7704895589362195e-18im, 0.9999999999999981 + 0.0im, 1.0000000000000004 + 1.734723475976807e-18im, 1.0000000000000038 + 4.336808689942018e-19im
0.3, 0.9999999999999974 - 1.3877787807814457e-17im, 0.9999999999999997 - 1.3010426069826053e-18im, 1.0000000000000004 + 6.938893903907228e-18im, 1.0000000000000018 - 6.938893903907228e-18im, 1.0000000000000047 - 6.5052130349130266e-18im, 1.0000000000000013 + 6.505213034913027e-19im, 0.9999999999999973 + 8.673617379884035e-19im, 0.9999999999999981 - 3.469446951953614e-18im, 0.9999999999999999 + 0.0im, 1.0000000000000016 + 0.0im, 1.0000000000000022 + 2.0816681711721685e-17im, 1.0000000000000036 + 4.87890977618477e-18im, 0.999999999999999 + 7.806255641895632e-18im, 1.0 + 1.951563910473908e-18im, 1.0000000000000038 + 2.168404344971009e-19im
0.4, 0.9999999999999987 - 1.734723475976807e-17im, 0.9999999999999981 - 1.3010426069826053e-18im, 1.0000000000000004 + 1.0408340855860843e-17im, 1.000000000000001 - 1.3877787807814457e-17im, 1.0000000000000053 - 5.421010862427522e-18im, 0.9999999999999992 + 7.589415207398531e-19im, 0.9999999999999972 - 2.6020852139652106e-18im, 0.9999999999999983 - 5.204170427930421e-18im, 1.0000000000000024 + 1.0408340855860843e-17im, 1.000000000000002 - 6.938893903907228e-18im, 1.0000000000000013 + 2.0816681711721685e-17im, 1.0000000000000036 + 5.421010862427522e-18im, 0.9999999999999986 + 5.854691731421724e-18im, 1.0000000000000004 + 3.0357660829594124e-18im, 1.000000000000004 + 2.168404344971009e-19im
0.5, 0.9999999999999974 + 3.469446951953614e-18im, 0.9999999999999982 + 2.6020852139652106e-18im, 0.9999999999999999 + 8.673617379884035e-18im, 1.0000000000000022 - 3.122502256758253e-17im, 1.000000000000006 - 5.421010862427522e-18im, 0.9999999999999986 + 6.505213034913027e-19im, 0.9999999999999976 - 2.6020852139652106e-18im, 0.999999999999999 - 5.204170427930421e-18im, 1.0000000000000044 + 1.0408340855860843e-17im, 1.0000000000000016 + 0.0im, 1.0000000000000018 + 2.42861286636753e-17im, 1.0000000000000027 + 4.336808689942018e-18im, 0.9999999999999981 + 5.637851296924623e-18im, 1.0000000000000013 + 2.8189256484623115e-18im, 1.0000000000000042 - 4.336808689942018e-19im
0.6, 0.9999999999999984 + 6.938893903907228e-18im, 0.9999999999999977 + 3.469446951953614e-18im, 0.9999999999999997 + 6.938893903907228e-18im, 1.0000000000000013 - 2.6020852139652106e-17im, 1.0000000000000056 - 4.445228907190568e-18im, 0.9999999999999983 + 8.673617379884035e-19im, 0.999999999999999 + 8.673617379884035e-19im, 0.9999999999999992 - 5.204170427930421e-18im, 1.0000000000000036 + 1.734723475976807e-17im, 1.0000000000000024 + 1.734723475976807e-18im, 1.0000000000000013 + 2.0816681711721685e-17im, 1.0000000000000027 + 3.469446951953614e-18im, 1.0000000000000009 + 6.071532165918825e-18im, 1.000000000000002 + 3.469446951953614e-18im, 1.0000000000000058 + 8.673617379884035e-19im
0.7, 0.9999999999999977 + 3.469446951953614e-18im, 0.999999999999999 + 0.0im, 1.0000000000000007 + 1.3877787807814457e-17im, 1.0000000000000033 - 2.0816681711721685e-17im, 1.0000000000000056 - 4.228388472693467e-18im, 0.9999999999999982 + 0.0im, 0.9999999999999999 + 8.673617379884035e-19im, 1.0000000000000009 - 6.938893903907228e-18im, 1.0000000000000042 + 2.42861286636753e-17im, 1.0000000000000027 + 1.734723475976807e-18im, 0.9999999999999996 + 2.7755575615628914e-17im, 1.0000000000000038 + 4.336808689942018e-18im, 1.0000000000000007 + 5.204170427930421e-18im, 1.0000000000000009 + 4.0115480381963664e-18im, 1.0000000000000047 + 4.336808689942018e-19im
0.8, 0.9999999999999992 + 6.938893903907228e-18im, 0.9999999999999977 - 2.6020852139652106e-18im, 1.0000000000000009 + 1.9081958235744878e-17im, 1.0000000000000029 - 2.2551405187698492e-17im, 1.0000000000000049 - 4.228388472693467e-18im, 0.9999999999999982 + 2.168404344971009e-19im, 1.000000000000001 + 1.734723475976807e-18im, 1.0000000000000024 - 6.938893903907228e-18im, 1.0000000000000042 + 2.7755575615628914e-17im, 1.0000000000000024 + 1.0408340855860843e-17im, 1.0000000000000002 + 1.734723475976807e-17im, 1.0000000000000036 + 3.469446951953614e-18im, 0.9999999999999992 + 5.204170427930421e-18im, 1.0000000000000018 + 3.903127820947816e-18im, 1.0000000000000049 + 4.336808689942018e-19im
0.9, 1.0000000000000004 + 1.3877787807814457e-17im, 0.9999999999999973 - 4.336808689942018e-18im, 1.0000000000000022 + 1.214306433183765e-17im, 1.0000000000000027 - 2.0816681711721685e-17im, 1.0000000000000075 - 4.472333961502706e-18im, 0.9999999999999996 + 1.0842021724855044e-19im, 1.0000000000000013 + 3.0357660829594124e-18im, 1.0000000000000036 - 5.204170427930421e-18im, 1.0000000000000024 + 2.42861286636753e-17im, 1.000000000000002 + 5.204170427930421e-18im, 1.0000000000000002 + 1.3877787807814457e-17im, 1.0000000000000007 + 2.6020852139652106e-18im, 0.9999999999999992 + 0.0im, 1.0000000000000024 + 3.7947076036992655e-18im, 1.0000000000000056 + 1.734723475976807e-18im
1.0, 1.0000000000000004 + 2.0816681711721685e-17im, 1.0000000000000002 - 1.734723475976807e-18im, 1.000000000000003 + 1.5612511283791264e-17im, 1.0000000000000013 - 2.0816681711721685e-17im, 1.0000000000000062 - 4.492662752236809e-18im, 1.0 + 3.2526065174565133e-19im, 1.0000000000000029 + 2.6020852139652106e-18im, 1.000000000000004 - 3.469446951953614e-18im, 1.0000000000000042 + 6.938893903907228e-18im, 1.0000000000000044 + 6.938893903907228e-18im, 0.9999999999999998 + 6.938893903907228e-18im, 1.0000000000000018 + 3.469446951953614e-18im, 0.9999999999999987 + 3.469446951953614e-18im, 1.000000000000002 + 3.903127820947816e-18im, 1.0000000000000053 - 8.673617379884035e-19im
1.1, 0.9999999999999997 + 2.0816681711721685e-17im, 1.000000000000002 + 3.469446951953614e-18im, 1.000000000000001 + 1.8214596497756474e-17im, 1.000000000000001 - 2.2551405187698492e-17im, 1.0000000000000053 - 4.472333961502706e-18im, 1.0000000000000007 + 7.589415207398531e-19im, 1.000000000000004 + 2.168404344971009e-18im, 1.0000000000000038 - 5.204170427930421e-18im, 1.0000000000000042 + 3.469446951953614e-18im, 1.0000000000000038 + 3.469446951953614e-18im, 1.000000000000002 + 6.938893903907228e-18im, 1.0000000000000007 + 3.0357660829594124e-18im, 0.9999999999999981 + 6.938893903907228e-18im, 1.0000000000000004 + 4.119968255444917e-18im, 1.0000000000000049 - 1.734723475976807e-18im
1.2, 0.9999999999999983 + 3.469446951953614e-17im, 1.000000000000001 + 3.469446951953614e-18im, 0.9999999999999994 + 1.8214596497756474e-17im, 1.0000000000000022 - 1.9081958235744878e-17im, 1.000000000000006 - 4.4994390158148434e-18im, 1.0000000000000009 + 7.589415207398531e-19im, 1.000000000000006 + 3.0357660829594124e-18im, 1.0000000000000036 - 7.806255641895632e-18im, 1.0000000000000049 + 3.469446951953614e-18im, 1.0000000000000062 + 1.0408340855860843e-17im, 1.000000000000002 + 1.0408340855860843e-17im, 1.0 + 2.168404344971009e-18im, 0.999999999999998 + 5.204170427930421e-18im, 0.9999999999999963 + 3.3610267347050637e-18im, 1.0000000000000029 - 2.6020852139652106e-18im
