flowtime, dM3R1, dM3R2, dM3R3, dM3R4, dM3R5, dM3R6, dM3R7, dM3R8, dM3R9, dM3R10, dM3R11, dM3R12, dM3R13, dM3R14, dM(mass_num)R15
0.0, 1.0000000000000002 + 0.0im, 0.9999999999999999 + 3.469446951953614e-18im, 1.0 + 0.0im, 1.0 + 0.0im, 0.9999999999999998 - 6.938893903907228e-18im, 1.0000000000000002 + 4.336808689942018e-19im, 0.9999999999999999 - 6.938893903907228e-18im, 1.0000000000000002 + 1.734723475976807e-18im, 1.0 + 0.0im, 1.0000000000000002 - 6.938893903907228e-18im, 1.0 + 0.0im, 0.9999999999999999 + 0.0im, 1.0 - 8.673617379884035e-19im, 1.0000000000000002 + 0.0im, 0.9999999999999999 - 4.336808689942018e-19im
0.1, 0.9999999999999981 + 3.469446951953614e-17im, 0.9999999999999979 + 1.3877787807814457e-17im, 0.9999999999999997 - 1.3877787807814457e-17im, 1.0000000000000004 + 2.7755575615628914e-17im, 0.9999999999999998 + 4.163336342344337e-17im, 1.0000000000000009 - 1.3877787807814457e-17im, 0.9999999999999989 + 3.469446951953614e-18im, 0.9999999999999981 - 6.938893903907228e-18im, 1.0000000000000016 - 1.3877787807814457e-17im, 1.0000000000000013 + 1.3877787807814457e-17im, 0.9999999999999981 - 5.551115123125783e-17im, 1.0000000000000002 + 0.0im, 1.0000000000000007 - 5.551115123125783e-17im, 1.0000000000000002 + 1.3877787807814457e-17im, 1.000000000000001 + 0.0im
0.2, 0.9999999999999993 + 5.204170427930421e-17im, 0.999999999999998 + 1.3877787807814457e-17im, 0.9999999999999982 - 1.1102230246251565e-16im, 0.9999999999999986 - 4.163336342344337e-17im, 0.9999999999999964 + 1.6653345369377348e-16im, 1.0000000000000024 + 1.3877787807814457e-17im, 0.9999999999999984 + 2.0816681711721685e-17im, 0.9999999999999986 + 1.0408340855860843e-17im, 1.0000000000000009 + 1.3877787807814457e-17im, 1.0000000000000016 + 8.326672684688674e-17im, 0.9999999999999994 - 5.551115123125783e-17im, 0.9999999999999996 + 4.163336342344337e-17im, 1.0000000000000018 + 2.7755575615628914e-17im, 1.0000000000000029 - 2.7755575615628914e-17im, 1.0000000000000027 + 0.0im
0.3, 1.0000000000000004 + 9.020562075079397e-17im, 0.9999999999999981 + 8.673617379884035e-18im, 0.9999999999999997 - 5.551115123125783e-17im, 0.9999999999999979 - 1.3877787807814457e-17im, 0.9999999999999969 + 2.220446049250313e-16im, 1.0000000000000049 + 0.0im, 0.9999999999999988 + 2.7755575615628914e-17im, 0.9999999999999982 + 0.0im, 1.0000000000000009 - 2.7755575615628914e-17im, 1.0000000000000013 + 1.6653345369377348e-16im, 0.9999999999999986 + 2.7755575615628914e-17im, 1.0000000000000007 + 8.326672684688674e-17im, 1.0000000000000013 + 0.0im, 1.000000000000004 - 1.3877787807814457e-16im, 1.0000000000000033 + 4.163336342344337e-17im
0.4, 1.000000000000001 + 1.1102230246251565e-16im, 0.9999999999999982 + 1.3877787807814457e-17im, 1.0000000000000007 - 1.1102230246251565e-16im, 0.9999999999999973 + 4.163336342344337e-17im, 0.9999999999999973 + 5.551115123125783e-17im, 1.0000000000000062 + 6.938893903907228e-18im, 1.0000000000000007 + 0.0im, 0.999999999999998 + 0.0im, 1.0000000000000013 + 0.0im, 1.0000000000000022 - 5.551115123125783e-17im, 0.999999999999997 + 0.0im, 1.0000000000000002 + 1.3877787807814457e-16im, 1.0000000000000004 - 1.6653345369377348e-16im, 1.0000000000000058 - 1.942890293094024e-16im, 1.0000000000000022 + 8.326672684688674e-17im
0.5, 1.000000000000002 + 1.942890293094024e-16im, 0.9999999999999974 - 8.326672684688674e-17im, 1.000000000000002 - 5.551115123125783e-17im, 0.9999999999999982 - 6.938893903907228e-18im, 0.9999999999999974 + 1.0061396160665481e-16im, 1.000000000000004 - 1.3877787807814457e-17im, 0.9999999999999999 + 6.938893903907228e-18im, 0.9999999999999986 + 8.326672684688674e-17im, 1.0000000000000022 + 3.3306690738754696e-16im, 1.0000000000000009 + 1.1102230246251565e-16im, 0.9999999999999953 + 0.0im, 0.9999999999999978 + 1.1102230246251565e-16im, 1.0000000000000049 + 5.551115123125783e-17im, 1.0000000000000044 - 1.942890293094024e-16im, 1.0000000000000013 - 1.1102230246251565e-16im
0.6, 1.0000000000000027 + 1.942890293094024e-16im, 0.9999999999999969 - 1.1102230246251565e-16im, 1.0000000000000024 - 3.3306690738754696e-16im, 0.999999999999997 + 1.5612511283791264e-17im, 0.9999999999999978 + 8.326672684688674e-17im, 1.0000000000000038 - 8.326672684688674e-17im, 1.0000000000000002 + 2.7755575615628914e-17im, 0.9999999999999991 + 2.7755575615628914e-17im, 1.0000000000000022 + 3.885780586188048e-16im, 1.000000000000001 + 1.6653345369377348e-16im, 0.9999999999999961 - 8.326672684688674e-17im, 0.9999999999999973 + 1.942890293094024e-16im, 1.0000000000000056 - 2.7755575615628914e-16im, 1.0000000000000038 - 2.220446049250313e-16im, 1.0000000000000033 - 2.220446049250313e-16im
0.7, 1.0000000000000033 + 1.6653345369377348e-16im, 0.9999999999999967 - 1.1102230246251565e-16im, 1.000000000000004 - 3.3306690738754696e-16im, 0.9999999999999997 + 2.0816681711721685e-17im, 0.9999999999999969 + 1.1102230246251565e-16im, 1.0000000000000029 + 2.7755575615628914e-17im, 1.0000000000000004 + 0.0im, 0.9999999999999982 + 1.6653345369377348e-16im, 1.0000000000000018 + 5.551115123125783e-16im, 0.9999999999999994 + 3.885780586188048e-16im, 0.9999999999999967 - 8.326672684688674e-17im, 0.999999999999996 + 0.0im, 1.0000000000000064 - 1.6653345369377348e-16im, 1.000000000000002 - 2.220446049250313e-16im, 1.0000000000000036 - 3.3306690738754696e-16im
0.8, 1.0000000000000022 + 4.163336342344337e-17im, 0.9999999999999971 - 1.3877787807814457e-16im, 1.0000000000000047 - 2.7755575615628914e-16im, 0.9999999999999977 + 5.551115123125783e-17im, 0.9999999999999956 + 8.326672684688674e-17im, 1.0000000000000042 + 5.551115123125783e-17im, 1.000000000000001 + 0.0im, 0.9999999999999989 + 2.7755575615628914e-17im, 1.000000000000004 + 2.220446049250313e-16im, 0.9999999999999993 + 4.996003610813204e-16im, 0.9999999999999963 + 0.0im, 0.9999999999999974 + 5.551115123125783e-17im, 1.000000000000007 - 1.6653345369377348e-16im, 1.000000000000002 - 2.220446049250313e-16im, 1.0000000000000038 - 3.3306690738754696e-16im
0.9, 1.0000000000000022 + 0.0im, 0.9999999999999964 - 1.1102230246251565e-16im, 1.000000000000004 - 4.440892098500626e-16im, 1.0000000000000002 + 5.551115123125783e-17im, 0.9999999999999969 + 1.1102230246251565e-16im, 1.0000000000000047 - 8.326672684688674e-17im, 1.0000000000000018 + 1.1102230246251565e-16im, 0.9999999999999992 + 1.1102230246251565e-16im, 1.0000000000000036 + 3.885780586188048e-16im, 0.9999999999999996 + 8.881784197001252e-16im, 0.9999999999999971 - 1.1102230246251565e-16im, 0.9999999999999972 + 0.0im, 1.0000000000000053 - 1.6653345369377348e-16im, 1.0000000000000033 - 1.942890293094024e-16im, 1.0000000000000036 - 4.440892098500626e-16im
