flowtime, d1, d2, d3
4.2, 1.000000000000001 - 4.336808689942018e-19im, 1.0000000000000044 - 6.071532165918825e-18im, 0.9999999999999771 - 3.3610267347050637e-18im
4.3, 1.0000000000000018 + 2.168404344971009e-19im, 1.0000000000000069 - 4.336808689942018e-18im, 0.9999999999999771 - 3.577867169202165e-18im
4.4, 1.0000000000000044 + 0.0im, 1.000000000000006 - 3.469446951953614e-18im, 0.9999999999999768 - 3.7947076036992655e-18im
4.5, 1.000000000000002 + 2.168404344971009e-19im, 1.0000000000000064 + 0.0im, 0.999999999999976 - 4.119968255444917e-18im
4.6, 0.9999999999999999 - 2.168404344971009e-19im, 1.0000000000000044 - 3.469446951953614e-18im, 0.9999999999999745 - 4.0115480381963664e-18im
4.7, 1.0000000000000013 + 4.336808689942018e-19im, 1.0000000000000042 - 8.673617379884035e-19im, 0.9999999999999737 - 4.336808689942018e-18im
4.8, 1.0000000000000016 + 4.336808689942018e-19im, 1.0000000000000049 - 8.673617379884035e-19im, 0.9999999999999736 - 4.445228907190568e-18im
4.9, 1.0000000000000042 + 2.168404344971009e-19im, 1.0000000000000042 + 8.673617379884035e-19im, 0.9999999999999732 - 4.87890977618477e-18im
5.0, 1.000000000000006 + 2.168404344971009e-19im, 1.0000000000000029 + 0.0im, 0.9999999999999737 - 4.9873299934333204e-18im
5.1, 1.000000000000006 + 6.505213034913027e-19im, 1.0000000000000029 - 1.734723475976807e-18im, 0.9999999999999726 - 5.095750210681871e-18im
5.2, 1.000000000000007 + 0.0im, 1.0000000000000024 - 4.336808689942018e-18im, 0.9999999999999741 - 4.87890977618477e-18im
5.3, 1.0000000000000098 - 6.505213034913027e-19im, 1.0000000000000029 - 6.071532165918825e-18im, 0.9999999999999737 - 4.553649124439119e-18im
5.4, 1.0000000000000095 - 8.673617379884035e-19im, 1.0000000000000033 - 6.938893903907228e-18im, 0.9999999999999732 - 4.553649124439119e-18im
5.5, 1.000000000000007 - 1.0842021724855044e-18im, 1.0000000000000036 - 6.071532165918825e-18im, 0.9999999999999711 - 4.7704895589362195e-18im
5.6, 1.0000000000000058 - 1.734723475976807e-18im, 1.0000000000000018 - 8.673617379884035e-18im, 0.9999999999999692 - 4.7704895589362195e-18im
5.7, 1.000000000000006 - 2.6020852139652106e-18im, 1.0000000000000009 - 6.938893903907228e-18im, 0.9999999999999662 - 4.7704895589362195e-18im
5.8, 1.0000000000000064 - 2.6020852139652106e-18im, 1.0000000000000002 - 1.1275702593849246e-17im, 0.999999999999965 - 5.095750210681871e-18im
5.9, 1.0000000000000078 - 2.168404344971009e-18im, 1.0000000000000013 - 8.673617379884035e-18im, 0.9999999999999667 - 5.5294310796760726e-18im
