flowtime, dM1R1, dM1R2, dM1R3, dM1R4, dM1R5, dM1R6, dM1R7, dM1R8, dM1R9, dM1R10, dM1R11, dM1R12, dM1R13, dM1R14, dM(mass_num)R15
0.0, 0.9999999999999999 - 1.3552527156068805e-20im, 1.0 + 0.0im, 1.0 + 0.0im, 1.0000000000000002 + 0.0im, 1.0 + 0.0im, 0.9999999999999997 + 0.0im, 1.0 + 1.0842021724855044e-19im, 0.9999999999999999 + 0.0im, 0.9999999999999999 + 8.673617379884035e-19im, 1.0 + 0.0im, 1.0 - 3.469446951953614e-18im, 0.9999999999999999 + 8.673617379884035e-19im, 1.0000000000000002 - 8.673617379884035e-19im, 1.0 + 0.0im, 0.9999999999999999 + 3.469446951953614e-18im
0.1, 0.9999999999999994 + 1.734723475976807e-18im, 0.9999999999999998 - 4.336808689942018e-19im, 1.000000000000001 - 2.168404344971009e-18im, 0.9999999999999997 + 1.214306433183765e-17im, 0.9999999999999972 + 6.938893903907228e-18im, 0.9999999999999991 + 1.734723475976807e-18im, 0.9999999999999994 + 6.938893903907228e-18im, 0.9999999999999991 + 1.734723475976807e-18im, 0.9999999999999977 + 3.469446951953614e-18im, 1.0000000000000018 + 5.204170427930421e-18im, 1.0000000000000002 + 1.3877787807814457e-17im, 1.000000000000001 + 2.6020852139652106e-18im, 1.0 - 2.168404344971009e-19im, 0.9999999999999994 + 3.469446951953614e-18im, 1.0000000000000007 + 1.734723475976807e-18im
0.2, 0.9999999999999989 + 1.734723475976807e-18im, 0.9999999999999994 + 8.673617379884035e-19im, 1.0000000000000002 - 2.4936649967166602e-18im, 0.9999999999999979 + 1.1492543028346347e-17im, 0.9999999999999979 + 1.3877787807814457e-17im, 0.9999999999999989 + 0.0im, 1.0000000000000009 + 3.469446951953614e-17im, 0.9999999999999992 + 3.469446951953614e-18im, 1.0000000000000004 + 5.204170427930421e-18im, 1.0000000000000013 + 1.734723475976807e-18im, 1.000000000000001 + 6.938893903907228e-18im, 0.9999999999999991 + 1.734723475976807e-18im, 1.0000000000000016 + 0.0im, 0.999999999999999 + 3.469446951953614e-18im, 0.9999999999999998 + 7.806255641895632e-18im
0.3, 0.9999999999999993 - 3.469446951953614e-18im, 1.0000000000000009 + 1.0842021724855044e-18im, 0.9999999999999999 - 2.1141942363467336e-18im, 0.9999999999999997 + 1.0408340855860843e-17im, 0.9999999999999996 + 1.734723475976807e-17im, 0.9999999999999999 + 8.673617379884035e-19im, 1.0000000000000004 + 4.163336342344337e-17im, 0.9999999999999997 + 1.3877787807814457e-17im, 1.0000000000000018 + 3.469446951953614e-18im, 1.000000000000001 + 6.938893903907228e-18im, 1.0000000000000016 + 0.0im, 1.0000000000000007 + 4.336808689942018e-19im, 1.0000000000000033 + 0.0im, 0.9999999999999981 + 6.938893903907228e-18im, 1.0000000000000002 + 6.938893903907228e-18im
0.4, 1.0000000000000007 - 6.938893903907228e-18im, 1.0000000000000002 + 1.5178830414797062e-18im, 1.0 - 2.3852447794681098e-18im, 1.000000000000002 + 9.974659986866641e-18im, 0.9999999999999983 + 3.469446951953614e-18im, 1.0000000000000007 + 1.734723475976807e-18im, 1.0000000000000004 + 2.0816681711721685e-17im, 0.9999999999999981 + 1.734723475976807e-17im, 1.0000000000000016 + 8.673617379884035e-18im, 1.0000000000000022 + 1.734723475976807e-18im, 1.0000000000000018 + 0.0im, 0.9999999999999996 - 4.336808689942018e-19im, 1.000000000000004 - 1.734723475976807e-18im, 0.9999999999999984 + 0.0im, 0.9999999999999997 + 6.938893903907228e-18im
0.5, 1.0000000000000007 - 3.469446951953614e-18im, 1.0000000000000002 + 1.8431436932253575e-18im, 1.0000000000000002 - 2.4936649967166602e-18im, 1.0000000000000007 + 8.239936510889834e-18im, 0.9999999999999991 + 3.469446951953614e-18im, 0.9999999999999983 + 8.673617379884035e-19im, 1.0000000000000009 + 2.0816681711721685e-17im, 0.999999999999998 + 2.42861286636753e-17im, 1.000000000000002 + 8.673617379884035e-18im, 1.0000000000000038 + 5.204170427930421e-18im, 1.0000000000000009 + 0.0im, 0.9999999999999986 - 1.734723475976807e-18im, 1.0000000000000036 - 8.673617379884035e-19im, 0.9999999999999973 + 1.734723475976807e-18im, 0.9999999999999993 + 8.673617379884035e-18im
0.6, 0.9999999999999978 - 3.469446951953614e-18im, 1.000000000000001 + 1.951563910473908e-18im, 1.0000000000000009 - 2.8189256484623115e-18im, 1.0000000000000022 + 9.974659986866641e-18im, 0.9999999999999999 + 1.0408340855860843e-17im, 1.0000000000000002 - 8.673617379884035e-19im, 0.9999999999999999 + 0.0im, 0.9999999999999964 + 2.42861286636753e-17im, 1.0000000000000013 + 1.214306433183765e-17im, 1.000000000000004 - 3.469446951953614e-18im, 0.9999999999999998 + 6.938893903907228e-18im, 1.0000000000000004 - 1.3010426069826053e-18im, 1.000000000000003 + 4.336808689942018e-19im, 0.9999999999999943 + 0.0im, 1.0 + 1.3877787807814457e-17im
0.7, 0.9999999999999992 - 3.469446951953614e-18im, 0.9999999999999999 + 9.75781955236954e-19im, 0.9999999999999988 - 2.6020852139652106e-18im, 1.0000000000000029 + 8.673617379884035e-18im, 0.999999999999998 + 6.938893903907228e-18im, 0.9999999999999999 + 2.6020852139652106e-18im, 1.0 + 6.938893903907228e-18im, 0.9999999999999964 + 3.8163916471489756e-17im, 1.000000000000002 + 8.673617379884035e-18im, 1.0000000000000047 - 5.204170427930421e-18im, 0.9999999999999996 + 1.0408340855860843e-17im, 1.0000000000000007 - 1.3010426069826053e-18im, 1.0000000000000033 + 0.0im, 0.9999999999999956 + 1.734723475976807e-18im, 0.9999999999999992 + 1.214306433183765e-17im
0.8, 0.9999999999999984 + 6.938893903907228e-18im, 0.9999999999999994 + 1.1926223897340549e-18im, 0.9999999999999979 - 2.710505431213761e-18im, 1.0000000000000022 + 9.540979117872439e-18im, 0.9999999999999977 + 3.469446951953614e-18im, 1.000000000000001 + 8.673617379884035e-19im, 1.000000000000002 + 3.122502256758253e-17im, 0.9999999999999973 + 3.8163916471489756e-17im, 1.0000000000000024 + 5.204170427930421e-18im, 1.0000000000000058 - 1.3877787807814457e-17im, 1.0000000000000022 + 1.0408340855860843e-17im, 1.0 - 1.0842021724855044e-18im, 1.0000000000000056 - 8.673617379884035e-19im, 0.9999999999999983 + 0.0im, 1.0 + 1.214306433183765e-17im
0.9, 0.9999999999999987 + 6.938893903907228e-18im, 0.999999999999999 + 1.0028870095490916e-18im, 0.9999999999999967 - 2.927345865710862e-18im, 1.0000000000000022 + 1.0408340855860843e-17im, 0.999999999999999 + 6.938893903907228e-18im, 1.0000000000000018 + 3.469446951953614e-18im, 1.0000000000000016 + 2.42861286636753e-17im, 0.9999999999999952 + 2.7755575615628914e-17im, 1.0000000000000022 + 1.3877787807814457e-17im, 1.000000000000006 - 8.673617379884035e-18im, 1.0000000000000033 + 3.469446951953614e-18im, 1.000000000000003 - 1.3010426069826053e-18im, 1.000000000000005 - 4.336808689942018e-19im, 1.0000000000000002 - 1.734723475976807e-18im, 1.0000000000000004 + 1.3877787807814457e-17im
