flowtime, dM3R1, dM3R2, dM3R3, dM3R4, dM3R5, dM3R6, dM3R7, dM3R8, dM3R9, dM3R10, dM3R11, dM3R12, dM3R13, dM3R14, dM3R15, dM3R16, dM3R17, dM3R18, dM3R19, dM(mass_num)R20
0.0, 0.9999999999999999 + 0.0im, 1.0 + 1.734723475976807e-18im, 0.9999999999999997 + 0.0im, 1.0000000000000002 + 1.3877787807814457e-17im, 0.9999999999999999 - 1.3877787807814457e-17im, 1.0 + 0.0im, 1.0 + 0.0im, 0.9999999999999997 + 0.0im, 0.9999999999999999 + 0.0im, 0.9999999999999998 - 3.469446951953614e-18im, 0.9999999999999999 + 0.0im, 1.0000000000000002 + 0.0im, 0.9999999999999999 + 6.938893903907228e-18im, 1.0 + 6.938893903907228e-18im, 1.0 - 1.734723475976807e-18im, 1.0 - 1.734723475976807e-18im, 1.0000000000000002 + 0.0im, 1.0 + 0.0im, 1.0 + 8.673617379884035e-19im, 0.9999999999999999 + 0.0im
0.1, 0.9999999999999979 + 6.938893903907228e-18im, 0.9999999999999988 + 6.938893903907228e-18im, 1.0000000000000002 + 0.0im, 1.0000000000000029 - 1.3877787807814457e-17im, 1.0000000000000009 + 4.163336342344337e-17im, 1.0000000000000004 + 6.938893903907228e-18im, 1.0000000000000009 - 3.469446951953614e-18im, 0.9999999999999998 + 2.6020852139652106e-18im, 1.0000000000000009 + 6.938893903907228e-18im, 1.0000000000000002 - 3.469446951953614e-18im, 0.9999999999999968 + 0.0im, 1.0000000000000002 - 1.3877787807814457e-17im, 1.0 - 3.469446951953614e-17im, 0.9999999999999991 - 3.469446951953614e-17im, 1.0000000000000009 + 1.734723475976807e-18im, 1.0000000000000002 + 0.0im, 0.9999999999999989 + 6.938893903907228e-18im, 1.0000000000000002 - 4.7704895589362195e-18im, 1.0000000000000002 + 3.469446951953614e-18im, 0.9999999999999996 - 6.938893903907228e-18im
0.2, 0.9999999999999993 + 0.0im, 0.9999999999999986 + 6.938893903907228e-18im, 1.0000000000000007 + 0.0im, 1.000000000000004 - 4.163336342344337e-17im, 1.0000000000000009 + 2.7755575615628914e-17im, 1.000000000000001 + 3.469446951953614e-18im, 0.9999999999999992 + 2.6020852139652106e-18im, 0.9999999999999993 - 9.75781955236954e-19im, 0.9999999999999974 - 2.0816681711721685e-17im, 1.0000000000000009 + 3.469446951953614e-18im, 0.9999999999999969 - 2.7755575615628914e-17im, 0.9999999999999993 - 6.938893903907228e-18im, 1.0000000000000007 - 4.163336342344337e-17im, 1.0000000000000004 - 3.122502256758253e-17im, 1.0000000000000013 - 6.071532165918825e-18im, 0.9999999999999982 + 0.0im, 0.9999999999999993 - 1.3877787807814457e-17im, 0.999999999999997 - 6.071532165918825e-18im, 0.9999999999999993 + 6.938893903907228e-18im, 1.0000000000000018 + 0.0im
0.3, 0.9999999999999991 - 3.469446951953614e-18im, 1.0000000000000002 + 5.204170427930421e-18im, 0.9999999999999993 - 3.469446951953614e-18im, 1.000000000000005 - 4.163336342344337e-17im, 1.0000000000000007 + 4.163336342344337e-17im, 1.0000000000000024 + 3.469446951953614e-18im, 0.9999999999999978 + 3.903127820947816e-18im, 1.000000000000001 + 0.0im, 0.9999999999999977 - 2.0816681711721685e-17im, 1.000000000000001 + 1.0408340855860843e-17im, 0.9999999999999973 - 2.7755575615628914e-17im, 0.9999999999999994 - 6.938893903907228e-18im, 1.000000000000002 - 5.551115123125783e-17im, 1.0000000000000009 - 1.734723475976807e-17im, 1.0000000000000009 - 6.938893903907228e-18im, 0.999999999999998 + 8.673617379884035e-19im, 1.0 - 6.938893903907228e-18im, 0.9999999999999963 - 5.204170427930421e-18im, 0.9999999999999997 + 6.938893903907228e-18im, 1.000000000000002 - 6.938893903907228e-18im
0.4, 1.0 + 0.0im, 0.9999999999999996 + 5.204170427930421e-18im, 0.9999999999999988 + 3.469446951953614e-18im, 1.000000000000004 - 6.245004513516506e-17im, 1.0000000000000013 + 4.163336342344337e-17im, 1.0000000000000016 + 3.469446951953614e-18im, 0.9999999999999981 + 6.5052130349130266e-18im, 1.0000000000000029 + 0.0im, 0.9999999999999989 - 1.734723475976807e-17im, 1.0000000000000004 + 2.42861286636753e-17im, 0.9999999999999958 - 2.7755575615628914e-17im, 0.9999999999999981 - 6.938893903907228e-18im, 1.0000000000000029 - 4.85722573273506e-17im, 0.9999999999999998 - 1.3877787807814457e-17im, 1.0000000000000022 - 1.0408340855860843e-17im, 0.9999999999999993 + 3.469446951953614e-18im, 1.000000000000001 - 1.3877787807814457e-17im, 0.9999999999999968 - 1.0408340855860843e-17im, 0.999999999999999 + 7.806255641895632e-18im, 1.0000000000000013 + 1.0408340855860843e-17im
0.5, 1.0000000000000002 - 3.469446951953614e-18im, 0.9999999999999982 + 1.734723475976807e-18im, 0.9999999999999957 - 1.734723475976807e-18im, 1.0000000000000036 - 6.245004513516506e-17im, 1.0000000000000009 + 1.3877787807814457e-17im, 1.0000000000000024 - 3.469446951953614e-18im, 0.9999999999999973 + 6.7220534694101275e-18im, 1.0000000000000029 - 8.673617379884035e-19im, 0.9999999999999993 - 2.42861286636753e-17im, 1.000000000000004 + 2.7755575615628914e-17im, 0.9999999999999942 - 1.3877787807814457e-17im, 0.9999999999999996 - 1.734723475976807e-17im, 1.0 - 3.469446951953614e-17im, 1.0000000000000007 - 1.734723475976807e-17im, 1.0000000000000013 - 6.938893903907228e-18im, 0.9999999999999974 + 5.204170427930421e-18im, 1.0000000000000016 - 2.42861286636753e-17im, 0.9999999999999991 - 1.0408340855860843e-17im, 0.9999999999999987 + 1.214306433183765e-17im, 1.0000000000000004 + 1.0408340855860843e-17im
0.6, 1.0000000000000016 + 3.469446951953614e-18im, 0.9999999999999991 - 1.734723475976807e-18im, 0.9999999999999969 + 3.469446951953614e-18im, 1.0000000000000027 - 5.551115123125783e-17im, 1.0000000000000004 + 1.3877787807814457e-17im, 1.0000000000000042 + 0.0im, 0.9999999999999969 + 6.288372600415926e-18im, 1.0000000000000038 - 1.734723475976807e-18im, 0.999999999999999 - 1.9081958235744878e-17im, 1.0000000000000038 + 2.42861286636753e-17im, 0.9999999999999931 - 1.3877787807814457e-17im, 1.0000000000000004 - 3.469446951953614e-18im, 1.0000000000000018 - 5.204170427930421e-17im, 1.000000000000003 - 1.734723475976807e-17im, 1.000000000000002 - 6.071532165918825e-18im, 0.999999999999998 + 4.336808689942018e-18im, 1.0000000000000024 - 3.469446951953614e-17im, 0.9999999999999974 - 1.3877787807814457e-17im, 1.0000000000000013 + 1.3877787807814457e-17im, 1.000000000000002 + 3.469446951953614e-18im
0.7, 1.0000000000000033 - 3.469446951953614e-18im, 1.0000000000000038 - 4.336808689942018e-18im, 0.9999999999999987 - 3.469446951953614e-18im, 1.000000000000001 - 4.85722573273506e-17im, 1.0000000000000013 + 6.938893903907228e-18im, 1.0000000000000056 - 3.469446951953614e-18im, 0.9999999999999987 + 5.421010862427522e-18im, 1.0000000000000033 + 5.204170427930421e-18im, 0.999999999999999 - 1.8214596497756474e-17im, 1.0000000000000038 + 2.42861286636753e-17im, 0.9999999999999941 - 2.7755575615628914e-17im, 0.9999999999999989 - 6.938893903907228e-18im, 1.0000000000000022 - 5.204170427930421e-17im, 1.0000000000000018 - 1.0408340855860843e-17im, 1.0000000000000033 - 7.806255641895632e-18im, 0.9999999999999989 + 6.938893903907228e-18im, 1.000000000000001 - 2.0816681711721685e-17im, 0.9999999999999982 - 1.3877787807814457e-17im, 1.000000000000002 + 1.5612511283791264e-17im, 0.9999999999999992 + 3.469446951953614e-18im
0.8, 1.0000000000000036 - 1.0408340855860843e-17im, 1.0000000000000044 - 4.336808689942018e-18im, 0.9999999999999992 + 1.734723475976807e-18im, 0.9999999999999999 - 4.163336342344337e-17im, 1.000000000000002 + 1.3877787807814457e-17im, 1.0000000000000053 + 1.734723475976807e-18im, 1.0000000000000009 + 5.637851296924623e-18im, 1.000000000000003 + 0.0im, 0.9999999999999983 - 1.5612511283791264e-17im, 1.000000000000003 + 2.6020852139652106e-17im, 0.9999999999999915 - 2.42861286636753e-17im, 0.999999999999999 - 6.938893903907228e-18im, 1.0000000000000024 - 5.551115123125783e-17im, 1.0000000000000018 - 1.0408340855860843e-17im, 1.000000000000003 - 6.938893903907228e-18im, 0.9999999999999997 + 6.938893903907228e-18im, 0.9999999999999999 - 2.42861286636753e-17im, 0.9999999999999971 - 2.0816681711721685e-17im, 1.0000000000000029 + 1.474514954580286e-17im, 0.9999999999999968 - 6.938893903907228e-18im
0.9, 1.000000000000006 - 1.734723475976807e-17im, 1.0000000000000049 - 3.469446951953614e-18im, 0.9999999999999999 + 0.0im, 1.0000000000000016 - 3.469446951953614e-17im, 1.000000000000001 + 1.734723475976807e-17im, 1.0000000000000056 - 3.469446951953614e-18im, 1.000000000000002 + 6.071532165918825e-18im, 1.0000000000000022 + 1.734723475976807e-18im, 0.9999999999999989 - 1.474514954580286e-17im, 1.0000000000000024 + 2.42861286636753e-17im, 0.9999999999999912 - 3.122502256758253e-17im, 0.9999999999999976 - 1.734723475976807e-17im, 1.0000000000000022 - 5.551115123125783e-17im, 1.000000000000001 - 8.673617379884035e-18im, 1.0000000000000027 - 7.15573433840433e-18im, 0.9999999999999987 + 9.107298248878237e-18im, 0.9999999999999984 - 2.2551405187698492e-17im, 0.9999999999999984 - 1.734723475976807e-17im, 1.0000000000000027 + 1.214306433183765e-17im, 0.9999999999999968 - 1.3877787807814457e-17im
1.0, 1.0000000000000056 - 1.9081958235744878e-17im, 1.0000000000000047 - 8.673617379884035e-19im, 1.0000000000000002 - 6.938893903907228e-18im, 1.0000000000000007 - 4.163336342344337e-17im, 1.0000000000000016 + 1.734723475976807e-17im, 1.000000000000006 - 5.204170427930421e-18im, 1.0 + 6.071532165918825e-18im, 1.0000000000000022 - 1.734723475976807e-18im, 0.9999999999999994 - 1.5070410197548512e-17im, 1.0000000000000038 + 2.949029909160572e-17im, 0.9999999999999922 - 2.42861286636753e-17im, 0.9999999999999967 - 1.9081958235744878e-17im, 1.0000000000000024 - 5.898059818321144e-17im, 1.0000000000000016 - 1.5612511283791264e-17im, 1.0000000000000022 - 6.830473686658678e-18im, 1.0 + 8.239936510889834e-18im, 0.9999999999999979 - 1.9949319973733282e-17im, 0.9999999999999958 - 2.42861286636753e-17im, 1.000000000000002 + 1.1275702593849246e-17im, 0.9999999999999988 - 1.3877787807814457e-17im
1.1, 1.0000000000000053 - 1.734723475976807e-17im, 1.0000000000000053 - 2.6020852139652106e-18im, 0.9999999999999999 - 5.204170427930421e-18im, 1.0000000000000018 - 4.5102810375396984e-17im, 1.000000000000002 + 6.938893903907228e-18im, 1.0000000000000073 - 8.673617379884035e-18im, 1.0 + 7.806255641895632e-18im, 1.000000000000001 - 8.673617379884035e-18im, 0.9999999999999999 - 1.5612511283791264e-17im, 1.0000000000000044 + 3.642919299551295e-17im, 0.9999999999999925 - 3.469446951953614e-17im, 0.9999999999999988 - 1.9081958235744878e-17im, 1.0000000000000022 - 5.551115123125783e-17im, 1.000000000000003 - 1.5612511283791264e-17im, 1.0000000000000009 - 5.854691731421724e-18im, 0.999999999999999 + 9.107298248878237e-18im, 0.9999999999999968 - 1.8214596497756474e-17im, 0.9999999999999966 - 1.3877787807814457e-17im, 1.0000000000000013 + 1.3010426069826053e-17im, 1.0 - 1.5612511283791264e-17im
1.2, 1.0000000000000053 - 1.5612511283791264e-17im, 1.0000000000000062 - 1.734723475976807e-18im, 0.9999999999999976 - 3.469446951953614e-18im, 1.0000000000000016 - 4.163336342344337e-17im, 1.0000000000000007 - 6.938893903907228e-18im, 1.0000000000000102 - 8.673617379884035e-18im, 0.9999999999999992 + 6.938893903907228e-18im, 1.0000000000000027 - 5.204170427930421e-18im, 1.000000000000001 - 1.734723475976807e-17im, 1.0000000000000044 + 3.2959746043559335e-17im, 0.9999999999999913 - 3.122502256758253e-17im, 0.9999999999999988 - 2.6020852139652106e-17im, 1.0000000000000018 - 6.591949208711867e-17im, 1.0000000000000042 - 1.3877787807814457e-17im, 0.9999999999999986 - 6.938893903907228e-18im, 1.0000000000000004 + 9.107298248878237e-18im, 0.9999999999999978 - 1.691355389077387e-17im, 0.9999999999999992 + 0.0im, 1.0000000000000013 + 1.1275702593849246e-17im, 1.0000000000000007 - 1.5612511283791264e-17im
1.3, 1.000000000000007 - 2.42861286636753e-17im, 1.0000000000000075 + 2.6020852139652106e-18im, 0.999999999999998 - 3.469446951953614e-18im, 1.0000000000000024 - 4.163336342344337e-17im, 1.0000000000000009 - 6.938893903907228e-18im, 1.0000000000000109 - 6.938893903907228e-18im, 1.0000000000000004 + 7.806255641895632e-18im, 1.0000000000000033 - 5.204170427930421e-18im, 1.0000000000000013 - 1.734723475976807e-17im, 1.000000000000003 + 3.122502256758253e-17im, 0.9999999999999921 - 1.734723475976807e-17im, 0.9999999999999977 - 2.6020852139652106e-17im, 1.0000000000000016 - 6.591949208711867e-17im, 1.0000000000000033 - 1.5612511283791264e-17im, 0.9999999999999971 - 6.5052130349130266e-18im, 1.0 + 9.107298248878237e-18im, 0.9999999999999976 - 1.7672495411513722e-17im, 0.9999999999999984 - 2.0816681711721685e-17im, 1.0000000000000013 + 1.3877787807814457e-17im, 1.0000000000000007 - 1.0408340855860843e-17im
1.4, 1.0000000000000082 - 3.122502256758253e-17im, 1.000000000000008 + 2.6020852139652106e-18im, 0.9999999999999988 - 1.734723475976807e-18im, 1.0000000000000022 - 2.42861286636753e-17im, 1.0000000000000013 - 3.469446951953614e-18im, 1.000000000000011 - 6.938893903907228e-18im, 0.9999999999999997 + 6.938893903907228e-18im, 1.0000000000000053 - 3.469446951953614e-18im, 1.0000000000000013 - 1.9949319973733282e-17im, 1.0000000000000022 + 3.469446951953614e-17im, 0.9999999999999921 - 6.938893903907228e-18im, 0.999999999999999 - 2.2551405187698492e-17im, 1.000000000000002 - 6.591949208711867e-17im, 1.0000000000000042 - 1.6479873021779667e-17im, 0.9999999999999974 - 2.6020852139652106e-18im, 0.9999999999999994 + 9.324138683375338e-18im, 0.9999999999999958 - 1.734723475976807e-17im, 0.9999999999999999 - 3.122502256758253e-17im, 1.000000000000002 + 1.474514954580286e-17im, 1.0000000000000004 - 6.938893903907228e-18im
1.5, 1.0000000000000067 - 2.42861286636753e-17im, 1.0000000000000102 + 4.336808689942018e-18im, 1.0000000000000007 - 3.469446951953614e-18im, 1.0000000000000024 - 3.122502256758253e-17im, 1.0000000000000007 - 5.204170427930421e-18im, 1.000000000000013 - 6.938893903907228e-18im, 0.9999999999999973 + 1.0408340855860843e-17im, 1.000000000000006 - 1.734723475976807e-18im, 1.0000000000000022 - 2.2551405187698492e-17im, 1.0000000000000002 + 4.163336342344337e-17im, 0.9999999999999925 - 1.3877787807814457e-17im, 0.9999999999999989 - 2.6020852139652106e-17im, 1.0000000000000016 - 5.898059818321144e-17im, 1.000000000000004 - 1.3877787807814457e-17im, 0.9999999999999962 - 1.3010426069826053e-18im, 0.9999999999999993 + 1.0191500421363742e-17im, 0.9999999999999959 - 1.6696713456276768e-17im, 0.9999999999999993 - 1.734723475976807e-17im, 1.0000000000000033 + 1.3877787807814457e-17im, 0.9999999999999998 - 8.673617379884035e-18im
1.6, 1.0000000000000062 - 1.474514954580286e-17im, 1.0000000000000109 + 4.7704895589362195e-18im, 0.9999999999999993 - 5.204170427930421e-18im, 1.000000000000002 - 3.122502256758253e-17im, 1.000000000000002 - 5.204170427930421e-18im, 1.000000000000013 - 7.806255641895632e-18im, 0.9999999999999974 + 1.5612511283791264e-17im, 1.0000000000000047 - 5.204170427930421e-18im, 1.0000000000000022 - 2.42861286636753e-17im, 1.0000000000000013 + 4.336808689942018e-17im, 0.9999999999999934 - 1.5612511283791264e-17im, 0.9999999999999996 - 3.122502256758253e-17im, 1.000000000000001 - 6.245004513516506e-17im, 1.0000000000000056 - 1.214306433183765e-17im, 0.9999999999999956 + 0.0im, 0.9999999999999996 + 1.0625181290357943e-17im, 0.9999999999999947 - 1.734723475976807e-17im, 0.9999999999999977 - 2.42861286636753e-17im, 1.0000000000000022 + 1.734723475976807e-17im, 0.9999999999999999 + 0.0im
1.7, 1.0000000000000069 - 1.6479873021779667e-17im, 1.0000000000000104 + 6.071532165918825e-18im, 0.9999999999999981 - 6.938893903907228e-18im, 1.0000000000000009 - 3.2959746043559335e-17im, 1.0000000000000022 - 1.0408340855860843e-17im, 1.000000000000015 - 5.204170427930421e-18im, 0.9999999999999971 + 8.673617379884035e-18im, 1.0000000000000027 - 3.469446951953614e-18im, 1.0000000000000033 - 2.3418766925686896e-17im, 1.0000000000000016 + 5.0306980803327406e-17im, 0.9999999999999926 - 1.734723475976807e-17im, 1.0000000000000009 - 2.949029909160572e-17im, 1.0000000000000009 - 6.245004513516506e-17im, 1.0000000000000047 - 9.974659986866641e-18im, 0.9999999999999947 + 1.734723475976807e-18im, 0.999999999999998 + 1.0408340855860843e-17im, 0.9999999999999944 - 1.9081958235744878e-17im, 0.9999999999999972 - 3.469446951953614e-17im, 1.000000000000004 + 1.5612511283791264e-17im, 1.0000000000000018 - 3.469446951953614e-18im
1.8, 1.0000000000000064 - 2.0816681711721685e-17im, 1.0000000000000102 + 5.204170427930421e-18im, 0.9999999999999987 - 3.469446951953614e-18im, 1.0000000000000007 - 3.642919299551295e-17im, 1.0000000000000027 - 1.3877787807814457e-17im, 1.0000000000000184 - 7.806255641895632e-18im, 0.9999999999999992 + 1.3877787807814457e-17im, 1.0000000000000013 - 3.469446951953614e-18im, 1.000000000000002 - 2.168404344971009e-17im, 1.0000000000000009 + 5.551115123125783e-17im, 0.9999999999999919 - 1.9081958235744878e-17im, 1.0000000000000002 - 3.2959746043559335e-17im, 1.0000000000000022 - 6.938893903907228e-17im, 1.0000000000000042 - 1.0408340855860843e-17im, 0.9999999999999934 + 1.734723475976807e-18im, 0.9999999999999971 + 1.0842021724855044e-17im, 0.9999999999999949 - 1.8648277366750676e-17im, 0.9999999999999967 - 5.204170427930421e-17im, 1.0000000000000009 + 1.3010426069826053e-17im, 1.0000000000000027 - 1.734723475976807e-18im
1.9, 1.0000000000000073 - 1.6479873021779667e-17im, 1.000000000000011 + 3.903127820947816e-18im, 1.0000000000000009 - 1.0408340855860843e-17im, 1.0000000000000022 - 2.7755575615628914e-17im, 1.000000000000002 - 1.3877787807814457e-17im, 1.0000000000000182 - 7.806255641895632e-18im, 1.0000000000000004 + 2.6020852139652106e-17im, 1.000000000000001 - 8.673617379884035e-18im, 1.000000000000003 - 2.0816681711721685e-17im, 1.0000000000000027 + 5.377642775528102e-17im, 0.9999999999999922 - 2.0816681711721685e-17im, 1.0000000000000004 - 3.642919299551295e-17im, 1.0000000000000007 - 6.765421556309548e-17im, 1.0000000000000053 - 1.0408340855860843e-17im, 0.9999999999999928 - 8.673617379884035e-19im, 0.9999999999999948 + 1.0191500421363742e-17im, 0.9999999999999954 - 1.9081958235744878e-17im, 0.9999999999999972 - 4.5102810375396984e-17im, 1.000000000000001 + 1.6479873021779667e-17im, 1.000000000000002 + 1.734723475976807e-18im
2.0, 1.000000000000006 - 2.0816681711721685e-17im, 1.0000000000000129 + 6.071532165918825e-18im, 1.0000000000000013 - 3.469446951953614e-18im, 1.0000000000000038 - 2.7755575615628914e-17im, 1.0000000000000002 - 1.214306433183765e-17im, 1.0000000000000175 - 6.071532165918825e-18im, 1.0000000000000022 + 3.469446951953614e-17im, 1.000000000000001 - 1.734723475976807e-18im, 1.0000000000000007 - 2.42861286636753e-17im, 1.0000000000000038 + 4.683753385137379e-17im, 0.9999999999999938 - 1.734723475976807e-17im, 0.9999999999999996 - 3.8163916471489756e-17im, 1.0000000000000004 - 7.112366251504909e-17im, 1.0000000000000073 - 9.75781955236954e-18im, 0.9999999999999927 - 1.734723475976807e-18im, 0.9999999999999946 + 1.0191500421363742e-17im, 0.999999999999995 - 2.0816681711721685e-17im, 0.9999999999999981 - 4.683753385137379e-17im, 0.9999999999999992 + 1.6479873021779667e-17im, 1.0000000000000018 + 1.734723475976807e-18im
2.1, 1.0000000000000038 - 1.9949319973733282e-17im, 1.000000000000014 + 5.637851296924623e-18im, 1.0000000000000022 - 8.673617379884035e-18im, 1.0000000000000009 - 2.949029909160572e-17im, 1.0000000000000007 - 1.3877787807814457e-17im, 1.0000000000000184 - 5.204170427930421e-18im, 1.0000000000000013 + 2.6020852139652106e-17im, 1.0000000000000016 + 0.0im, 1.0000000000000007 - 2.3418766925686896e-17im, 1.0000000000000036 + 5.724587470723463e-17im, 0.9999999999999938 - 2.2551405187698492e-17im, 0.9999999999999992 - 3.8163916471489756e-17im, 0.9999999999999998 - 7.112366251504909e-17im, 1.0000000000000069 - 9.947554932554503e-18im, 0.9999999999999921 + 0.0im, 0.9999999999999958 + 1.0408340855860843e-17im, 0.9999999999999972 - 1.9949319973733282e-17im, 0.999999999999999 - 4.85722573273506e-17im, 0.9999999999999986 + 1.6479873021779667e-17im, 1.0000000000000027 + 3.469446951953614e-18im
2.2, 1.0000000000000009 - 1.9081958235744878e-17im, 1.0000000000000173 + 5.204170427930421e-18im, 1.0000000000000016 - 1.214306433183765e-17im, 0.9999999999999998 - 3.469446951953614e-17im, 1.0000000000000018 - 1.3877787807814457e-17im, 1.0000000000000198 - 5.204170427930421e-18im, 1.0000000000000013 + 2.949029909160572e-17im, 1.0000000000000016 + 0.0im, 1.0000000000000024 - 2.5153490401663703e-17im, 1.0000000000000042 + 5.811323644522304e-17im, 0.9999999999999953 - 2.42861286636753e-17im, 0.9999999999999969 - 3.5561831257524545e-17im, 0.9999999999999999 - 7.112366251504909e-17im, 1.0000000000000073 - 9.974659986866641e-18im, 0.9999999999999926 - 8.673617379884035e-19im, 0.9999999999999952 + 9.974659986866641e-18im, 0.9999999999999989 - 1.9949319973733282e-17im, 1.0 - 5.551115123125783e-17im, 0.9999999999999983 + 1.3877787807814457e-17im, 1.0000000000000033 + 1.734723475976807e-18im
