flowtime, d1, d2, d3
0.0, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
0.1, 0.9999999999999966 - 4.996003610813204e-16im, 1.0000000000000002 - 1.27675647831893e-15im, 1.0000000000000009 + 2.7755575615628914e-16im
0.2, 0.9999999999999967 + 3.3306690738754696e-16im, 1.0 - 4.6074255521944e-15im, 1.0000000000000009 + 1.6653345369377348e-16im
0.3, 0.9999999999999942 + 9.43689570931383e-16im, 1.0000000000000016 - 4.746203430272544e-15im, 1.0000000000000007 + 0.0im
0.4, 0.9999999999999956 + 1.4432899320127035e-15im, 1.000000000000001 - 4.898859096158503e-15im, 1.0000000000000053 + 3.885780586188048e-16im
0.5, 0.9999999999999949 + 6.661338147750939e-16im, 1.0000000000000033 - 5.10702591327572e-15im, 1.000000000000004 + 7.771561172376096e-16im
0.6, 0.9999999999999903 + 1.4988010832439613e-15im, 1.0000000000000044 - 4.9404924595819466e-15im, 1.0000000000000036 + 8.326672684688674e-16im
0.7, 0.9999999999999907 + 2.275957200481571e-15im, 1.0000000000000075 - 4.107825191113079e-15im, 1.0000000000000013 + 1.1102230246251565e-15im
0.8, 0.9999999999999917 + 2.1649348980190553e-15im, 1.0000000000000113 - 6.8833827526759706e-15im, 1.0000000000000078 - 8.049116928532385e-16im
0.9, 0.9999999999999896 + 3.1225022567582528e-15im, 1.0000000000000058 - 8.229528170033973e-15im, 1.0000000000000073 - 2.9976021664879227e-15im
1.0, 0.9999999999999885 + 4.829470157119431e-15im, 1.0000000000000075 - 9.992007221626409e-15im, 1.0000000000000087 - 3.851086116668512e-15im
1.1, 0.9999999999999903 + 5.717648576819556e-15im, 1.0000000000000082 - 7.13318293321663e-15im, 1.0000000000000082 - 2.4424906541753444e-15im
1.2, 0.9999999999999929 + 5.662137425588298e-15im, 1.0000000000000067 - 8.93729534823251e-15im, 1.0000000000000124 - 3.3306690738754696e-16im
