flowtime, dM1R1, dM1R2, dM1R3, dM1R4, dM1R5, dM1R6, dM1R7, dM1R8, dM1R9, dM1R10, dM1R11, dM1R12, dM1R13, dM1R14, dM(mass_num)R15
0.0, 1.0 + 0.0im, 1.0 + 1.0842021724855044e-19im, 1.0 - 4.336808689942018e-19im, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 - 3.469446951953614e-18im, 1.0000000000000002 - 3.469446951953614e-18im, 1.0 - 3.469446951953614e-18im, 0.9999999999999999 + 1.734723475976807e-18im, 1.0000000000000002 + 0.0im, 1.0000000000000002 + 1.0842021724855044e-19im, 0.9999999999999999 + 0.0im, 1.0 - 2.168404344971009e-19im, 1.0000000000000002 - 3.469446951953614e-18im, 0.9999999999999999 - 8.673617379884035e-19im
0.1, 0.9999999999999996 + 1.734723475976807e-18im, 1.0000000000000009 - 4.336808689942018e-19im, 0.9999999999999982 - 6.071532165918825e-18im, 1.0000000000000009 - 2.0599841277224584e-18im, 1.0000000000000007 - 3.469446951953614e-18im, 1.0000000000000004 + 1.3010426069826053e-18im, 0.9999999999999988 + 6.938893903907228e-18im, 1.0000000000000004 + 3.469446951953614e-18im, 1.0000000000000007 + 0.0im, 1.0000000000000009 + 3.0357660829594124e-18im, 0.9999999999999998 - 2.168404344971009e-19im, 1.0000000000000009 - 2.0816681711721685e-17im, 0.9999999999999996 - 4.336808689942018e-19im, 1.0000000000000027 + 5.854691731421724e-18im, 1.0000000000000016 + 4.336808689942018e-19im
0.2, 0.9999999999999989 + 2.6020852139652106e-18im, 1.0000000000000013 - 6.505213034913027e-19im, 0.9999999999999989 - 4.6349642873755315e-18im, 1.0000000000000007 - 2.6020852139652106e-18im, 1.000000000000002 - 1.0408340855860843e-17im, 1.0000000000000029 + 8.673617379884035e-19im, 0.9999999999999988 - 5.204170427930421e-18im, 1.000000000000002 + 3.469446951953614e-18im, 1.0000000000000024 - 1.734723475976807e-18im, 0.9999999999999991 + 3.686287386450715e-18im, 0.999999999999999 + 1.0842021724855044e-18im, 1.0000000000000009 - 2.42861286636753e-17im, 1.0000000000000002 + 0.0im, 1.0000000000000029 + 4.7704895589362195e-18im, 1.0000000000000002 + 4.336808689942018e-19im
0.3, 0.9999999999999996 + 3.2526065174565133e-18im, 1.000000000000001 - 2.168404344971009e-19im, 1.0 - 5.637851296924623e-18im, 1.0000000000000009 - 3.0357660829594124e-18im, 1.0000000000000033 - 6.938893903907228e-18im, 1.0000000000000033 + 0.0im, 1.0000000000000007 - 1.5612511283791264e-17im, 1.0000000000000027 + 4.7704895589362195e-18im, 1.0000000000000009 + 1.734723475976807e-18im, 0.9999999999999992 + 5.204170427930421e-18im, 0.9999999999999978 + 7.589415207398531e-19im, 1.0000000000000024 - 2.42861286636753e-17im, 1.0 - 3.469446951953614e-18im, 1.0000000000000016 + 6.071532165918825e-18im, 0.999999999999998 - 4.336808689942018e-19im
0.4, 0.9999999999999993 + 2.6020852139652106e-18im, 1.0000000000000036 + 0.0im, 1.0000000000000013 - 6.938893903907228e-18im, 1.0 - 1.734723475976807e-18im, 1.0000000000000067 - 6.938893903907228e-18im, 1.0000000000000029 - 1.0842021724855044e-19im, 1.0000000000000009 - 1.3877787807814457e-17im, 1.0000000000000029 + 4.336808689942018e-18im, 1.0000000000000029 + 3.469446951953614e-18im, 1.0000000000000024 + 5.204170427930421e-18im, 0.9999999999999944 + 6.505213034913027e-19im, 1.0000000000000027 - 2.2551405187698492e-17im, 0.9999999999999991 - 5.204170427930421e-18im, 1.0000000000000013 + 4.7704895589362195e-18im, 0.999999999999996 - 4.336808689942018e-19im
0.5, 0.9999999999999974 + 2.6020852139652106e-18im, 1.0000000000000018 - 1.3010426069826053e-18im, 1.0000000000000013 - 1.0408340855860843e-17im, 1.0000000000000002 - 8.673617379884035e-19im, 1.0000000000000089 - 1.3877787807814457e-17im, 1.000000000000002 - 5.421010862427522e-20im, 1.0000000000000016 - 8.673617379884035e-18im, 1.0000000000000036 + 5.637851296924623e-18im, 1.0000000000000029 + 0.0im, 1.000000000000001 + 2.6020852139652106e-18im, 0.999999999999994 + 3.2526065174565133e-19im, 1.0000000000000044 - 2.5153490401663703e-17im, 1.0000000000000013 - 3.469446951953614e-18im, 1.0000000000000027 + 4.336808689942018e-18im, 0.9999999999999952 - 1.5178830414797062e-18im
0.6, 0.9999999999999976 + 1.951563910473908e-18im, 1.000000000000005 - 1.3010426069826053e-18im, 1.0000000000000022 - 6.938893903907228e-18im, 1.0000000000000018 - 1.734723475976807e-18im, 1.0000000000000087 - 1.214306433183765e-17im, 1.0000000000000018 + 0.0im, 1.000000000000001 - 1.3010426069826053e-17im, 1.0000000000000027 + 5.204170427930421e-18im, 1.000000000000004 + 8.673617379884035e-19im, 1.0000000000000016 + 6.938893903907228e-18im, 0.9999999999999933 + 1.0842021724855044e-19im, 1.0000000000000036 - 2.949029909160572e-17im, 0.9999999999999999 - 6.938893903907228e-18im, 1.0000000000000036 + 4.7704895589362195e-18im, 0.9999999999999951 - 6.505213034913027e-19im
0.7, 0.9999999999999994 + 2.3852447794681098e-18im, 1.0000000000000069 - 1.734723475976807e-18im, 1.000000000000001 - 1.0408340855860843e-17im, 1.0000000000000013 + 0.0im, 1.0000000000000104 - 1.474514954580286e-17im, 1.0000000000000024 - 4.336808689942018e-19im, 1.0000000000000007 - 9.540979117872439e-18im, 1.0000000000000042 + 3.469446951953614e-18im, 1.0000000000000038 - 8.673617379884035e-19im, 1.0000000000000033 + 5.204170427930421e-18im, 0.9999999999999932 + 1.0842021724855044e-19im, 1.0000000000000009 - 2.0816681711721685e-17im, 1.0 - 3.469446951953614e-18im, 1.0000000000000042 + 4.7704895589362195e-18im, 0.9999999999999953 + 2.168404344971009e-19im
0.8, 1.0000000000000022 + 2.3852447794681098e-18im, 1.0000000000000069 - 2.168404344971009e-18im, 1.0000000000000009 - 8.673617379884035e-18im, 1.0000000000000029 + 1.734723475976807e-18im, 1.0000000000000087 - 1.6479873021779667e-17im, 1.0000000000000018 - 2.168404344971009e-19im, 1.0000000000000009 - 6.938893903907228e-18im, 1.0000000000000018 + 3.469446951953614e-18im, 1.0000000000000053 + 8.673617379884035e-19im, 1.0000000000000047 + 8.673617379884035e-18im, 0.9999999999999936 + 0.0im, 1.0000000000000007 - 2.7755575615628914e-17im, 1.0 + 0.0im, 1.000000000000004 + 4.9873299934333204e-18im, 0.9999999999999942 + 8.673617379884035e-19im
0.9, 1.0000000000000018 + 2.6020852139652106e-18im, 1.0000000000000067 - 1.3010426069826053e-18im, 1.0000000000000027 - 8.673617379884035e-18im, 1.0000000000000009 + 1.734723475976807e-18im, 1.000000000000009 - 1.8214596497756474e-17im, 1.0000000000000024 - 2.168404344971009e-19im, 1.0000000000000013 - 1.1275702593849246e-17im, 0.9999999999999986 + 4.336808689942018e-18im, 1.0000000000000067 + 2.6020852139652106e-18im, 1.0000000000000044 + 2.0816681711721685e-17im, 0.9999999999999926 - 4.336808689942018e-19im, 1.0000000000000007 - 2.949029909160572e-17im, 1.0000000000000013 - 3.469446951953614e-18im, 1.0000000000000042 + 6.071532165918825e-18im, 0.9999999999999943 + 1.0842021724855044e-18im
1.0, 1.0000000000000033 + 2.8189256484623115e-18im, 1.0000000000000062 - 1.734723475976807e-18im, 1.0000000000000016 - 1.734723475976807e-17im, 1.0000000000000007 + 8.673617379884035e-19im, 1.0000000000000078 - 1.5612511283791264e-17im, 1.000000000000004 - 2.3852447794681098e-18im, 1.0000000000000027 - 1.0408340855860843e-17im, 0.9999999999999987 + 8.673617379884035e-18im, 1.0000000000000067 + 1.734723475976807e-18im, 1.0000000000000049 + 1.5612511283791264e-17im, 0.9999999999999938 - 4.336808689942018e-19im, 1.0 - 2.6020852139652106e-17im, 1.0 + 3.469446951953614e-18im, 1.0000000000000038 + 6.5052130349130266e-18im, 0.9999999999999948 + 0.0im
1.1, 1.000000000000005 + 2.168404344971009e-18im, 1.0000000000000062 - 8.673617379884035e-19im, 1.0000000000000029 - 1.3877787807814457e-17im, 1.0000000000000013 + 0.0im, 1.0000000000000095 - 1.3877787807814457e-17im, 1.0000000000000056 - 1.5178830414797062e-18im, 1.0000000000000044 - 1.1275702593849246e-17im, 0.9999999999999969 + 7.806255641895632e-18im, 1.000000000000006 + 1.734723475976807e-18im, 1.0000000000000044 + 1.5612511283791264e-17im, 0.9999999999999937 + 3.2526065174565133e-19im, 1.0 - 2.7755575615628914e-17im, 0.9999999999999993 + 3.469446951953614e-18im, 1.000000000000002 + 6.7220534694101275e-18im, 0.9999999999999952 + 4.336808689942018e-19im
1.2, 1.0000000000000033 + 2.6020852139652106e-18im, 1.0000000000000062 - 8.673617379884035e-19im, 1.0000000000000036 - 1.9081958235744878e-17im, 1.0000000000000018 - 8.673617379884035e-19im, 1.00000000000001 - 1.3877787807814457e-17im, 1.0000000000000067 - 2.168404344971009e-18im, 1.0000000000000044 - 1.214306433183765e-17im, 0.9999999999999953 + 8.673617379884035e-18im, 1.0000000000000067 + 1.734723475976807e-18im, 1.0000000000000029 + 1.9081958235744878e-17im, 0.9999999999999949 + 2.168404344971009e-19im, 1.0000000000000004 - 2.949029909160572e-17im, 0.9999999999999989 + 2.0816681711721685e-17im, 1.0000000000000018 + 6.071532165918825e-18im, 0.9999999999999951 - 2.168404344971009e-19im
1.3, 1.0000000000000022 + 2.3852447794681098e-18im, 1.0000000000000089 + 1.3010426069826053e-18im, 1.0000000000000047 - 1.5612511283791264e-17im, 1.0000000000000004 + 8.673617379884035e-19im, 1.000000000000011 - 1.474514954580286e-17im, 1.0000000000000047 - 2.168404344971009e-18im, 1.000000000000005 - 9.540979117872439e-18im, 0.999999999999996 + 6.938893903907228e-18im, 1.0000000000000075 + 1.734723475976807e-18im, 1.0000000000000042 + 2.7755575615628914e-17im, 0.9999999999999947 + 0.0im, 1.0000000000000024 - 2.6020852139652106e-17im, 0.9999999999999974 + 1.734723475976807e-17im, 1.0000000000000018 + 6.288372600415926e-18im, 0.999999999999995 - 4.336808689942018e-19im
1.4, 1.0000000000000029 + 2.3852447794681098e-18im, 1.000000000000009 - 1.3010426069826053e-18im, 1.0000000000000053 - 2.6020852139652106e-17im, 0.9999999999999998 + 2.6020852139652106e-18im, 1.0000000000000109 - 1.474514954580286e-17im, 1.0000000000000053 - 1.5178830414797062e-18im, 1.0000000000000042 - 1.0408340855860843e-17im, 0.9999999999999963 + 6.071532165918825e-18im, 1.0000000000000084 + 8.673617379884035e-19im, 1.0000000000000078 + 2.949029909160572e-17im, 0.9999999999999947 + 1.0842021724855044e-19im, 1.0000000000000024 - 2.7755575615628914e-17im, 0.9999999999999963 + 6.938893903907228e-18im, 1.0000000000000002 + 6.7220534694101275e-18im, 0.9999999999999957 - 2.168404344971009e-19im
1.5, 1.0000000000000036 + 2.3852447794681098e-18im, 1.000000000000009 + 4.336808689942018e-19im, 1.0000000000000044 - 2.0816681711721685e-17im, 0.9999999999999989 + 5.204170427930421e-18im, 1.0000000000000102 - 1.5612511283791264e-17im, 1.000000000000005 - 1.734723475976807e-18im, 1.0000000000000044 - 1.1275702593849246e-17im, 0.9999999999999939 + 5.204170427930421e-18im, 1.0000000000000078 + 8.673617379884035e-19im, 1.0000000000000084 + 3.2959746043559335e-17im, 0.999999999999992 + 0.0im, 1.0000000000000029 - 2.949029909160572e-17im, 0.9999999999999972 + 3.469446951953614e-18im, 0.9999999999999972 + 6.071532165918825e-18im, 0.9999999999999959 - 6.505213034913027e-19im
1.6, 1.0000000000000027 + 2.168404344971009e-18im, 1.0000000000000109 + 8.673617379884035e-19im, 1.0000000000000038 - 1.734723475976807e-17im, 0.999999999999998 + 1.214306433183765e-17im, 1.0000000000000089 - 1.9949319973733282e-17im, 1.0000000000000069 - 1.3010426069826053e-18im, 1.0000000000000029 - 1.1275702593849246e-17im, 0.9999999999999942 + 6.938893903907228e-18im, 1.0000000000000053 + 8.673617379884035e-19im, 1.0000000000000078 + 3.122502256758253e-17im, 0.9999999999999938 - 1.0842021724855044e-19im, 1.0000000000000036 - 3.2959746043559335e-17im, 0.9999999999999984 + 3.469446951953614e-18im, 0.9999999999999988 + 5.854691731421724e-18im, 0.9999999999999973 + 0.0im
1.7, 0.9999999999999997 + 2.6020852139652106e-18im, 1.000000000000013 + 1.3010426069826053e-18im, 1.0000000000000004 - 1.734723475976807e-17im, 0.9999999999999959 + 6.071532165918825e-18im, 1.0000000000000095 - 1.9081958235744878e-17im, 1.000000000000006 - 1.3010426069826053e-18im, 1.000000000000003 - 1.0408340855860843e-17im, 0.9999999999999931 + 6.938893903907228e-18im, 1.000000000000004 + 1.734723475976807e-18im, 1.0000000000000089 + 2.949029909160572e-17im, 0.9999999999999952 - 1.0842021724855044e-19im, 1.0000000000000024 - 3.642919299551295e-17im, 0.9999999999999952 - 3.469446951953614e-18im, 0.9999999999999973 + 6.288372600415926e-18im, 0.9999999999999974 - 6.505213034913027e-19im
1.8, 0.9999999999999991 + 2.6020852139652106e-18im, 1.0000000000000133 + 1.3010426069826053e-18im, 0.9999999999999983 - 1.3877787807814457e-17im, 0.9999999999999953 + 6.938893903907228e-18im, 1.0000000000000113 - 1.8214596497756474e-17im, 1.0000000000000047 - 6.505213034913027e-19im, 1.0000000000000053 - 1.0408340855860843e-17im, 0.999999999999993 + 6.938893903907228e-18im, 1.000000000000002 + 8.673617379884035e-19im, 1.0000000000000095 + 3.469446951953614e-17im, 0.9999999999999964 + 3.2526065174565133e-19im, 1.000000000000003 - 2.7755575615628914e-17im, 0.999999999999996 - 3.469446951953614e-18im, 0.9999999999999969 + 6.071532165918825e-18im, 0.999999999999995 - 1.951563910473908e-18im
1.9, 1.0000000000000013 + 2.3852447794681098e-18im, 1.0000000000000109 - 4.336808689942018e-19im, 0.9999999999999953 - 1.214306433183765e-17im, 0.9999999999999953 + 6.071532165918825e-18im, 1.000000000000014 - 1.9949319973733282e-17im, 1.0000000000000029 - 1.0842021724855044e-18im, 1.0000000000000049 - 1.214306433183765e-17im, 0.9999999999999898 + 4.336808689942018e-18im, 1.0000000000000009 + 2.6020852139652106e-18im, 1.00000000000001 + 3.122502256758253e-17im, 0.9999999999999956 + 1.0842021724855044e-19im, 1.0000000000000018 - 3.469446951953614e-17im, 0.9999999999999933 - 6.938893903907228e-18im, 0.9999999999999954 + 5.637851296924623e-18im, 0.9999999999999934 - 2.8189256484623115e-18im
2.0, 1.000000000000004 + 1.734723475976807e-18im, 1.0000000000000064 - 2.168404344971009e-18im, 0.999999999999995 - 1.5612511283791264e-17im, 0.9999999999999953 + 3.469446951953614e-18im, 1.0000000000000155 - 2.168404344971009e-17im, 1.0000000000000009 - 8.673617379884035e-19im, 1.0000000000000047 - 1.1275702593849246e-17im, 0.9999999999999888 + 1.734723475976807e-18im, 1.000000000000002 + 0.0im, 1.0000000000000107 + 2.42861286636753e-17im, 0.9999999999999943 - 2.168404344971009e-19im, 1.0000000000000013 - 3.2959746043559335e-17im, 0.9999999999999918 - 1.0408340855860843e-17im, 0.9999999999999937 + 5.854691731421724e-18im, 0.9999999999999936 - 4.119968255444917e-18im
