flowtime, dM1R1, dM1R2, dM1R3, dM1R4, dM1R5, dM1R6, dM1R7, dM1R8, dM1R9, dM1R10, dM1R11, dM1R12, dM1R13, dM1R14, dM1R15, dM1R16, dM1R17, dM1R18, dM1R19, dM(mass_num)R20
5.8, 1.0000000000000173 - 4.5102810375396984e-17im, 1.000000000000003 - 1.474514954580286e-17im, 1.0000000000000324 + 2.168404344971009e-18im, 0.9999999999999573 - 6.505213034913027e-19im, 0.9999999999999707 + 3.0357660829594124e-18im, 1.000000000000019 + 1.474514954580286e-17im, 0.9999999999999624 - 1.8431436932253575e-18im, 1.0000000000000084 + 1.8648277366750676e-17im, 1.0000000000000078 - 1.734723475976807e-18im, 0.9999999999999846 + 1.734723475976807e-18im, 0.9999999999999695 + 8.890457814381136e-18im, 1.0000000000000129 - 2.42861286636753e-17im, 0.9999999999999867 - 4.683753385137379e-17im, 0.9999999999999845 + 5.204170427930421e-18im, 1.0000000000000255 + 1.3010426069826053e-17im, 1.000000000000015 + 3.2959746043559335e-17im, 1.0000000000000033 + 2.7755575615628914e-17im, 1.0000000000000047 + 5.898059818321144e-17im, 1.0000000000000022 - 1.5612511283791264e-17im, 0.9999999999999597 + 3.144186300207963e-18im
5.9, 1.0000000000000184 - 4.163336342344337e-17im, 1.0000000000000022 - 1.3877787807814457e-17im, 1.0000000000000286 + 2.168404344971009e-18im, 0.9999999999999573 - 7.589415207398531e-19im, 0.9999999999999684 + 3.469446951953614e-18im, 1.0000000000000178 + 1.1275702593849246e-17im, 0.9999999999999617 - 1.7076184216646695e-18im, 1.0000000000000098 + 1.713039432527097e-17im, 1.0000000000000084 + 5.204170427930421e-18im, 0.9999999999999869 + 1.3010426069826053e-18im, 0.9999999999999691 + 8.239936510889834e-18im, 1.0000000000000164 - 2.0816681711721685e-17im, 0.9999999999999893 - 4.7271214720367993e-17im, 0.9999999999999832 + 1.3010426069826053e-18im, 1.0000000000000249 + 1.3010426069826053e-17im, 1.000000000000015 + 3.2959746043559335e-17im, 1.0000000000000036 + 2.862293735361732e-17im, 1.0000000000000064 + 5.724587470723463e-17im, 1.0000000000000024 - 1.214306433183765e-17im, 0.9999999999999585 + 3.1170812458958252e-18im
6.0, 1.0000000000000189 - 4.336808689942018e-17im, 1.0000000000000044 - 1.3877787807814457e-17im, 1.0000000000000293 + 3.903127820947816e-18im, 0.9999999999999564 - 5.421010862427522e-19im, 0.9999999999999668 + 3.469446951953614e-18im, 1.0000000000000158 + 7.806255641895632e-18im, 0.9999999999999606 - 1.7618285302889447e-18im, 1.0000000000000087 + 1.7997756063259374e-17im, 1.000000000000012 + 3.469446951953614e-18im, 0.9999999999999866 + 2.6020852139652106e-18im, 0.9999999999999695 + 7.37257477290143e-18im, 1.0000000000000184 - 2.42861286636753e-17im, 0.9999999999999885 - 4.7271214720367993e-17im, 0.9999999999999828 + 4.336808689942018e-19im, 1.0000000000000264 + 1.474514954580286e-17im, 1.0000000000000158 + 3.5561831257524545e-17im, 1.0000000000000024 + 3.0357660829594124e-17im, 1.000000000000009 + 5.898059818321144e-17im, 1.0000000000000038 - 1.5612511283791264e-17im, 0.9999999999999581 + 3.2526065174565133e-18im
6.1, 1.0000000000000182 - 4.683753385137379e-17im, 1.000000000000005 - 1.3877787807814457e-17im, 1.0000000000000289 + 3.903127820947816e-18im, 0.9999999999999563 - 5.963111948670274e-19im, 0.9999999999999656 + 2.6020852139652106e-18im, 1.0000000000000173 + 9.540979117872439e-18im, 0.9999999999999604 - 1.6805133673525319e-18im, 1.0000000000000102 + 1.7564075194265172e-17im, 1.0000000000000133 + 3.469446951953614e-18im, 0.9999999999999901 + 2.6020852139652106e-18im, 0.9999999999999697 + 7.37257477290143e-18im, 1.00000000000002 - 2.6020852139652106e-17im, 0.9999999999999862 - 4.8138576458356397e-17im, 0.999999999999984 + 1.3010426069826053e-18im, 1.0000000000000273 + 1.9081958235744878e-17im, 1.0000000000000175 + 3.5561831257524545e-17im, 1.0000000000000027 + 3.209238430557093e-17im, 1.000000000000011 + 5.724587470723463e-17im, 1.0000000000000027 - 1.3877787807814457e-17im, 0.9999999999999558 + 3.2255014631443757e-18im
6.2, 1.0000000000000187 - 4.336808689942018e-17im, 1.0000000000000075 - 1.474514954580286e-17im, 1.0000000000000273 + 3.0357660829594124e-18im, 0.9999999999999573 - 5.963111948670274e-19im, 0.9999999999999641 + 2.168404344971009e-18im, 1.0000000000000164 + 8.673617379884035e-18im, 0.9999999999999598 - 1.6263032587282567e-18im, 1.0000000000000104 + 1.713039432527097e-17im, 1.0000000000000124 + 5.204170427930421e-18im, 0.9999999999999903 + 3.0357660829594124e-18im, 0.9999999999999686 + 7.15573433840433e-18im, 1.0000000000000209 - 2.6020852139652106e-17im, 0.9999999999999873 - 4.9439619065339e-17im, 0.9999999999999852 + 8.673617379884035e-19im, 1.000000000000027 + 1.951563910473908e-17im, 1.0000000000000184 + 3.209238430557093e-17im, 1.0000000000000036 + 3.2959746043559335e-17im, 1.0000000000000144 + 5.0306980803327406e-17im, 1.000000000000003 - 1.0408340855860843e-17im, 0.999999999999954 + 3.198396408832238e-18im
6.3, 1.000000000000018 - 4.683753385137379e-17im, 1.0000000000000078 - 1.3010426069826053e-17im, 1.0000000000000258 + 2.168404344971009e-18im, 0.9999999999999583 - 5.421010862427522e-19im, 0.9999999999999624 + 3.0357660829594124e-18im, 1.000000000000018 + 6.938893903907228e-18im, 0.9999999999999593 - 1.4907779871675686e-18im, 1.0000000000000084 + 1.6479873021779667e-17im, 1.0000000000000129 + 3.469446951953614e-18im, 0.9999999999999922 + 3.2526065174565133e-18im, 0.9999999999999674 + 7.37257477290143e-18im, 1.0000000000000213 - 2.42861286636753e-17im, 0.9999999999999878 - 4.7704895589362195e-17im, 0.9999999999999866 + 1.3010426069826053e-18im, 1.0000000000000282 + 1.8648277366750676e-17im, 1.00000000000002 + 3.382710778154774e-17im, 1.0000000000000033 + 3.382710778154774e-17im, 1.0000000000000167 + 5.0306980803327406e-17im, 1.000000000000001 - 1.0408340855860843e-17im, 0.9999999999999537 + 3.2526065174565133e-18im
6.4, 1.0000000000000178 - 4.85722573273506e-17im, 1.0000000000000064 - 1.3877787807814457e-17im, 1.000000000000024 + 3.0357660829594124e-18im, 0.9999999999999576 - 4.336808689942018e-19im, 0.9999999999999616 + 3.0357660829594124e-18im, 1.0000000000000164 + 7.806255641895632e-18im, 0.9999999999999601 - 1.599198204416119e-18im, 1.000000000000007 + 1.6046192152785466e-17im, 1.0000000000000135 + 1.0408340855860843e-17im, 0.9999999999999912 + 3.0357660829594124e-18im, 0.9999999999999667 + 7.37257477290143e-18im, 1.0000000000000238 - 1.5612511283791264e-17im, 0.9999999999999885 - 4.8138576458356397e-17im, 0.9999999999999869 + 8.673617379884035e-19im, 1.000000000000028 + 1.951563910473908e-17im, 1.0000000000000204 + 3.642919299551295e-17im, 1.0000000000000033 + 3.469446951953614e-17im, 1.0000000000000184 + 5.0306980803327406e-17im, 0.9999999999999999 - 1.5612511283791264e-17im, 0.999999999999952 + 3.3610267347050637e-18im
6.5, 1.0000000000000193 - 4.683753385137379e-17im, 1.000000000000006 - 1.3010426069826053e-17im, 1.0000000000000235 + 3.469446951953614e-18im, 0.9999999999999566 - 3.7947076036992655e-19im, 0.99999999999996 + 3.0357660829594124e-18im, 1.000000000000016 + 5.204170427930421e-18im, 0.9999999999999593 - 1.6263032587282567e-18im, 1.0000000000000073 + 1.691355389077387e-17im, 1.0000000000000162 + 1.214306433183765e-17im, 0.9999999999999919 + 3.2526065174565133e-18im, 0.999999999999968 + 7.806255641895632e-18im, 1.0000000000000224 - 1.214306433183765e-17im, 0.999999999999987 - 4.7271214720367993e-17im, 0.9999999999999895 + 1.3010426069826053e-18im, 1.00000000000003 + 1.8214596497756474e-17im, 1.000000000000024 + 3.8163916471489756e-17im, 1.0000000000000075 + 3.122502256758253e-17im, 1.0000000000000187 + 5.551115123125783e-17im, 0.9999999999999998 - 1.734723475976807e-17im, 0.9999999999999518 + 3.2526065174565133e-18im
6.6, 1.0000000000000215 - 5.0306980803327406e-17im, 1.000000000000008 - 1.214306433183765e-17im, 1.0000000000000233 + 4.336808689942018e-18im, 0.9999999999999574 - 3.2526065174565133e-19im, 0.9999999999999569 + 3.903127820947816e-18im, 1.0000000000000162 + 1.734723475976807e-18im, 0.9999999999999571 - 1.7076184216646695e-18im, 1.000000000000008 + 1.6046192152785466e-17im, 1.0000000000000167 + 1.5612511283791264e-17im, 0.9999999999999905 + 3.2526065174565133e-18im, 0.9999999999999685 + 8.023096076392733e-18im, 1.0000000000000204 - 1.3877787807814457e-17im, 0.9999999999999887 - 4.683753385137379e-17im, 0.9999999999999861 + 3.0357660829594124e-18im, 1.0000000000000335 + 1.9081958235744878e-17im, 1.0000000000000233 + 3.903127820947816e-17im, 1.0000000000000062 + 3.209238430557093e-17im, 1.0000000000000207 + 6.071532165918825e-17im, 0.9999999999999986 - 1.5612511283791264e-17im, 0.9999999999999508 + 3.2526065174565133e-18im
6.7, 1.0000000000000233 - 5.204170427930421e-17im, 1.000000000000008 - 1.3877787807814457e-17im, 1.0000000000000226 + 3.469446951953614e-18im, 0.9999999999999577 - 3.7947076036992655e-19im, 0.9999999999999559 + 3.903127820947816e-18im, 1.0000000000000164 + 2.6020852139652106e-18im, 0.9999999999999544 - 1.6805133673525319e-18im, 1.0000000000000095 + 1.5829351718288365e-17im, 1.0000000000000162 + 1.0408340855860843e-17im, 0.9999999999999921 + 3.0357660829594124e-18im, 0.9999999999999674 + 8.239936510889834e-18im, 1.0000000000000215 - 1.3877787807814457e-17im, 0.9999999999999878 - 4.5102810375396984e-17im, 0.9999999999999851 + 2.6020852139652106e-18im, 1.0000000000000342 + 1.951563910473908e-17im, 1.0000000000000249 + 4.2500725161431774e-17im, 1.0000000000000056 + 3.469446951953614e-17im, 1.0000000000000198 + 6.071532165918825e-17im, 0.999999999999998 - 2.42861286636753e-17im, 0.9999999999999494 + 3.2526065174565133e-18im
