flowtime, dM1R1, dM1R2, dM1R3, dM1R4, dM1R5, dM1R6, dM1R7, dM1R8, dM1R9, dM1R10, dM1R11, dM1R12, dM1R13, dM1R14, dM1R15, dM1R16, dM1R17, dM1R18, dM1R19, dM(mass_num)R20
0.0, 1.0 + 0.0im, 0.9999999999999998 - 3.469446951953614e-18im, 1.0 + 0.0im, 1.0 - 6.938893903907228e-18im, 0.9999999999999999 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 - 6.938893903907228e-18im, 1.0 + 0.0im, 0.9999999999999999 - 1.734723475976807e-18im, 0.9999999999999998 - 3.469446951953614e-18im, 1.0 - 3.469446951953614e-18im, 1.0 + 0.0im, 1.0 + 0.0im, 0.9999999999999997 - 4.336808689942018e-19im, 1.0 + 0.0im, 1.0000000000000002 + 0.0im, 0.9999999999999999 + 0.0im, 0.9999999999999999 + 0.0im, 0.9999999999999999 + 0.0im
0.1, 1.000000000000002 - 8.673617379884035e-19im, 1.0 + 6.938893903907228e-18im, 1.0000000000000004 - 3.5236570605778894e-19im, 1.0000000000000018 - 4.336808689942018e-18im, 0.9999999999999973 - 8.673617379884035e-19im, 0.999999999999998 + 1.2468324983583301e-18im, 0.9999999999999994 - 5.204170427930421e-18im, 1.0 + 8.673617379884035e-19im, 1.0000000000000002 - 3.469446951953614e-18im, 0.999999999999998 + 0.0im, 1.000000000000001 + 3.469446951953614e-18im, 0.9999999999999991 + 6.938893903907228e-18im, 1.0000000000000009 + 4.7704895589362195e-18im, 0.9999999999999987 + 6.369687763352339e-19im, 0.9999999999999993 - 2.168404344971009e-18im, 0.9999999999999999 + 5.204170427930421e-18im, 1.0000000000000029 - 8.673617379884035e-19im, 0.9999999999999999 - 1.3552527156068805e-18im, 1.0000000000000002 - 4.336808689942018e-19im, 0.9999999999999982 - 2.6020852139652106e-18im
0.2, 1.0000000000000004 + 0.0im, 1.0000000000000024 + 3.469446951953614e-18im, 1.0000000000000016 - 8.673617379884035e-19im, 1.000000000000001 - 3.469446951953614e-18im, 0.9999999999999989 - 4.336808689942018e-18im, 0.9999999999999971 + 1.2468324983583301e-18im, 1.0000000000000009 + 0.0im, 1.0000000000000002 + 2.168404344971009e-18im, 1.0000000000000007 - 1.734723475976807e-18im, 0.9999999999999972 + 8.673617379884035e-19im, 0.999999999999999 + 0.0im, 0.9999999999999986 + 6.938893903907228e-18im, 0.9999999999999997 + 5.204170427930421e-18im, 0.9999999999999977 - 4.336808689942018e-19im, 0.9999999999999979 - 2.0599841277224584e-18im, 1.0000000000000016 + 1.0408340855860843e-17im, 1.0000000000000024 - 8.673617379884035e-19im, 1.000000000000002 - 1.734723475976807e-18im, 0.9999999999999997 - 4.336808689942018e-19im, 0.999999999999999 - 2.6020852139652106e-18im
0.3, 1.0000000000000002 + 1.734723475976807e-18im, 1.0000000000000044 + 5.204170427930421e-18im, 1.0000000000000027 - 4.336808689942018e-19im, 1.000000000000001 - 2.6020852139652106e-18im, 0.9999999999999977 - 3.469446951953614e-18im, 0.9999999999999971 + 1.8431436932253575e-18im, 1.0000000000000007 + 0.0im, 0.9999999999999988 + 1.734723475976807e-18im, 1.0 + 1.734723475976807e-18im, 0.9999999999999979 + 1.734723475976807e-18im, 1.0000000000000009 + 1.734723475976807e-18im, 0.999999999999998 - 6.938893903907228e-18im, 0.9999999999999989 + 5.204170427930421e-18im, 0.9999999999999998 + 8.673617379884035e-19im, 0.9999999999999978 - 2.168404344971009e-18im, 1.0000000000000009 + 8.673617379884035e-18im, 1.000000000000002 - 1.734723475976807e-18im, 1.0000000000000029 - 2.3852447794681098e-18im, 1.0 + 0.0im, 1.0 - 4.336808689942018e-18im
0.4, 1.0000000000000002 + 2.6020852139652106e-18im, 1.000000000000004 + 8.673617379884035e-18im, 1.0000000000000036 - 1.3010426069826053e-18im, 1.0000000000000022 - 2.6020852139652106e-18im, 0.9999999999999963 - 3.469446951953614e-18im, 0.9999999999999961 + 1.951563910473908e-18im, 1.0000000000000018 + 0.0im, 0.9999999999999984 + 0.0im, 0.9999999999999984 + 2.6020852139652106e-18im, 0.9999999999999986 + 3.469446951953614e-18im, 1.0000000000000009 + 3.469446951953614e-18im, 0.9999999999999969 + 1.0408340855860843e-17im, 1.0 + 2.6020852139652106e-18im, 1.0 + 0.0im, 0.9999999999999979 - 1.951563910473908e-18im, 1.000000000000002 + 1.0408340855860843e-17im, 1.0000000000000036 + 1.734723475976807e-18im, 1.0000000000000044 - 2.6020852139652106e-18im, 1.0000000000000022 - 8.673617379884035e-19im, 1.000000000000001 - 5.204170427930421e-18im
0.5, 0.9999999999999996 + 8.673617379884035e-19im, 1.0000000000000053 + 1.214306433183765e-17im, 1.0000000000000029 - 1.3010426069826053e-18im, 1.0000000000000013 - 2.6020852139652106e-18im, 0.9999999999999969 - 6.938893903907228e-18im, 0.999999999999995 + 2.6020852139652106e-18im, 1.0000000000000009 - 3.469446951953614e-18im, 1.0000000000000002 + 0.0im, 0.9999999999999968 + 2.6020852139652106e-18im, 1.0000000000000002 + 2.6020852139652106e-18im, 1.0000000000000018 + 1.734723475976807e-18im, 0.9999999999999991 + 1.0408340855860843e-17im, 1.0000000000000002 + 1.734723475976807e-18im, 0.9999999999999967 + 0.0im, 0.9999999999999994 - 1.5178830414797062e-18im, 1.0000000000000022 + 1.214306433183765e-17im, 1.000000000000004 + 0.0im, 1.0000000000000049 - 3.0357660829594124e-18im, 1.0000000000000024 + 8.673617379884035e-19im, 1.0000000000000018 - 5.204170427930421e-18im
0.6, 1.0000000000000004 + 8.673617379884035e-19im, 1.0000000000000038 + 3.469446951953614e-18im, 1.0000000000000036 - 1.734723475976807e-18im, 0.9999999999999986 - 1.734723475976807e-18im, 0.9999999999999977 - 5.204170427930421e-18im, 0.9999999999999936 + 2.168404344971009e-18im, 1.0000000000000002 + 0.0im, 0.9999999999999977 - 6.505213034913027e-19im, 0.9999999999999957 + 2.6020852139652106e-18im, 1.0000000000000016 - 8.673617379884035e-19im, 1.0000000000000009 + 4.336808689942018e-18im, 1.0000000000000027 + 1.3877787807814457e-17im, 1.0000000000000009 - 2.6020852139652106e-18im, 0.9999999999999992 - 8.673617379884035e-19im, 0.9999999999999968 - 1.3010426069826053e-18im, 1.0000000000000024 + 1.214306433183765e-17im, 1.0000000000000047 - 8.673617379884035e-19im, 1.0000000000000033 - 3.2526065174565133e-18im, 1.0000000000000027 - 4.336808689942018e-19im, 1.0000000000000004 - 5.204170427930421e-18im
0.7, 1.0000000000000004 + 8.673617379884035e-19im, 1.0000000000000036 + 8.673617379884035e-18im, 1.0000000000000033 - 1.5178830414797062e-18im, 0.9999999999999971 - 8.673617379884035e-19im, 0.9999999999999986 - 3.469446951953614e-18im, 0.9999999999999947 + 2.168404344971009e-18im, 0.9999999999999998 + 1.734723475976807e-18im, 0.9999999999999969 - 8.673617379884035e-19im, 0.9999999999999951 + 3.469446951953614e-18im, 1.0000000000000016 + 2.6020852139652106e-18im, 1.0000000000000024 + 5.204170427930421e-18im, 1.0000000000000036 + 2.0816681711721685e-17im, 1.000000000000002 - 8.673617379884035e-19im, 0.9999999999999987 + 4.336808689942018e-19im, 0.9999999999999986 - 1.3010426069826053e-18im, 1.0000000000000022 + 1.0408340855860843e-17im, 1.0000000000000027 + 8.673617379884035e-19im, 0.9999999999999997 - 3.2526065174565133e-18im, 1.0000000000000049 + 0.0im, 0.9999999999999981 - 1.734723475976807e-18im
0.8, 0.9999999999999991 - 8.673617379884035e-19im, 1.0 + 8.673617379884035e-18im, 1.000000000000005 - 1.3010426069826053e-18im, 0.9999999999999951 + 0.0im, 0.999999999999999 - 5.204170427930421e-18im, 0.9999999999999953 + 1.3010426069826053e-18im, 1.0000000000000009 + 3.469446951953614e-18im, 0.9999999999999973 - 1.0842021724855044e-18im, 0.9999999999999931 + 3.469446951953614e-18im, 1.0000000000000013 + 3.469446951953614e-18im, 1.000000000000004 + 5.204170427930421e-18im, 1.0000000000000022 + 2.42861286636753e-17im, 1.0000000000000024 + 0.0im, 0.9999999999999968 + 1.3010426069826053e-18im, 0.9999999999999977 - 1.0842021724855044e-18im, 1.0000000000000013 + 6.938893903907228e-18im, 1.0000000000000016 + 8.673617379884035e-19im, 0.9999999999999999 - 3.2526065174565133e-18im, 1.000000000000005 + 8.673617379884035e-19im, 0.999999999999996 - 2.6020852139652106e-18im
0.9, 0.9999999999999964 - 2.6020852139652106e-18im, 0.9999999999999997 + 6.938893903907228e-18im, 1.0000000000000029 - 1.0842021724855044e-18im, 0.9999999999999939 + 8.673617379884035e-19im, 1.0000000000000004 - 3.469446951953614e-18im, 0.9999999999999954 + 4.336808689942018e-19im, 0.9999999999999997 + 8.673617379884035e-18im, 1.0000000000000009 - 4.336808689942018e-19im, 0.9999999999999928 + 3.469446951953614e-18im, 0.9999999999999989 + 0.0im, 1.0000000000000058 + 5.204170427930421e-18im, 1.0000000000000016 + 1.734723475976807e-17im, 1.0000000000000004 - 1.734723475976807e-18im, 0.9999999999999956 + 1.734723475976807e-18im, 0.9999999999999992 - 6.505213034913027e-19im, 0.9999999999999996 + 3.469446951953614e-18im, 1.0000000000000009 + 3.469446951953614e-18im, 0.999999999999998 - 3.144186300207963e-18im, 1.0000000000000018 + 4.336808689942018e-19im, 0.9999999999999938 - 4.336808689942018e-18im
