flowtime, s1, s2, s3
0.0, 0.03655308814827813, 0.1777765808630469, 0.3270981985695115
0.1, 0.03402156115745449, 0.17003531192918, 0.3173124284082592
0.2, 0.032199658435773756, 0.16531817626435352, 0.311923698009029
0.3, 0.030694026148687197, 0.1618091779054326, 0.3082202921407511
0.4, 0.029384122836682073, 0.15898465600108738, 0.30545820655537703
0.5, 0.028212788217618134, 0.15660673791009955, 0.30330697702887743
0.6, 0.027147407391508054, 0.15454505358965412, 0.3015862217275326
0.7, 0.026167175664086963, 0.15272043472481092, 0.30018576833716276
0.8, 0.025257668430059697, 0.15108101744768046, 0.29903278159248164
0.9, 0.02440822778327877, 0.1495905964693851, 0.29807599351072617
1.0, 0.02361060950076551, 0.14822254640471969, 0.2972774985260048
1.1, 0.02285823383993327, 0.1469564874893661, 0.2966082240023839
1.2, 0.022145739202574573, 0.145776362236409, 0.2960452820965236
1.3, 0.021468695247108777, 0.1446692620493005, 0.2955703261069483
1.4, 0.020823405078472242, 0.1436246673570017, 0.29516846755260095
1.5, 0.020206760803170548, 0.1426339261187768, 0.29482752245394694
1.6, 0.019616133496660863, 0.14168987711140568, 0.2945374618678523
1.7, 0.019049286925408863, 0.14078656632026362, 0.29428999648559645
1.8, 0.018504308606208573, 0.1399190266913418, 0.29407825397187076
1.9, 0.01797955405113715, 0.13908310325816306, 0.29389652342338374
2.0, 0.01747360132867897, 0.13827531215651837, 0.29374005019213634
2.1, 0.016985213847434594, 0.13749272577530988, 0.2936048695514948
2.2, 0.01651330977235456, 0.13673287854136096, 0.29348767092614114
2.3, 0.016056936831768804, 0.1359936892637378, 0.2933856865209465
2.4, 0.015615251527527015, 0.13527339691828225, 0.29329659962920185
2.5, 0.015187501953144871, 0.13457050742502294, 0.29321846893179787
2.6, 0.014773013574970894, 0.13388374946440104, 0.2931496658616977
2.7, 0.014371177450501513, 0.13321203775265292, 0.2930888226865343
2.8, 0.013981440453698356, 0.1325544424887426, 0.2930347894120107
2.9, 0.013603297154621002, 0.13191016391674157, 0.29298659796260407
3.0, 0.013236283063778272, 0.13127851113423855, 0.2929434323783003
3.1, 0.012879969003099649, 0.13065888442861728, 0.29290460399340895
3.2, 0.012533956407608024, 0.13005076054694997, 0.29286953074677236
3.3, 0.012197873396464203, 0.12945368040682625, 0.29283771992251334
3.4, 0.011871371480457754, 0.12886723883942472, 0.2928087537423573
3.5, 0.011554122796366835, 0.12829107602517484, 0.2927822773303925
3.6, 0.011245817777813125, 0.12772487033979438, 0.2927579886537018
3.7, 0.010946163188050086, 0.1271683323759152, 0.292735630109431
3.8, 0.01065488045313041, 0.12662119994492688, 0.29271498148502134
3.9, 0.010371704244633675, 0.12608323389644313, 0.29269585406432497
4.0, 0.010096381269962299, 0.12555421461984556, 0.2926780856904633
4.1, 0.009828669235502773, 0.12503393911513952, 0.2926615366278953
4.2, 0.009568335953963504, 0.1245222185390433, 0.29264608609260795
4.3, 0.009315158572141947, 0.12401887614788362, 0.2926316293407657
4.4, 0.009068922899481482, 0.12352374557197467, 0.29261807522470723
4.5, 0.00882942282113429, 0.12303666936693139, 0.2926053441399218
4.6, 0.008596459782050642, 0.12255749779641485, 0.29259336629940175
4.7, 0.00836984233090254, 0.1220860878083694, 0.29258208028213756
4.8, 0.008149385714559263, 0.1216223021730352, 0.29257143181131273
4.9, 0.007934911515398447, 0.12116600875631325, 0.29256137272497085
5.0, 0.007726247325038491, 0.12071707990634559, 0.2925518601080713
5.1, 0.007523226449147891, 0.1202753919348613, 0.2925428555599074
5.2, 0.007325687638881631, 0.11984082467784936, 0.29253432457511647
5.3, 0.007133474845223774, 0.11941326112266376, 0.2925262360199263
5.4, 0.006946436993129612, 0.11899258709074476, 0.2925185616886266
5.5, 0.006764427772861383, 0.11857869096696438, 0.29251127592710296
5.6, 0.006587305446332722, 0.11817146346795891, 0.2925043553130796
5.7, 0.006414932666625344, 0.11777079744318132, 0.29249777838381175
5.8, 0.00624717630912261, 0.11737658770331817, 0.292491525403917
5.9, 0.006083907312955033, 0.11698873087163562, 0.2924855781667812
6.0, 0.00592500053164095, 0.11660712525443337, 0.2924799198245258
6.1, 0.005770334591981314, 0.1162316707275721, 0.2924745347418783
6.2, 0.005619791760396687, 0.11586226863628848, 0.2924694083702967
6.3, 0.0054732578160169715, 0.11549882170614638, 0.2924645271392316
6.4, 0.005330621929928789, 0.11514123396314893, 0.29245987836193477
6.5, 0.005191776550062508, 0.11478941066144693, 0.292455450153427
6.6, 0.005056617291275437, 0.11444325821722331, 0.29245123135903195
6.7, 0.004925042830238575, 0.11410268414761775, 0.2924472114916787
6.8, 0.004796954804785094, 0.11376759701360015, 0.2924433806768717
6.9, 0.004672257717419502, 0.11343790636596543, 0.2924397296039762
7.0, 0.00455085884271917, 0.11311352269363986, 0.2924362494831362
7.1, 0.004432668138389767, 0.11279435737361407, 0.29243293200688175
7.2, 0.004317598159762004, 0.1124803226218672, 0.2924297693158022
7.3, 0.004205563977535406, 0.11217133144470638, 0.29242675396776874
7.4, 0.00409648309859702, 0.1118672975900118, 0.2924238789101496
7.5, 0.003990275389754005, 0.11156813549786145, 0.2924211374546777
7.6, 0.0038868630042377247, 0.1112737602500446, 0.29241852325463674
7.7, 0.003786170310843298, 0.11098408751797367, 0.2924160302840341
7.8, 0.0036881238255839113, 0.11069903350853164, 0.29241365281850157
7.9, 0.003592652145745106, 0.11041851490732191, 0.29241138541784417
8.0, 0.0034996858862316885, 0.11014244881878668, 0.2924092229098443
8.1, 0.0034091576181113433, 0.10987075270266403, 0.2924071603753821
8.2, 0.0033210018092591546, 0.10960334430616056, 0.2924051931345415
8.3, 0.0032351547670181747, 0.10934014159115554, 0.2924033167338208
8.4, 0.003151554582793135, 0.1090810626557513, 0.29240152693407157
8.5, 0.0030701410785003666, 0.10882602564930739, 0.29239981969934165
8.6, 0.0029908557548006883, 0.10857494868010784, 0.2923981911863767
8.7, 0.002913641741045885, 0.10832774971457343, 0.29239663773479785
8.8, 0.0028384437468732984, 0.10808434646693482, 0.29239515585784714
8.9, 0.002765208015385414, 0.10784465627797123, 0.2923937422336981
9.0, 0.00269388227785538, 0.10760859598136473, 0.29239239369729625
9.1, 0.002624415709901816, 0.1073760817559133, 0.2923911072325703
9.2, 0.0025567588890775994, 0.10714702896163798, 0.29238987996519733
9.3, 0.0024908637538227467, 0.10692135195746276, 0.29238870915565907
9.4, 0.0024266835637298373, 0.10669896389784983, 0.29238759219273275
9.5, 0.0023641728610763785, 0.1064797765052586, 0.29238652658728675
9.6, 0.0023032874335772433, 0.10626369981487362, 0.2923855099664426
9.7, 0.0022439842783155157, 0.10605064188740693, 0.29238454006798964
9.8, 0.002186221566807779, 0.10584050848502236, 0.2923836147351184
9.9, 0.0021299586111662903, 0.10563320270461916, 0.2923827319114133
10.0, 0.002075155831317987, 0.1054286245616949, 0.29238188963609
10.1, 0.0020217747232444613, 0.10522667051668808, 0.2923810860394726
10.2, 0.001969777828206751, 0.10502723293424637, 0.29238031933868275
10.3, 0.0019191287029221642, 0.10483019946405868, 0.29237958783358836
10.4, 0.001869791890659332, 0.10463545232970137, 0.2923788899028513
10.5, 0.001821732893220767, 0.10444286750913861, 0.2923782240002979
10.6, 0.0017749181437828013, 0.10425231378739264, 0.29237758865134306
10.7, 0.0017293149805633968, 0.1040636516577116, 0.2923769824496525
10.8, 0.001684891621290773, 0.1038767320426425, 0.29237640405398096
10.9, 0.0016416171384450585, 0.10369139480021752, 0.29237585218509504
11.0, 0.0015994614352478284, 0.10350746697277137, 0.29237532562288276
11.1, 0.001558395222374553, 0.10332476072630813, 0.29237482320362196
11.2, 0.0015183899953655875, 0.10314307091634277, 0.29237434381735256
11.3, 0.0014794180127131297, 0.10296217220092901, 0.292373886405338
11.4, 0.001441452274601836, 0.1027818156024621, 0.2923734499576994
11.5, 0.0014044665022815831, 0.10260172439547648, 0.29237303351120814
11.6, 0.0013684351180516814, 0.1024215891664802, 0.292372636147002
11.7, 0.0013333332258370439, 0.1022410618519983, 0.2923722569886234
11.8, 0.0012991365923368772, 0.10205974850939376, 0.2923718952000046
11.9, 0.0012658216287273767, 0.10187720050826912, 0.29237154998361503
12.0, 0.0012333653729009835, 0.10169290374317742, 0.2923712205786626
12.1, 0.0012017454722247245, 0.10150626535425988, 0.29237090625940454
12.2, 0.0011709401668011572, 0.10131659729223648, 0.2923706063335039
12.3, 0.0011409282732161403, 0.10112309586514127, 0.29237032014051134
12.4, 0.001111689168757835, 0.1009248161392442, 0.29237004705037106
12.5, 0.0010832027760920581, 0.10072063971185233, 0.2923697864620307
12.6, 0.0010554495483800132, 0.10050923389605054, 0.2923695378020507
12.7, 0.001028410454824026, 0.10028899971097166, 0.29236930052342514
12.8, 0.0010020669666282326, 0.10005800519146589, 0.2923690741042593
12.9, 0.0009764010433615759, 0.09981389932789725, 0.2923688580466755
13.0, 0.0009513951197099632, 0.09955380029389894, 0.2923686518756764
13.1, 0.0009270320926063018, 0.09927414934028084, 0.29236845513809284
13.2, 0.0009032953087263555, 0.09897051858093059, 0.2923682674015828
13.3, 0.0008801685523393205, 0.09863735653139503, 0.2923680882536656
13.4, 0.000857636033502295, 0.09826764921569431, 0.2923679173008207
13.5, 0.0008356823765882557, 0.09785246627283138, 0.2923677541675699
13.6, 0.0008142926091371126, 0.09738034972889466, 0.29236759849570343
13.7, 0.0007934521510206152, 0.09683648578872792, 0.2923674499434624
13.8, 0.0007731468039108531, 0.09620157097636808, 0.29236730818475676
13.9, 0.000753362741044216, 0.09545022229516306, 0.2923671729084666
14.0, 0.000734086497270999, 0.09454861245618253, 0.2923670438177589
14.1, 0.0007153049593827221, 0.09345046449962117, 0.2923669206294111
14.2, 0.000697005356708728, 0.09208842779993509, 0.29236680307320195
14.3, 0.0006791752519739167, 0.09034432515065433, 0.2923666908913118
14.4, 0.0006618025324102386, 0.08779383631004786, 0.29236658383771785
14.5, 0.0006448754011139266, 0.08218173534495926, 0.2923664816777068
14.6, 0.0006283823686418104, 0.07458088156557867, 0.29236638418731536
14.7, 0.000612312244839181, 0.06823888289053755, 0.2923662911528573
14.8, 0.0005966541308928761, 0.06285835800676554, 0.2923662023704319
14.9, 0.0005813974116026324, 0.05782594328027658, 0.29236611764549336
15.0, 0.000566531747864543, 0.05285238001549562, 0.29236603679240547
15.1, 0.0005520470693604936, 0.04792989367778208, 0.2923659596340362
15.2, 0.0005379335674474675, 0.04358201619568442, 0.29236588600138097
15.3, 0.0005241816882410902, 0.04012946325231659, 0.29236581573316156
15.4, 0.0005107821258876678, 0.03733876885987261, 0.29236574867550275
15.5, 0.0004977258160194485, 0.03499073270303874, 0.29236568468157453
15.6, 0.00048500392938783375, 0.032958080505694896, 0.29236562361125806
15.7, 0.00047260786566922976, 0.03116398796672654, 0.2923655653308789
15.8, 0.0004605292474389913, 0.029558398201787583, 0.2923655097128518
15.9, 0.0004487599143083342, 0.02810647135595891, 0.29236545663545166
16.0, 0.0004372919172197689, 0.026782644992526316, 0.2923654059825308
16.1, 0.0004261175128965512, 0.025567395928190243, 0.29236535764323984
16.2, 0.0004152291584416999, 0.024445369165028284, 0.2923653115118178
16.3, 0.00040461950608242634, 0.02340422924482789, 0.29236526748735014
16.4, 0.00039428139805598077, 0.02243391136362581, 0.29236522547351457
16.5, 0.0003842078616326883, 0.02152610569836557, 0.2923651853784226
16.6, 0.00037439210427261466, 0.02067388584397915, 0.2923651471143807
16.7, 0.00036482750891195747, 0.019871431531063855, 0.2923651105977009
16.8, 0.0003555076293755085, 0.019113816272220488, 0.2923650757485421
16.9, 0.0003464261859118487, 0.018396841661365935, 0.29236504249069795
17.0, 0.00033757706084768267, 0.017716906317741674, 0.2923650107514484
17.1, 0.0003289542943581319, 0.017070901198346637, 0.29236498046141685
17.2, 0.000320552080349663, 0.01645612534518005, 0.2923649515543907
17.3, 0.0003123647624526475, 0.01587021767970521, 0.29236492396717284
17.4, 0.00030438683012047146, 0.015311101523152564, 0.2923648976394726
17.5, 0.00029661291483224964, 0.014776939283846954, 0.29236487251375104
