flowtime, s1, s2, s3
0.0, 0.024556328717299104, 0.11815665223578538, 0.2245310688203926
0.1, 0.02382217465928422, 0.11670798165191763, 0.22322624019080814
0.2, 0.023156999172170744, 0.11542602736496826, 0.2221773637703862
0.3, 0.02254343806444668, 0.11426383112420331, 0.22131444707593095
0.4, 0.021969774870841428, 0.11318939877000758, 0.22058918402381716
0.5, 0.021427976987932914, 0.11218067059211802, 0.21996784727195998
0.6, 0.020912437424165604, 0.11122223476531114, 0.21942658711810514
0.7, 0.020419162811506734, 0.11030316680450188, 0.21894830439449786
0.8, 0.019945245337680172, 0.10941559972149799, 0.21852055688085925
0.9, 0.019488516483884458, 0.10855377087933699, 0.21813414766500402
1.0, 0.019047317983572443, 0.10771338168502191, 0.21778216600217792
1.1, 0.01862034891143883, 0.10689116390728919, 0.21745933028594622
1.2, 0.01820656259323335, 0.10608458339994899, 0.21716153407091754
1.3, 0.017805096378655745, 0.10529163585525206, 0.21688552953469195
1.4, 0.017415223271036232, 0.1045107046560634, 0.21662870465993445
1.5, 0.01703631821863772, 0.10374046095352651, 0.2163889248201524
1.6, 0.016667834328820626, 0.10297979268504846, 0.21616441897977154
1.7, 0.016309285860198225, 0.10222775358895687, 0.2159536970574044
1.8, 0.015960235889283386, 0.10148352615141229, 0.21575548924404706
1.9, 0.015620287233341296, 0.10074639434299192, 0.2155687009260211
2.0, 0.015289075665283995, 0.10001572329371479, 0.21539237880040848
2.1, 0.01496626475962968, 0.09929094392879441, 0.21522568509356466
2.2, 0.01465154191247095, 0.09857154118234593, 0.2150678777025938
2.3, 0.014344615216603473, 0.09785704481416457, 0.21491829470880008
2.4, 0.01404521096734328, 0.0971470221362648, 0.2147763421509049
2.5, 0.01375307163952467, 0.09644107215141065, 0.214641484253703
2.6, 0.0134679542212256, 0.09573882074259242, 0.21451323552557802
2.7, 0.013189628821274849, 0.09503991664834419, 0.21439115429351266
2.8, 0.012917877489810471, 0.09434402802655265, 0.21427483735547712
2.9, 0.012652493206943503, 0.093650839457097, 0.21416391551069391
3.0, 0.01239327900589761, 0.09296004926735273, 0.21405804978682164
3.1, 0.012140047205183094, 0.09227136708787735, 0.21395692822621612
3.2, 0.011892618730327155, 0.09158451156141485, 0.2138602631253062
3.3, 0.011650822510081177, 0.09089920813829379, 0.21376778864478405
3.4, 0.011414494935286314, 0.0902151868966006, 0.2136792587262141
3.5, 0.01118347937103069, 0.08953218032679088, 0.2135944452641496
3.6, 0.01095762571458249, 0.08884992101797383, 0.2135131364931791
3.7, 0.01073678999300315, 0.08816813917684035, 0.2134351355571757
3.8, 0.010520833995439757, 0.0874865598998386, 0.21336025923431268
