flowtime, sM1R1, sM1R2, sM1R3, sM1R4, sM1R5, sM1R6, sM1R7, sM1R8, sM1R9, sM1R10, sM1R11, sM1R12, sM1R13, sM1R14, sM1R15
0.0, 0.32047838304239407, 0.242378373357867, 0.2876881486191611, 0.3228193906605907, 0.24093033515504578, 0.28240532390539785, 0.24203563552386706, 0.24995772163402663, 0.3151417025349343, 0.2951610900728883, 0.3027460591952002, 0.2556028030118278, 0.3315390926605765, 0.23994495269163463, 0.2736269162836082
0.1, 0.24785762550780518, 0.19608793520878542, 0.22047854128739866, 0.24222480167943022, 0.19525804771516866, 0.2172329198944744, 0.19599940602356106, 0.20111517161975476, 0.24206592131324658, 0.2310436692363425, 0.2299381443866748, 0.20338941945286013, 0.25186159117666407, 0.1946435197658968, 0.21519812360725202
0.2, 0.1944075213297672, 0.15868240885515222, 0.171625526702808, 0.18580030688823243, 0.15818107399377707, 0.16970003207497847, 0.15867780858276362, 0.16213860358435384, 0.18866283840219628, 0.18256692343944397, 0.17784754150756096, 0.162829075570623, 0.19502872709041913, 0.15775927492872088, 0.1707997714410333
0.3, 0.1538807839839143, 0.1284853255229215, 0.13513507561513668, 0.14488513697974068, 0.12816201794259757, 0.1340134813064762, 0.12849361887609564, 0.13093355589692, 0.14861507837556562, 0.14526653411915327, 0.13942024642792206, 0.13091826960495012, 0.15308872454736808, 0.12784924498084155, 0.13643906545475493
0.4, 0.12252191533914744, 0.10410892459276105, 0.10729697077432435, 0.11433466303496845, 0.1038851926032021, 0.10665328111930607, 0.10410574626143677, 0.1058867152328822, 0.1179912196546486, 0.11618973817584875, 0.11037346002788011, 0.10558749274817039, 0.1213239827025843, 0.10364074104968604, 0.10949856581316013
0.5, 0.09795265499057185, 0.08442068313669429, 0.08571858058241927, 0.09099920930066885, 0.08425544697784394, 0.0853591521548786, 0.08440176045361726, 0.08573840501356103, 0.09422873494982624, 0.09330193915871449, 0.08800549633197897, 0.08535205607806004, 0.09680504762143982, 0.08405835910313517, 0.08817879107974423
0.6, 0.07855959169865352, 0.06850543478990814, 0.06879197114977041, 0.07286998786925948, 0.06837693067450573, 0.06860296846512767, 0.0684738751193312, 0.06949880889592662, 0.0755859301692791, 0.0751522430922914, 0.07053929042989181, 0.06911288740325022, 0.07761948448799903, 0.06821543966801802, 0.07119262182646849
0.7, 0.06317632677659424, 0.05562765199035966, 0.05539576007192517, 0.05860944370870677, 0.05552405941695912, 0.05530908203240787, 0.0555883073785572, 0.05638697073864659, 0.06083681629837612, 0.06067766312456784, 0.056758766495150166, 0.05603687374396552, 0.06245952097798363, 0.055390787508629205, 0.05759112645195708
0.8, 0.05092490463125631, 0.04519748960128718, 0.04472285234426225, 0.04729032017789717, 0.045112098532526575, 0.04469679929780435, 0.0451547512042557, 0.045784504937054216, 0.04909330552421251, 0.049082807299557184, 0.04580227026891545, 0.045481317631054306, 0.05039515745212216, 0.045001874698689194, 0.04665864035038376
0.9, 0.041132389367075674, 0.036742030972050393, 0.03617702569735567, 0.03824682645579203, 0.03667077020594342, 0.03618567283848778, 0.036699180664200935, 0.03720003830361364, 0.03969685748383946, 0.03976248908021235, 0.03704108129288113, 0.03694398147157022, 0.04074403356761037, 0.0365796381387344, 0.03784607071797858
1.0, 0.03327943278728157, 0.02988176840420886, 0.029308447804573007, 0.030986825655860077, 0.029821951587622155, 0.029335638584757292, 0.029840971633846507, 0.03024180345747625, 0.0321497866784911, 0.03225003172218446, 0.030005277914538973, 0.03002865400107181, 0.03299324067100945, 0.029746713474162103, 0.030726551519676053
1.1, 0.0269635509216393, 0.024311716456200987, 0.023771998019775142, 0.025138047650930157, 0.024261410148599477, 0.023807770698541612, 0.024274232663447196, 0.02459646517178424, 0.026070175810563544, 0.026181663164282627, 0.024336814992129592, 0.024420564149587976, 0.02675010554402477, 0.024199407876145024, 0.024964862467863076
1.2, 0.021871319553195098, 0.019786379144494416, 0.019299398267598387, 0.020413828874698357, 0.01974408556351813, 0.019337758625849123, 0.0197528083130676, 0.02001270703044362, 0.021161345572193287, 0.021271354159818238, 0.01975875045823713, 0.019868317397923736, 0.021709823512069716, 0.019693085126220863, 0.020295692163122506
1.3, 0.01775725091619175, 0.016107824123349875, 0.015679976081047892, 0.01659042340725088, 0.016072321360861824, 0.01571746669852805, 0.016078321713299478, 0.016288452315106425, 0.017190587766381608, 0.017292634179019394, 0.01605436602906904, 0.016170324054202743, 0.017633320497472207, 0.016030441501523888, 0.01650778975967168
1.4, 0.014427895164405265, 0.013116223446792849, 0.012746996438852716, 0.013491413569514155, 0.01308648347485849, 0.012781764613653825, 0.013090666108662854, 0.013260865265257682, 0.01397396932977365, 0.014065189494254341, 0.013052549159744619, 0.013164425528292618, 0.014331592326879253, 0.013052143585790663, 0.013432161480378266
1.5, 0.011729932207793413, 0.010682339604829831, 0.010367700612680195, 0.01097663880451941, 0.01065748411905993, 0.010398889583561846, 0.010660444093956155, 0.010798488322289143, 0.01136522813856905, 0.011444815898059332, 0.010617268595497073, 0.01071985993273615, 0.01165431227297046, 0.010629361381957234, 0.010933124088238051
1.6, 0.00954123234671327, 0.008701543079345982, 0.00843588868970373, 0.008934107960251438, 0.008680817437004688, 0.008463242021625529, 0.008682947202841238, 0.008795029173345258, 0.009247500735062263, 0.009315775785021317, 0.008639813234458872, 0.008730976123446586, 0.00948135445993561, 0.008657809486509493, 0.008901426596115912
1.7, 0.007764096743940418, 0.0070890368657751494, 0.006866297377566631, 0.00727395198342616, 0.007071792567618623, 0.006889904553698521, 0.007073352012744578, 0.007164429617355045, 0.007527058630113109, 0.007584912524142564, 0.00703295336501013, 0.007112276830190021, 0.007716372749260487, 0.007052984435433209, 0.007248901384532934
1.8, 0.006320096851732863, 0.005776034476144321, 0.005590277083123856, 0.005923817324473419, 0.005761715715838029, 0.005610412411171962, 0.005762877938399763, 0.005836936261401903, 0.006128500976325226, 0.00617707169601777, 0.005726476234420471, 0.0057944856125794275, 0.006281867401772214, 0.005746350657147385, 0.005904266683757287
1.9, 0.00514609489231404, 0.004706693478874401, 0.004552429799928944, 0.004825305165545441, 0.00469482576126959, 0.004569452572932191, 0.004695706941357773, 0.004755958625789251, 0.004991023862159833, 0.005031509016755183, 0.004663727827052922, 0.004721410808153193, 0.005115352293984654, 0.0046822797687650925, 0.00480980871665249
2.0, 0.004191146353007915, 0.003835649671385067, 0.0037079704495459782, 0.003931187618610112, 0.00382582967214335, 0.0037222649260450235, 0.0038265085559165825, 0.003875549320517861, 0.004065498850375494, 0.004099052895327673, 0.003798906355782859, 0.0038474351012164833, 0.0041663507633831484, 0.003815589469075375, 0.003918744053484343
2.1, 0.0034140692984807367, 0.0031260302605154093, 0.003020641085839092, 0.0032032121632136756, 0.0031179166241628226, 0.003032582028558688, 0.003118447233195212, 0.0031583779357879935, 0.0033121684017193894, 0.003339850467753986, 0.003094926807706594, 0.003135499497052041, 0.0033940243101423877, 0.0031095608668746696, 0.003193113096983274
2.2, 0.0027815238323359195, 0.00254785018891527, 0.002461052702569913, 0.002610358221324658, 0.002541155175308628, 0.0024709870549364738, 0.0025415751036899684, 0.002574098356661888, 0.0026988171029978052, 0.002721568897186567, 0.0025217252529060796, 0.002555480134580453, 0.0027652902332054342, 0.002534338547201803, 0.0026020915581657375
2.3, 0.002266486039595747, 0.0020767157541554354, 0.0020053609811927476, 0.0021274454402970128, 0.00207119771272563, 0.002013599512641018, 0.002071533553219299, 0.002098030680357679, 0.00219931346778461, 0.0022179545979262604, 0.0020549055485760315, 0.0020828786191269383, 0.0022533205446538486, 0.0020656375696421854, 0.0021206329722015783
2.4, 0.001847029782854039, 0.0016927752721197628, 0.0016342048700438937, 0.0017340181510271868, 0.00168823193189165, 0.0016410197926517809, 0.001688502834850387, 0.0017100954606745664, 0.0017924426700839104, 0.0018076756203574565, 0.0016746549830381093, 0.001697763479274382, 0.001836340470603208, 0.0016836971608732705, 0.001728374734607622
2.5, 0.001505350604636294, 0.0013798687626664456, 0.001331853328213907, 0.0014134483011447097, 0.0013761313132947975, 0.0013374793275565872, 0.0013763513309707472, 0.0013939508483529206, 0.0014609691913652382, 0.0014733892100827054, 0.0013648726513846336, 0.0013839133685252737, 0.0014966638105473576, 0.0013724330854734592, 0.0014087547799955826
2.6, 0.0012269812435653287, 0.0011248382594154652, 0.0010855177735589819, 0.0011522122283585995, 0.0011217661818937383, 0.0010901548446770723, 0.0011219458220114232, 0.001136293233007977, 0.0011908821401843293, 0.0012009891933851516, 0.0011124670483008015, 0.0011281227396369626, 0.0012199165145129257, 0.0011187503089084114, 0.0011482972039789663
2.7, 0.0010001595933179775, 0.0009169679544012479, 0.0008847969769401733, 0.0009393063965646201, 0.000914444546613319, 0.0008886140748158608, 0.0009145918102687912, 0.000926289882066217, 0.0009707863523187855, 0.000978997478836054, 0.0009067888699323871, 0.0009196386294509358, 0.0009944104536521224, 0.0009119851830235989, 0.000936033756855461
2.8, 0.0008153184569359199, 0.0007475294287616494, 0.0007212281736349088, 0.0007657746216678943, 0.0007454579625886219, 0.0007243670869455127, 0.0007455790448964696, 0.0007551183069141547, 0.0007914102523110003, 0.0007980713912000474, 0.0007391722412992325, 0.0007497034234359288, 0.0008106374578763303, 0.0007434524305712642, 0.0007630348581618674
2.9, 0.0006646729481309782, 0.0006094120336744246, 0.0005879235898949173, 0.000624325007029064, 0.0006077124767226038, 0.0005905027014494262, 0.0006078122459532977, 0.0006155920361475734, 0.0006452075129984552, 0.0006506043275638182, 0.0006025631441383808, 0.0006111834054344243, 0.0006608599347662133, 0.0006060770216072746, 0.0006220290556365773
3.0, 0.0005418864010661941, 0.0004968223334010869, 0.00047927581075450876, 0.0005090192327072549, 0.0004954285685972317, 0.00048139356775080003, 0.0004955108989411207, 0.0005018564209739611, 0.0005260342511694208, 0.0005304017488246086, 0.000491218140129066, 0.000498266826583222, 0.0005387792350823315, 0.0004940948832751054, 0.0005070940177183703
