flowtime, sM3R1, sM3R2, sM3R3, sM3R4, sM3R5, sM3R6, sM3R7, sM3R8, sM3R9, sM3R10, sM3R11, sM3R12, sM3R13, sM3R14, sM3R15
9.0, 0.1402002004945433, 0.07937401048881121, 0.05765978268400747, 0.04551470319368532, 0.04901733925012467, 0.03918272734342684, 0.025128272640371964, 0.07901823085323978, 0.14067735364075046, 0.07772056015978715, 0.04752441300931114, 0.021476482495521868, 0.09056489816963735, 0.060293456856465845, 0.1458180144981881
9.1, 0.13874704816861474, 0.07835376513372827, 0.05580808841416581, 0.043888502270825885, 0.04761719685722882, 0.03839914600680143, 0.024380506000021014, 0.07827340443909742, 0.13872039944817513, 0.0758668657452909, 0.04560180929473561, 0.020905612308098866, 0.08871434091044027, 0.05902394938452096, 0.14393048478443576
9.2, 0.1373134044198661, 0.07733644461089584, 0.05398574911727237, 0.04234001910294299, 0.046263002794720044, 0.037640467113481436, 0.023666944854328187, 0.0775581690607165, 0.13673859970406366, 0.0739988622625339, 0.04374033694533236, 0.020374439957039008, 0.08690226922294604, 0.057770307708136535, 0.14206414383170596
9.3, 0.1358994852426144, 0.07632166880764224, 0.05219629783414947, 0.040865227437826356, 0.044952666312755026, 0.0369049535292166, 0.02298572111898597, 0.07687061118601851, 0.13473194381220244, 0.07211649094491748, 0.04193907974007162, 0.01987947765782349, 0.08512519388528555, 0.05653163073513516, 0.14021808782383355
9.4, 0.13450551559766083, 0.07530920363646922, 0.050443068083933555, 0.039460267186816, 0.04368427178869698, 0.03619102139411061, 0.02233510425231071, 0.07620897743074966, 0.13270058215677774, 0.07022047225548637, 0.0401971419514885, 0.019417558920676883, 0.08337997723770577, 0.05530711865889592, 0.13839155639395068
9.5, 0.13313170951972977, 0.0742989510953045, 0.04872913823312378, 0.038121460620759356, 0.0424560595016255, 0.035497226670997514, 0.021713485484041364, 0.07557166056688862, 0.13064481327425884, 0.06831229685404226, 0.03851364229823074, 0.01898581358752558, 0.08166381680164533, 0.05409606437884274, 0.136583922142168
9.6, 0.13177825261298953, 0.07329093874309157, 0.047057286246765764, 0.036845319567550446, 0.041266408374821754, 0.03482225300082077, 0.021119364222557637, 0.07495718646098411, 0.1285650720522016, 0.06639419791906753, 0.03688770810242833, 0.018581643178864807, 0.07997422678047045, 0.05289784606044883, 0.13479468059220293
9.7, 0.13044528709798142, 0.07228530850398907, 0.0454299553220466, 0.0356285459607567, 0.04011382049701737, 0.0341649007526109, 0.020551336352788368, 0.07436420194709195, 0.12646191927689096, 0.06446910352534074, 0.03531846962793167, 0.01820269707604427, 0.07830901864177611, 0.05171192074264449, 0.1330234404941838
9.8, 0.12913289951037982, 0.0712823047673388, 0.043849230397622375, 0.034468027747813886, 0.03899690725586916, 0.033524077155208915, 0.02000808417553546, 0.07379146362470801, 0.12433603275246805, 0.06254056898457401, 0.03380505460508093, 0.01784684989224591, 0.07666628166915222, 0.050537818903194295, 0.1312699144042653
9.9, 0.1278411110823966, 0.07028226181043148, 0.042316825079491076, 0.033360831784776106, 0.03791437693644385, 0.03289878740157152, 0.019488367771541507, 0.07323782755989722, 0.12218820010225803, 0.06061269039829809, 0.03234658297150285, 0.017512180250911693, 0.07504436410169008, 0.049375139893719285, 0.12953390949157276
10.0, 0.12656987076587956, 0.06928559063314929, 0.04083407815575058, 0.0323041949718914, 0.03686502365372188, 0.032288126622794795, 0.018991017601108513, 0.07270223985787555, 0.12001931324770888, 0.058690002018369235, 0.030942161877099954, 0.017196951088016582, 0.07344185525763137, 0.0482235481559227, 0.12781531854011505
10.1, 0.12531905078694272, 0.06829276535343613, 0.03940195860453867, 0.03129551455042052, 0.03584771750158375, 0.031691272636750034, 0.01851492817320709, 0.07218372806758809, 0.1178303644506242, 0.056777361215904376, 0.02959088101526133, 0.016899591518787775, 0.07185756886306807, 0.04708277012957703, 0.12611411112827464
10.2, 0.12408844455938561, 0.06730430936573314, 0.03802107783528485, 0.03033233820088373, 0.034861395811823806, 0.031107479384594083, 0.018059052637569236, 0.0716813933731877, 0.11562244370815866, 0.054879825787188814, 0.028291808351509868, 0.016618680255060914, 0.07029052767240687, 0.04595259176124569, 0.12443032498179017
10.3, 0.12287776673163793, 0.06632078150677849, 0.03669170783560164, 0.02941235436011201, 0.03390505542584048, 0.030536070976804244, 0.01762239816992081, 0.0711944035235617, 0.11339673721356584, 0.053002528868477145, 0.02704398632534781, 0.016352930521870798, 0.0687399493678287, 0.04483285652086488, 0.12276405750795684
10.4, 0.12168665510185238, 0.06534276250099752, 0.035413803909435146, 0.02853338300587394, 0.03297774588916904, 0.029976436278428078, 0.017204022034909724, 0.0707219864489078, 0.1111545265432019, 0.05115055683217407, 0.025846428600984236, 0.016101176397235475, 0.067205233653449, 0.04372346383147549, 0.12111545752917807
10.5, 0.12051467410934472, 0.0643708419687198, 0.034187030767046725, 0.027693367036434564, 0.03207856348531027, 0.029428023970703873, 0.016803028223932752, 0.07026342451258466, 0.10889718820384788, 0.04932883519389478, 0.024698117438030992, 0.01586236048422276, 0.06568595041023582, 0.042624367815856226, 0.11948471724288517
10.6, 0.1193613195980262, 0.06340560627367317, 0.03301079084369259, 0.026890364289595087, 0.031206646030683675, 0.028890338033004736, 0.01641856457637916, 0.06981804934679012, 0.10662619317399775, 0.04754202682908048, 0.023598001744370878, 0.015635522816732514, 0.06418182874490712, 0.041535576262823025, 0.11787206444199196
10.7, 0.11822602454798695, 0.06244762746220132, 0.031884253862961336, 0.026122540192973293, 0.03036116835726728, 0.028362933595162825, 0.01604982030310812, 0.06938523722183475, 0.1043431060963736, 0.04579444577995662, 0.022544995860667275, 0.015419790897967155, 0.06269274674606304, 0.040457149715781134, 0.1162777550352687
10.8, 0.1171081654834331, 0.06149745350749196, 0.03080638680744358, 0.02538816100672374, 0.029541338413795568, 0.02784541311566771, 0.015696023840491187, 0.06896440490065868, 0.10204958382305437, 0.04408998875573135, 0.021537979110008494, 0.015214370771743225, 0.06121872175083708, 0.03938920058697751, 0.1147020659100692
10.9, 0.11600706928664435, 0.06055560002109414, 0.029775983602719915, 0.024685587605000142, 0.028746393920447724, 0.027337422846075227, 0.015356440972226706, 0.0685550059326143, 0.09974737307441578, 0.042432085222927345, 0.020575796127766322, 0.015018539030426884, 0.059759900923430816, 0.0383318922030181, 0.11314528818059423
