flowtime, sM2R1, sM2R2, sM2R3, sM2R4, sM2R5, sM2R6, sM2R7, sM2R8, sM2R9, sM2R10, sM2R11, sM2R12, sM2R13, sM2R14, sM2R15, sM2R16, sM2R17, sM2R18, sM2R19, sM2R20
0.0, 0.414692453603187, 0.43066320123353147, 0.45711398737537523, 0.4070603070402656, 0.41407588952638263, 0.41429444240552304, 0.47521611464786917, 0.49627967585566374, 0.4074141065621142, 0.47520017121683533, 0.4620879192701187, 0.4168207958809774, 0.4139012738893523, 0.44324250465753234, 0.4998856612337004, 0.42710361048117995, 0.4937072357591107, 0.47542278266492166, 0.437559568087858, 0.4297063459260402
0.1, 0.4022935770321138, 0.4136193021576478, 0.4338656623626338, 0.3966284438830694, 0.4021496166030205, 0.40240829865852495, 0.4495595022112437, 0.46406592693146853, 0.3969073666572428, 0.4476065326450118, 0.43912302518184115, 0.4037899362105468, 0.4015187322288723, 0.424036034245116, 0.4652648133648893, 0.41115044757163954, 0.46065195480953175, 0.448640752336168, 0.4195194661976603, 0.41367245807400416
0.2, 0.3904654731477028, 0.39827596489544387, 0.41377812065442576, 0.3862885256613472, 0.39067507472390184, 0.3909691841313814, 0.4276256408787767, 0.4368954721177276, 0.38651148563946386, 0.42402080924173813, 0.4192780658905759, 0.39143489345043236, 0.38972144637456835, 0.40702098170284773, 0.43605184904402144, 0.39657969037230906, 0.4329764545929, 0.42582876484339566, 0.4034357590426815, 0.3990816913459004
0.3, 0.37901338805873386, 0.3841111689745191, 0.3959353372591768, 0.37599344134190676, 0.37948768945343225, 0.3798230502387286, 0.40834807750108737, 0.41338910275431134, 0.376174224729832, 0.40328461033622043, 0.40165514299945104, 0.3795114569618971, 0.3783075648093609, 0.39152737477800303, 0.4107047078134996, 0.38294482313217487, 0.40917638097247094, 0.4058930123033664, 0.38870996503791355, 0.38548603042601937
0.4, 0.3677886273618483, 0.3707348718068455, 0.3796495371633377, 0.36570176233510066, 0.3684598183554226, 0.36885051097726645, 0.3909246448283657, 0.3924908058320438, 0.3658502235022115, 0.38452761848260375, 0.3855795296430761, 0.36782692897477803, 0.3671214930763289, 0.37706035319043246, 0.38806836552516505, 0.369916511233221, 0.3880956953735526, 0.3880148727580664, 0.37489510451819447, 0.3725524071162381
0.5, 0.35667267649520273, 0.3578470797115741, 0.3643962305056231, 0.35537614000472, 0.35748793580492805, 0.35795487082700317, 0.37475540283049397, 0.3734017095754931, 0.3554987813044342, 0.3671025367678115, 0.3705349156365215, 0.35621948709455026, 0.3560361768474414, 0.3632505285637152, 0.3673369075894683, 0.3572469522990583, 0.3688664851793017, 0.37158289528183963, 0.36164967230427714, 0.36002744992129887
0.6, 0.3455656645694278, 0.3452079756676749, 0.3497672510700853, 0.34498230723744655, 0.34648361429507085, 0.347053443321771, 0.3594001841646836, 0.355533479625663, 0.34508231270471673, 0.35054017523835396, 0.3561171304987922, 0.3445441103464976, 0.34493963069450173, 0.34982049766735035, 0.34801007053586885, 0.34474541990583724, 0.3508853790911865, 0.35614034833855374, 0.34870577943708453, 0.3477134893408263
0.7, 0.3343778655259993, 0.3326184993034602, 0.33544447857574206, 0.3344885990968412, 0.33536728504791724, 0.33607097597965696, 0.3445513554829453, 0.3384800706176761, 0.3345653041357556, 0.3345217497719967, 0.3420065264987076, 0.3326667306152401, 0.33372454279188335, 0.3365647082078095, 0.3298152418062045, 0.3322624486409153, 0.33380681881318147, 0.3413465697001958, 0.3358492889490708, 0.33545384327747824
0.8, 0.3230240395609575, 0.31991239305112085, 0.3211989303059483, 0.3238659227903525, 0.3240645019947549, 0.3249344046957681, 0.33001395802039685, 0.32199838314968443, 0.32391360340720426, 0.31886144316161713, 0.3279602507905161, 0.32047261059600346, 0.3222817792050588, 0.32334062101358585, 0.31260945528209105, 0.31968189845898887, 0.31749480307691724, 0.3269501926772864, 0.3229114531542777, 0.323126635812868
0.9, 0.311422235164507, 0.3069633064548255, 0.3069118315122519, 0.3130880872851612, 0.3125054765138107, 0.3135687493691349, 0.31568553675564326, 0.3059848097298055, 0.3130938252997467, 0.3034900508818552, 0.3138229760418928, 0.3078965620313113, 0.3105024358064098, 0.3100688954419217, 0.29630838921806874, 0.3069224064700783, 0.3019108322574353, 0.3127738146680366, 0.30977295920502207, 0.3106468216509124
