x, y, Adm
1, 1, 0.0004386258678697969
2, 1, 0.0004066026441744092
3, 1, 0.00029411554367140993
4, 1, 0.0003245418287989918
5, 1, 0.0003992831979152204
6, 1, 0.00048518900831515745
7, 1, 0.0003992831979152204
8, 1, 0.0003245418287989917
9, 1, 0.00029411554367141
10, 1, 0.0004066026441744092

1, 2, 0.0004066026441744088
2, 2, 0.00039253484483132425
3, 2, 0.00024540923096452445
4, 2, 0.0003043781375613212
5, 2, 0.00036262552436533
6, 2, 0.00048316533847293357
7, 2, 0.00036262552436532893
8, 2, 0.00030437813756132085
9, 2, 0.0002454092309645235
10, 2, 0.00039253484483132425

1, 3, 0.00029411554367140993
2, 3, 0.0002454092309645235
3, 3, 0.00014163103349802103
4, 3, 0.00015341922274085507
5, 3, 0.0002424080126487557
6, 3, 0.0003124963387212962
7, 3, 0.0002424080126487551
8, 3, 0.00015341922274085643
9, 3, 0.00014163103349802106
10, 3, 0.00024540923096452456

1, 4, 0.00032454182879899154
2, 4, 0.0003043781375613209
3, 4, 0.00015341922274085646
4, 4, 0.00021600029714331282
5, 4, 0.0002755939182981318
6, 4, 0.00042478389130209157
7, 4, 0.0002755939182981301
8, 4, 0.0002160002971433126
9, 4, 0.00015341922274085513
10, 4, 0.00030437813756132117

1, 5, 0.0003992831979152204
2, 5, 0.00036262552436532904
3, 5, 0.00024240801264875512
4, 5, 0.00027559391829813
5, 5, 0.0003548371667235654
6, 5, 0.0004520436415049164
7, 5, 0.0003548371667235655
8, 5, 0.00027559391829813217
9, 5, 0.00024240801264875566
10, 5, 0.0003626255243653302

1, 6, 0.0004851890083151573
2, 6, 0.00048316533847293357
3, 6, 0.0003124963387212961
4, 6, 0.00042478389130209184
5, 6, 0.000452043641504916
6, 6, 0.00039695651738039266
7, 6, 0.0004520436415049165
8, 6, 0.00042478389130209146
9, 6, 0.0003124963387212961
10, 6, 0.00048316533847293374

1, 7, 0.00039928319791522024
2, 7, 0.00036262552436533
3, 7, 0.00024240801264875558
4, 7, 0.00027559391829813196
5, 7, 0.0003548371667235654
6, 7, 0.0004520436415049165
7, 7, 0.0003548371667235655
8, 7, 0.0002755939182981301
9, 7, 0.00024240801264875517
10, 7, 0.000362625524365329

1, 8, 0.0003245418287989918
2, 8, 0.00030437813756132106
3, 8, 0.00015341922274085513
4, 8, 0.0002160002971433126
5, 8, 0.00027559391829813
6, 8, 0.0004247838913020914
7, 8, 0.00027559391829813196
8, 8, 0.00021600029714331252
9, 8, 0.00015341922274085646
10, 8, 0.00030437813756132085

1, 9, 0.00029411554367141004
2, 9, 0.00024540923096452456
3, 9, 0.00014163103349802112
4, 9, 0.0001534192227408564
5, 9, 0.0002424080126487552
6, 9, 0.00031249633872129623
7, 9, 0.0002424080126487557
8, 9, 0.00015341922274085513
9, 9, 0.00014163103349802106
10, 9, 0.0002454092309645235

1, 10, 0.00040660264417440896
2, 10, 0.0003925348448313242
3, 10, 0.00024540923096452353
4, 10, 0.000304378137561321
5, 10, 0.00036262552436532914
6, 10, 0.0004831653384729336
7, 10, 0.00036262552436533007
8, 10, 0.0003043781375613213
9, 10, 0.00024540923096452456
10, 10, 0.00039253484483132425

