x, y, Adm
1, 1, 3.79062796703842e-8
2, 1, 3.497730761494915e-8
3, 1, 2.501672692655233e-8
4, 1, 2.7011761237868766e-8
5, 1, 3.300107229617845e-8
6, 1, 4.000825906263295e-8
7, 1, 3.300107229617826e-8
8, 1, 2.7011761237868756e-8
9, 1, 2.501672692655237e-8
10, 1, 3.4977307614949134e-8

1, 2, 3.497730761494908e-8
2, 2, 3.495566331373324e-8
3, 2, 2.093016290301653e-8
4, 2, 2.6607389791307493e-8
5, 2, 2.98576652971058e-8
6, 2, 4.0935638508970564e-8
7, 2, 2.9857665297106015e-8
8, 2, 2.6607389791307414e-8
9, 2, 2.0930162903016318e-8
10, 2, 3.495566331373319e-8

1, 3, 2.5016726926552338e-8
2, 3, 2.0930162903016433e-8
3, 3, 1.2096703162107747e-8
4, 3, 1.2883588045112077e-8
5, 3, 2.0048488360464193e-8
6, 3, 2.5817958501617067e-8
7, 3, 2.0048488360463922e-8
8, 3, 1.2883588045112205e-8
9, 3, 1.2096703162107776e-8
10, 3, 2.093016290301652e-8

1, 4, 2.701176123786869e-8
2, 4, 2.6607389791307417e-8
3, 4, 1.2883588045112233e-8
4, 4, 1.8851197475687256e-8
5, 4, 2.2155404231163264e-8
6, 4, 3.523366254491833e-8
7, 4, 2.2155404231164412e-8
8, 4, 1.88511974756873e-8
9, 4, 1.2883588045111806e-8
10, 4, 2.6607389791307523e-8

1, 5, 3.3001072296178333e-8
2, 5, 2.9857665297105916e-8
3, 5, 2.0048488360464048e-8
4, 5, 2.215540423116386e-8
5, 5, 2.8251729380999387e-8
6, 5, 3.569086551480918e-8
7, 5, 2.8251729380999973e-8
8, 5, 2.2155404231163955e-8
9, 5, 2.0048488360463975e-8
10, 5, 2.985766529710601e-8

1, 6, 4.000825906263278e-8
2, 6, 4.0935638508970664e-8
3, 6, 2.5817958501617232e-8
4, 6, 3.523366254491917e-8
5, 6, 3.5690865514805594e-8
6, 6, 3.1157103508865825e-8
7, 6, 3.569086551481267e-8
8, 6, 3.523366254491824e-8
9, 6, 2.5817958501616048e-8
10, 6, 4.093563850897084e-8

1, 7, 3.3001072296178294e-8
2, 7, 2.985766529710608e-8
3, 7, 2.004848836046404e-8
4, 7, 2.2155404231164326e-8
5, 7, 2.8251729380999542e-8
6, 7, 3.569086551481103e-8
7, 7, 2.8251729381000138e-8
8, 7, 2.2155404231164184e-8
9, 7, 2.004848836046389e-8
10, 7, 2.985766529710601e-8

1, 8, 2.7011761237868686e-8
2, 8, 2.660738979130756e-8
3, 8, 1.2883588045112097e-8
4, 8, 1.8851197475687242e-8
5, 8, 2.2155404231163125e-8
6, 8, 3.5233662544917915e-8
7, 8, 2.215540423116452e-8
8, 8, 1.88511974756873e-8
9, 8, 1.2883588045111938e-8
10, 8, 2.6607389791307397e-8

1, 9, 2.501672692655235e-8
2, 9, 2.0930162903016506e-8
3, 9, 1.2096703162107757e-8
4, 9, 1.2883588045112124e-8
5, 9, 2.004848836046412e-8
6, 9, 2.5817958501616736e-8
7, 9, 2.0048488360463932e-8
8, 9, 1.288358804511198e-8
9, 9, 1.2096703162107776e-8
10, 9, 2.0930162903016387e-8

1, 10, 3.497730761494908e-8
2, 10, 3.495566331373323e-8
3, 10, 2.0930162903016423e-8
4, 10, 2.6607389791307354e-8
5, 10, 2.9857665297105704e-8
6, 10, 4.093563850897061e-8
7, 10, 2.985766529710613e-8
8, 10, 2.6607389791307546e-8
9, 10, 2.093016290301642e-8
10, 10, 3.4955663313733176e-8

