x, y, Adm
1, 1, 8.638117091306671e-7
2, 1, 7.971634675642829e-7
3, 1, 5.703822110428635e-7
4, 1, 6.163232655711556e-7
5, 1, 7.531912036436686e-7
6, 1, 9.131373749925726e-7
7, 1, 7.531912036436674e-7
8, 1, 6.163232655711555e-7
9, 1, 5.703822110428638e-7
10, 1, 7.971634675642829e-7

1, 2, 7.97163467564282e-7
2, 2, 7.87017471389767e-7
3, 2, 4.771495810393195e-7
4, 2, 5.971950952677876e-7
5, 2, 6.814962097496382e-7
6, 2, 9.243988742397607e-7
7, 2, 6.814962097496369e-7
8, 2, 5.97195095267786e-7
9, 2, 4.771495810393161e-7
10, 2, 7.870174713897668e-7

1, 3, 5.703822110428636e-7
2, 3, 4.771495810393169e-7
3, 3, 2.7575128742959677e-7
4, 3, 2.938848037168543e-7
5, 3, 4.575668245163672e-7
6, 3, 5.892208226261721e-7
7, 3, 4.575668245163639e-7
8, 3, 2.938848037168568e-7
9, 3, 2.7575128742959693e-7
10, 3, 4.771495810393198e-7

1, 4, 6.163232655711547e-7
2, 4, 5.971950952677862e-7
3, 4, 2.9388480371685684e-7
4, 4, 4.200491775605232e-7
5, 4, 5.060224079536825e-7
6, 4, 7.932741384729859e-7
7, 4, 5.060224079536862e-7
8, 4, 4.20049177560523e-7
9, 4, 2.938848037168528e-7
10, 4, 5.971950952677876e-7

1, 5, 7.531912036436679e-7
2, 5, 6.814962097496369e-7
3, 5, 4.5756682451636437e-7
4, 5, 5.060224079536839e-7
5, 5, 6.455776030206627e-7
6, 5, 8.155554261533289e-7
7, 5, 6.455776030206658e-7
8, 5, 5.060224079536863e-7
9, 5, 4.5756682451636633e-7
10, 5, 6.814962097496399e-7

1, 6, 9.131373749925711e-7
2, 6, 9.243988742397615e-7
3, 6, 5.892208226261726e-7
4, 6, 7.932741384729907e-7
5, 6, 8.155554261533106e-7
6, 6, 7.122297730634185e-7
7, 6, 8.155554261533451e-7
8, 6, 7.932741384729856e-7
9, 6, 5.892208226261671e-7
10, 6, 9.243988742397626e-7

1, 7, 7.531912036436675e-7
2, 7, 6.814962097496401e-7
3, 7, 4.575668245163664e-7
4, 7, 5.06022407953688e-7
5, 7, 6.455776030206634e-7
6, 7, 8.155554261533378e-7
7, 7, 6.455776030206663e-7
8, 7, 5.060224079536853e-7
9, 7, 4.5756682451636347e-7
10, 7, 6.814962097496373e-7

1, 8, 6.163232655711549e-7
2, 8, 5.971950952677874e-7
3, 8, 2.938848037168542e-7
4, 8, 4.2004917756052266e-7
5, 8, 5.060224079536801e-7
6, 8, 7.932741384729837e-7
7, 8, 5.060224079536888e-7
8, 8, 4.2004917756052277e-7
9, 8, 2.938848037168554e-7
10, 8, 5.971950952677859e-7

1, 9, 5.703822110428635e-7
2, 9, 4.771495810393199e-7
3, 9, 2.75751287429597e-7
4, 9, 2.9388480371685646e-7
5, 9, 4.575668245163648e-7
6, 9, 5.892208226261705e-7
7, 9, 4.575668245163662e-7
8, 9, 2.93884803716854e-7
9, 9, 2.75751287429597e-7
10, 9, 4.771495810393166e-7

1, 10, 7.97163467564282e-7
2, 10, 7.870174713897669e-7
3, 10, 4.771495810393168e-7
4, 10, 5.971950952677862e-7
5, 10, 6.814962097496359e-7
6, 10, 9.243988742397613e-7
7, 10, 6.814962097496399e-7
8, 10, 5.971950952677875e-7
9, 10, 4.771495810393193e-7
10, 10, 7.870174713897666e-7

