x, y, Adm
1, 1, 0.007078589203852879
2, 1, 0.007174853713983562
3, 1, 0.010252621003606884
4, 1, 0.019603225567698685
5, 1, 0.03545314950164533
6, 1, 0.045079544056219265
7, 1, 0.0354531495016446
8, 1, 0.019603225567699584
9, 1, 0.010252621003606218
10, 1, 0.007174853713983785

1, 2, 0.007174853713983728
2, 2, 0.009502469442790228
3, 2, 0.015254317823560933
4, 2, 0.024523722966524587
5, 2, 0.03811520581642018
6, 2, 0.04577828195641968
7, 2, 0.03811520581640266
8, 2, 0.024523722966529087
9, 2, 0.01525431782356422
10, 2, 0.009502469442790068

1, 3, 0.010252621003606627
2, 3, 0.015254317823564664
3, 3, 0.0281360003345784
4, 3, 0.043593168429743395
5, 3, 0.05499324219151862
6, 3, 0.0586612077631129
7, 3, 0.05499324219151758
8, 3, 0.04359316842974537
9, 3, 0.02813600033458034
10, 3, 0.015254317823561738

1, 4, 0.019603225567697818
2, 4, 0.024523722966529278
3, 4, 0.04359316842974696
4, 4, 0.07451795569971326
5, 4, 0.0952164685347697
6, 4, 0.09952876180392611
7, 4, 0.09521646853476817
8, 4, 0.07451795569971242
9, 4, 0.04359316842974662
10, 4, 0.024523722966525545

1, 5, 0.035453149501643764
2, 5, 0.03811520581640252
3, 5, 0.054993242191519784
4, 5, 0.09521646853476955
5, 5, 0.14030815632558896
6, 5, 0.15953101597054786
7, 5, 0.14030815632558302
8, 5, 0.09521646853477408
9, 5, 0.05499324219151716
10, 5, 0.03811520581641997

1, 6, 0.045079544056219285
2, 6, 0.045778281956419274
3, 6, 0.05866120776311095
4, 6, 0.09952876180392983
5, 6, 0.15953101597054456
6, 6, 0.19117719898303762
7, 6, 0.1595310159705487
8, 6, 0.09952876180392767
9, 6, 0.05866120776311119
10, 6, 0.04577828195641973

1, 7, 0.035453149501645964
2, 7, 0.038115205816418314
3, 7, 0.054993242191519624
4, 7, 0.09521646853477043
5, 7, 0.1403081563255911
6, 7, 0.15953101597054653
7, 7, 0.1403081563255848
8, 7, 0.09521646853476695
9, 7, 0.054993242191522365
10, 7, 0.038115205816401355

1, 8, 0.019603225567697072
2, 8, 0.02452372296652592
3, 8, 0.04359316842974556
4, 8, 0.07451795569971385
5, 8, 0.09521646853476902
6, 8, 0.09952876180392747
7, 8, 0.09521646853477314
8, 8, 0.07451795569971223
9, 8, 0.043593168429743895
10, 8, 0.02452372296653067

1, 9, 0.010252621003607092
2, 9, 0.0152543178235611
3, 9, 0.02813600033458034
4, 9, 0.043593168429744374
5, 9, 0.0549932421915201
6, 9, 0.058661207763114634
7, 9, 0.054993242191516065
8, 9, 0.04359316842974501
9, 9, 0.02813600033457992
10, 9, 0.015254317823564494

1, 10, 0.007174853713983716
2, 10, 0.009502469442790129
3, 10, 0.015254317823563164
4, 10, 0.0245237229665303
5, 10, 0.03811520581640171
6, 10, 0.04577828195641898
7, 10, 0.038115205816419584
8, 10, 0.024523722966525007
9, 10, 0.015254317823561684
10, 10, 0.009502469442790101

