x, y, Adm
1, 1, 6.41239002940082e-14
2, 1, 5.917616445289132e-14
3, 1, 4.2315891805234936e-14
4, 1, 4.568915025174492e-14
5, 1, 5.580481831350003e-14
6, 1, 6.766985953507577e-14
7, 1, 5.580481831328385e-14
8, 1, 4.5689150251727156e-14
9, 1, 4.2315891805284785e-14
10, 1, 5.91761644528899e-14

1, 2, 5.917616445286999e-14
2, 2, 6.243272908188822e-14
3, 2, 3.540310484952454e-14
4, 2, 4.836669741177477e-14
5, 2, 5.051601097997651e-14
6, 2, 7.26724781086081e-14
7, 2, 5.051601098033706e-14
8, 2, 4.836669741183946e-14
9, 2, 3.5403104849401274e-14
10, 2, 6.243272908182585e-14

1, 3, 4.231589180524679e-14
2, 3, 3.540310484952028e-14
3, 3, 2.0463804877390327e-14
4, 3, 2.1782948182436304e-14
5, 3, 3.389956371965247e-14
6, 3, 4.3665698853091497e-14
7, 3, 3.389956371937837e-14
8, 3, 2.178294818242847e-14
9, 3, 2.0463804877420076e-14
10, 3, 3.54031048494998e-14

1, 4, 4.568915025168491e-14
2, 4, 4.836669741185434e-14
3, 4, 2.178294818246909e-14
4, 4, 3.5437853901608636e-14
5, 4, 3.7514730215968927e-14
6, 4, 6.365885584095091e-14
7, 4, 3.7514730217436845e-14
8, 4, 3.5437853901697026e-14
9, 4, 2.1782948182141775e-14
10, 4, 4.836669741182724e-14

1, 5, 5.580481831337515e-14
2, 5, 5.051601098018315e-14
3, 5, 3.389956371953735e-14
4, 5, 3.7514730216748246e-14
5, 5, 4.7776633920137596e-14
6, 5, 6.045387266255465e-14
7, 5, 4.7776633920816704e-14
8, 5, 3.7514730216732355e-14
9, 5, 3.389956371941013e-14
10, 5, 5.051601098018815e-14

1, 6, 6.766985953494607e-14
2, 6, 7.267247810871587e-14
3, 6, 4.36656988533408e-14
4, 6, 6.365885584181934e-14
5, 6, 6.045387265846749e-14
6, 6, 5.2731099088395705e-14
7, 6, 6.045387266673282e-14
8, 6, 6.365885584086938e-14
9, 6, 4.3665698851955423e-14
10, 6, 7.267247810891167e-14

1, 7, 5.580481831332913e-14
2, 7, 5.0516010980281855e-14
3, 7, 3.389956371948543e-14
4, 7, 3.7514730217133506e-14
5, 7, 4.777663392031645e-14
6, 7, 6.04538726646201e-14
7, 7, 4.777663392099558e-14
8, 7, 3.751473021711707e-14
9, 7, 3.389956371935797e-14
10, 7, 5.051601098028633e-14

1, 8, 4.56891502516832e-14
2, 8, 4.8366697411870446e-14
3, 8, 2.1782948182469588e-14
4, 8, 3.543785390161844e-14
5, 8, 3.751473021596186e-14
6, 8, 6.365885584050844e-14
7, 8, 3.751473021743035e-14
8, 8, 3.5437853901706846e-14
9, 8, 2.1782948182142703e-14
10, 8, 4.836669741184216e-14

1, 9, 4.231589180525825e-14
2, 9, 3.5403104849483726e-14
3, 9, 2.0463804877395612e-14
4, 9, 2.1782948182341692e-14
5, 9, 3.389956371961632e-14
6, 9, 4.3665698852723534e-14
7, 9, 3.389956371934243e-14
8, 9, 2.1782948182333412e-14
9, 9, 2.0463804877425346e-14
10, 9, 3.540310484946288e-14

1, 10, 5.917616445286824e-14
2, 10, 6.243272908187132e-14
3, 10, 3.54031048495183e-14
4, 10, 4.836669741176849e-14
5, 10, 5.051601097997769e-14
6, 10, 7.267247810865688e-14
7, 10, 5.051601098033871e-14
8, 10, 4.836669741183432e-14
9, 10, 3.5403104849395386e-14
10, 10, 6.243272908180894e-14

