x, y, Adm
1, 1, 2.9342905015246446e-14
2, 1, 2.7079102405809538e-14
3, 1, 1.936369462381286e-14
4, 1, 2.090751916817891e-14
5, 1, 2.5536158703064316e-14
6, 1, 3.096605899445189e-14
7, 1, 2.55361587029187e-14
8, 1, 2.090751916816685e-14
9, 1, 1.9363694623846397e-14
10, 1, 2.7079102405808614e-14

1, 2, 2.7079102405795298e-14
2, 2, 2.866391827155344e-14
3, 2, 1.6200364994184388e-14
4, 2, 2.222932995811676e-14
5, 2, 2.3116847224470027e-14
6, 2, 3.335407995979555e-14
7, 2, 2.3116847224712197e-14
8, 2, 2.2229329958160368e-14
9, 2, 1.6200364994101782e-14
10, 2, 2.866391827151155e-14

1, 3, 1.9363694623820898e-14
2, 3, 1.6200364994181444e-14
3, 3, 9.364242661839892e-15
4, 3, 9.967639211072529e-15
5, 3, 1.551228919174116e-14
6, 3, 1.9981549130309856e-14
7, 3, 1.5512289191556402e-14
8, 3, 9.96763921106709e-15
9, 3, 9.36424266185995e-15
10, 3, 1.6200364994167674e-14

1, 4, 2.0907519168138755e-14
2, 4, 2.2229329958170295e-14
3, 4, 9.967639211094767e-15
4, 4, 1.631876077409157e-14
5, 4, 1.71683633335947e-14
6, 4, 2.924805293564967e-14
7, 4, 1.716836333458092e-14
8, 4, 1.6318760774151372e-14
9, 4, 9.96763921087519e-15
10, 4, 2.2229329958151918e-14

1, 5, 2.5536158702980413e-14
2, 5, 2.3116847224608636e-14
3, 5, 1.5512289191663797e-14
4, 5, 1.716836333411769e-14
5, 5, 2.1863017067707235e-14
6, 5, 2.7667113449492555e-14
7, 5, 2.186301706816348e-14
8, 5, 1.7168363334106956e-14
9, 5, 1.5512289191578326e-14
10, 5, 2.3116847224611886e-14

1, 6, 3.096605899436531e-14
2, 6, 3.3354079959867606e-14
3, 6, 1.9981549130479272e-14
4, 6, 2.9248052936230433e-14
5, 6, 2.7667113446747474e-14
6, 6, 2.4131687699366326e-14
7, 6, 2.766711345230396e-14
8, 6, 2.924805293559658e-14
9, 6, 1.99815491295472e-14
10, 6, 3.3354079959999036e-14

1, 7, 2.553615870294951e-14
2, 7, 2.3116847224674638e-14
3, 7, 1.551228919162879e-14
4, 7, 1.716836333437578e-14
5, 7, 2.1863017067827094e-14
6, 7, 2.7667113450877195e-14
7, 7, 2.186301706828332e-14
8, 7, 1.7168363334364736e-14
9, 7, 1.5512289191543307e-14
10, 7, 2.3116847224677727e-14

1, 8, 2.0907519168137603e-14
2, 8, 2.2229329958180976e-14
3, 8, 9.967639211095123e-15
4, 8, 1.6318760774098228e-14
5, 8, 1.7168363333590006e-14
6, 8, 2.924805293535364e-14
7, 8, 1.7168363334576482e-14
8, 8, 1.631876077415803e-14
9, 8, 9.967639210875738e-15
10, 8, 2.2229329958162037e-14

1, 9, 1.9363694623828588e-14
2, 9, 1.6200364994156945e-14
3, 9, 9.364242661843442e-15
4, 9, 9.967639211009144e-15
5, 9, 1.551228919171701e-14
6, 9, 1.9981549130063e-14
7, 9, 1.5512289191532297e-14
8, 9, 9.96763921100351e-15
9, 9, 9.364242661863498e-15
10, 9, 1.6200364994143005e-14

1, 10, 2.707910240579415e-14
2, 10, 2.866391827154211e-14
3, 10, 1.620036499418025e-14
4, 10, 2.2229329958112626e-14
5, 10, 2.3116847224470882e-14
6, 10, 3.33540799598282e-14
7, 10, 2.3116847224713182e-14
8, 10, 2.222932995815679e-14
9, 10, 1.62003649940978e-14
10, 10, 2.8663918271500216e-14

