x, y, Adm
1, 1, 9.313344690615148e-5
2, 1, 8.610758549149918e-5
3, 1, 6.189814499239494e-5
4, 1, 6.74946857711996e-5
5, 1, 8.272570316653481e-5
6, 1, 0.00010038288706724728
7, 1, 8.272570316653476e-5
8, 1, 6.74946857711996e-5
9, 1, 6.189814499239494e-5
10, 1, 8.610758549149915e-5

1, 2, 8.610758549149912e-5
2, 2, 8.354467227434886e-5
3, 2, 5.171326343568817e-5
4, 2, 6.381845330605821e-5
5, 2, 7.497761304743643e-5
6, 2, 0.00010023540773856048
7, 2, 7.497761304743568e-5
8, 2, 6.381845330605807e-5
9, 2, 5.171326343568789e-5
10, 2, 8.354467227434885e-5

1, 3, 6.189814499239494e-5
2, 3, 5.171326343568792e-5
3, 3, 2.986472615523552e-5
4, 3, 3.2056139479756134e-5
5, 3, 5.024103500711377e-5
6, 3, 6.471799638827158e-5
7, 3, 5.0241035007113706e-5
8, 3, 3.2056139479756506e-5
9, 3, 2.986472615523552e-5
10, 3, 5.1713263435688205e-5

1, 4, 6.749468577119954e-5
2, 4, 6.381845330605807e-5
3, 4, 3.20561394797565e-5
4, 4, 4.482421979636975e-5
5, 4, 5.622966342189032e-5
6, 4, 8.66918842930003e-5
7, 4, 5.622966342189024e-5
8, 4, 4.482421979636973e-5
9, 4, 3.2056139479756134e-5
10, 4, 6.381845330605821e-5

1, 5, 8.27257031665348e-5
2, 5, 7.497761304743569e-5
3, 5, 5.024103500711371e-5
4, 5, 5.6229663421890225e-5
5, 5, 7.20133652738111e-5
6, 5, 9.128914415370767e-5
7, 5, 7.201336527381115e-5
8, 5, 5.622966342189041e-5
9, 5, 5.024103500711377e-5
10, 5, 7.497761304743649e-5

1, 6, 0.00010038288706724721
2, 6, 0.0001002354077385605
3, 6, 6.471799638827156e-5
4, 6, 8.669188429300037e-5
5, 6, 9.128914415370743e-5
6, 6, 7.992521898772673e-5
7, 6, 9.128914415370778e-5
8, 6, 8.66918842930003e-5
9, 6, 6.471799638827153e-5
10, 6, 0.00010023540773856053

1, 7, 8.272570316653478e-5
2, 7, 7.497761304743648e-5
3, 7, 5.024103500711374e-5
4, 7, 5.6229663421890414e-5
5, 7, 7.201336527381112e-5
6, 7, 9.128914415370776e-5
7, 7, 7.201336527381112e-5
8, 7, 5.622966342189024e-5
9, 7, 5.024103500711371e-5
10, 7, 7.49776130474357e-5

1, 8, 6.749468577119958e-5
2, 8, 6.381845330605818e-5
3, 8, 3.2056139479756134e-5
4, 8, 4.482421979636972e-5
5, 8, 5.6229663421890184e-5
6, 8, 8.669188429300021e-5
7, 8, 5.6229663421890414e-5
8, 8, 4.482421979636971e-5
9, 8, 3.205613947975649e-5
10, 8, 6.381845330605806e-5

1, 9, 6.189814499239494e-5
2, 9, 5.1713263435688205e-5
3, 9, 2.986472615523552e-5
4, 9, 3.20561394797565e-5
5, 9, 5.02410350071137e-5
6, 9, 6.471799638827157e-5
7, 9, 5.024103500711375e-5
8, 9, 3.2056139479756134e-5
9, 9, 2.986472615523552e-5
10, 9, 5.171326343568792e-5

1, 10, 8.610758549149914e-5
2, 10, 8.354467227434883e-5
3, 10, 5.171326343568791e-5
4, 10, 6.381845330605809e-5
5, 10, 7.497761304743568e-5
6, 10, 0.00010023540773856049
7, 10, 7.497761304743645e-5
8, 10, 6.381845330605821e-5
9, 10, 5.1713263435688205e-5
10, 10, 8.354467227434885e-5

