flowtime, w1, w2, w3
0.0, 0.0002833359328892625, 0.9815147636003041, -1.9640246489102442
0.1, 0.00027069732442391284, 0.981575688526299, -1.9641669105258197
0.2, 0.00025879384865558797, 0.9816331878495321, -1.9643049596797644
0.3, 0.0002475699143270759, 0.9816874232988781, -1.9644389860725735
0.4, 0.00023697522026849713, 0.9817385446242961, -1.964569167538604
0.5, 0.00022696414792011864, 0.9817866907013746, -1.9646956709695405
0.6, 0.00021749523493218257, 0.9818319905138837, -1.9648186531572185
0.7, 0.000208530717625154, 0.9818745640338183, -1.964938261559319
0.8, 0.00020003613212838867, 0.981914523005399, -1.9650546349988247
0.9, 0.00019197996568702408, 0.9819519716496351, -1.9651679042985273
1.0, 0.0001843333509922487, 0.981987007295367, -1.9652781928629082
1.1, 0.000177069797491263, 0.9820197209488244, -1.9653856172120288
1.2, 0.0001701649546263718, 0.9820501978046432, -1.965490287464953
1.3, 0.00016359640266815211, 0.9820785177076645, -1.9655923077876987
1.4, 0.0001573434674923529, 0.9821047555721828, -1.9656917768021955
1.5, 0.0001513870561765674, 0.9821289817587336, -1.9657887879621254
1.6, 0.00014570951075115765, 0.9821512624182872, -1.9658834298976686
1.7, 0.0001402944778124146, 0.9821716598028889, -1.9659757867350474
1.8, 0.00013512679204097966, 0.9821902325508455, -1.9660659383877677
1.9, 0.0001301923719227535, 0.9822070359437751, -1.9661539608282392
2.0, 0.00012547812622072926, 0.9822221221434604, -1.966239926336493
2.1, 0.0001209718699208419, 0.9822355404066136, -1.9663239037319458
2.2, 0.00011666224855800304, 0.982247337283314, -1.96640595858529
2.3, 0.00011253866996560868, 0.9822575567961038, -1.9664861534160012
2.4, 0.00010859124261141111, 0.9822662406074196, -1.9665645478778735
2.5, 0.00010481071979694647, 0.9822734281711203, -1.9666411989249495
2.6, 0.00010118844907113506, 0.9822791568731968, -1.9667161609725428
2.7, 9.771632631371295e-5, 0.9822834621606359, -1.9667894860425514
2.8, 9.438675397679971e-5, 0.9822863776610413, -1.9668612238993937
2.9, 9.119260306732523e-5, 0.9822879352916007, -1.9669314221776928
3.0, 8.812717847865492e-5, 0.9822881653617784, -1.967000126499545
3.1, 8.518418733167466e-5, 0.9822870966665601, -1.9670673805865568
3.2, 8.235771002720855e-5, 0.9822847565744561, -1.9671332263613994
3.3, 7.964217374453516e-5, 0.982281171107606, -1.9671977040435786
3.4, 7.703232814759459e-5, 0.9822763650168878, -1.9672608522420443
3.5, 7.452322308414552e-5, 0.982270361852227, -1.9673227080355777
3.6, 7.211018809459936e-5, 0.9822631840266461, -1.9673833070544575
3.7, 6.97888135621415e-5, 0.9822548528769408, -1.9674426835530725
3.8, 6.755493334670777e-5, 0.9822453887202989, -1.9675008704799664
3.9, 6.540460877764017e-5, 0.9822348109058108, -1.967557899541147
4.0, 6.333411387402754e-5, 0.9822231378648518, -1.9676138012632491
4.1, 6.133992169283617e-5, 0.9822103871548996, -1.967668605049772
4.2, 5.9418691698916276e-5, 0.9821965755048724, -1.9677223392348202
4.3, 5.756725807352454e-5, 0.9821817188523588, -1.9677750311338909
4.4, 5.578261887843346e-5, 0.9821658323836931, -1.9678267070936777
4.5, 5.4061926008122554e-5, 0.9821489305670221, -1.9678773925334365
4.6, 5.2402475858181897e-5, 0.9821310271866349, -1.9679271119904773
4.7, 5.080170065346553e-5, 0.9821121353729764, -1.9679758891593766
4.8, 4.925716038879275e-5, 0.9820922676325097, -1.9680237469298805
4.9, 4.776653532015661e-5, 0.982071435874462, -1.968070707422226
5.0, 4.632761897644127e-5, 0.9820496514365467, -1.9681167920209925
5.1, 4.4938311638357205e-5, 0.9820269251094306, -1.9681620214085818
5.2, 4.359661426001054e-5, 0.9820032671590646, -1.9682064155932306
5.3, 4.230062278900621e-5, 0.9819786873481692, -1.9682499939388658
5.4, 4.1048522859961406e-5, 0.9819531949568405, -1.9682927751925905
5.5, 3.983858483559628e-5, 0.9819267988016473, -1.9683347775101283
5.6, 3.8669159161188635e-5, 0.9818995072520411, -1.9683760184797092
5.7, 3.7538672020396476e-5, 0.9818713282497216, -1.968416515145283
5.8, 3.644562126064451e-5, 0.9818422693226204, -1.968456284030298
5.9, 3.538857257244812e-5, 0.9818123376013795, -1.9684953411560295
6.0, 3.436615590851095e-5, 0.9817815398326504, -1.9685337020632923
6.1, 3.337706211952021e-5, 0.9817498823931086, -1.9685713818307056
6.2, 3.242003979225106e-5, 0.9817173713023131, -1.9686083950926259
6.3, 3.14938922815717e-5, 0.9816840122344493, -1.9686447560561562
6.4, 3.0597474915352153e-5, 0.9816498105300218, -1.9686804785185559
6.5, 2.97296923662603e-5, 0.981614771206396, -1.9687155758804782
6.6, 2.8889496177203698e-5, 0.981578898968244, -1.9687500611639255
6.7, 2.8075882428491533e-5, 0.9815421982175175, -1.9687839470231532
6.8, 2.7287889541008732e-5, 0.9815046730615844, -1.9688172457604574
6.9, 2.6524596203131443e-5, 0.9814663273233427, -1.968849969338189
7.0, 2.5785119414373715e-5, 0.9814271645487321, -1.968882129390946
7.1, 2.5068612641048638e-5, 0.9813871880139118, -1.96891373723749
7.2, 2.4374264070012897e-5, 0.9813464007336581, -1.9689448038917052
7.3, 2.3701294962535468e-5, 0.9813048054680851, -1.9689753400742307
7.4, 2.3048958096066337e-5, 0.9812624047294757, -1.9690053562212753
7.5, 2.2416536290829738e-5, 0.9812192007873243, -1.9690348624952396
7.6, 2.180334101559984e-5, 0.9811751956757905, -1.9690638687947517
7.7, 2.1208711067432082e-5, 0.9811303911988901, -1.9690923847620267
7.8, 2.0632011321849035e-5, 0.981084788934865, -1.9691204197931456
7.9, 2.0072631548609877e-5, 0.9810383902431608, -1.9691479830452148
8.0, 1.9529985288763374e-5, 0.9809911962666799, -1.9691750834446722
8.1, 1.900350878915218e-5, 0.9809432079386599, -1.969201729694904
8.2, 1.8492659993440445e-5, 0.9808944259852402, -1.9692279302831746
8.3, 1.799691758263679e-5, 0.980844850930307, -1.969253693488201
8.4, 1.7515780065506897e-5, 0.9807944830992428, -1.9692790273863419
8.5, 1.7048764913836223e-5, 0.9807433226215578, -1.969303939858476
8.6, 1.6595407740546197e-5, 0.9806913694360126, -1.9693284385960288
8.7, 1.615526152005263e-5, 0.9806386232916431, -1.9693525311061397
8.8, 1.572789584477203e-5, 0.9805850837527031, -1.969376224718688
8.9, 1.531289622013658e-5, 0.9805307502000459, -1.9693995265907984
9.0, 1.4909863390985738e-5, 0.9804756218344051, -1.969422443712802
9.1, 1.4518412704252767e-5, 0.9804196976782515, -1.9694449829124603
9.2, 1.4138173498232327e-5, 0.98036297657895, -1.9694671508611732
9.3, 1.3768788522919729e-5, 0.9803054572100717, -1.9694889540767826
9.4, 1.340991338819762e-5, 0.9802471380735323, -1.9695103989307208
9.5, 1.3061216035741866e-5, 0.9801880175017307, -1.9695314916488165
9.6, 1.2722376238034017e-5, 0.9801280936584906, -1.969552238319269
9.7, 1.2393085118701258e-5, 0.9800673645417374, -1.9695726448939976
9.8, 1.2073044695792589e-5, 0.9800058279835373, -1.9695927171943688
9.9, 1.1761967445926158e-5, 0.9799434816527394, -1.96961246091297
10.0, 1.1459575887409459e-5, 0.9798803230542671, -1.9696318816188778
10.1, 1.1165602183723033e-5, 0.9798163495324257, -1.9696509847609285
10.2, 1.0879787763026237e-5, 0.9797515582702845, -1.9696697756704837
10.3, 1.0601882956164396e-5, 0.979685946290506, -1.9696882595650322
