flowtime, s1, s2, s3, s4, s5
0.0, 0.02398316123308033, 0.11631816948673206, 0.22165674079365824, 0.11631816948673183, 0.023983161233080384
0.1, 0.023412565639590013, 0.11536005447806635, 0.22110639317567482, 0.11536005447806705, 0.023412565639590106
0.2, 0.022860413239528365, 0.11442383260475034, 0.22059469029053685, 0.11442383260474756, 0.02286041323952845
0.3, 0.022325803252388966, 0.11350788994881146, 0.2201181775125403, 0.11350788994881336, 0.022325803252389084
0.4, 0.021807895308778958, 0.11261074825411493, 0.21967378586327227, 0.11261074825411363, 0.02180789530877896
0.5, 0.02130590450671441, 0.11173104997916311, 0.21925877848213474, 0.11173104997916364, 0.021305904506714348
0.6, 0.020819097002007136, 0.1108675456043317, 0.21887070608687081, 0.11086754560433085, 0.020819097002007174
0.7, 0.02034678603293335, 0.11001908274058188, 0.2185073696757867, 0.11001908274058254, 0.02034678603293313
0.8, 0.019888328309646625, 0.10918459669408959, 0.21816678910206805, 0.10918459669408977, 0.019888328309646607
0.9, 0.019443120718359873, 0.10836310222049153, 0.21784717644011056, 0.10836310222049267, 0.019443120718359692
1.0, 0.01901059730294935, 0.1075536862619791, 0.21754691328687836, 0.10755368626198153, 0.019010597302949506
1.1, 0.018590226494907738, 0.10675550150496566, 0.21726453131417103, 0.10675550150496517, 0.018590226494907835
1.2, 0.0181815085680012, 0.1059677606298828, 0.21699869552220077, 0.10596776062988218, 0.018181508568001402
1.3, 0.017783973297708148, 0.10518973115026953, 0.21674818975058047, 0.10518973115026846, 0.017783973297707773
1.4, 0.0173971778080784, 0.10442073075804031, 0.2165119040859676, 0.10442073075804277, 0.017397177808078215
1.5, 0.017020704590576353, 0.1036601231070097, 0.2162888238716892, 0.103660123107009, 0.01702070459057641
1.6, 0.01665415968091517, 0.10290731397857501, 0.2160780200771208, 0.1029073139785755, 0.016654159680915298
1.7, 0.01629717098110677, 0.10216174778277187, 0.21587864082707392, 0.10216174778277108, 0.016297170981106467
1.8, 0.01594938671496182, 0.10142290435511359, 0.2156899039250351, 0.10142290435511356, 0.01594938671496157
1.9, 0.015610474006199828, 0.10069029601563315, 0.2155110902319742, 0.10069029601563279, 0.01561047400619994
2.0, 0.015280117569141988, 0.0999634648610365, 0.21534153778464732, 0.09996346486103791, 0.015280117569141691
2.1, 0.014958018502737699, 0.0992419802647891, 0.2151806365556335, 0.09924198026478818, 0.014958018502737723
2.2, 0.014643893179396456, 0.09852543656290652, 0.21502782377257176, 0.09852543656290602, 0.014643893179396386
2.3, 0.014337472220753121, 0.09781345090584051, 0.21488257972621683, 0.097813450905841, 0.014337472220753234
2.4, 0.014038499553138288, 0.09710566125876352, 0.2147444240075106, 0.09710566125876392, 0.014038499553138248
2.5, 0.013746731536106751, 0.09640172453440601, 0.21461291212232214, 0.09640172453440657, 0.013746731536106947
2.6, 0.013461936157925486, 0.09570131484382388, 0.21448763243956426, 0.09570131484382363, 0.013461936157925564
2.7, 0.013183892292432, 0.09500412185177884, 0.21436820343476343, 0.09500412185177877, 0.013183892292432038
2.8, 0.012912389012152461, 0.094309849224186, 0.21425427119583462, 0.09430984922418599, 0.012912389012152418
2.9, 0.012647224952996765, 0.09361821315597312, 0.2141455071624896, 0.09361821315597323, 0.012647224952996654
3.0, 0.012388207726253589, 0.09292894096817744, 0.21404160607405345, 0.0929289409681775, 0.01238820772625359
3.1, 0.01213515337398626, 0.09224176976363778, 0.21394228410385416, 0.09224176976363757, 0.012135153373986192
3.2, 0.011887885864253786, 0.09155644513093292, 0.21384727716082538, 0.09155644513093324, 0.0118878858642538
3.3, 0.011646236622907015, 0.09087271988643365, 0.21375633934135072, 0.09087271988643374, 0.011646236622906972
3.4, 0.011410044098983024, 0.09019035284448376, 0.2136692415164115, 0.09019035284448393, 0.01141004409898304
