flowtime, w1, w2, w3, w4, w5
0.0, 0.0010120655660063814, 0.9284839012162398, -1.8608647106515794, 0.9284839012162044, 0.0010120655660064504
0.1, 0.0008775899186873935, 0.9289726422370874, -1.8621850347486235, 0.9289726422370561, 0.0008775899186873251
0.2, 0.0007630472682631081, 0.9293684108296293, -1.8634203130373448, 0.9293684108296174, 0.0007630472682630459
0.3, 0.0006651967046050532, 0.9296776083087205, -1.8645769666834047, 0.9296776083086673, 0.0006651967046051599
0.4, 0.0005813615673884809, 0.9299058893294345, -1.8656608251726288, 0.929905889329391, 0.0005813615673884892
0.5, 0.0005093271460212921, 0.9300582394529948, -1.866677191207022, 0.9300582394530038, 0.0005093271460212906
0.6, 0.00044725705811136213, 0.9301390442084733, -1.8676308972740867, 0.9301390442084738, 0.0004472570581113498
0.7, 0.0003936250407373978, 0.9301521503289779, -1.86852635513261, 0.930152150328982, 0.0003936250407373896
0.8, 0.00034715937723628614, 0.9301009198539337, -1.8693675992417162, 0.9301009198539256, 0.0003471593772362557
0.9, 0.00030679763490228264, 0.9299882777675029, -1.8701583249889664, 0.9299882777675281, 0.00030679763490229045
1.0, 0.00027164979014127527, 0.9298167538086295, -1.870901922434179, 0.9298167538086094, 0.00027164979014123125
1.1, 0.00024096816279260355, 0.9295885190371206, -1.871601506171782, 0.9295885190371657, 0.0002409681627926049
1.2, 0.0002141228723477363, 0.9293054176901246, -1.8722599418232257, 0.9293054176901172, 0.00021412287234773682
1.3, 0.0001905817706267071, 0.928968994806552, -1.8728798695920172, 0.9289689948065739, 0.00019058177062668526
1.4, 0.00016989400434652953, 0.9285805200454255, -1.8734637252526825, 0.9285805200453833, 0.00016989400434653474
1.5, 0.00015167652330214164, 0.9281410080704834, -1.8740137588908798, 0.9281410080705363, 0.0001516765233021306
1.6, 0.00013560298161064663, 0.927651235825835, -1.8745320516670887, 0.9276512358258374, 0.0001356029816106592
1.7, 0.00012139458595810274, 0.927111756980242, -1.8750205308414203, 0.9271117569802857, 0.0001213945859581041
1.8, 0.00010881253066651372, 0.9265229137763958, -1.8754809832610355, 0.9265229137764285, 0.00010881253066650922
1.9, 9.765172853029454e-5, 0.9258848464788472, -1.8759150674898024, 0.9258848464788486, 9.7651728530258e-5
2.0, 8.77356019762606e-5, 0.9251975005788072, -1.8763243247332557, 0.925197500578767, 8.773560197623869e-5
2.1, 7.891174382486972e-5, 0.9244606318768928, -1.8767101886935031, 0.9244606318768785, 7.891174382482509e-5
2.2, 7.104829289965746e-5, 0.9236738095309691, -1.8770739944728683, 0.9236738095310317, 7.10482928996558e-5
2.3, 6.403089869184326e-5, 0.9228364171229627, -1.8774169866295416, 0.9228364171229907, 6.403089869185708e-5
2.4, 5.7760172622158405e-5, 0.9219476517657296, -1.8777403264745534, 0.9219476517656982, 5.7760172622179743e-5
2.5, 5.2149542273312115e-5, 0.9210065212390468, -1.8780450986930097, 0.9210065212390524, 5.214954227330291e-5
2.6, 4.7123440183342056e-5, 0.9200118391091996, -1.8783323173578022, 0.9200118391092273, 4.712344018335675e-5
2.7, 4.2615771111728545e-5, 0.9189622177524402, -1.8786029313992978, 0.9189622177524422, 4.261577111172489e-5
2.8, 3.8568611682713426e-5, 0.9178560591673397, -1.8788578295867056, 0.9178560591672985, 3.8568611682717594e-5
2.9, 3.49311044335899e-5, 0.9166915434207396, -1.8790978450688762, 0.9166915434207447, 3.4931104433597303e-5
3.0, 3.165851490947287e-5, 0.9154666145309704, -1.8793237595202466, 0.9154666145309948, 3.165851490947723e-5
3.1, 2.8711425847184094e-5, 0.9141789635469626, -1.8795363069287918, 0.9141789635469963, 2.8711425847198816e-5
3.2, 2.605504690786321e-5, 0.9128260085315459, -1.8797361770614827, 0.9128260085315643, 2.605504690786258e-5
3.3, 2.3658622039234662e-5, 0.9114048711031624, -1.8799240186386794, 0.9114048711031549, 2.3658622039245802e-5
3.4, 2.1494919526122093e-5, 0.9099123491303437, -1.8801004422435728, 0.9099123491303087, 2.149491952611055e-5
3.5, 1.9539792239781916e-5, 0.9083448851074447, -1.8802660229932076, 0.9083448851074366, 1.9539792239777484e-5
3.6, 1.7771797620394886e-5, 0.9066985296681819, -1.8804213029922596, 0.9066985296682171, 1.7771797620402746e-5
3.7, 1.6171868604093438e-5, 0.9049688996161279, -1.880566793588722, 0.9049688996161603, 1.617186860409777e-5
3.8, 1.4723028094715928e-5, 0.9031511297661501, -1.8807029774519204, 0.9031511297661422, 1.4723028094718437e-5
3.9, 1.3410140737226921e-5, 0.9012398178019606, -1.8808303104855293, 0.9012398178019095, 1.3410140737231851e-5
4.0, 1.2219696712408961e-5, 0.8992289612618154, -1.880949223592694, 0.8992289612618, 1.2219696712407787e-5
4.1, 1.1139623077633973e-5, 0.8971118856681843, -1.8810601243058367, 0.8971118856682045, 1.1139623077633352e-5
4.2, 1.015911885150437e-5, 0.894881162723192, -1.881163398292076, 0.8948811627232377, 1.015911885151038e-5
4.3, 9.268510606377882e-6, 0.892528517403965, -1.8812594107448397, 0.89252851740396, 9.26851060637812e-6
4.4, 8.459125807318944e-6, 0.8900447227156943, -1.8813485076731988, 0.890044722715689, 8.459125807320043e-6
4.5, 7.7231815372036e-6, 0.8874194808067077, -1.8814310170955875, 0.8874194808066936, 7.723181537203763e-6
4.6, 7.053686585991125e-6, 0.8846412891265458, -1.8815072501463732, 0.8846412891265653, 7.053686585988559e-6
4.7, 6.444355168694321e-6, 0.8816972903391799, -1.8815775021032566, 0.8816972903392272, 6.444355168689628e-6
4.8, 5.889530779302962e-6, 0.8785731047940507, -1.881642053340988, 0.8785731047940711, 5.889530779298032e-6
4.9, 5.384118894819465e-6, 0.8752526445494315, -1.881701170218174, 0.8752526445494582, 5.384118894822745e-6
5.0, 4.923527419098028e-6, 0.8717179082518449, -1.8817551059019686, 0.8717179082518534, 4.9235274190959095e-6
5.1, 4.503613906292175e-6, 0.8679487566451637, -1.8818041011356195, 0.8679487566451994, 4.503613906291145e-6
5.2, 4.120638732349665e-6, 0.8639226691534482, -1.8818483849541925, 0.8639226691534401, 4.120638732352146e-6
5.3, 3.7712234924566775e-6, 0.8596144829028647, -1.8818881753509875, 0.8596144829028596, 3.7712234924564623e-6
5.4, 3.452313996905229e-6, 0.8549961167687097, -1.8819236799003116, 0.8549961167686834, 3.4523139969018905e-6
5.5, 3.161147319104001e-6, 0.8500362846128615, -1.8819550963378575, 0.8500362846128193, 3.161147319102846e-6
5.6, 2.8952224189194314e-6, 0.8447002038633722, -1.8819826131040402, 0.8447002038633743, 2.895222418919755e-6
5.7, 2.6522739252354385e-6, 0.838949308028947, -1.8820064098514653, 0.8389493080289745, 2.65227392523433e-6
5.8, 2.430248713303941e-6, 0.832740974666059, -1.882026657920196, 0.832740974666035, 2.4302487133044186e-6
5.9, 2.2272849580414467e-6, 0.8260282837280423, -1.8820435207821071, 0.826028283728065, 2.2272849580407754e-6
6.0, 2.041693382968032e-6, 0.8187598250955936, -1.8820571544581652, 0.818759825095561, 2.0416933829699575e-6
6.1, 1.8719404590660312e-6, 0.8108795783366345, -1.8820677079086099, 0.8108795783366374, 1.8719404590643387e-6
6.2, 1.7166333368304032e-6, 0.8023268922471347, -1.8820753234000616, 0.8023268922471053, 1.7166333368318984e-6
6.3, 1.5745063209680214e-6, 0.7930365962998632, -1.8820801368497813, 0.7930365962998698, 1.5745063209698938e-6
6.4, 1.4444087193455122e-6, 0.782939280568496, -1.882082278148851, 0.7829392805684795, 1.4444087193460043e-6
6.5, 1.3252939177280302e-6, 0.7719617847872219, -1.8820818714659888, 0.7719617847872184, 1.3252939177269466e-6
6.6, 1.2162095486672127e-6, 0.7600279407940888, -1.8820790355342905, 0.7600279407940685, 1.2162095486665605e-6
6.7, 1.116288638346406e-6, 0.7470596156708593, -1.8820738839194506, 0.7470596156708647, 1.1162886383461645e-6
6.8, 1.02474162804991e-6, 0.7329781055916268, -1.882066525274048, 0.7329781055916237, 1.0247416280492803e-6
6.9, 9.408491787742865e-7, 0.7177059330990827, -1.8820570635760332, 0.7177059330990829, 9.408491787742103e-7
7.0, 8.639556776287903e-7, 0.7011691036537256, -1.8820455983539954, 0.7011691036537151, 8.639556776290553e-7
7.1, 7.934633735712449e-7, 0.6832998809131529, -1.882032224899624, 0.6832998809131559, 7.934633735706592e-7
7.2, 7.288270781689725e-7, 0.6640401431485677, -1.8820170344686549, 0.6640401431485695, 7.288270781697259e-7
7.3, 6.695493739077806e-7, 0.6433453818266315, -1.8820001144700198, 0.6433453818266316, 6.695493739095015e-7
7.4, 6.151762788068505e-7, 0.6211893897466959, -1.8819815486449574, 0.6211893897467083, 6.151762788059005e-7
7.5, 5.652933216355021e-7, 0.5975696465351074, -1.881961417236413, 0.5975696465351082, 5.652933216358007e-7
