flowtime, d1, d2, d3
4.2, 1.0000000000000195 + 4.7704895589362195e-18im, 0.9999999999999974 - 8.239936510889834e-18im, 0.9999999999999974 - 5.551115123125783e-17im
4.3, 1.000000000000018 + 5.204170427930421e-18im, 0.9999999999999967 - 8.239936510889834e-18im, 0.9999999999999967 + 0.0im
4.4, 1.000000000000018 + 5.204170427930421e-18im, 0.9999999999999949 - 8.023096076392733e-18im, 0.9999999999999976 + 5.551115123125783e-17im
4.5, 1.0000000000000209 + 1.1275702593849246e-17im, 0.9999999999999949 - 8.890457814381136e-18im, 0.999999999999997 + 1.942890293094024e-16im
4.6, 1.0000000000000213 + 9.540979117872439e-18im, 0.9999999999999951 - 7.806255641895632e-18im, 0.9999999999999972 + 2.7755575615628914e-16im
4.7, 1.0000000000000233 + 7.806255641895632e-18im, 0.9999999999999933 - 7.589415207398531e-18im, 0.9999999999999961 + 2.220446049250313e-16im
4.8, 1.000000000000024 + 8.673617379884035e-18im, 0.9999999999999925 - 8.673617379884035e-18im, 0.9999999999999984 + 2.498001805406602e-16im
4.9, 1.0000000000000242 + 8.673617379884035e-18im, 0.9999999999999936 - 1.0408340855860843e-17im, 0.9999999999999978 + 3.885780586188048e-16im
5.0, 1.0000000000000238 + 8.673617379884035e-18im, 0.9999999999999926 - 1.3877787807814457e-17im, 0.9999999999999979 + 2.498001805406602e-16im
5.1, 1.000000000000021 + 7.806255641895632e-18im, 0.999999999999991 - 1.1709383462843448e-17im, 0.9999999999999971 + 2.7755575615628914e-16im
5.2, 1.0000000000000189 + 7.806255641895632e-18im, 0.9999999999999902 - 1.3877787807814457e-17im, 0.9999999999999979 + 2.498001805406602e-16im
5.3, 1.0000000000000175 + 9.540979117872439e-18im, 0.9999999999999893 - 1.5612511283791264e-17im, 0.9999999999999977 + 3.3306690738754696e-16im
5.4, 1.000000000000016 + 1.3010426069826053e-17im, 0.9999999999999886 - 1.6046192152785466e-17im, 0.9999999999999979 + 3.3306690738754696e-16im
5.5, 1.0000000000000124 + 1.3010426069826053e-17im, 0.9999999999999893 - 1.5612511283791264e-17im, 0.9999999999999963 + 3.3306690738754696e-16im
5.6, 1.0000000000000118 + 1.1275702593849246e-17im, 0.9999999999999891 - 1.214306433183765e-17im, 0.9999999999999974 + 3.885780586188048e-16im
5.7, 1.0000000000000095 + 1.214306433183765e-17im, 0.9999999999999903 - 1.3877787807814457e-17im, 0.9999999999999958 + 3.3306690738754696e-16im
5.8, 1.0000000000000087 + 7.806255641895632e-18im, 0.9999999999999888 - 1.214306433183765e-17im, 0.9999999999999954 + 3.3306690738754696e-16im
5.9, 1.0000000000000078 + 1.474514954580286e-17im, 0.9999999999999893 - 1.1275702593849246e-17im, 0.9999999999999937 + 4.996003610813204e-16im
6.0, 1.0000000000000087 + 1.3877787807814457e-17im, 0.9999999999999876 - 6.071532165918825e-18im, 0.9999999999999953 + 6.106226635438361e-16im
6.1, 1.000000000000007 + 1.214306433183765e-17im, 0.9999999999999858 - 7.806255641895632e-18im, 0.9999999999999969 + 6.661338147750939e-16im
6.2, 1.0000000000000038 + 1.3010426069826053e-17im, 0.9999999999999867 - 1.734723475976807e-18im, 0.9999999999999968 + 6.106226635438361e-16im
6.3, 1.0000000000000029 + 1.1275702593849246e-17im, 0.9999999999999867 - 8.673617379884035e-19im, 0.9999999999999976 + 7.771561172376096e-16im
6.4, 1.000000000000002 + 1.474514954580286e-17im, 0.9999999999999882 - 1.734723475976807e-18im, 0.999999999999997 + 9.43689570931383e-16im
6.5, 0.9999999999999982 + 1.214306433183765e-17im, 0.9999999999999871 - 8.673617379884035e-19im, 0.9999999999999966 + 8.326672684688674e-16im
6.6, 0.9999999999999979 + 1.1275702593849246e-17im, 0.9999999999999875 + 1.734723475976807e-18im, 0.9999999999999967 + 8.881784197001252e-16im
6.7, 0.9999999999999964 + 7.806255641895632e-18im, 0.9999999999999877 + 3.469446951953614e-18im, 0.9999999999999964 + 8.326672684688674e-16im
6.8, 0.9999999999999966 + 6.071532165918825e-18im, 0.9999999999999892 + 8.673617379884035e-18im, 0.9999999999999983 + 1.3322676295501878e-15im
6.9, 0.999999999999995 + 2.6020852139652106e-18im, 0.9999999999999895 + 5.204170427930421e-18im, 0.9999999999999987 + 1.2212453270876722e-15im
7.0, 0.9999999999999947 + 0.0im, 0.9999999999999908 + 1.214306433183765e-17im, 0.9999999999999966 + 1.27675647831893e-15im
7.1, 0.9999999999999929 + 8.673617379884035e-19im, 0.9999999999999903 + 1.3877787807814457e-17im, 0.9999999999999977 + 1.3322676295501878e-15im
7.2, 0.999999999999992 - 2.6020852139652106e-18im, 0.99999999999999 + 1.9081958235744878e-17im, 0.9999999999999976 + 1.7208456881689926e-15im
7.3, 0.9999999999999913 - 8.673617379884035e-19im, 0.9999999999999908 + 3.469446951953614e-17im, 0.9999999999999966 + 1.609823385706477e-15im
7.4, 0.9999999999999913 - 1.734723475976807e-18im, 0.9999999999999911 + 4.5102810375396984e-17im, 0.9999999999999959 + 1.7763568394002505e-15im
7.5, 0.9999999999999893 - 4.336808689942018e-18im, 0.9999999999999919 + 3.469446951953614e-17im, 0.9999999999999974 + 1.7763568394002505e-15im
7.6, 0.9999999999999886 - 8.673617379884035e-19im, 0.9999999999999917 + 3.469446951953614e-17im, 0.9999999999999978 + 1.6653345369377348e-15im
7.7, 0.9999999999999865 + 0.0im, 0.9999999999999901 + 2.949029909160572e-17im, 0.9999999999999983 + 1.0547118733938987e-15im
7.8, 0.999999999999987 + 3.469446951953614e-18im, 0.9999999999999893 + 2.949029909160572e-17im, 0.9999999999999974 + 1.1657341758564144e-15im
7.9, 0.9999999999999845 + 4.336808689942018e-18im, 0.9999999999999881 + 2.42861286636753e-17im, 0.9999999999999953 + 9.992007221626409e-16im
8.0, 0.9999999999999818 + 6.938893903907228e-18im, 0.9999999999999878 + 2.42861286636753e-17im, 0.9999999999999944 + 1.7763568394002505e-15im
8.1, 0.9999999999999803 + 6.938893903907228e-18im, 0.9999999999999889 + 1.9081958235744878e-17im, 0.999999999999996 + 1.9984014443252818e-15im
8.2, 0.9999999999999789 + 6.938893903907228e-18im, 0.999999999999989 + 1.734723475976807e-17im, 0.9999999999999979 + 1.5543122344752192e-15im
8.3, 0.9999999999999772 + 8.673617379884035e-18im, 0.9999999999999896 + 2.0816681711721685e-17im, 0.9999999999999971 + 1.7208456881689926e-15im
8.4, 0.9999999999999771 + 9.540979117872439e-18im, 0.9999999999999892 + 2.949029909160572e-17im, 0.9999999999999969 + 1.8318679906315083e-15im
8.5, 0.9999999999999784 + 1.3010426069826053e-17im, 0.9999999999999907 + 2.42861286636753e-17im, 0.9999999999999951 + 1.942890293094024e-15im
8.6, 0.9999999999999766 + 1.3877787807814457e-17im, 0.9999999999999921 + 2.949029909160572e-17im, 0.9999999999999958 + 2.4424906541753444e-15im
8.7, 0.9999999999999749 + 1.214306433183765e-17im, 0.9999999999999917 + 2.949029909160572e-17im, 0.9999999999999961 + 1.8318679906315083e-15im
8.8, 0.9999999999999731 + 1.1275702593849246e-17im, 0.9999999999999898 + 3.2959746043559335e-17im, 0.9999999999999967 + 1.3877787807814457e-15im
8.9, 0.9999999999999742 + 9.540979117872439e-18im, 0.9999999999999907 + 3.2959746043559335e-17im, 0.9999999999999977 + 1.0547118733938987e-15im
9.0, 0.999999999999973 + 9.540979117872439e-18im, 0.9999999999999918 + 3.8163916471489756e-17im, 0.9999999999999969 + 7.216449660063518e-16im
9.1, 0.9999999999999719 + 1.0408340855860843e-17im, 0.999999999999993 + 4.336808689942018e-17im, 0.9999999999999991 + 7.216449660063518e-16im
9.2, 0.9999999999999727 + 1.214306433183765e-17im, 0.9999999999999931 + 3.8163916471489756e-17im, 0.9999999999999998 + 3.3306690738754696e-16im
9.3, 0.9999999999999734 + 1.3877787807814457e-17im, 0.9999999999999928 + 4.336808689942018e-17im, 0.9999999999999989 - 1.6653345369377348e-16im
9.4, 0.9999999999999736 + 1.734723475976807e-17im, 0.9999999999999937 + 4.5102810375396984e-17im, 0.9999999999999987 + 1.1102230246251565e-16im
9.5, 0.9999999999999745 + 1.474514954580286e-17im, 0.9999999999999928 + 4.683753385137379e-17im, 0.9999999999999993 + 0.0im
9.6, 0.9999999999999746 + 1.214306433183765e-17im, 0.999999999999992 + 4.85722573273506e-17im, 1.0000000000000009 + 1.1102230246251565e-16im
9.7, 0.9999999999999745 + 1.0408340855860843e-17im, 0.9999999999999928 + 5.0306980803327406e-17im, 1.000000000000001 + 2.7755575615628914e-16im
9.8, 0.9999999999999735 + 7.806255641895632e-18im, 0.9999999999999953 + 5.204170427930421e-17im, 1.0000000000000013 + 1.1102230246251565e-16im
9.9, 0.9999999999999729 + 6.938893903907228e-18im, 0.9999999999999929 + 5.204170427930421e-17im, 0.9999999999999996 + 6.106226635438361e-16im
10.0, 0.9999999999999734 + 7.806255641895632e-18im, 0.9999999999999946 + 4.85722573273506e-17im, 1.0000000000000004 + 6.661338147750939e-16im
10.1, 0.9999999999999729 + 9.540979117872439e-18im, 0.9999999999999942 + 5.551115123125783e-17im, 1.0000000000000004 + 5.551115123125783e-16im
10.2, 0.9999999999999702 + 1.1275702593849246e-17im, 0.999999999999995 + 5.204170427930421e-17im, 1.0000000000000007 + 5.551115123125783e-16im
10.3, 0.9999999999999707 + 1.0408340855860843e-17im, 0.9999999999999966 + 4.85722573273506e-17im, 0.9999999999999996 + 8.881784197001252e-16im
10.4, 0.999999999999969 + 1.0408340855860843e-17im, 0.9999999999999966 + 3.8163916471489756e-17im, 0.9999999999999996 + 9.43689570931383e-16im
10.5, 0.999999999999966 + 1.214306433183765e-17im, 0.9999999999999966 + 3.469446951953614e-17im, 0.9999999999999993 + 2.220446049250313e-16im
10.6, 0.9999999999999658 + 1.3010426069826053e-17im, 0.9999999999999973 + 3.8163916471489756e-17im, 1.0000000000000027 + 3.3306690738754696e-16im
10.7, 0.9999999999999626 + 1.5612511283791264e-17im, 0.9999999999999969 + 3.122502256758253e-17im, 1.0000000000000024 + 5.551115123125783e-16im
10.8, 0.99999999999996 + 1.6479873021779667e-17im, 0.9999999999999983 + 3.469446951953614e-17im, 0.9999999999999986 + 5.551115123125783e-16im
10.9, 0.9999999999999615 + 1.734723475976807e-17im, 1.0 + 3.122502256758253e-17im, 0.9999999999999992 + 3.885780586188048e-16im
11.0, 0.999999999999961 + 1.5612511283791264e-17im, 1.0000000000000007 + 3.122502256758253e-17im, 0.9999999999999998 + 2.220446049250313e-16im
11.1, 0.9999999999999579 + 1.5612511283791264e-17im, 1.0000000000000016 + 3.469446951953614e-17im, 1.0 + 2.7755575615628914e-16im
11.2, 0.9999999999999597 + 1.6479873021779667e-17im, 1.0000000000000018 + 6.938893903907228e-18im, 1.0000000000000007 + 3.3306690738754696e-16im
11.3, 0.9999999999999604 + 1.9949319973733282e-17im, 1.0000000000000002 - 3.469446951953614e-18im, 1.0000000000000018 + 4.996003610813204e-16im
11.4, 0.9999999999999639 + 2.168404344971009e-17im, 1.000000000000001 + 1.0408340855860843e-17im, 1.0000000000000022 + 4.440892098500626e-16im
