flowtime, whM1R1, whM1R2, whM1R3, whM1R4, whM1R5, whM1R6, whM1R7, whM1R8, whM1R9, whM1R10, whM1R11, whM1R12, whM1R13, whM1R14, whM1R15, whM1R16, whM1R17, whM1R18, whM1R19, whM1R20
0.0, 0.001905335266109258, 0.0036555755908350843, 0.0044881974047943024, 0.0017340608091256037, 0.001744763204925339, 0.005871461222076015, 0.005344725808027186, 0.01119238426054577, 0.0019091371813685298, 0.0027064543721778845, 0.013391286759400517, 0.0017869271692189748, 0.0023025786144465665, 0.0024618631639343118, 0.002078067038982962, 0.002765872404859957, 0.005874869634170759, 0.002776972159628503, 0.0017109649757830428, 0.006197573582502402
0.1, 0.0011752409904079747, 0.0026791595988067446, 0.0027291066732708915, 0.001076286676383754, 0.0010798039113286216, 0.0032804026988508344, 0.003358276193900122, 0.0058707502516837425, 0.001178418245329164, 0.0016085143477951624, 0.008085124414539445, 0.0011130718629462424, 0.001405800456370331, 0.001493546761839005, 0.001285764659842802, 0.002562044101405487, 0.0032663576278163116, 0.0016591599249336055, 0.001061081089012459, 0.004216456415211232
0.2, 0.0007296645052125995, 0.0018337090707227133, 0.0016283933444709764, 0.0006724466431478532, 0.0006733020858956402, 0.0018503204401927546, 0.0020870347960873776, 0.003108235120435661, 0.0007317580158559596, 0.0009698811822469838, 0.0048051418626530356, 0.0006978900880164984, 0.0008599297237692616, 0.0009123758207496395, 0.0007963073271462845, 0.001995997536228326, 0.0018449745603411965, 0.0009964659244092425, 0.0006627396275469102, 0.0027589143382370793
0.3, 0.0004567578572372916, 0.0012065263181387925, 0.0009672193054957708, 0.0004234924249926657, 0.0004234512903300175, 0.0010563129267018884, 0.0012914742484052932, 0.0016725774862883522, 0.000457983175496567, 0.0005927808798544456, 0.002822841371272944, 0.00044106060461342964, 0.0005300271230867553, 0.0005627874698336728, 0.000495584138871479, 0.0014120288662073203, 0.0010608299861641199, 0.00060401224814843, 0.00041737558754725645, 0.0017549469712001711
0.4, 0.0002885436088475161, 0.0007749934471015497, 0.0005769001891280877, 0.00026903951142813264, 0.0002687581745239928, 0.00061237462633934, 0.0008000794373222126, 0.0009178426758707572, 0.00028919430866382236, 0.000367065742716757, 0.0016437517490686202, 0.000281154070363091, 0.000330129289121347, 0.0003510233557966227, 0.00031067342965119285, 0.0009407647425468499, 0.0006218820217439115, 0.0003703990049759804, 0.0002651922211915409, 0.0010980105541168637
0.5, 0.00018401895481347122, 0.0004913447628162936, 0.00034730309287872346, 0.00017246371728784547, 0.00017216738801268262, 0.00036151214687723485, 0.0004983212521515748, 0.000514280596282114, 0.0001843240497865343, 0.0002301956275016988, 0.0009519118560901619, 0.00018080512829500434, 0.0002080476768950857, 0.00022149392798750248, 0.00019642994900702498, 0.0006036896248594819, 0.000371950628794603, 0.00023004431286473384, 0.00017003132856476116, 0.0006827468568799404
0.6, 0.00011847869063308223, 0.0003100648106002209, 0.0002115941353020737, 0.00011155270443684983, 0.00011130582052401012, 0.0002176462315248306, 0.0003130069978818614, 0.0002942184656223786, 0.00011859037299534845, 0.0001461338708747486, 0.0005505425498239199, 0.00011728837122153999, 0.00013269582207608104, 0.00014138053256003845, 0.0001253355201883399, 0.00037911171095602795, 0.00022690927569965944, 0.0001447289874760216, 0.00011000013963904424, 0.00042542185081253755
0.7, 7.699032734471624e-5, 0.0001959479377184789, 0.0001305922331599942, 7.278759652393155e-5, 7.259861518229605e-5, 0.0001336487892172179, 0.0001986749990517637, 0.00017171862361744153, 7.700184832192241e-5, 9.385320177055381e-5, 0.00031943847512376055, 7.67283222762977e-5, 8.563429813168206e-5, 9.125138540334617e-5, 8.071149463604128e-5, 0.00023578745637955638, 0.00014103743341776508, 9.220033351343077e-5, 7.178463379618313e-5, 0.0002672500202338857
0.8, 5.047448424612982e-5, 0.00012450811490363628, 8.164302657425331e-5, 4.789188006318281e-5, 4.775245016373218e-5, 8.363505851020843e-5, 0.00012757280167683706, 0.00010210879879461023, 5.043973778307411e-5, 6.093803505672435e-5, 0.0001867172794030324, 5.059932540072536e-5, 5.5883203230797344e-5, 5.9518024733987646e-5, 5.244294574644797e-5, 0.0001465148495436548, 8.917692037070984e-5, 5.943256597692067e-5, 4.723533851651218e-5, 0.00016993235255654583
0.9, 3.336779617377047e-5, 7.973662244541502e-5, 5.166643119664446e-5, 3.1760593372803e-5, 3.165936577091523e-5, 5.32575947560157e-5, 8.290315084318632e-5, 6.175930832353964e-5, 3.331620830265521e-5, 3.9970155861912e-5, 0.00011030387383532794, 3.362231864737488e-5, 3.685005039557952e-5, 3.920243482604375e-5, 3.436718818699628e-5, 9.151493889298058e-5, 5.726029952355683e-5, 3.8729275487618924e-5, 3.132494741011777e-5, 0.00010960779852890345
1.0, 2.2231162218177277e-5, 5.1528703956099676e-5, 3.30635328273863e-5, 2.1218415491344464e-5, 2.1145348181205725e-5, 3.4450008361784156e-5, 5.451701228568788e-5, 3.7929351894726854e-5, 2.2177694319697278e-5, 2.6463476312091125e-5, 6.599935474757968e-5, 2.2500787530427167e-5, 2.4534229765242245e-5, 2.6056461556122443e-5, 2.2702713023997573e-5, 5.768080121248132e-5, 3.727353386516293e-5, 2.548939927253713e-5, 2.092545457868954e-5, 7.177193254553026e-5
