flowtime, w1, w2, w3
0.0, 0.00018386124635666205, 0.9881211764071367, -1.9768810151966723
0.1, 0.0001783777259118203, 0.9881482658818045, -1.9769434374220574
0.2, 0.0001731150095420634, 0.9881743235454136, -1.9770045461067123
0.3, 0.00016806101893657798, 0.9881993862936477, -1.9770643861598058
0.4, 0.00016320454513734422, 0.9882234888842764, -1.9771230002446898
0.5, 0.0001585351699984252, 0.9882466640978602, -1.9771804289232622
0.6, 0.00015404319614113638, 0.9882689428853688, -1.9772367107911413
0.7, 0.00014971958439794343, 0.9882903544999457, -1.9772918826040835
0.8, 0.0001455558977532435, 0.9883109266185647, -1.9773459793882726
0.9, 0.00014154425105091455, 0.9883306854524772, -1.9773990345492811
1.0, 0.00013767726573793012, 0.9883496558492366, -1.977451079969409
1.1, 0.00013394802909203884, 0.9883678613829598, -1.9775021460975133
1.2, 0.00013035005738904328, 0.9883853244423905, -1.9775522620362485
1.3, 0.00012687726258113998, 0.9884020663057385, -1.9776014556167845
1.4, 0.00012352392209055935, 0.9884181072137548, -1.9776497534749784
1.5, 0.00012028465138650027, 0.9884334664351221, -1.9776971811153385
1.6, 0.00011715437903530783, 0.988448162327319, -1.9777437629781753
1.7, 0.00011412832397435207, 0.9884622123928976, -1.9777895224945357
1.8, 0.00011120197476176685, 0.9884756333297215, -1.9778344821435823
1.9, 0.0001083710706332582, 0.9884884410806534, -1.9778786635032641
2.0, 0.00010563158414214316, 0.9885006508770161, -1.977922087296717
2.1, 0.00010297970525590992, 0.9885122772799441, -1.9779647734378354
2.2, 0.00010041182676131262, 0.9885233342173149, -1.9780067410744235
2.3, 9.792453084308705e-5, 0.9885338350209775, -1.9780480086236285
2.4, 9.551457673467398e-5, 0.9885437924584713, -1.9780885938136386
2.5, 9.317888934042848e-5, 0.9885532187645565, -1.978128513713226
2.6, 9.091454873217395e-5, 0.9885621256688673, -1.9781677847682149
2.7, 8.871878045529219e-5, 0.9885705244223957, -1.978206422827749
2.8, 8.658894655323456e-5, 0.9885784258241921, -1.978244443176931
2.9, 8.452253726422771e-5, 0.9885858402427816, -1.9782818605601102
3.0, 8.251716332531655e-5, 0.9885927776391216, -1.9783186892082076
3.1, 8.057054883012983e-5, 0.9885992475857629, -1.9783549428629192
3.2, 7.868052459397492e-5, 0.9886052592870391, -1.9783906347964284
3.3, 7.68450219862776e-5, 0.9886108215966086, -1.9784257778358758
3.4, 7.506206719365825e-5, 0.9886159430350643, -1.978460384380905
3.5, 7.332977586872132e-5, 0.9886206318035669, -1.9784944664243163
3.6, 7.16463481502386e-5, 0.9886248958009474, -1.9785280355678898
3.7, 7.001006400913576e-5, 0.9886287426371695, -1.9785611030408683
3.8, 6.841927890266019e-5, 0.9886321796452895, -1.9785936797165764
3.9, 6.68724197137851e-5, 0.9886352138955803, -1.978625776124145
4.0, 6.53679809522914e-5, 0.9886378522063646, -1.9786574024665962
4.1, 6.390452119542543e-5, 0.9886401011542986, -1.978688568633105
4.2, 6.248065975457433e-5, 0.988641967086795, -1.9787192842107852
4.3, 6.1095073548175e-5, 0.9886434561294705, -1.9787495584972639
4.4, 5.974649416896531e-5, 0.9886445741980517, -1.9787794005145978
4.5, 5.843370512706956e-5, 0.9886453270043566, -1.9788088190172535
4.6, 5.715553926150219e-5, 0.9886457200676616, -1.978837822503734
4.7, 5.591087630279199e-5, 0.9886457587195964, -1.978866419227407
4.8, 5.4698640584376e-5, 0.9886454481140349, -1.9788946172041435
4.9, 5.351779887980749e-5, 0.9886447932332747, -1.9789224242234813
5.0, 5.236735837335375e-5, 0.9886437988941376, -1.978949847855048
5.1, 5.1246364737043984e-5, 0.9886424697554865, -1.978976895458765
5.2, 5.0153900327832746e-5, 0.9886408103235876, -1.9790035741911638
5.3, 4.90890824728164e-5, 0.9886388249584539, -1.9790298910133153
5.4, 4.805106186057141e-5, 0.988636517878936, -1.9790558526989288
5.5, 4.70390210136433e-5, 0.9886338931677364, -1.979081465838889
5.6, 4.605217284629641e-5, 0.9886309547771418, -1.979106736849842
5.7, 4.508975930307618e-5, 0.9886277065326952, -1.9791316719791276
5.8, 4.4151050062415366e-5, 0.9886241521391725, -1.9791562773121734
5.9, 4.3235341317066944e-5, 0.9886202951836591, -1.9791805587757771
6.0, 4.2341954610958044e-5, 0.9886161391397867, -1.9792045221454941
6.1, 4.147023574368792e-5, 0.9886116873723136, -1.9792281730509411
6.2, 4.061955372496314e-5, 0.988606943140622, -1.9792515169789386
6.3, 3.978929978452665e-5, 0.9886019096016833, -1.9792745592793115
6.4, 3.8978886434438505e-5, 0.9885965898140316, -1.9792973051706237
6.5, 3.8187746575505036e-5, 0.9885909867415864, -1.9793197597421452
6.6, 3.7415332646058194e-5, 0.9885851032554198, -1.9793419279603106
6.7, 3.666111581981794e-5, 0.9885789421377575, -1.979363814670033
6.8, 3.592458523595532e-5, 0.9885725060843665, -1.9793854246026836
6.9, 3.520524726816153e-5, 0.9885657977079305, -1.9794067623750669
7.0, 3.4502624830419666e-5, 0.9885588195394726, -1.9794278324965149
7.1, 3.381625671516014e-5, 0.9885515740319831, -1.9794486393704895
7.2, 3.314569696272363e-5, 0.9885440635628627, -1.9794691872985366
7.3, 3.2490514258807524e-5, 0.9885362904350311, -1.979489480482906
7.4, 3.185029135949148e-5, 0.9885282568802162, -1.9795095230311408
7.5, 3.1224624549754766e-5, 0.9885199650611842, -1.979529318955557
7.6, 3.0613123115852026e-5, 0.9885114170723531, -1.979548872180531
7.7, 3.0015408850011084e-5, 0.9885026149438451, -1.9795681865415136
7.8, 2.9431115574246587e-5, 0.988493560641725, -1.9795872657895857
7.9, 2.885988868433653e-5, 0.9884842560702515, -1.9796061135932055
8.0, 2.830138471864554e-5, 0.9884747030737202, -1.9796247335415127
8.1, 2.7755270939267334e-5, 0.9884649034386733, -1.9796431291448475
8.2, 2.7221224937253017e-5, 0.9884548588939674, -1.9796613038382787
8.3, 2.6698934252388343e-5, 0.988444571113844, -1.97967926098428
8.4, 2.6188096009728953e-5, 0.9884340417191313, -1.979697003873803
8.5, 2.568841657114032e-5, 0.9884232722773184, -1.979714535728392
8.6, 2.5199611202317538e-5, 0.9884122643059445, -1.9797318597020952
8.7, 2.472140375549369e-5, 0.9884010192728246, -1.9797489788839049
8.8, 2.4253526361389292e-5, 0.988389538596769, -1.979765896299259
8.9, 2.3795719137446375e-5, 0.9883778236503192, -1.9797826149116104
9.0, 2.334772990723752e-5, 0.9883658757591788, -1.9797991376237318
9.1, 2.290931393095289e-5, 0.9883536962048372, -1.979815467279875
9.2, 2.2480233646773517e-5, 0.9883412862255085, -1.9798316066686155
9.3, 2.2060258423714416e-5, 0.9883286470150197, -1.9798475585208357
9.4, 2.1649164323479627e-5, 0.9883157797272148, -1.9798633255157694
9.5, 2.124673387208391e-5, 0.9883026854747243, -1.9798789102773553
9.6, 2.0852755840869995e-5, 0.9882893653304128, -1.9798943153809985
9.7, 2.0467025035653945e-5, 0.9882758203274553, -1.979909543350054
9.8, 2.0089342095554555e-5, 0.988262051462664, -1.9799245966595753
