flowtime, wM2R1, wM2R2, wM2R3, wM2R4, wM2R5, wM2R6, wM2R7, wM2R8, wM2R9, wM2R10, wM2R11, wM2R12, wM2R13, wM2R14, wM2R15, wM2R16, wM2R17, wM2R18, wM2R19, wM2R20
0.0, 0.5817062686020608, 0.5114814275410364, 0.6760279276713301, 0.6590283780961202, 0.7488574246528834, 0.7491184641703368, 0.7487845483542425, 0.7242926195358932, 0.6815161741471997, 0.7452252685079173, 0.6000504443099595, 0.744692574220361, 0.5839430128711884, 0.7029799050414272, 0.7476335193964618, 0.7423929901813646, 0.6530284796918994, 0.7461662024610022, 0.7474941348720617, 0.652905447408253
0.1, 0.7173689712516336, 0.7006156028938985, 0.7457866541509367, 0.7409773537444848, 0.7610128701150626, 0.7612173014031047, 0.760953153236841, 0.7567885430454426, 0.7435819683434902, 0.7600186083520358, 0.7279331465336, 0.7603007242791096, 0.7150711535949638, 0.7499710735738463, 0.7607652392561239, 0.7598720919256168, 0.7414104650879071, 0.7601017037574754, 0.7610893029368692, 0.7436781527100883
0.2, 0.7453555392858006, 0.7428097399477459, 0.7613876069033045, 0.758051219460162, 0.7673406579216202, 0.7675045589875678, 0.767290310603465, 0.7660550232937638, 0.7586845554281021, 0.7668451040628876, 0.7530521329361884, 0.7671621045268124, 0.7452094951498802, 0.7619012242759103, 0.7673305019600175, 0.7666834191129576, 0.7602235161576493, 0.7668198444841637, 0.7675319457206531, 0.7616458903764728
0.3, 0.7569429663676767, 0.757690964511114, 0.7679933026493937, 0.7647365709459856, 0.7711339602384437, 0.7712734573931495, 0.7710849803611384, 0.7707128265609192, 0.7654158955467399, 0.7708385903430383, 0.7626890805062486, 0.7711049167242268, 0.7573827539456625, 0.7674485448721202, 0.7712339349979925, 0.7705508373480916, 0.7677468298811433, 0.7707824531316066, 0.7713280592947459, 0.7689464829029848
0.4, 0.7634658050368139, 0.7648903641741837, 0.7717252064451467, 0.7683554117665157, 0.7736406140992665, 0.7737639334065513, 0.773589684633599, 0.7735872672777676, 0.76929589123405, 0.7734539043857402, 0.7678476118268664, 0.7736656884870284, 0.7639425553077509, 0.7707175419075268, 0.7738049846180793, 0.7730700531910968, 0.7718931551060305, 0.7733850024595349, 0.773820688354568, 0.77299444207104
0.5, 0.7676448814184323, 0.7690736297084276, 0.7741310029492207, 0.7706330964841202, 0.7753935774639759, 0.7755051648462409, 0.7753394413538276, 0.7755296469433567, 0.7718160442758741, 0.7752750982356588, 0.7710744705322155, 0.7754417730080198, 0.7680335943207525, 0.7728606752376993, 0.7756000577899264, 0.7748214099193907, 0.7745491876482482, 0.7752005835766139, 0.7755574111372846, 0.7755736469144644
0.6, 0.770496023677597, 0.7717690109700875, 0.7757782226124024, 0.7721684776840496, 0.7766480952520292, 0.7767506217413656, 0.7765903746663857, 0.7768926748876661, 0.7735476671269391, 0.7765760823634079, 0.7732547968061868, 0.7767079984244466, 0.7707961820786792, 0.7743336073749585, 0.7768841174578134, 0.7760701847363873, 0.7763718400887759, 0.7764998357379757, 0.776796804070948, 0.7773280127474937
0.7, 0.7725020346074717, 0.7736018351411964, 0.7769282031664225, 0.7732275752780434, 0.7775424312190348, 0.7776376802676722, 0.7774811526365244, 0.7778534117352536, 0.7747609994995914, 0.7775036537929326, 0.7747811657617745, 0.7776095078251787, 0.7727409419568928, 0.7753572370098593, 0.7778001887245296, 0.776957712044248, 0.7776541131756279, 0.7774280453153981, 0.7776779636902478, 0.7785507572294194
0.8, 0.7739278649889569, 0.7748745600295234, 0.7777227234434778, 0.7739511136898066, 0.7781611078817358, 0.7782503750399731, 0.7780964955594277, 0.7785146072531551, 0.7756047121408354, 0.7781468803727501, 0.7758583605263871, 0.7782333854518544, 0.7741329079772662, 0.7760557068701054, 0.7784353605327398, 0.7775697589422694, 0.7785520124466958, 0.77807333343995, 0.7782854895207988, 0.779398495676887
0.9, 0.7749338882235315, 0.775754168750383, 0.7782490204868376, 0.7744240243789342, 0.7785613771967496, 0.77864565958562, 0.7784937536208711, 0.7789430286728753, 0.7761706410864327, 0.7785657095882506, 0.7766067771318818, 0.7786378431073069, 0.7751262677689333, 0.7765072022175353, 0.778848372077126, 0.7779641791829978, 0.779160395340758, 0.7784949846018031, 0.778676449885376, 0.7799656504536269
