flowtime, wM3R1, wM3R2, wM3R3, wM3R4, wM3R5, wM3R6, wM3R7, wM3R8, wM3R9, wM3R10, wM3R11, wM3R12, wM3R13, wM3R14, wM3R15
0.0, -0.8084678022862469, -0.9707585215440536, -0.9052872274830341, -0.7505295633566469, -0.8146260709721348, -0.9793606414211604, -0.9449277419076564, -0.9628176013930434, -0.9534554537238277, -0.74778867590413, -0.745797428379196, -0.9771761364915306, -0.9373244779431767, -0.9753581998405132, -0.9654546382666777
0.1, -0.8760668244953436, -1.0317778878956476, -0.9585900626408843, -0.8511432280646999, -0.853001784033559, -1.0430751149255248, -0.9765676676624127, -0.9982544907634412, -1.000734670316497, -0.8331015666583472, -0.8803458321641091, -1.040937899845579, -1.0090959973247244, -1.034522330631788, -1.0194046210703187
0.2, -0.5966033215551217, -0.7953808957521354, -0.6960089589231164, -0.5441773541060239, -0.5192412723005511, -0.8263106455232659, -0.7245300921087022, -0.7597446778682984, -0.7301220048978824, -0.5569730862653464, -0.6087509464337956, -0.8152421553299373, -0.7395194748578816, -0.7945481781493715, -0.7733381287210276
0.3, -0.3251613969269337, -0.4826701489908768, -0.36933523440052307, -0.20509800330112007, -0.20739098309089443, -0.5028631449110343, -0.43500342271391684, -0.4880993639441236, -0.38293384259765506, -0.26108680140497165, -0.32486089107356836, -0.4844223173004228, -0.37291719990014505, -0.4937277652064393, -0.5015190743115525
0.4, -0.13301098693618676, -0.21677436768162558, -0.12365857465560462, -0.054346154066540524, -0.07579254700974292, -0.22634826269952962, -0.19697290630718597, -0.23301260555721118, -0.10159699209424163, -0.08975312411142095, -0.14753797999880416, -0.20196238881297696, -0.12323229774982361, -0.23227176870171007, -0.24272663916674475
0.5, -0.03648194855834284, -0.07143593285320146, -0.026261747034989177, -0.014379108425560618, -0.03385008830435717, -0.06826873474046126, -0.07150822369097438, -0.08581058239281744, -0.016378403939711808, -0.018677901219918195, -0.07644506208212837, -0.053466824549307145, -0.03985522135413689, -0.07515742701690216, -0.06981941181939104
0.6, -0.008891970870569194, -0.026194449648565418, -0.004536318475301986, -0.00509157044537652, -0.017363402040804072, -0.016126749901990277, -0.030112123275170672, -0.03506232247948973, -0.0030135446632987397, -0.00266443247542046, -0.04615958620343527, -0.011104312718825006, -0.008692057624065054, -0.022671967816291074, -0.017793370135047705
0.7, -0.0015955142688545128, -0.012179098434806033, -0.0013393893416819237, -0.002731455884603304, -0.008853404721087652, -0.0035487807922654356, -0.014535932217454493, -0.01605975251731095, -0.0006457489123342042, -0.0004092458575846444, -0.030015901317204743, -0.0028264650597571044, -0.0011529168362647616, -0.007829504627550068, -0.005708091424263704
0.8, -0.00039710736266370446, -0.006250120581161835, -0.0009479080910281434, -0.0019003110217133004, -0.004408871741738588, -0.0005436231716349302, -0.007593952608827637, -0.004690297636201212, -0.00014258588187635997, -6.813583450538447e-5, -0.02088278621835965, -0.0011426223720525802, -0.0001504894735056619, -0.003093530031705999, -0.0027145108082362213
0.9, -0.00010735320700773226, -0.003107339341249986, -0.0006871121620143499, -0.0013375541039520144, -0.002243516137039814, 1.0338736218536935e-5, -0.0054599057743184, -0.002202651877410851, -3.1164351656260116e-5, -1.1716490058378457e-5, -0.01605838343366264, -0.0006439594925741189, -1.9491041949617262e-5, -0.0011367395761164635, -0.002352089728068324
1.0, -1.2377583630186684e-5, -0.0016270364285671623, -0.00041558030719710963, -0.0008489098411937843, -0.0011859289597870098, -0.00012750048861323379, -0.004735608251897862, -0.0012370840847353603, -6.82902335891377e-6, -2.0116736047735055e-6, -0.01380077415850712, -0.00035498150167452905, -2.7156921750784376e-6, -0.0003687685180619807, -0.003170289966831636
1.1, 2.0035248761863106e-5, -0.0009701647606585934, -0.0002202088430529406, -0.00047092169570063676, -0.0006246925521737773, -0.0003594724381220165, -0.004249043391558345, -0.0004630488088946469, -1.5293424931985257e-6, -3.352685165803028e-7, -0.012780960597046837, -0.00017345968707527563, -4.3764610186089707e-7, -0.00010931279087117183, -0.004682059883382242
