flowtime, whM2R1, whM2R2, whM2R3, whM2R4, whM2R5, whM2R6, whM2R7, whM2R8, whM2R9, whM2R10, whM2R11, whM2R12, whM2R13, whM2R14, whM2R15
0.0, 0.6650498008059746, 0.664043634722692, 0.5003729685683097, 0.5280471070678714, 0.7569110486940206, 0.6944557067784953, 0.5305118036018976, 0.7873421483498526, 0.7636432859919591, 0.6349177899189649, 0.5516328937044789, 0.7737585353937442, 0.6996794585126845, 0.6792807349459815, 0.7879891285283961
0.1, 0.6223479216955142, 0.6282996547961148, 0.44141012739290736, 0.4755007799430832, 0.7252786125668343, 0.6632914699395844, 0.4806163096385899, 0.7616398329596791, 0.732392695813996, 0.6020519979915495, 0.507023130661727, 0.7455355315081871, 0.6635617564495235, 0.6441781612695164, 0.7627046353567307
0.2, 0.566574865139367, 0.5764911851634871, 0.3766458539506957, 0.41244967729537846, 0.6814814062383955, 0.6224177306146506, 0.4172822826312559, 0.7277175374655335, 0.6890877804085767, 0.5577280586951212, 0.45160942464735515, 0.707063298378813, 0.6155824428873976, 0.5980713813210771, 0.7292991283917238
0.3, 0.4979489136623163, 0.5069086335196874, 0.31321004886873527, 0.3450978759828675, 0.6230844347526626, 0.5712363027754327, 0.3456359648240417, 0.6849757180094503, 0.6309310816686621, 0.5022834895978397, 0.38695444089142444, 0.6564262080413497, 0.5554362292668477, 0.5407376404470909, 0.6872025305722912
0.4, 0.4192115147608752, 0.42469549291554154, 0.2559441352320237, 0.2802387817866478, 0.5492227673937431, 0.509594011004325, 0.27405080772057167, 0.633175763340656, 0.556154958723055, 0.43800333275677195, 0.31770933142781177, 0.5919436537773791, 0.4845927531637972, 0.4736518554936375, 0.6362244472956334
0.5, 0.3363404064960082, 0.34146354485773256, 0.20682850889255144, 0.22277455476128374, 0.4636186601211884, 0.4385080949558302, 0.21016177172735948, 0.5725135089564432, 0.4674356623447151, 0.3692534066635797, 0.2514437315766075, 0.5136205737119328, 0.40720472326505724, 0.40042870319234886, 0.5766175654662629
0.6, 0.2574195177912081, 0.26751509728611295, 0.16603058931757061, 0.17484220326469016, 0.3756088109690092, 0.36155052101589713, 0.15792513215251883, 0.5038054871784211, 0.37406509386492404, 0.30150784919559337, 0.194688283296867, 0.42579904778285693, 0.32988597485910076, 0.3264386248127026, 0.509207891472389
0.7, 0.18945999483542672, 0.20699978353703113, 0.13286423354083626, 0.13640317116744297, 0.2954652539865999, 0.2854232354864168, 0.1176886918748598, 0.42896694890994236, 0.2876325996642732, 0.2396330920473979, 0.14968918690041827, 0.3379192753685098, 0.25944059344765935, 0.25740492872548953, 0.4357444386667949
0.8, 0.13580732131574033, 0.15949388386234112, 0.10630486690227228, 0.10627834255564067, 0.22880915758759252, 0.21751813737151515, 0.08778172248446053, 0.35161865977384504, 0.21545472241226726, 0.18657736669281938, 0.11531824624624032, 0.25991219505833346, 0.20012518803439644, 0.19759575131486457, 0.3593824869064264
0.9, 0.09615005346977919, 0.12285566727310436, 0.08524727583918074, 0.0829442879142326, 0.17617210486810472, 0.16220694973528413, 0.0659459792477899, 0.27699495375363303, 0.15911505656762642, 0.14318096463867866, 0.08933726139511465, 0.19680543508261525, 0.15288412731981768, 0.14883102053053643, 0.2847368637154004
1.0, 0.06810496357647212, 0.09477149063398274, 0.06864370264763665, 0.06495254173909774, 0.13556937950979606, 0.1198876855288753, 0.050092007977128754, 0.21044071246349885, 0.11679620633048729, 0.10880756785239427, 0.0696503170170979, 0.14845508003540092, 0.11646915102515554, 0.11082545664844778, 0.2168958636111371
1.1, 0.048738525202028975, 0.07326714646117263, 0.055572991839981455, 0.05108437013446317, 0.10449983399571167, 0.08862591808720076, 0.03854610709622228, 0.15537947804443314, 0.08561315904312697, 0.08212975526544351, 0.05462778968382792, 0.11228737149470602, 0.08883868171813959, 0.08214172837096734, 0.1597270692965201
1.2, 0.03543521802103566, 0.05678471656995557, 0.04526406732621251, 0.04037212172666167, 0.08075113135005176, 0.06589146630155022, 0.030056473563352205, 0.11251179466660606, 0.06281784851536588, 0.0616838136232844, 0.04307238910862142, 0.08539507277953512, 0.06798878631750632, 0.06095887425179144, 0.11472679660267623
1.3, 0.026204054512962417, 0.044128266576164726, 0.03709215502570587, 0.03206884388884788, 0.06256902783636063, 0.04941792779222369, 0.0237231789215501, 0.08054222700482885, 0.04619035229629625, 0.046144232781978885, 0.03411416088509506, 0.06534515916787115, 0.05225595236075926, 0.045503801650531264, 0.08116201910570696
1.4, 0.019666987484808548, 0.03438761453017288, 0.030562267005114396, 0.02560528102126732, 0.04861314096637559, 0.037435695583447934, 0.018916937326855197, 0.057351458332201566, 0.03405700300535409, 0.0344098569879271, 0.027118444063201998, 0.050302299587073926, 0.04035229902620981, 0.034262544186518105, 0.057044557147103
1.5, 0.014924159417699936, 0.02687127954975316, 0.025289117990432406, 0.02054960294335608, 0.03787042684361771, 0.02864458478666504, 0.01520530557423303, 0.04080411511821139, 0.025190220630925356, 0.025599903323306784, 0.021618782770477702, 0.038932190249357894, 0.03130916576862439, 0.02605091521933469, 0.04009795323445257
1.6, 0.01140510873069824, 0.0210538679441929, 0.02097794978388808, 0.01657432571177756, 0.029576492487364058, 0.022116853258224687, 0.012292512804218335, 0.029099319885373877, 0.018697174330399313, 0.019021064476491746, 0.017269804440437932, 0.03027380581129283, 0.024405823419163183, 0.019995625737377294, 0.028314316705544032
1.7, 0.008749185925860601, 0.01653611430402233, 0.01740770524837094, 0.013430619422191788, 0.023153787187233547, 0.01720058031214285, 0.009974921589077609, 0.020846282214164263, 0.013929467027664838, 0.014132355045061573, 0.013813869583768335, 0.023633629750410924, 0.01910772483840892, 0.015474943243336974, 0.02013746246035711
1.8, 0.006722980508015919, 0.013014668092090665, 0.014416468259481584, 0.010928865296226428, 0.01816497381919063, 0.013441776095591166, 0.008110437977724321, 0.015022599090457538, 0.010416567815193139, 0.01051486483301006, 0.011057098819356936, 0.01850812920925139, 0.01501851352457062, 0.012053883116976928, 0.0144435744078488
1.9, 0.005168647104093472, 0.010259137712628196, 0.011888595322907536, 0.008924135644362135, 0.014278105725726045, 0.010526062789555058, 0.006598261159634246, 0.01089843783528843, 0.007817654318885802, 0.007846662394312264, 0.008852013552715967, 0.014528976769570223, 0.011844043271534967, 0.009429868877681486, 0.01045152305264134
2.0, 0.0039738738224036705, 0.008094549830472092, 0.009743093849309303, 0.0073054427575464246, 0.011240653912336003, 0.008236245291701385, 0.005365483200381865, 0.007961808435598997, 0.005886406739261342, 0.00588213994446344, 0.007085027597047571, 0.011424571011875266, 0.009365675422564123, 0.007392261627808632, 0.007628479774389827
2.1, 0.003055286645713549, 0.0063879128736588735, 0.00792320955550921, 0.0059878290551724596, 0.008860096829782785, 0.006421812263696904, 0.004358072266030395, 0.005856872161040558, 0.004444985009142197, 0.004435371073447528, 0.00566755412120991, 0.008992892733174093, 0.00742049301433966, 0.005793847668144297, 0.005613439838107941
2.2, 0.002349353367509516, 0.005037943914359333, 0.006387561126474572, 0.0049065503999225065, 0.006989352788906661, 0.004977213449771785, 0.003534759315167087, 0.004337179596953085, 0.003364808830047742, 0.0033669801273306277, 0.004529765483093286, 0.007082262263203455, 0.005886641568023111, 0.0045311119653856455, 0.004161634277430858
2.3, 0.0018071035075106683, 0.003967258657177667, 0.0051032768368921835, 0.004012725803344999, 0.0055157863920493365, 0.003826619877200848, 0.0028629650232466462, 0.0032319175252388233, 0.002552528566507762, 0.0025737820920761563, 0.0036162212426171098, 0.005577664543108105, 0.00467248408422024, 0.0035304779157695953, 0.0031062138424623256
2.4, 0.001390697154946374, 0.0031164787060212625, 0.004041392598804672, 0.003269922239828865, 0.004352873364719343, 0.0029135180212584893, 0.0023161930744930105, 0.002422253324999963, 0.001939949914770309, 0.001980447603945106, 0.002882742836567699, 0.004391027427823057, 0.0037086082395798655, 0.0027385142728977114, 0.002332520873315755
2.5, 0.0010709353247991976, 0.0024398148455568175, 0.003174395336187158, 0.002651265309418188, 0.0034338722559981733, 0.002193901270440265, 0.0018724380406017203, 0.0018250396141228737, 0.0014768981230171997, 0.0015326891622240563, 0.002294082444057121, 0.003454304848010152, 0.0029419703959029024, 0.002114939751567202, 0.0017610073620561253
2.6, 0.000825337194626819, 0.0019017643952982865, 0.0024754475180088025, 0.0021368502792865054, 0.0027070351218867568, 0.0016320701998103473, 0.0015132375309676771, 0.0013816886826905164, 0.0011262001535892949, 0.0011917282887435386, 0.0018220956855796212, 0.002714533703776574, 0.0023316342339977235, 0.0016278503474413818, 0.0013359205612469005
2.7, 0.0006366271306918208, 0.0014746301875192304, 0.001918656199261147, 0.001711445611319746, 0.0021320075109577453, 0.001198221288538611, 0.0012230884616924351, 0.0010505997322694024, 0.0008601522518508844, 0.0009299348800522467, 0.0014442608624707707, 0.002130263989715731, 0.0018456875576304504, 0.0012508183800818318, 0.0010177851474249481
2.8, 0.000491546827432288, 0.0011366370532113397, 0.001479779459951297, 0.0013626368518169702, 0.0016771419851180245, 0.0008671552234574126, 0.000989042326977324, 0.0008019987361248182, 0.0006580128613514288, 0.0007275319294391987, 0.0011424752635841539, 0.0016689366860583742, 0.0014590173617964957, 0.0009614352717551045, 0.0007783747515268592
2.9, 0.0003799296468182174, 0.0008704896208613038, 0.0011369279499729823, 0.001079564449128879, 0.0013175003581960957, 0.0006175972474547623, 0.0008003759797997994, 0.0006144082088095786, 0.0005042013367831629, 0.0005702099984457259, 0.0009020991437538146, 0.0013049169679686771, 0.0011517008594602056, 0.0007407421059279365, 0.0005973188848097618
3.0, 0.0002939838696702287, 0.000662274287922113, 0.0008710246420163598, 0.0008522766843339856, 0.0010333627262641152, 0.0004317868292360653, 0.0006482917599959422, 0.00047221761681510917, 0.00038698669535111905, 0.00044746131948742243, 0.0007112224056369586, 0.0010179880861168767, 0.000907833127568311, 0.0005730193550107948, 0.00045979035596692777
3.1, 0.0002277399411339577, 0.0005006464023880545, 0.0006659590684844617, 0.0006715588358471983, 0.0008091020728328487, 0.0002951408745554611, 0.0005256338796375709, 0.0003639991638775208, 0.00029752202152575404, 0.0003514445888282234, 0.0005601179304499808, 0.0007921795099624345, 0.0007146619513619755, 0.0004455924716033597, 0.0003549123607200728
3.2, 0.00017662515130180404, 0.0003762563133290687, 0.0005084804060485164, 0.0005290197359210692, 0.0006323209447161649, 0.0001959054970495715, 0.0004266229879443169, 0.0002813309727100725, 0.00022912711950243958, 0.00027621974053625874, 0.00044083652834656984, 0.0006148476603359898, 0.000561938540070009, 0.0003485249817748608, 0.00027464953734999465
3.3, 0.00013713681603060032, 0.0002813630756408097, 0.00038791807567222885, 0.000417240691334322, 0.0004931783778177096, 0.0001247801525348805, 0.0003466150242218537, 0.0002179679892079276, 0.00017675239666884937, 0.000217230562565188, 0.00034689948662179973, 0.00047595486368297746, 0.00044142078086655727, 0.0002742123305718578, 0.00021302788916353188
3.4, 0.00010659141217292284, 0.00020957752307420273, 0.0002958186656378292, 0.0003298716475290144, 0.00038385897241682306, 7.453060352318329e-5, 0.00028188941524282944, 0.00016925301855546756, 0.00013657673285082014, 0.00017094953320345973, 0.00027305413571260815, 0.00036750749307851296, 0.0003464856548284494, 0.0002169408253600979, 0.00016558059380580788
3.5, 8.293221492355404e-5, 0.00015567903119662264, 0.00022556670093559005, 0.0002616379538532905, 0.0002981519111415409, 3.961546274737731e-5, 0.0002294688292761691, 0.00013169495766429144, 0.00010570525248223722, 0.0001346281518966154, 0.00021507010310257673, 0.0002831222090499798, 0.00027182134158414123, 0.00017247049677625938, 0.00012895063264036278
3.6, 6.45819522212088e-5, 0.00011546437914652286, 0.00017203098838317337, 0.00020826940724999574, 0.00023111737433926198, 1.5846677295327086e-5, 0.0001869698578275825, 0.00010266442156827227, 8.194196140825117e-5, 0.0001061165303547573, 0.00016956428442918377, 0.0002176934526371432, 0.00021317903370752253, 0.00013767598365580115, 0.00010060342357487073
3.7, 5.0330058580417536e-5, 8.560616995708872e-5, 0.00013125681892622585, 0.00016638110573542622, 0.00017882329876197834, 9.573555734014944e-8, 0.00015248191804813777, 8.01724849972799e-5, 6.36186260149329e-5, 8.37295221560228e-5, 0.00013384914708796105, 0.00016713851626290352, 0.00016717083051124868, 0.00011025679419950347, 7.861737872422521e-5
3.8, 3.924648270498557e-5, 6.351437448372001e-5, 0.00010020983430975057, 0.00013333479101009185, 0.00013813857924334873, -9.950695698116767e-6, 0.00012447052575533305, 6.270874728983294e-5, 4.946594387878713e-5, 6.61451521340154e-5, 0.00010580212920333979, 0.0001282000649354369, 0.0001311042277655431, 8.851397966166896e-5, 6.153017169907273e-5
3.9, 3.061584133603319e-5, 4.720373334975229e-5, 7.656915258065669e-5, 0.00010710117435652153, 0.00010657093395687828, -1.598774910765777e-5, 0.0001017007508675058, 4.91220673586935e-5, 3.851651851072575e-5, 5.232627109893816e-5, 8.375483174090428e-5, 9.829018426227492e-5, 0.00010284636852792623, 7.118356592804791e-5, 4.8225171351281586e-5
4.0, 2.3887138173881886e-5, 3.51724628671776e-5, 5.856357236813887e-5, 8.613497308778496e-5, 8.213948332889539e-5, -1.9247263428167935e-5, 8.317688491763206e-5, 3.8532214554222306e-5, 3.0031746014124246e-5, 4.1459462815652987e-5, 6.640059633343752e-5, 7.536440792383758e-5, 8.071289026539593e-5, 5.7315269916769026e-5, 3.784706082794984e-5
4.1, 1.863537337097564e-5, 2.6296585987379975e-5, 4.4843583764326996e-5, 6.92677211939567e-5, 6.327391116840508e-5, -2.0617259521849905e-5, 6.80948709129914e-5, 3.0264071960913296e-5, 2.3446676111194953e-5, 3.2907101592151394e-5, 5.2718678931550214e-5, 5.781803503996055e-5, 6.33772668119268e-5, 4.61857075740356e-5, 2.9738813101737367e-5
4.2, 1.4532226224414756e-5, 1.974178204353272e-5, 3.438221950905487e-5, 5.561924932754049e-5, 4.873386808539125e-5, -2.0732690403384867e-5, 5.580467046709949e-5, 2.379839528619872e-5, 1.8328384283573642e-5, 2.6169616111377065e-5, 4.191293541713943e-5, 4.439992759665834e-5, 4.979725281597303e-5, 3.723698640699091e-5, 2.3394394535378624e-5
4.3, 1.1323655762349227e-5, 1.4892437240760777e-5, 2.6398681941727856e-5, 4.4526540410978046e-5, 3.754390239426492e-5, -2.0043545568836677e-5, 4.5780344986000235e-5, 1.8734796120757565e-5, 1.4344503091495284e-5, 2.08557620347488e-5, 3.336283737349392e-5, 3.4140797799474814e-5, 3.9155552265202055e-5, 3.0033481998835384e-5, 1.8423118747296108e-5
4.4, 8.812773677670975e-6, 1.129614191576369e-5, 2.0299736817324876e-5, 3.548776988771214e-5, 2.8940533038080374e-5, -1.8865474700628317e-5, 3.7596143333297865e-5, 1.476380004361355e-5, 1.1239397146461624e-5, 1.6659214783722018e-5, 2.6584715549940336e-5, 2.629395779560658e-5, 3.081224282586387e-5, 2.4231363074242006e-5, 1.4522675722253162e-5
4.5, 6.846735276492448e-6, 8.621218739754196e-6, 1.56348619203991e-5, 2.811915994497561e-5, 2.2329059491811772e-5, -1.7417131409949233e-5, 3.0907298984890266e-5, 1.1645674844825207e-5, 8.81609459397772e-6, 1.3340160171648244e-5, 2.1201324936674883e-5, 2.0286919805118344e-5, 2.4266840728939884e-5, 1.955691302936858e-5, 1.1458651721834063e-5
4.6, 5.306693439817767e-6, 6.624760950561006e-6, 1.2061994130429487e-5, 2.2122421741680542e-5, 1.72483618710907e-5, -1.5847550410895107e-5, 2.5434551787136715e-5, 9.194332462020034e-6, 6.922559298516251e-6, 1.071083652175125e-5, 1.6918078932144688e-5, 1.5682381256389564e-5, 1.9128206834430128e-5, 1.5790865617737445e-5, 9.04892673960593e-6
4.7, 4.10008902812617e-6, 5.128874615254138e-6, 9.321417313722344e-6, 1.726080063256645e-5, 1.334235556077116e-5, -1.4256114412935362e-5, 2.095164051377561e-5, 7.265049236893716e-6, 5.4412410378579124e-6, 8.624196601072847e-6, 1.3504566366387696e-5, 1.214719216708182e-5, 1.509077964683712e-5, 1.2756849459092102e-5, 7.151751790846434e-6
4.8, 3.154725116867668e-6, 4.003173691543173e-6, 7.215888577104285e-6, 1.3341973716900873e-5, 1.0337014500476108e-5, -1.2707050947412264e-5, 1.727518190081729e-5, 5.745070828670691e-6, 4.281105376472878e-6, 6.965027914047689e-6, 1.0780216612580307e-5, 9.427973728601952e-6, 1.1915876086165948e-5, 1.0312665023657386e-5, 5.656612561011109e-6
4.9, 2.4142047178265226e-6, 3.1519587802873577e-6, 5.595535179035012e-6, 1.0206254279409456e-5, 8.022037463934826e-6, -1.123991391507647e-5, 1.4256476728111072e-5, 4.546404207394688e-6, 3.3715427704053855e-6, 5.643006060130379e-6, 8.603200628471244e-6, 7.3321666970313145e-6, 9.417025069428192e-6, 8.343551317837453e-6, 4.477209966632894e-6
5.0, 1.8344121034240994e-6, 2.504861038756494e-6, 4.346392441941447e-6, 7.718749044024302e-6, 6.236350127712156e-6, -9.87713074650227e-6, 1.1774876960364108e-5, 3.6002733271175796e-6, 2.65770462445091e-6, 4.587265048791905e-6, 6.861844562005373e-6, 5.713430922191686e-6, 7.448492395761317e-6, 6.756888146350075e-6, 3.546054021575027e-6
5.1, 1.3807941137374715e-6, 2.0100278619416097e-6, 3.381714984702145e-6, 5.76431135293651e-6, 4.856738261480815e-6, -8.629412776231291e-6, 9.732419375156695e-6, 2.8528442247905917e-6, 2.0969250507399805e-6, 3.7421559137310085e-6, 5.467987968639164e-6, 4.460476458331517e-6, 5.896319219573541e-6, 5.477966561706111e-6, 2.8102907562968405e-6
