flowtime, w1, w2, w3
0.0, 0.0023417559044036653, 0.7467977238933143, -1.5073544544453736
0.1, 0.0005718754535190251, 0.7881316979074062, -1.6005896348562345
0.2, 0.0003541454034834056, 0.7977686020504902, -1.6179641260651902
0.3, 0.0002896393450678736, 0.8029199153348645, -1.6238867562849502
0.4, 0.0002632973167950947, 0.8062831681997265, -1.6263561136964277
0.5, 0.00024826736080639885, 0.8086732658728207, -1.6276017950244581
0.6, 0.0002369723826720141, 0.8104422602545045, -1.6283653350943423
0.7, 0.00022713128317003857, 0.811782383141423, -1.6289188429389156
0.8, 0.00021803175194220876, 0.8128134358952677, -1.6293685241611233
0.9, 0.0002094390975905872, 0.8136157498554577, -1.6297580171997779
1.0, 0.0002012660960296386, 0.8142456634139732, -1.6301064097232825
1.1, 0.00019347185233104536, 0.8147439073233794, -1.6304228650064028
1.2, 0.00018603062487057331, 0.8151405768887771, -1.6307124087634803
1.3, 0.00017892215235194414, 0.8154582702132105, -1.630978265211804
1.4, 0.0001721286111666669, 0.8157141640365062, -1.6312228171554886
1.5, 0.00016563362343664093, 0.8159214378322892, -1.6314480088955998
1.6, 0.00015942190270897162, 0.8160902791820309, -1.6316555206502878
1.7, 0.00015347910053617144, 0.8162286097939907, -1.6318468481117656
1.8, 0.0001477917185941142, 0.816342619325937, -1.6320233420277068
1.9, 0.00014234704417062782, 0.8164371636105271, -1.6321862305585841
2.0, 0.00013713309570704494, 0.8165160652163754, -1.6323366339297438
2.1, 0.00013213857402974096, 0.8165823424517339, -1.6324755754049074
2.2, 0.0001273528177045079, 0.8166383851876114, -1.6326039903120153
2.3, 0.00012276576183223016, 0.8166860906877716, -1.6327227338849544
2.4, 0.00011836789989798946, 0.8167269690668603, -1.632832588273432
2.5, 0.00011415024839144115, 0.8167622254968391, -1.6329342688962767
2.6, 0.00011010431396483316, 0.8167928244950461, -1.6330284302358213
2.7, 0.00010622206292208615, 0.8168195403300489, -1.6331156711361814
2.8, 0.00010249589285350142, 0.8168429966258471, -1.6331965396514732
2.9, 9.891860624690072e-5, 0.8168636975325748, -1.6332715374819735
3.0, 9.548338592149973e-5, 0.8168820522943173, -1.633341124031138
3.1, 9.21837721436994e-5, 0.8168983946362753, -1.6334057201134657
3.2, 8.901364129620089e-5, 0.816912998079894, -1.6334657113408042
3.3, 8.596718598273972e-5, 0.8169260880530154, -1.6335214512128677
3.4, 8.303889646059404e-5, 0.8169378514746708, -1.6335732639357832
3.5, 8.022354330174197e-5, 0.8169484443482214, -1.6336214469912433
3.6, 7.751616119226598e-5, 0.8169579977825837, -1.6336662734768177
3.7, 7.491203378636391e-5, 0.8169666227720178, -1.633707994237078
3.8, 7.240667953840963e-5, 0.8169744139949059, -1.6337468398033563
3.9, 6.999583844272712e-5, 0.8169814528369964, -1.6337830221587426
4.0, 6.76754596160378e-5, 0.8169878098010412, -1.6338167363439582
4.1, 6.544168966312306e-5, 0.8169935464309139, -1.6338481619178307
4.2, 6.329086177035092e-5, 0.8169987168511524, -1.6338774642859055
4.3, 6.12194854764703e-5, 0.8170033690017844, -1.633904795908719
4.4, 5.922423707380281e-5, 0.8170075456315079, -1.6339302974009475
4.5, 5.730195059652254e-5, 0.8170112850990681, -1.6339540985313319
4.6, 5.544960935593633e-5, 0.8170146220222623, -1.6339763191325205
4.7, 5.366433798592759e-5, 0.8170175878057482, -1.6339970699291892
4.8, 5.194339496423732e-5, 0.8170202110723157, -1.6340164532920445
4.9, 5.0284165577960456e-5, 0.8170225180171363, -1.6340345639244935
5.0, 4.868415530372873e-5, 0.8170245327004838, -1.6340514894883944
5.1, 4.714098357560126e-5, 0.8170262772910962, -1.6340673111744188
5.2, 4.565237791521545e-5, 0.8170277722699949, -1.6340821042223215
5.3, 4.4216168400827806e-5, 0.8170290366023533, -1.6340959383956721
5.4, 4.283028245357031e-5, 0.8170300878835897, -1.634108878415335
5.5, 4.1492739920527594e-5, 0.8170309424645684, -1.6341209843555282
5.6, 4.0201648435985994e-5, 0.81703161555967, -1.634132312005868
5.7, 3.8955199043244495e-5, 0.8170321213409668, -1.6341429132026017
5.8, 3.7751662060919344e-5, 0.817032473020812, -1.6341528361318405
5.9, 3.658938317828368e-5, 0.8170326829249377, -1.6341621256073071
6.0, 3.546677976578518e-5, 0.8170327625575359, -1.6341708233249383
6.1, 3.438233738750836e-5, 0.8170327226596913, -1.6341789680965515
6.2, 3.333460650321951e-5, 0.8170325732621057, -1.634186596064218
6.3, 3.2322199348667165e-5, 0.8170323237329885, -1.6341937408972944
6.4, 3.134378698338893e-5, 0.8170319828217871, -1.6342004339735645
6.5, 3.0398096496011274e-5, 0.8170315586993007, -1.6342067045458695
6.6, 2.9483908357838338e-5, 0.8170310589946013, -1.6342125798955405
6.7, 2.860005391589085e-5, 0.8170304908292072, -1.634218085473758
6.8, 2.774541301721386e-5, 0.8170298608487412, -1.6342232450319174
6.9, 2.691891175703081e-5, 0.8170291752524027, -1.6342280807418712
7.0, 2.611952034330721e-5, 0.8170284398203967, -1.6342326133069822
7.1, 2.534625107135263e-5, 0.8170276599396002, -1.6342368620647225
7.2, 2.4598156401903063e-5, 0.8170268406275454, -1.6342408450815264
7.3, 2.387432713701276e-5, 0.8170259865548815, -1.6342445792405573
7.4, 2.31738906881471e-5, 0.817025102066496, -1.6342480803229356
7.5, 2.2496009431399868e-5, 0.8170241912012697, -1.6342513630829993
7.6, 2.1839879144902665e-5, 0.8170232577107174, -1.6342544413180702
7.7, 2.1204727523881588e-5, 0.8170223050764649, -1.6342573279331345
7.8, 2.058981276915225e-5, 0.8170213365267055, -1.6342600350008478
7.9, 1.999442224505285e-5, 0.8170203550517184, -1.6342625738173215
8.0, 1.9417871202861203e-5, 0.8170193634184358, -1.6342649549538346
8.1, 1.8859501566394178e-5, 0.8170183641842016, -1.634267188304995
8.2, 1.8318680776307756e-5, 0.8170173597097086, -1.6342692831334755
8.3, 1.7794800689952064e-5, 0.8170163521711945, -1.634271248111598
8.4, 1.7287276533933473e-5, 0.8170153435719404, -1.634273091360127
8.5, 1.6795545906453747e-5, 0.8170143357531116, -1.6342748204843052
8.6, 1.6319067826946615e-5, 0.817013330403945, -1.634276442607461
8.7, 1.585732183043205e-5, 0.8170123290713851, -1.6342779644023204
8.8, 1.5409807104324276e-5, 0.817011333169128, -1.6342793921201955
8.9, 1.4976041665479012e-5, 0.8170103439861846, -1.6342807316181938
9.0, 1.4555561575451306e-5, 0.8170093626949025, -1.6342819883846273
9.1, 1.4147920191856464e-5, 0.8170083903585592, -1.6342831675626897
9.2, 1.3752687454239164e-5, 0.817007427938497, -1.6342842739725936
9.3, 1.3369449202493568e-5, 0.8170064763008377, -1.6342853121321896
9.4, 1.2997806526303049e-5, 0.8170055362228319, -1.6342862862763075
9.5, 1.2637375143969647e-5, 0.8170046083987951, -1.6342872003747189
9.6, 1.2287784809302075e-5, 0.8170036934457329, -1.6342880581490213
9.7, 1.1948678744981148e-5, 0.817002791908618, -1.6342888630883754
9.8, 1.1619713101258117e-5, 0.8170019042653432, -1.6342896184641893
9.9, 1.1300556438660758e-5, 0.8170010309314227, -1.6342903273439178
10.0, 1.0990889233562515e-5, 0.8170001722643594, -1.6342909926039226
10.1, 1.0690403405460843e-5, 0.8169993285677711, -1.6342916169415063
10.2, 1.0398801864987666e-5, 0.8169985000953024, -1.6342922028861844
10.3, 1.0115798081580555e-5, 0.8169976870542589, -1.6342927528102325
10.4, 9.841115669928255e-6, 0.8169968896090228, -1.6342932689385536
10.5, 9.57448799424119e-6, 0.8169961078842972, -1.6342937533579207
10.6, 9.315657789554437e-6, 0.816995341968103, -1.6342942080256058
10.7, 9.06437679922185e-6, 0.8169945919146336, -1.634294634777525
10.8, 8.820405427870106e-6, 0.8169938577469062, -1.634295035335775
10.9, 8.58351240903913e-6, 0.8169931394592634, -1.6342954113157568
11.0, 8.353474486888901e-6, 0.8169924370197073, -1.6342957642328655
11.1, 8.130076111251326e-6, 0.8169917503720986, -1.6342960955086532
11.2, 7.913109145509044e-6, 0.8169910794382095, -1.6342964064767345
11.3, 7.70237258657562e-6, 0.8169904241196432, -1.6342966983882405
11.4, 7.49767229655402e-6, 0.8169897842996315, -1.6342969724169232
11.5, 7.298820745475366e-6, 0.8169891598447274, -1.6342972296640161
11.6, 7.105636764599936e-6, 0.8169885506063737, -1.6342974711626972
11.7, 6.917945309855329e-6, 0.8169879564223819, -1.6342976978823187
11.8, 6.735577234934906e-6, 0.8169873771182847, -1.6342979107323885
11.9, 6.558369073596615e-6, 0.8169868125086537, -1.6342981105662593
12.0, 6.386162830815827e-6, 0.8169862623982569, -1.6342982981846126
12.1, 6.218805782299374e-6, 0.8169857265832005, -1.6342984743387385
12.2, 6.056150282108836e-6, 0.8169852048519602, -1.6342986397335628
12.3, 5.898053577960794e-6, 0.816984696986347, -1.6342987950305663
