flowtime, wM3R1, wM3R2, wM3R3, wM3R4, wM3R5, wM3R6, wM3R7, wM3R8, wM3R9, wM3R10, wM3R11, wM3R12, wM3R13, wM3R14, wM3R15
0.0, -0.9823801699675309, -0.8319985246836538, -0.9035616894022496, -0.714358360706865, -0.9271583285190428, -0.8821208338742723, -0.8507894266057249, -0.8688121416499035, -0.7159102213157649, -0.7263399924220988, -0.8318327505643264, -0.7139106910752581, -0.9473509423547319, -0.9468396587178741, -0.9268853457434802
0.1, -0.9706293357048031, -0.7993745968941818, -0.8794184795023257, -0.6713195305724958, -0.9051022845209281, -0.8522146494798389, -0.8204269419909224, -0.8391310966682756, -0.6696594885367136, -0.6836689171750298, -0.8012614200369231, -0.6798555043757278, -0.9279508262668388, -0.9303931111050802, -0.9060669860876276
0.2, -0.9572452575549634, -0.7588935148264075, -0.8485746310674108, -0.6186464950844398, -0.876932289950424, -0.8132086744908744, -0.7816472078243668, -0.7990379587703542, -0.6135019992330111, -0.630749740825809, -0.7627790182381696, -0.6368489783346388, -0.9038511221640829, -0.9101085119629517, -0.8797147386820331
0.3, -0.9418128178804838, -0.709784792966594, -0.8096086849630205, -0.5566725827606691, -0.8410451629918048, -0.7631612808813768, -0.7331310240840112, -0.746321526328011, -0.5489554060572235, -0.5681008587655424, -0.7151545988631504, -0.5845848475053224, -0.8734078420691429, -0.8847506284406851, -0.8460997761045609
0.4, -0.9238684418167682, -0.6520430486591549, -0.7613910116292725, -0.4871250372539221, -0.796002599916846, -0.701103542939154, -0.6741015653706172, -0.6802427890800811, -0.4791202063265185, -0.49756086415725, -0.6578410998218779, -0.5238546636560841, -0.8345965807412479, -0.8528057620834306, -0.803447441864267
0.5, -0.9029133145607804, -0.5868072421366198, -0.7035012527333445, -0.4132503162267913, -0.7410407543988307, -0.628015705406114, -0.6049753526682766, -0.6027353127660947, -0.40780862832687076, -0.42222837611631137, -0.5915941593803642, -0.4568321730264765, -0.7853900884142099, -0.8126409163580557, -0.7505902333092204
0.6, -0.8784357146212793, -0.5164024070450042, -0.6365685059417927, -0.3392111799839894, -0.6764968796575883, -0.5470508383697155, -0.5278894763220481, -0.5184035140152172, -0.33838105996885626, -0.34596079937546786, -0.5188110410204085, -0.38678136951379244, -0.7245929006981771, -0.7628994160907754, -0.6876973201484932
0.7, -0.8499468763514214, -0.4439329587150977, -0.5624437271780323, -0.26898906066190104, -0.603920461413334, -0.4626882878677591, -0.4466072855760344, -0.4330584668960201, -0.2731628862189756, -0.27261653478200704, -0.443162890437002, -0.3173513076039268, -0.6528507791185384, -0.703122630747834, -0.6165144560313393
0.8, -0.8170344231476114, -0.37259509738373686, -0.4840695984288641, -0.20547843630925078, -0.5259194841732142, -0.3795143190907182, -0.36564207470962223, -0.3518610782521446, -0.21357218309825138, -0.20534900959891564, -0.3686222324586831, -0.2519560075383506, -0.5730453698285756, -0.6343429444614898, -0.5399989516708709
0.9, -0.7794336899292823, -0.30507319115590903, -0.4049377095199867, -0.15019957105582046, -0.4458865863885091, -0.30137112038018915, -0.28909721740130373, -0.27822015256759636, -0.16045341385936204, -0.1462141264101605, -0.2985317609549811, -0.1933258951203071, -0.4895607149040073, -0.5592188667483916, -0.4617117452424209
1.0, -0.7371088493958796, -0.2432694695229457, -0.3283964053574625, -0.10351498692336607, -0.367582173491163, -0.230983490227432, -0.21988901612630954, -0.21372764002548392, -0.11426370164738148, -0.096150381583789, -0.23515595063288297, -0.14308793649641577, -0.4069159252215619, -0.48148639152310835, -0.3851489073761743
1.1, -0.690324410494752, -0.18831939796957672, -0.2572024421192663, -0.06503320487944772, -0.2945225175478491, -0.16988782574102732, -0.1595775102165526, -0.1586705024168718, -0.07512155824443625, -0.05520164050325426, -0.17965282677201147, -0.10161714391560449, -0.32870277991446245, -0.4049967460065927, -0.3131403363336862
1.2, -0.6396799339722045, -0.1407218437669407, -0.19336989579552624, -0.03397929160962345, -0.22933658579734043, -0.11854327834743128, -0.10860853537562835, -0.11258555894768499, -0.042833165377924184, -0.022810790330278097, -0.13226119181885027, -0.06832881617401775, -0.257262183999183, -0.3328804964198006, -0.24755844394707674
1.3, -0.5860854262159572, -0.10048492476855451, -0.13815903754139228, -0.009449513680801826, -0.17341035132844865, -0.07657122373595701, -0.06668251111442555, -0.07464820163672876, -0.016949677349444706, 0.0019221141583348855, -0.09258698728529308, -0.042152601635937884, -0.19389449322751573, -0.26715985310259005, -0.18939308878882952
1.4, -0.5306746054840664, -0.06726643535742012, -0.09210232671725342, 0.009448763533661232, -0.12696062294148278, -0.043061820394667195, -0.033075352184176905, -0.043911025675864745, 0.0031497805044171504, 0.02004971689043431, -0.05991250089328333, -0.02190431529719952, -0.13919461254919194, -0.2087837491851655, -0.13900252805139016
1.5, -0.47467849558815817, -0.04050372700346276, -0.05506064222553829, 0.023538783193410358, -0.0893854028505387, -0.016865962597518765, -0.006861083369017491, -0.019443326305250586, 0.018172236963322062, 0.032649741911695375, -0.03344089522042595, -0.0064850971207530556, -0.09327406862680496, -0.15791233899003077, -0.09633567472191068
1.6, -0.4192959602736901, -0.019521138378060344, -0.02634165333204225, 0.03356325239545008, -0.059653426785685686, 0.0031880107114636877, 0.012949968387845416, -0.0003976766435151602, 0.028840613843630136, 0.0407454625415209, -0.01241805165430591, 0.0050443153894804225, -0.05586229643046473, -0.1142657728970175, -0.061063039102504345
1.7, -0.36559211607737746, -0.0036053080365097013, -0.00488482047463474, 0.04019484063875462, -0.03659763820025971, 0.01816787587632098, 0.027330706905739337, 0.013978453127609747, 0.03584769377998978, 0.045261908174175726, 0.003849512582109216, 0.013455513180533384, -0.026361689962522108, -0.07739779284596705, -0.032656937631574665
1.8, -0.3144373820480209, 0.007951279344512169, 0.010531337222493777, 0.04405072196571591, -0.019089153740358373, 0.028984161817546046, 0.03719448117518547, 0.02436136037199794, 0.03983351173515241, 0.04700828618655951, 0.016012445327355802, 0.019372459969394802, -0.00390993526184039, -0.04684046210778133, -0.01046172939478133
1.9, -0.26648406433601013, 0.015830035971905423, 0.02111680920730488, 0.04569949529183587, -0.006118749315336475, 0.03638346420565306, 0.0433764245638929, 0.031374163907590506, 0.04137898786536956, 0.046678088682576016, 0.02468363159161073, 0.023299669717842402, 0.012525485782072283, -0.022140604968090317, 0.006242269153883351
2.0, -0.22217148211669666, 0.020678317321478113, 0.02796212045705592, 0.04565617433811369, 0.0031795644813280635, 0.04096626645354374, 0.04662827131429518, 0.03559995004520302, 0.041007129967320664, 0.044858544057188504, 0.030427773102368508, 0.025649198881729767, 0.02402808155711899, -0.002838807955836561, 0.018192373430034152
2.1, -0.18175122078760633, 0.023104756414852, 0.03199121974718643, 0.044369759792119386, 0.0095355818456046, 0.043215491829834515, 0.047618287858486985, 0.0375854420600572, 0.03918573850498172, 0.04204224019918906, 0.033751825729840486, 0.02676268336360655, 0.031622935494231424, 0.011562834088901186, 0.026117674792328717
2.2, -0.14532478859477593, 0.023672834690291616, 0.033955487472070285, 0.04221298632444141, 0.013562271288361443, 0.0435291687098334, 0.04693135972239848, 0.037840613424786396, 0.036329047040860214, 0.03863644576402881, 0.03510516912046946, 0.02692738359992838, 0.036206880026531184, 0.021617753738880596, 0.030726371926436208
2.3, -0.11288525885625067, 0.022891506520954282, 0.03444896278047579, 0.03948137422621998, 0.015776478433241863, 0.042253206550215264, 0.04506795822727131, 0.03683467330588487, 0.032797860982551295, 0.03496890318749862, 0.03488744092395725, 0.026386548635778134, 0.03852340425722484, 0.02793031708289658, 0.03269638437062081
2.4, -0.08435474041824861, 0.021204440135262757, 0.03393125334558142, 0.03640195480777488, 0.016615532741078208, 0.03970903213961945, 0.04244325968872735, 0.03498523971175689, 0.028898617410125414, 0.03129142786350791, 0.033458039395065135, 0.02534517526851217, 0.0391692500421161, 0.03113545554024464, 0.032663243938576746
2.5, -0.05961208730247285, 0.01898087776788187, 0.03275107472408014, 0.033147115147990104, 0.0164485836826968, 0.036210348931175064, 0.039388590634889, 0.0326425617248207, 0.024882259654118832, 0.02778390196161114, 0.031142702382686117, 0.0239727317298913, 0.03861587751186589, 0.03187138204579723, 0.031204632673622234
2.6, -0.03850901974482022, 0.01651121563881121, 0.03116768845411145, 0.02984828829526552, 0.015584011258448887, 0.03206640317896474, 0.03615681979808161, 0.03007716530504773, 0.020944136239449473, 0.024560986170200163, 0.028235532874602457, 0.022404620155081205, 0.03723349430194978, 0.03075173802774216, 0.028824294491500452
2.7, -0.02087600508662665, 0.01400908291605913, 0.02936954329109993, 0.02660616912376718, 0.014274774756942452, 0.027573856706958833, 0.03293180322147693, 0.027478039537906628, 0.017226013302728403, 0.021682334309579467, 0.024997078231295457, 0.020743974586687725, 0.03531131902647009, 0.02834034435310325, 0.02593886213469796
2.8, -0.006521007175819002, 0.011619467518936827, 0.02748998266763024, 0.02349671960241032, 0.012722947844502513, 0.023002451654829576, 0.02984034450438665, 0.02496259934106332, 0.013820641915307212, 0.019165266847222185, 0.021649933255014193, 0.01906482992018413, 0.03307252142970479, 0.025130343188908864, 0.022870663962275082
2.9, 0.004775257344278254, 0.0094306159313401, 0.02561996593635309, 0.02057427089117788, 0.011084084907800931, 0.01858015106026999, 0.02696429791960619, 0.022594886523781537, 0.010778506871205294, 0.01699786585631694, 0.018373584255251287, 0.017416895840992302, 0.030685329500181966, 0.021529496289270977, 0.01984861371148368
3.0, 0.013264098751597684, 0.007487057170241056, 0.02381797574044767, 0.017873810965146886, 0.00947184215770428, 0.014482189886325488, 0.024350840611191638, 0.02040501112604637, 0.00811587543770343, 0.01515062010611153, 0.015300712631299306, 0.015831389673554543, 0.028272559906483002, 0.017853267827405858, 0.01701760990934509
3.1, 0.019230781518418054, 0.005801914833576689, 0.022117680189329057, 0.015413860823203658, 0.007963174801647915, 0.010826489348589482, 0.02202017350081507, 0.018402957162792437, 0.005823217956134262, 0.0135855616220222, 0.012517299146505243, 0.014326902528561941, 0.025920514837544203, 0.014326313348536485, 0.014454546528991714
3.2, 0.022991628410374377, 0.0043676543359468965, 0.02053417675888818, 0.013200016103193378, 0.006604211178634075, 0.007675822358817425, 0.01997113861002479, 0.01658556284131164, 0.0038732844280943506, 0.012262657342980996, 0.010067504353936198, 0.012914265015497013, 0.0236866671083165, 0.011091453730463111, 0.01218718941021263
3.3, 0.024885621362740255, 0.0031649155017988285, 0.01906953377437261, 0.01122847962331408, 0.005416599792190757, 0.005045474409393661, 0.018185844431395846, 0.014940687391501773, 0.002228336248014881, 0.011143758461213687, 0.007962182282924767, 0.011599808593314272, 0.021605549610605748, 0.008223877536029725, 0.010211952769396564
3.4, 0.02526131274975942, 0.0021692022991301784, 0.01771792512371415, 0.009489047879414096, 0.004403887274123692, 0.002914270388094683, 0.01663428336637877, 0.013451715716506649, 0.0008461755162923716, 0.010194657963632664, 0.0061887444083710145, 0.010387035321545989, 0.01969330739621529, 0.0057477013661763835, 0.008507967140233596
3.5, 0.02446114901154501, 0.0013553277159925148, 0.01647015996818269, 0.007967446686761035, 0.003557410639514248, 0.0012367048685250216, 0.015279360137273629, 0.012101923022646543, -0.0003152473387270083, 0.009385846166532416, 0.004720333828943588, 0.009277175392903436, 0.017951851965520668, 0.0036522214345606828, 0.007046698341525251
3.6, 0.02280595310698149, 0.0006997941643117197, 0.01531708547405102, 0.006647129037009623, 0.002861275476918221, -4.5741362235386084e-5, 0.014082073797325173, 0.010877038087626582, -0.0012946851747314089, 0.008692471761604845, 0.003523126133842536, 0.008269235285129866, 0.016373042341901612, 0.0019059666351688767, 0.005797735724388964
3.7, 0.020582115622373737, 0.00018158961460413748, 0.014251391272299964, 0.005510637892915927, 0.0022961818474392394, -0.000995417012409599, 0.013006152055145062, 0.009765679291655475, -0.002125753020693329, 0.00809388632741534, 0.0025613977953064903, 0.007359984544300875, 0.014942638356351465, 0.00046761920183220303, 0.004731883174490968
3.8, 0.018033159733435947, -0.00021797597871070813, 0.013267799663497977, 0.004540576154503351, 0.0018420728856752037, -0.0016720806293033467, 0.0120214216973108, 0.00875859216211521, -0.0028361148296604886, 0.007573023918102309, 0.0018005833756041085, 0.006544097265230672, 0.013643577922379559, -0.0007063280524324691, 0.003822590722496505
3.9, 0.01535616800202015, -0.0005158177827379594, 0.012362185048992233, 0.003720209719724358, 0.001479752200929532, -0.0021292536573967722, 0.011105532471989218, 0.007847702325816264, -0.003447392151624379, 0.007115767090689826, 0.001208841920899962, 0.0058144968321266624, 0.012458350768633004, -0.0016568057339676194, 0.0030464442788379997
4.0, 0.01270251518920644, -0.0007276002299069349, 0.011530415139828748, 0.0030337520960134735, 0.0011917128996924184, -0.0024128844100447387, 0.01024408296840168, 0.007025471262430915, -0.003975550012462342, 0.006710379710563134, 0.0007576939896438049, 0.005162869300778762, 0.011370540176133787, -0.0024196964082691032, 0.002383145693595515
4.1, 0.010181721440996973, -0.0008680317148326765, 0.010767527258194447, 0.0024664078935182354, 0.0009624463393935192, -0.0025615850763755477, 0.009429520931784252, 0.006284570454227314, -0.004431613051862561, 0.006347039900498459, 0.00042216376748998354, 0.004580275716410757, 0.010365764860230041, -0.003025018577141479, 0.0018152428846053802
