flowtime, whM3R1, whM3R2, whM3R3, whM3R4, whM3R5, whM3R6, whM3R7, whM3R8, whM3R9, whM3R10, whM3R11, whM3R12, whM3R13, whM3R14, whM3R15, whM3R16, whM3R17, whM3R18, whM3R19, whM3R20
0.0, -1.6229155720425281, -1.6936203238992793, -1.9822132871583462, -1.773899430744638, -1.4954312416989064, -1.498077165718428, -1.9687390273059726, -1.2846767100369731, -1.362332773445578, -1.8604816549043002, -1.818362956844646, -1.4798216327332128, -1.7662035260606057, -1.538084471352625, -1.5091198944516198, -1.969367015943696, -1.9473856343248535, -1.8823209166186676, -1.9210317793177092, -1.4225121583425253
0.1, -1.9844824994786974, -1.982007451891293, -1.9919997114875503, -1.9874944630669225, -1.9807806360427986, -1.971785652750599, -1.9916959498572675, -1.9757898034224028, -1.9759338778853517, -1.9891667395555146, -1.9878824386198586, -1.9788228208650522, -1.9864475478678443, -1.9810779558676916, -1.9804613151126986, -1.991632406228066, -1.9912542241251165, -1.989901028713959, -1.9908010103266462, -1.976862836469809
0.2, -1.9896107001877892, -1.9884939409438542, -1.9926225187538134, -1.990789099507554, -1.9880162555781116, -1.984066527334052, -1.9924698772122407, -1.985808768156706, -1.9859173358190676, -1.9913685279515017, -1.990936731850046, -1.9868053550315332, -1.9901868146702684, -1.9878742575577737, -1.9875248689134422, -1.992449721357623, -1.9923093698458614, -1.991633632270249, -1.9920850027676413, -1.986361461303738
0.3, -1.9911749547016866, -1.9904431583972064, -1.9929393218663334, -1.991835503872246, -1.9902406387336005, -1.9878091947927496, -1.9928304567426653, -1.9887205307662286, -1.988781083921538, -1.992145986388489, -1.9919669269011246, -1.9892888369245652, -1.9914517514988197, -1.9899663903122529, -1.9897118134003435, -1.9928267453960535, -1.992758805052728, -1.9922787827558444, -1.9926047728432967, -1.989271325490716
0.4, -1.9919360064204141, -1.9913689656473277, -1.9931435306214018, -1.992359559072508, -1.991294635722102, -1.9895824116841558, -1.99305569698997, -1.99010245242455, -1.990130062521963, -1.992563591824308, -1.992488520871328, -1.9905254256653782, -1.992097585911802, -1.9909932490281665, -1.9907917161502342, -1.9930591501739974, -1.9930240232316379, -1.992641211927575, -1.992905137815278, -1.990638361599947
0.5, -1.992394564143459, -1.9919136997744233, -1.993289617636684, -1.992680347773668, -1.9919021012947982, -1.9905958384007043, -1.9932144995764554, -1.9909142023005828, -1.9909284422625975, -1.9928313980787564, -1.9928073910614503, -1.9912726352396617, -1.9924931376667385, -1.9916139280290819, -1.9914433824662996, -1.9932214778298087, -1.9932033867434509, -1.9928802988505219, -1.993106806154977, -1.9914218998392368
0.6, -1.9927034847023926, -1.9922740264575765, -1.9933988539428442, -1.992898136777086, -1.9922940147235149, -1.991241076671499, -1.9933324094522331, -1.9914498774731726, -1.9914618642493238, -1.9930187327118682, -1.9930233317387727, -1.9917725612183252, -1.9927603630693231, -1.9920319793528685, -1.9918800080164942, -1.9933412629029192, -1.9933327389002344, -1.9930501240421543, -1.99325210574626, -1.9919251122641162
0.7, -1.9929246381047412, -1.9925289619408002, -1.9934815036673497, -1.9930542010998056, -1.9925649224752415, -1.991682191101555, -1.9934214070589975, -1.9918288793569057, -1.9918437642622557, -1.9931554030093823, -1.9931778844204044, -1.9921277352287965, -1.992951113937173, -1.9923311941564181, -1.9921906944123715, -1.9934313010598343, -1.9934284674328466, -1.9931748458588585, -1.9933600088089158, -1.992272022814107
0.8, -1.9930883446717134, -1.9927164292488504, -1.9935435259948218, -1.9931688937771284, -1.9927602618735256, -1.9919988925517764, -1.9934882952366242, -1.992109003040131, -1.9921288121185712, -1.9932568000526785, -1.9932915714408668, -1.992389611835685, -1.9930913984104892, -1.9925531469694113, -1.9924199380253163, -1.993498768092978, -1.9934994796051997, -1.9932674183260355, -1.9934407152786553, -1.9925224056071316
0.9, -1.993211595472299, -1.9928571351388338, -1.9935889065702235, -1.9932537099913101, -1.9929045767695983, -1.9922340414149544, -1.9935375336359247, -1.9923218484707605, -1.9923471306111011, -1.993332019575221, -1.993375952664082, -1.9925871772247474, -1.9931959300965447, -1.9927212680883033, -1.9925927875968175, -1.9935483087934647, -1.9935513185947615, -1.9933357454742386, -1.993500516659484, -1.9927085560063966
