flowtime, whM2R1, whM2R2, whM2R3, whM2R4, whM2R5, whM2R6, whM2R7, whM2R8, whM2R9, whM2R10, whM2R11, whM2R12, whM2R13, whM2R14, whM2R15
0.0, 0.7878418948317134, 0.7594440218548336, 0.6614766690828799, 0.6747798081728664, 0.6221332309546022, 0.638757454631874, 0.6381833478357098, 0.7740266949946079, 0.6862127886954493, 0.7773833559115672, 0.7094206522561871, 0.782617087438662, 0.7864059625871792, 0.7876240192474855, 0.7717599726791928
0.1, 0.8174061717438937, 0.8064902942234915, 0.7468517478386527, 0.7732478247573614, 0.7456294508121071, 0.7487333658848713, 0.7334947948371862, 0.8116675404200615, 0.7862840034424885, 0.809073748777795, 0.7752447397642689, 0.8122858001415073, 0.8169291542308066, 0.8176771739418962, 0.8119916888270398
0.2, 0.8203691360670006, 0.8117667951112568, 0.7563931355500444, 0.7849939695859676, 0.7712309252588414, 0.764481827708595, 0.7550128744974693, 0.8171374316826678, 0.8045228986183485, 0.8115012411737784, 0.7802650564516005, 0.8140090312137842, 0.8209496619717214, 0.8209967515972941, 0.8167750695648102
0.3, 0.8137504034672731, 0.8049374621514839, 0.7476142960205385, 0.7762950519444607, 0.7718336441302137, 0.7575124062076002, 0.7545321361413803, 0.8113239307949073, 0.802977364839756, 0.8040295434122249, 0.7704115184504293, 0.805801818635369, 0.8151806148675858, 0.8146658319352915, 0.8100747842608685
0.4, 0.8021326749444759, 0.7923240387170165, 0.7308031930388827, 0.7584934978254338, 0.7619289653143096, 0.741427175539177, 0.7433501322362426, 0.7995226189939653, 0.7926712715258613, 0.7914955547724173, 0.7540771876812226, 0.7922541012354174, 0.8042861223111895, 0.803369492844632, 0.7972820326739791
0.5, 0.7871426265443567, 0.7758964499910627, 0.7091532243503436, 0.7350944395990134, 0.7456881533207734, 0.7205946083291617, 0.7256396308702374, 0.7834875487772823, 0.7768834666301837, 0.7755813082376449, 0.7337243165226808, 0.7748905983063463, 0.7899523049492817, 0.7887833777158628, 0.7800894005403992
0.6, 0.7694439329032037, 0.7563665246820925, 0.6839696329363129, 0.7076335096335684, 0.724516362239856, 0.6966624209267582, 0.7031988300216103, 0.7637875467111971, 0.7567549748496043, 0.756974347475703, 0.7102602769116383, 0.7542518944398312, 0.7728684355130183, 0.7716076877796412, 0.7590587850481628
0.7, 0.7493624459538089, 0.734037137422356, 0.655962827453968, 0.6770654514494842, 0.6989899473515226, 0.6702778013833515, 0.6769624195708294, 0.7405727155176048, 0.7327330260138136, 0.7360179218345807, 0.684116031565907, 0.7305470238719262, 0.7533688789201999, 0.7522087688626976, 0.7344090307861928
0.8, 0.7271067102992667, 0.7090956489409322, 0.625656563180457, 0.644171199108437, 0.6695578285575589, 0.6417058660086988, 0.6476005749395026, 0.7138875396983569, 0.7050779891973096, 0.7129357008432081, 0.6555953033587383, 0.7039038283325979, 0.7316628852705169, 0.7308475106940057, 0.7063297846253563
0.9, 0.7028464984792501, 0.6817308816804453, 0.593522883465889, 0.6096575024237215, 0.6367935627441867, 0.611087646694221, 0.6157596464607661, 0.6838389651366945, 0.674079172513414, 0.6879110916765659, 0.6250012923237458, 0.6744867248114146, 0.7079171039296097, 0.7077628081458922, 0.6751246809266287
1.0, 0.676738494792501, 0.6521840638246842, 0.560020799700454, 0.5741565517084392, 0.6014004589063966, 0.5785570984161859, 0.5821299659790968, 0.6507034388619548, 0.64014946878877, 0.6611140786544762, 0.5926800971572681, 0.6425619152726147, 0.682282444755304, 0.6831999388730965, 0.6412579066631211
1.1, 0.6489332007645171, 0.6207673444864484, 0.5255990860949663, 0.5382068711273371, 0.5641029817102194, 0.5442945234635231, 0.5474199759862041, 0.6149725275094076, 0.6038423882370804, 0.6327105456134221, 0.5590257438364293, 0.6085254251673096, 0.6549005776484706, 0.6574164812457606, 0.6053248870800952
1.2, 0.6195786293578741, 0.5878599424235212, 0.4906862533308667, 0.5022452733365472, 0.5255513556166578, 0.5085472224195366, 0.512291605670143, 0.5773200734309896, 0.5658095383173132, 0.60286923267506, 0.5244656301308372, 0.5728911107069388, 0.6259065134336957, 0.6306784747127501, 0.5679765782458364
1.3, 0.5888296845443305, 0.5538874360531625, 0.4556777092879561, 0.4666139015704924, 0.48629849170273204, 0.4716321705310134, 0.4773018789044414, 0.5385044852407299, 0.5267266482234533, 0.5717735732561371, 0.48943809412992345, 0.5362427870704659, 0.5954373817067325, 0.6032523738632954, 0.52984039101244
1.4, 0.5568676578716149, 0.5192915772040907, 0.42092523098718115, 0.4315760292596107, 0.44683031732108264, 0.4339297954321857, 0.44287565405078916, 0.4992563449555427, 0.4872246072055478, 0.5396401448027797, 0.4543700557646999, 0.49916970532048904, 0.5636535551945856, 0.5753956560333634, 0.49146992335240697
1.5, 0.5239276983911276, 0.484499573659288, 0.3867316458518654, 0.3973335756932673, 0.4076054232248931, 0.3958747529849697, 0.40931036246709473, 0.4602013406362982, 0.44785082630832324, 0.5067391790829969, 0.4196587309882676, 0.46221006158418765, 0.5307713462770156, 0.5473478064131958, 0.45332978264586743
1.6, 0.4903233188064324, 0.4499001137792487, 0.35335199550970053, 0.36404252670125803, 0.36907655694260616, 0.3579461267577048, 0.37679957241803086, 0.4218349327568342, 0.40906370329361075, 0.47340671477134055, 0.38565836961801425, 0.42581789836913975, 0.49709548417040317, 0.5193228411073818, 0.4158036913574508
1.7, 0.4564512439534385, 0.4158293208195724, 0.3210008187663078, 0.331825685497168, 0.33168891312984555, 0.3206557675240678, 0.34546138002952037, 0.38453427822491865, 0.3712470582210451, 0.4400370196661913, 0.3526717954487244, 0.3903542190569896, 0.46303046823853206, 0.4915042249411515, 0.37921122894647835
1.8, 0.42276487867084334, 0.3825659188234778, 0.289863565386007, 0.30078385753930953, 0.2958624974813974, 0.28453114589237627, 0.3153635695499425, 0.34858476681070155, 0.3347290799306864, 0.40705135522626756, 0.3209465802281329, 0.3560942458107186, 0.4290539081509623, 0.46404287487861995, 0.34382390014120845
1.9, 0.38972110354430756, 0.3503329285175578, 0.2601087913604132, 0.27100667048870547, 0.2619688219032464, 0.2500896082930462, 0.28654340203234707, 0.31420585159424125, 0.2997961920877667, 0.374851769932973, 0.29067573113789485, 0.3232418086830882, 0.3956555454551299, 0.4370587849403285, 0.30987689510457256
2.0, 0.3577213022896069, 0.3193031789059102, 0.23189709157993868, 0.24258327537654997, 0.23031020155922458, 0.21780432415158058, 0.2590230333891632, 0.2815702885936948, 0.2666989275448104, 0.34377703713968255, 0.26200226371591157, 0.2919449780253061, 0.3632677796269337, 0.41064647061630444, 0.2775760311160971
2.1, 0.32706975968205193, 0.2896068017625225, 0.20538324369381095, 0.2156117521496782, 0.20110627391480676, 0.18806676474812986, 0.23282214674891577, 0.25081638934410033, 0.23565100545243864, 0.31407564424019385, 0.23502627679784407, 0.2623102606630713, 0.3322171104399367, 0.38488369794722366, 0.24710037018949413
2.2, 0.29796045196213555, 0.2613397087545437, 0.18071011799547093, 0.19020473915073383, 0.17448902277572392, 0.1611537634692597, 0.20796850275910744, 0.22205465816009703, 0.20682434265533386, 0.2859008903923265, 0.20981272219312305, 0.23441441142215189, 0.30270983011050623, 0.3598417826878006, 0.21860115550853312
2.3, 0.27048856821030887, 0.2345723959102991, 0.15799607148233907, 0.16648830762759254, 0.15050543824582568, 0.1372072986353963, 0.18450573752259528, 0.19537021631622276, 0.18034278356871167, 0.25932373972058304, 0.18639825375534266, 0.20831340355694933, 0.2748463937164159, 0.3355944791366328, 0.19219789661566886
2.4, 0.24467565631587446, 0.20935831391951773, 0.13732030908266926, 0.14459209845817605, 0.12912598575676199, 0.11623200541827453, 0.16249664427815613, 0.17082215440932147, 0.1562767905932831, 0.23435500554120228, 0.16479620437853668, 0.18404814722487442, 0.24865037296969714, 0.3122219792930299, 0.16797289237221188
2.5, 0.2204977137675263, 0.18574077397722852, 0.11871148525652522, 0.12463144055776279, 0.11025687929650003, 0.09811048508099038, 0.14202003967479368, 0.14844094094576857, 0.1346406608853207, 0.2109691565034266, 0.14499952132258156, 0.16164674151073832, 0.2240994797685982, 0.2898077103680382, 0.14596594292147402
2.6, 0.19790945967392504, 0.16375726477911975, 0.10214325014308703, 0.10668569809538075, 0.09375433425667823, 0.08263182024454924, 0.12316054462422006, 0.1282251918424531, 0.11539319007732317, 0.18912471520293855, 0.12698209891044093, 0.1411235610064302, 0.20115138688624812, 0.26842847536663533, 0.12617107735030927
