flowtime, wM1R1, wM1R2, wM1R3, wM1R4, wM1R5, wM1R6, wM1R7, wM1R8, wM1R9, wM1R10, wM1R11, wM1R12, wM1R13, wM1R14, wM1R15, wM1R16, wM1R17, wM1R18, wM1R19, wM1R20
0.0, 0.0018368077167673234, 0.0038800868967011275, 0.001769796975010129, 0.005589763913981203, 0.003831936309918001, 0.003818851285449857, 0.001404149270465581, 0.0015962538658874093, 0.006913800896494254, 0.0010253903282292027, 0.005685486827831887, 0.003686152034221558, 0.0034763975520295375, 0.0015567480375162444, 0.0030678546363850294, -0.00038058828790778096, 0.0010953539556900456, 0.0012096100184245133, 0.003294980095386857, 0.002443625249527522
0.1, 0.001454793258853993, 0.002998756866031725, 0.0013054868221598949, 0.003948664507240542, 0.0026591541727229704, 0.0027487813293999496, 0.0010342695500062816, 0.0014929532784582129, 0.003605603734488292, 0.0008609338365762405, 0.004168473805028513, 0.00295073814012879, 0.0023822243890757855, 0.0011922958884064176, 0.002364477332361855, 0.0010153879727574893, 0.0009001379894555195, 0.0009401288024476356, 0.002268665166911084, 0.0017690858465561328
0.2, 0.0011260557779204045, 0.0022312276911606844, 0.0010008449205891252, 0.002769286148407589, 0.0018596538520928509, 0.0019419657491049373, 0.0008120874174514653, 0.0011849304713222497, 0.00208525538526707, 0.000728753712630629, 0.002967003871678694, 0.0022084089697764525, 0.0016757777798232672, 0.0009446398790965278, 0.001816270161706945, 0.0012644809910559273, 0.0007519893806446369, 0.0007593229678737868, 0.0016159593602850422, 0.0013013932618730927
0.3, 0.0008810541513846714, 0.0016630241314695468, 0.0007920601292687543, 0.00197667251166005, 0.0013402478161199981, 0.0013932539977958432, 0.0006634698081173749, 0.0009049758717127799, 0.0013523322805136394, 0.0006211497703715831, 0.0021016552256931907, 0.0016278181932293711, 0.0012167133900721557, 0.0007674529368312135, 0.0014031085447752068, 0.0011575225468829359, 0.0006356648740266482, 0.0006293483022790394, 0.0011885924185674702, 0.0009862471336270825
0.4, 0.0007037116904683116, 0.0012591783968122065, 0.0006430033665659035, 0.001448514460696763, 0.0009999703064258701, 0.0010301202615773798, 0.0005553431917878634, 0.0006950674536639689, 0.0009662382864326087, 0.0005326102749256315, 0.0015098539014173858, 0.0012096294589765513, 0.0009130375649645281, 0.0006352609433386535, 0.001095214182218428, 0.0009698062585856466, 0.0005421215331280235, 0.0005307740961283003, 0.0009006465085746007, 0.000770885185674118
0.5, 0.0005739818016959857, 0.0009725520346746491, 0.0005325281071311091, 0.0010915809228648585, 0.0007701518303156544, 0.0007874530867967625, 0.0004720008557618008, 0.0005453339921225473, 0.0007392842837748224, 0.00045908863271245634, 0.0011118126308064225, 0.000915604403615508, 0.0007066570931791578, 0.00053331358245657, 0.0008660651904557315, 0.0007892578219427681, 0.00046559229718425466, 0.0004530638545057779, 0.0007011828113821194, 0.0006191795001304726
0.6, 0.00047669998389539996, 0.0007664724429482559, 0.00044791376840961424, 0.0008446428469339673, 0.0006092027548879857, 0.0006206992594382231, 0.00040530305752846293, 0.00043846895944439277, 0.0005910579640967411, 0.000397551398194838, 0.0008423903287377106, 0.0007084630172001588, 0.000561880113240528, 0.0004526265553297177, 0.0006945986316832723, 0.000638645006244413, 0.00040216909286752695, 0.0003901119235593118, 0.0005591657399886381, 0.0005085378929961833
0.7, 0.00040170269165494294, 0.0006155748261102797, 0.00038128486451634714, 0.0006691616137212017, 0.0004924960916018218, 0.0005020180496757238, 0.00035060253904372664, 0.0003605468142652918, 0.0004857934635078399, 0.0003456848411258652, 0.0006563120342677919, 0.0005603479887614943, 0.0004569479274606455, 0.00038745999176378816, 0.0005649811547885322, 0.0005191736969519375, 0.0003490740025883411, 0.0003381265778440717, 0.0004552575385707791, 0.0004251034278669673
0.8, 0.0003423901546253138, 0.0005028491760802864, 0.00032761134942864846, 0.0005410283732894646, 0.0004052336094064139, 0.0004144885558806551, 0.0003049929846030096, 0.0003020626953669343, 0.00040650600096841995, 0.0003016980606405457, 0.0005242352763625389, 0.00045220412838971926, 0.0003784986915380184, 0.0003339832694756025, 0.0004656923095008852, 0.0004259316674095239, 0.0003042592359303723, 0.00029459677335480185, 0.0003771910972154343, 0.0003602966265126811
0.9, 0.00029445774055698144, 0.00041692173138859287, 0.0002835739029411407, 0.00044501687523591424, 0.0003382548386528594, 0.0003478020867278619, 0.0002665138965773308, 0.0002568540519508553, 0.0003443980598673869, 0.00026418714804105113, 0.00042765862186967075, 0.0003714046243333671, 0.00031818578221561576, 0.000289538803506674, 0.0003885012187762545, 0.00035319134176547723, 0.00026617300551049476, 0.00025776615507477056, 0.00031705801869442773, 0.0003086840956897651
