flowtime, wM2R1, wM2R2, wM2R3, wM2R4, wM2R5, wM2R6, wM2R7, wM2R8, wM2R9, wM2R10, wM2R11, wM2R12, wM2R13, wM2R14, wM2R15
0.0, 0.4746566969337376, 0.460116986319644, 0.4002845794865959, 0.40661340282497577, 0.37766252655125876, 0.3819273633073817, 0.3844998103533244, 0.4661909434230854, 0.41681514677587833, 0.46826059213577376, 0.4267891378322106, 0.4722238788123443, 0.4732316366443048, 0.4746225567719279, 0.46381240403496166
0.1, 0.501374531715978, 0.49736200018277454, 0.46019699566306416, 0.47474316077742607, 0.4612363952001626, 0.4584772775679711, 0.4512741395455638, 0.4974304613486048, 0.4845228575039084, 0.49623935014363735, 0.4753087647708512, 0.498751170075093, 0.5006218128211295, 0.501580615078629, 0.49710499415529935
0.2, 0.506762643723686, 0.5037676850078076, 0.46908636585316826, 0.48592920099504927, 0.479589904158303, 0.4726801691475062, 0.4681072932500746, 0.5044139034107042, 0.49840281716271423, 0.5012974636165731, 0.48204468426336555, 0.5032590333246041, 0.5067798991328029, 0.5071626261761489, 0.5038631164726521
0.3, 0.5044225426172136, 0.5010199478643551, 0.46519818800426865, 0.4827208800000566, 0.4809731728664122, 0.4709541294883626, 0.4696229524139025, 0.5026741885229152, 0.49878682972591676, 0.4984334267624882, 0.47784938184508247, 0.4998896934670653, 0.505061491078295, 0.5049921480805347, 0.5017146087566483
0.4, 0.4981707371619237, 0.4939959448819209, 0.45567625386447774, 0.4730292756658616, 0.4753030205851767, 0.46257810679767697, 0.46377710742898287, 0.49641493644348633, 0.493174313996621, 0.4916219203076624, 0.4688266426299637, 0.4924403727744507, 0.49932770526009246, 0.49893489610141534, 0.4949507647699874
0.5, 0.48941199449481454, 0.4842764291837262, 0.4428044552678955, 0.45940724916918035, 0.4654872311618357, 0.45064758943167726, 0.453509337985111, 0.487114675196286, 0.4838719761529559, 0.48230111996135855, 0.4568874802093088, 0.48224056422560835, 0.49102530629360225, 0.49042071040950086, 0.4850250131710972
0.6, 0.4787413596102222, 0.4724566142352869, 0.4275316098583241, 0.44297917420794936, 0.45252048504255576, 0.43638686513091274, 0.4400853389037764, 0.47531459233228496, 0.47171598808076876, 0.47108000625048363, 0.44277633176213554, 0.46980268428248984, 0.48077059193324445, 0.48006516072588273, 0.47247966487276144
0.7, 0.46645762022938386, 0.45879765500841263, 0.4103685437335482, 0.4244185315369988, 0.4368075646719891, 0.4203167268337438, 0.42415772135076074, 0.4612095158071439, 0.4570497001297675, 0.45826748984816235, 0.4268547328908838, 0.4553481930893527, 0.4688717576994516, 0.46819091866433665, 0.4575517330460353
0.8, 0.4527476542976448, 0.44345363381812125, 0.3916784894012629, 0.404250640367276, 0.4186380398603955, 0.40267897521304163, 0.4061790674787588, 0.4448851876133783, 0.4400689816053986, 0.44405922169374057, 0.4093631684861168, 0.4390074555885482, 0.4555190816351704, 0.45501623307917405, 0.44041222477537534
0.9, 0.437754289803774, 0.4265614247826265, 0.37177682964528813, 0.38293814639064294, 0.3983598968373874, 0.38361463953104225, 0.38656791398554324, 0.4264386415663078, 0.4209685607796753, 0.4286057957430499, 0.39051888515708383, 0.420909884610691, 0.44085560885137576, 0.4407256844937954, 0.4212737769887019
