flowtime, wM1R1, wM1R2, wM1R3, wM1R4, wM1R5, wM1R6, wM1R7, wM1R8, wM1R9, wM1R10, wM1R11, wM1R12, wM1R13, wM1R14, wM1R15
0.0, 0.001824431863080715, 0.0016266823705798693, 0.002206368548215659, 0.0018005701744902864, 0.0017471267042023866, 0.0030822062664158287, 0.002616105316774296, 0.0016630949222913244, 0.003082770368779318, 0.004738307760667198, 0.001675605299543521, 0.0028253525444662275, 0.0029011189384990613, 0.0022635142175630556, 0.0016414894293433433
0.1, 2.1063180521451677e-5, 1.6677301959952627e-5, 2.0576753040599266e-5, 1.7999845506311217e-5, 1.4546485079182874e-5, 2.3454044143309216e-5, 2.3551604927055166e-5, 1.7230936645870618e-5, 4.239329622377235e-5, 2.839792160886675e-5, 1.6614590714424706e-5, 3.085113394708869e-5, 1.4341169605944397e-5, 1.880959217881158e-5, 1.6541049941704973e-5
0.2, 7.856261075687813e-7, 5.42569021664339e-7, 6.877241696971374e-7, 6.064103355249695e-7, 4.2365556575173716e-7, 1.0563347644845616e-6, 8.579762944245336e-7, 5.570553983760824e-7, 2.182959009281682e-6, 1.244899425973765e-6, 5.338387638623008e-7, 1.5393134716790217e-6, 5.305311361004483e-7, 7.261496975530537e-7, 5.293866401832316e-7
0.3, 3.2696170120460054e-8, 1.8061451830376726e-8, 2.395015532371882e-8, 2.1901015204949634e-8, 1.0832101796429879e-8, 5.7514355432204575e-8, 3.57010481038065e-8, 1.845832808041407e-8, 1.3119528551135242e-7, 6.504208919788497e-8, 1.7421803273375393e-8, 8.946522014372748e-8, 2.3061845170639775e-8, 3.327473110103762e-8, 1.7198130697017587e-8
0.4, 1.5184425156951265e-9, 5.710830433576502e-10, 8.181305606216009e-10, 8.448972189282105e-10, 9.484965302357213e-11, 3.6787855632938704e-9, 1.7257263625699736e-9, 5.998575286773659e-10, 8.874147348701125e-9, 3.944737662052583e-9, 5.308558453497055e-10, 5.89677696155721e-9, 1.1863103973884071e-9, 1.8450713754946426e-9, 5.235980603981087e-10
0.5, 8.123045972501283e-11, 1.5760990144142256e-11, 2.6153564603482044e-11, 3.749516029721585e-11, -1.7792538829580544e-11, 2.671116330287901e-10, 1.0080828568398127e-10, 1.9580773511011247e-11, 6.569308631637606e-10, 2.7200363130369665e-10, 1.344455221803315e-11, 4.3055878917080427e-10, 7.401512218583868e-11, 1.2408811330769518e-10, 1.3604116312608384e-11
0.6, 5.0715277563456545e-12, 2.8576968669584143e-13, 7.019371909106348e-13, 2.107114051129825e-12, -2.2124276310709737e-12, 2.1045258723570587e-11, 7.033485548584355e-12, 7.564341245387106e-13, 5.1719328846196903e-11, 2.0575090294096358e-11, 1.6289306935295537e-13, 3.3760207235385105e-11, 5.4206532069214045e-12, 9.583196519950586e-12, 2.2533592578807224e-13
0.7, 3.610806635838174e-13, -5.142342742819924e-15, 8.639274743858746e-15, 1.5111001389253065e-13, -1.9933646328763704e-13, 1.736060105668572e-12, 5.529601584890882e-13, 4.6128123745730256e-14, 4.234001351557049e-12, 1.6495585164696335e-12, -1.0933853112018344e-14, 2.7684601395273e-12, 4.3756422063248593e-13, 7.966131014514049e-13, -2.6077470115159295e-15
0.8, 2.808945159941675e-14, -9.480076664205458e-16, -8.222255882460504e-16, 1.2573539437303797e-14, -1.6536213209788554e-14, 1.4670244316569514e-13, 4.623191219177261e-14, 4.192168273828672e-15, 3.5501126895934e-13, 1.3678413293725133e-13, -1.15750535759103e-15, 2.331845472362109e-13, 3.7017736621723425e-14, 6.834108052095793e-14, -2.643579997036469e-16
0.9, 2.2989910237595767e-15, -6.487837893004274e-17, -1.0715956466519382e-16, 1.1079904737522822e-15, -1.345382310851025e-15, 1.255093295618289e-14, 3.968407868890089e-15, 4.2417843997486724e-16, 3.020258460764885e-14, 1.1559199982139948e-14, -6.580622161867564e-17, 1.9952949748024216e-14, 3.1925960318392806e-15, 5.928622170884625e-15, 2.1554089791680737e-17
1.0, 1.9323546637034765e-16, -2.8793026790092026e-18, -9.274489051264393e-18, 9.884987311382491e-17, -1.0978089295717043e-16, 1.080657150388773e-15, 3.4389042506747007e-16, 4.2131905204826953e-17, 2.5923856015145766e-15, 9.872819106437087e-16, -1.9590995651476373e-18, 1.7233225940656066e-15, 2.7721087062741817e-16, 5.157210742982348e-16, 6.18196659678043e-18
