flowtime, whM1R1, whM1R2, whM1R3, whM1R4, whM1R5, whM1R6, whM1R7, whM1R8, whM1R9, whM1R10, whM1R11, whM1R12, whM1R13, whM1R14, whM1R15
0.0, 0.0024700080603163583, 0.0019431274062817216, 0.0031156991531912145, 0.0022522989059070003, 0.0017248046840521874, 0.004972756468975497, 0.0036511097753263617, 0.001901273277795396, 0.00467579453442132, 0.00814744964027688, 0.001958750269020817, 0.004083686163693501, 0.004641306292420096, 0.0033111380597072105, 0.0019138030639457128
0.1, 2.58583478679653e-5, 1.922637974192835e-5, 2.3923483355970782e-5, 2.1384368799174804e-5, 1.6374731288904774e-5, 3.2187709137459646e-5, 2.9011245796893795e-5, 2.023623521344149e-5, 6.111328602939897e-5, 3.7403730212775806e-5, 1.914747132330055e-5, 4.3658629103948644e-5, 1.7106775854543102e-5, 2.3765539095286868e-5, 1.9102891882881914e-5
0.2, 1.0026467065171284e-6, 6.229838941840431e-7, 7.988176664241716e-7, 7.390556708474294e-7, 4.5327940444161307e-7, 1.5637362821675559e-6, 1.1086277871926961e-6, 6.688446025602714e-7, 3.3659860133700954e-6, 1.7546965940321036e-6, 6.128227380954762e-7, 2.3311162303789077e-6, 6.52885748509231e-7, 9.865584043751726e-7, 6.106956610845088e-7
0.3, 4.4367369313250953e-8, 2.0786354824458413e-8, 2.7988548880740053e-8, 2.823473952793554e-8, 9.832207230397435e-9, 9.210699046386126e-8, 4.998809242548609e-8, 2.328736396340961e-8, 2.1444456786753634e-7, 9.902267329681119e-8, 2.0053211718287597e-8, 1.4418848276861688e-7, 3.0480668195703634e-8, 4.998175863176994e-8, 2.0022510258271992e-8
0.4, 2.2351915091071577e-9, 6.655358831705036e-10, 9.686062525609643e-10, 1.2081241360452414e-9, -9.137896514194407e-11, 6.268276532271976e-9, 2.6802311323445097e-9, 8.449339503765959e-10, 1.5146883716336937e-8, 6.432820280978812e-9, 6.207456641073986e-10, 9.976527622703744e-9, 1.7337601425491126e-9, 3.0676157358013167e-9, 6.302685819769474e-10
0.5, 1.302408942825572e-10, 1.915458650548637e-11, 3.1708334552038764e-11, 6.195659152479513e-11, -3.620212033543157e-11, 4.725635112425148e-10, 1.7201489357173148e-10, 3.435969664703341e-11, 1.1528897004442246e-9, 4.658310018970279e-10, 1.6703817678648728e-11, 7.521525969145994e-10, 1.189767089761771e-10, 2.2102255916324444e-10, 1.8341257288937103e-11
0.6, 8.700569100691709e-12, 4.2353609360652395e-13, 8.940061467660286e-13, 3.952706374800282e-12, -3.816067762206763e-12, 3.792268885640924e-11, 1.2711399682751618e-11, 1.7908580637070348e-12, 9.223215603692266e-11, 3.627985702157436e-11, 3.0595706418923035e-13, 6.007897245065563e-11, 9.284165706421763e-12, 1.7608404447452968e-11, 4.985311703527283e-13
0.7, 6.448774430907632e-13, 2.2016901569948735e-15, 1.3842286020950014e-14, 2.999518196749903e-13, -3.3424498290488104e-13, 3.1515761392708e-12, 1.022738868060082e-12, 1.2621398537780428e-13, 7.616039373622795e-12, 2.953715017143299e-12, -2.092913523762023e-15, 4.975385235976419e-12, 7.746489421516283e-13, 1.475667577036448e-12, 1.7647971689858958e-14
0.8, 5.108944441357255e-14, -4.1133036089847003e-16, -8.344448366810168e-16, 2.500103250941162e-14, -2.781871763344741e-14, 2.669251924855919e-13, 8.587723882974547e-14, 1.075414497836125e-14, 6.414464988408483e-13, 2.467704746160759e-13, -4.2949441166859346e-16, 4.2115922810067895e-13, 6.652390598562261e-14, 1.264214069380846e-13, 1.4608189224213965e-15
0.9, 4.206111790276464e-15, -1.793196794355112e-17, -1.2747408250366123e-16, 2.163443174297918e-15, -2.29251747325637e-15, 2.284143087042706e-14, 7.349839967621324e-15, 9.773955917863545e-16, 5.469459954226602e-14, 2.0926384820398756e-14, 1.3044108457185389e-18, 3.612560885316408e-14, 5.77329763769425e-15, 1.0922886222652275e-14, 1.7547713705015332e-16
1.0, 3.5369527478790786e-16, 1.4443996785354695e-18, -1.1861734396920316e-17, 1.8922499967388427e-16, -1.8978537900458994e-16, 1.9657984875276243e-15, 6.339812813366207e-16, 8.940814664479236e-17, 4.699915578909451e-15, 1.790101121322476e-15, 4.317061536539337e-18, 3.1238418690601365e-15, 5.025196718554453e-16, 9.463319545149306e-16, 1.9996496511067314e-17
