flowtime, whM2R1, whM2R2, whM2R3, whM2R4, whM2R5, whM2R6, whM2R7, whM2R8, whM2R9, whM2R10, whM2R11, whM2R12, whM2R13, whM2R14, whM2R15, whM2R16, whM2R17, whM2R18, whM2R19, whM2R20
0.0, 0.6256519537471827, 0.9704568311678085, 0.9500365277915793, 0.9801430487809175, 0.949715342238271, 0.8699812580163168, 0.704959905244168, 0.9565802689486765, 0.9930567263216734, 0.7700136810598869, 0.7574974338685422, 0.9932257069412334, 0.9842832467220701, 0.9530905575884824, 0.8960167441970538, 0.9441340060373742, 0.993024376413582, 0.6401940699100929, 0.917711074078592, 0.8509726488643631
0.1, 0.9857515585886787, 0.9953827920794475, 0.9950329618526542, 0.9956391924624266, 0.9947537941360448, 0.9928648960866862, 0.985974152340531, 0.9950429187357243, 0.9958270434470442, 0.9910849213291171, 0.9906173797230892, 0.9958286879107259, 0.9956625871954776, 0.9948193823411002, 0.9938516707226354, 0.9947439818803485, 0.9958286332172228, 0.9869594463709147, 0.994378468508595, 0.9925530974065113
0.2, 0.9919391385935465, 0.9959272089220106, 0.995793213992072, 0.996046838286815, 0.9956245183626459, 0.9949347076180103, 0.9920030873631721, 0.9957970511130827, 0.9961026409515378, 0.9942064934234276, 0.9940855877830284, 0.996099119375198, 0.9960393928479869, 0.9956624028425922, 0.9952234569186897, 0.9956581592394449, 0.9961029903692911, 0.9925863356204403, 0.995515457403578, 0.9947478853427352
0.3, 0.9937506336416579, 0.9961429335081341, 0.9960626503813329, 0.9962196986055802, 0.9959365061044921, 0.9955538963972506, 0.9937534110058968, 0.9960632162399028, 0.9962440522725043, 0.9951111415991254, 0.9951002901666961, 0.9962396752787342, 0.9962101433476488, 0.9959648944736916, 0.9956877232517102, 0.995970712063217, 0.9962445557101046, 0.9941566033571704, 0.9959068940677512, 0.9954113234566178
0.4, 0.9945707275321026, 0.996263947233509, 0.9962080933173209, 0.9963207606029657, 0.9961059017825787, 0.9958481934752328, 0.9945540879881823, 0.9962056255929443, 0.9963335354288628, 0.9955287292530758, 0.9955580647338597, 0.9963292030067755, 0.9963129668527533, 0.9961277692267528, 0.9959266262525599, 0.9961339456301365, 0.9963344502541198, 0.9948802731629303, 0.9961065377004035, 0.995729151634697
0.5, 0.9950322001639094, 0.9963423372802633, 0.9963008008334227, 0.9963875891041211, 0.9962150372983072, 0.996020689686309, 0.9950078940679292, 0.9962962849807292, 0.9963953003323869, 0.9957674971218214, 0.99581275549512, 0.996391255356427, 0.9963822747627654, 0.9962320528224686, 0.9960740972105736, 0.9962362332656234, 0.9963966476931813, 0.9952973035579308, 0.9962268749418197, 0.9959164854584798
0.6, 0.9953277571082193, 0.9963961924971254, 0.9963640351578603, 0.9964336217846302, 0.9962908053231129, 0.9961327838433498, 0.9952982103602823, 0.9963582719772535, 0.9964390403300925, 0.9959206078522505, 0.9959723971999731, 0.996435360013894, 0.9964309214232199, 0.9963042581440718, 0.9961732066546433, 0.9963057381778723, 0.9964407917635637, 0.9955675582131983, 0.9963055145846212, 0.9960391572878818
0.7, 0.9955324531170119, 0.9964335464555748, 0.9964078921353615, 0.9964650647511848, 0.9963448137242107, 0.9962091504704548, 0.9954980241607049, 0.996401413196461, 0.9964695629471271, 0.9960250574475426, 0.9960794552985951, 0.996466271640032, 0.9964649827889669, 0.99635560804042, 0.9962422086419241, 0.9963542315602543, 0.9964716868861843, 0.9957548693788575, 0.9963585757220281, 0.9961237816589853
0.8, 0.9956810724547565, 0.9964587078874342, 0.9964377122620021, 0.9964854013367489, 0.9963831520414486, 0.9962618623390528, 0.995641768200859, 0.9964308588676472, 0.9964897246909236, 0.9960984614773496, 0.9961537345812953, 0.9964868246168996, 0.9964879015740995, 0.9963918899280311, 0.9962904631617866, 0.996387728470511, 0.9964921952916687, 0.9958899885943948, 0.996394217661436, 0.9961833237560385
0.9, 0.9957919978200069, 0.9964743412000631, 0.9964567468518009, 0.9964968821796549, 0.9964094972147363, 0.9962977078563277, 0.9957477707192465, 0.996449741393076, 0.9965014600935022, 0.9961503858259253, 0.9962057386755417, 0.9964989420150884, 0.9965019081154123, 0.9964165783994952, 0.9963234553279797, 0.9964097999192532, 0.9965042570446139, 0.9959897058071066, 0.9964171136114939, 0.9962250022200154
