flowtime, wh1, wh2, wh3
0.0, 0.00024931246711556635, 0.9950237390633161, -1.990364763776259
0.1, 0.0001551995140172265, 0.9958603876748703, -1.992143863445154
0.2, 0.0001278935472723758, 0.9961114167234286, -1.9926756864247024
0.3, 0.00011214239402651127, 0.9962470206643531, -1.9929668854694762
0.4, 0.00010105033595997841, 0.9963346358888256, -1.9931603169275434
0.5, 9.251831379750732e-5, 0.9963958183656175, -1.9933010255583938
0.6, 8.566257574377145e-5, 0.996439499145788, -1.9934072941714034
0.7, 8.000958758203216e-5, 0.99647020467801, -1.9934881915772502
0.8, 7.525993062682408e-5, 0.9964906689775022, -1.9935491316403267
0.9, 7.120571661960198e-5, 0.9965027666883094, -1.993593827871176
1.0, 6.769540082288557e-5, 0.9965078874496005, -1.9936250542961291
1.1, 6.461555256020491e-5, 0.9965071084611169, -1.9936449831165917
1.2, 6.187989252731e-5, 0.9965012867074131, -1.9936553595106081
1.3, 5.942205813167392e-5, 0.9964911151103588, -1.9936576064490605
1.4, 5.719056700693762e-5, 0.9964771601894097, -1.9936528950567105
1.5, 5.514519791934396e-5, 0.9964598889937344, -1.9936421954665695
1.6, 5.325433587539383e-5, 0.9964396891694052, -1.9936263152639406
1.7, 5.149299521748417e-5, 0.9964168843190719, -1.9936059293528665
1.8, 4.984133027181977e-5, 0.9963917459790393, -1.9935816035672993
1.9, 4.828350254059776e-5, 0.9963645030895762, -1.9935538135702968
2.0, 4.680681217235249e-5, 0.9963353495646425, -1.9935229601196147
2.1, 4.540102754853271e-5, 0.9963044503982019, -1.9934893814913204
2.2, 4.405786482748646e-5, 0.9962719466271736, -1.9934533636535927
2.3, 4.2770581941496076e-5, 0.996237959393395, -1.9934151486417682
2.4, 4.153366057139691e-5, 0.9962025932870234, -1.993374941485458
2.5, 4.034255616546588e-5, 0.9961659391137644, -1.9933329159623632
2.6, 3.919350086217591e-5, 0.9961280761952254, -1.993289219392989
2.7, 3.808334772857255e-5, 0.9960890742899267, -1.993243976651476
2.8, 3.700944738781747e-5, 0.9960489952026356, -1.9931972935299056
2.9, 3.596955012012887e-5, 0.9960078941372661, -1.9931492595683062
3.0, 3.496172805226164e-5, 0.9959658208372744, -1.9930999504407743
3.1, 3.398431322528004e-5, 0.9959228205486643, -1.9930494299737422
3.2, 3.30358482381891e-5, 0.9958789348343711, -1.992997751854902
3.3, 3.2115046865976134e-5, 0.9958342022637776, -1.9929449610856795
3.4, 3.122076260301241e-5, 0.995788658996571, -1.9928910952165741
3.5, 3.0351963507670046e-5, 0.9957423392765453, -1.9928361854012362
3.6, 2.9507712063524057e-5, 0.995695275848436, -1.9927802572975122
3.7, 2.86871490387897e-5, 0.9956475003091162, -1.9927233318384976
3.8, 2.78894805320402e-5, 0.9955990434016145, -1.9926654258957646
3.9, 2.7113967561629774e-5, 0.9955499352603814, -1.9926065528488903
4.0, 2.6359917684942535e-5, 0.9955002056133248, -1.9925467230767464
4.1, 2.562667823993184e-5, 0.9954498839471372, -1.9924859443825862
4.2, 2.4913630882502442e-5, 0.9953989996393727, -1.9924242223622088
4.3, 2.4220187159675072e-5, 0.9953475820630306, -1.9923615607233554
4.4, 2.3545784913053464e-5, 0.995295660664932, -1.9922979615649623
4.5, 2.288988534529609e-5, 0.9952432650229579, -1.9922334256197647
4.6, 2.22519706184745e-5, 0.995190424883795, -1.9921679524679339
4.7, 2.1631541878690468e-5, 0.9951371701835088, -1.9921015407247207
4.8, 2.1028117621890596e-5, 0.9950835310536842, -1.9920341882052872
4.9, 2.0441232335408656e-5, 0.9950295378143357, -1.991965892071357
5.0, 1.9870435358513845e-5, 0.9949752209561615, -1.9918966489606067
5.1, 1.931528992215493e-5, 0.9949206111125115, -1.991826455103279
5.2, 1.877537233037088e-5, 0.994865739023593, -1.99175530642484
5.3, 1.8250271258499366e-5, 0.9948106354939459, -1.9916831986401802
5.4, 1.773958714399175e-5, 0.9947553313439675, -1.9916101273365205
5.5, 1.7242931653557837e-5, 0.9946998573569902, -1.9915360880507769
5.6, 1.675992721226038e-5, 0.9946442442227876, -1.9914610763375367
5.7, 1.6290206582237802e-5, 0.9945885224787465, -1.9913850878334498
5.8, 1.5833412483975466e-5, 0.9945327224488199, -1.9913081183143149
5.9, 1.538919725049816e-5, 0.9944768741824418, -1.991230163749461
6.0, 1.4957222510708637e-5, 0.9944210073921216, -1.9911512203502324
6.1, 1.4537158895611451e-5, 0.9943651513923192, -1.9910712846164724
6.2, 1.4128685764742338e-5, 0.994309335039352, -1.990990353378843
6.3, 1.3731490949354393e-5, 0.9942535866725507, -1.9909084238388473
6.4, 1.3345270509382042e-5, 0.9941979340576936, -1.9908254936057364
6.5, 1.296972850348087e-5, 0.994142404333089, -1.9907415607319248
6.6, 1.2604576769216573e-5, 0.9940870239580945, -1.9906566237452388
6.7, 1.2249534712799596e-5, 0.9940318186656618, -1.9905706816803523
6.8, 1.1904329107091544e-5, 0.9939768134172756, -1.9904837341075026
6.9, 1.1568693897582624e-5, 0.9939220323624548, -1.9903957811598743
7.0, 1.124237001436485e-5, 0.993867498801317, -1.9903068235595225
7.1, 1.0925105190784575e-5, 0.9938132351518582, -1.9902168626418684
7.2, 1.0616653787619802e-5, 0.9937592629207637, -1.9901259003776701
7.3, 1.0316776622866672e-5, 0.9937056026780918, -1.990033939395229
7.4, 1.0025240805783028e-5, 0.993652274036758, -1.9899409830000667
7.5, 9.741819576326673e-6, 0.9935992956351432, -1.989847035193069
7.6, 9.46629214850476e-6, 0.9935466851244791, -1.9897521006884646
7.7, 9.198443558280536e-6, 0.9934944591594992, -1.989656184929168
7.8, 8.938064515026882e-6, 0.9934426333933458, -1.9895592941012143
7.9, 8.68495125727467e-6, 0.9933912224755913, -1.9894614351471138
8.0, 8.438905411848864e-6, 0.9933402400543687, -1.989362615777509
8.1, 8.199733856881344e-6, 0.9932896987811325, -1.9892628444812293
8.2, 7.967248587823618e-6, 0.9932396103191741, -1.989162130534672
8.3, 7.741266587191254e-6, 0.9931899853547462, -1.9890604840086783
8.4, 7.521609697431613e-6, 0.9931408336110003, -1.9889579157750445
8.5, 7.3081044968194635e-6, 0.9930921638644161, -1.9888544375105879
8.6, 7.100582178501947e-6, 0.9930439839636545, -1.9887500617005787
8.7, 6.8988784326151355e-6, 0.992996300850578, -1.988644801639937
8.8, 6.702833331040467e-6, 0.9929491205831071, -1.988538671433351
8.9, 6.512291215198653e-6, 0.9929024483599425, -1.9884316859935829
9.0, 6.327100586604155e-6, 0.9928562885462761, -1.9883238610385596
9.1, 6.147113999946212e-6, 0.9928106447017574, -1.988215213086244
9.2, 5.972187958768917e-6, 0.9927655196086678, -1.9881057594489255
9.3, 5.802182814064281e-6, 0.9927209153016004, -1.987995518224736
9.4, 5.636962664880968e-6, 0.9926768330977045, -1.9878845082887127
9.5, 5.4763952615891235e-6, 0.9926332736274784, -1.9877727492813724
9.6, 5.320351911683921e-6, 0.9925902368661078, -1.987660261596336
9.7, 5.1687073875590485e-6, 0.9925477221648679, -1.987547066366285
9.8, 5.021339836754752e-6, 0.9925057282830732, -1.987433185446834
9.9, 4.878130694552372e-6, 0.9924642534197134, -1.9873186413999249
10.0, 4.738964598282361e-6, 0.9924232952447357, -1.9872034574744375
10.1, 4.6037293042603644e-6, 0.9923828509307873, -1.9870876575867533
10.2, 4.4723156064044925e-6, 0.9923429171840347, -1.9869712662985106
10.3, 4.344617257095959e-6, 0.9923034902746332, -1.9868543087941435
10.4, 4.2205308898021235e-6, 0.9922645660668507, -1.986736810856338
10.5, 4.0999559438621725e-6, 0.9922261400486448, -1.986618798840513
10.6, 3.98279459092193e-6, 0.9921882073601638, -1.986500299647835
10.7, 3.868951663279555e-6, 0.9921507628219359, -1.9863813406975166
10.8, 3.7583345841144115e-6, 0.992113800962128, -1.986261949897205
10.9, 3.650853299293794e-6, 0.9920773160429686, -1.986142155613658
11.0, 3.5464202109774556e-6, 0.992041302086256, -1.9860219866405517
11.1, 3.444950112989284e-6, 0.9920057528981427, -1.9859014721672636
11.2, 3.346360127488663e-6, 0.9919706620927831, -1.9857806417456407
11.3, 3.2505696436336916e-6, 0.9919360231149977, -1.9856595252566178
11.4, 3.1575002575337077e-6, 0.991901829262605, -1.9855381528753095
11.5, 3.067075713752735e-6, 0.9918680737067632, -1.9854165550373084
11.6, 2.9792218483726583e-6, 0.9918347495122523, -1.9852947624021373
11.7, 2.893866533409897e-6, 0.9918018496561669, -1.9851728058182176
11.8, 2.8109396227320592e-6, 0.9917693670462171, -1.9850507162865991
11.9, 2.7303728991885967e-6, 0.9917372945376968, -1.9849285249246087
12.0, 2.65210002329425e-6, 0.9917056249491496, -1.9848062629296515
12.1, 2.5760564830628282e-6, 0.9916743510782867, -1.984683961542545
12.2, 2.502179545224797e-6, 0.9916434657158246, -1.9845616520110052
12.3, 2.4304082075707578e-6, 0.9916129616586699, -1.9844393655537298
12.4, 2.360683152659851e-6, 0.991582831722958, -1.9843171333240397
12.5, 2.2929467025642454e-6, 0.9915530687552233, -1.9841949863742971
12.6, 2.22714277491973e-6, 0.9915236656435815, -1.9840729556205214
12.7, 2.163216840013231e-6, 0.9914946153276052, -1.9839510718073476
12.8, 2.101115878954346e-6, 0.9914659108074945, -1.9838293654741543
12.9, 2.0407883430804073e-6, 0.9914375451527535, -1.9837078669211727
13.0, 1.9821841142281365e-6, 0.991409511510075, -1.9835866061763727
13.1, 1.9252544660523642e-6, 0.9913818031101684, -1.9834656129637107
13.2, 1.8699520265937016e-6, 0.99135441327443, -1.9833449166716866
13.3, 1.816230741419998e-6, 0.9913273354206585, -1.9832245463227907
13.4, 1.764045838048989e-6, 0.9913005630684281, -1.9831045305444674
13.5, 1.7133537911427415e-6, 0.9912740898434318, -1.9829848975406716
13.6, 1.6641122886885973e-6, 0.991247909481967, -1.9828656750644242
13.7, 1.6162801989725296e-6, 0.9912220158340311, -1.982746890392087
13.8, 1.5698175385103063e-6, 0.9911964028668542, -1.9826285702982152
13.9, 1.524685440754725e-6, 0.9911710646673685, -1.982510741031903
14.0, 1.480846125647359e-6, 0.9911459954440182, -1.9823934282944704
14.1, 1.4382628699653293e-6, 0.9911211895291625, -1.9822766572184611
14.2, 1.3968999784753446e-6, 0.9910966413799458, -1.982160452347048
14.3, 1.3567227558008662e-6, 0.9910723455793724, -1.9820448376169835
14.4, 1.3176974790590005e-6, 0.9910482968373204, -1.9819298363399862
14.5, 1.2797913711923819e-6, 0.9910244899903802, -1.9818154711879779
14.6, 1.2429725751036965e-6, 0.9910009200021791, -1.9817017641782095
14.7, 1.2072101283170806e-6, 0.9909775819632567, -1.9815887366603775
14.8, 1.1724739384276838e-6, 0.9909544710902036, -1.981476409305217
14.9, 1.1387347592063933e-6, 0.9909315827253944, -1.981364802093654
15.0, 1.1059641672647732e-6, 0.9909089123357283, -1.9812539343082534
15.1, 1.0741345393762781e-6, 0.9908864555115316, -1.9811438245257418
15.2, 1.0432190304495073e-6, 0.9908642079654051, -1.981034490610193
15.3, 1.0131915520299692e-6, 0.9908421655306018, -1.9809259497088947
