m, wheta1t10.0
-1.0, 1.8654102096011285e-18
-0.8, 1.738599931364805e-18
-0.6, -9.69136998788322e-19
-0.4, -1.483318426866557e-17
-0.2, -7.771220906071054e-17
-0.1, -1.7012568400397436e-16
-0.01, -3.452294026789905e-16
0.01, 4.626758263819665e-8
0.05, 4.923216721594682e-8
0.055, 4.962281141582819e-8
0.06, 5.001815078870384e-8
0.065, 5.041825915115634e-8
0.07, 5.0823211574821124e-8
0.075, 5.123308440350976e-8
0.08, 5.164795527006797e-8
0.085, 5.2067903113397706e-8
0.09, 5.2493008195238e-8
0.095, 5.292335211716314e-8
0.1, 5.335901783732923e-8
0.105, 5.380008968724815e-8
0.11, 5.424665338861585e-8
0.115, 5.469879606986372e-8
0.12, 5.5156606282770484e-8
0.125, 5.562017401914207e-8
0.13, 5.6089590727006807e-8
0.135, 5.656494932716397e-8
0.14, 5.704634422945507e-8
0.15, 5.8027628121654845e-8
0.16, 5.903422807511834e-8
0.17, 6.006695461188046e-8
0.18, 6.112664360907437e-8
0.19, 6.22141567973902e-8
0.2, 6.333038225375994e-8
0.21, 6.447623488878862e-8
0.22, 6.565265692993392e-8
0.23, 6.686061840083077e-8
0.24, 6.810111759886586e-8
0.25, 6.93751815717722e-8
0.26, 7.068386659551762e-8
0.27, 7.202825865551788e-8
0.28, 7.340947393294939e-8
0.29, 7.482865929950124e-8
0.3, 7.628699282237372e-8
0.31, 7.77856842833727e-8
0.32, 7.932597571443167e-8
0.33, 8.090914195329203e-8
0.34, 8.253649122268601e-8
0.35, 8.420936573615097e-8
0.36, 8.592914233470982e-8
0.37, 8.769723315768419e-8
0.38, 8.951508635137649e-8
0.39, 9.138418681988531e-8
0.4, 9.330605702160593e-8
0.41, 9.528225781507654e-8
0.42, 9.731438935932489e-8
0.43, 9.940409207115533e-8
0.44, 1.0155304764522995e-7
0.45, 1.0376298013985016e-7
0.46, 1.0603565713375653e-7
0.47, 1.0837289095782403e-7
0.48, 1.1077654000656689e-7
0.49, 1.1324851013394657e-7
0.5, 1.1579075613859623e-7
0.51, 1.1840528334288618e-7
0.52, 1.210941492711348e-7
0.53, 1.238594654322496e-7
0.54, 1.2670339921070973e-7
0.55, 1.2962817587243065e-7
0.56, 1.3263608068906694e-7
0.57, 1.3572946118605186e-7
0.58, 1.3891072951884568e-7
0.59, 1.4218236498154537e-7
0.6, 1.4554691665229543e-7
0.61, 1.490070061779555e-7
0.62, 1.525653307030351e-7
0.63, 1.5622466594387572e-7
0.64, 1.599878694121826e-7
0.65, 1.6385788378902827e-7
0.66, 1.6783774045151155e-7
0.67, 1.7193056315357595e-7
0.68, 1.7613957186204546e-7
0.69, 1.804680867492986e-7
0.7, 1.8491953234327756e-7
0.71, 1.8949744183627915e-7
0.72, 1.942054615533684e-7
0.73, 1.9904735558138437e-7
0.74, 2.04027010561201e-7
0.75, 2.0914844064332575e-7
0.76, 2.1441579261092515e-7
0.77, 2.198333511710015e-7
0.78, 2.2540554441767993e-7
0.79, 2.311369494708333e-7
0.8, 2.3703229829320543e-7
0.81, 2.430964836900162e-7
0.82, 2.493345654960181e-7
0.83, 2.557517769533438e-7
0.84, 2.623535312858501e-7
0.85, 2.6914542847423255e-7
0.86, 2.7613326223641706e-7
0.87, 2.8332302721932785e-7
0.88, 2.9072092640574103e-7
0.89, 2.9833337874139944e-7
0.9, 3.0616702698776907e-7
0.91, 3.1422874580550734e-7
0.92, 3.225256500710902e-7
0.93, 3.3106510343605196e-7
0.94, 3.398547271284593e-7
0.95, 3.4890240900698083e-7
0.96, 3.5821631286848475e-7
0.97, 3.6780488801885733e-7
0.98, 3.7767687911051274e-7
0.99, 3.878413362559624e-7
1.0, 3.9830762542402833e-7
1.01, 4.0908543912816894e-7
1.02, 4.2018480741851275e-7
1.03, 4.3161610918678545e-7
1.04, 4.433900838026822e-7
1.05, 4.555178430930487e-7
1.06, 4.6801088368857123e-7
1.07, 4.808810997528093e-7
1.08, 4.941407961297085e-7
1.09, 5.07802701932676e-7
1.1, 5.218799846135354e-7
1.11, 5.363862645593202e-7
1.12, 5.513356302588507e-7
1.13, 5.667426541073372e-7
1.14, 5.826224089137525e-7
1.15, 5.98990485196818e-7
1.16, 6.158630093663812e-7
1.17, 6.332566629049526e-7
1.18, 6.511887026877755e-7
1.19, 6.696769825970344e-7
1.2, 6.887399766204042e-7
1.21, 7.083968036540383e-7
1.22, 7.28667254264594e-7
1.23, 7.495718197180065e-7
1.24, 7.711317236163906e-7
1.25, 7.933689565663938e-7
1.26, 8.163063143436431e-7
1.27, 8.399674401155466e-7
1.28, 8.643768713607966e-7
1.29, 8.89560092226596e-7
1.3, 9.155435921840834e-7
1.31, 9.423549319642636e-7
1.32, 9.70022817914637e-7
1.33, 9.985771860761585e-7
1.34, 1.0280492974803491e-6
1.35, 1.0584718463764005e-6
1.36, 1.0898790833545455e-6
1.37, 1.1223069556089713e-6
1.38, 1.1557932669130555e-6
1.39, 1.1903778602492378e-6
1.4, 1.2261028264721727e-6
1.41, 1.263012742878513e-6
1.42, 1.3011549461515225e-6
1.43, 1.3405798448298243e-6
1.44, 1.3813412772754326e-6
1.45, 1.4234969221121339e-6
1.46, 1.467108769273925e-6
1.47, 1.5122436612851996e-6
1.48, 1.5589739161838598e-6
1.49, 1.6073780457577137e-6
1.5, 1.6575415855862243e-6
1.51, 1.70955805704042e-6
1.52, 1.763530086012563e-6
1.53, 1.8195707093028965e-6
1.54, 1.8778049075819895e-6
1.55, 1.93837141462692e-6
1.56, 2.0014248670296865e-6
1.57, 2.067138378508959e-6
1.58, 2.135706650621526e-6
1.59, 2.207349770824987e-6
1.6, 2.282317905016963e-6
1.61, 2.3608971741149867e-6
1.62, 2.44341712752329e-6
1.63, 2.5302604154751226e-6
1.64, 2.6218755602116144e-6
1.65, 2.7187942102471236e-6
1.66, 2.82165507743859e-6
1.67, 2.931238186747115e-6
1.68, 3.04851569899665e-6
1.69, 3.174730682870758e-6
1.7, 3.311525849924948e-6
1.71, 3.461168258402186e-6
1.72, 3.6269758881754857e-6
1.73, 3.8142225039507626e-6
1.74, 4.032377635703957e-6
1.75, 4.302111101315707e-6
1.76, 4.68850221328715e-6
1.77, 5.8758558163146835e-6
1.78, 6.3456223354617855e-6
1.79, 7.745865721117614e-6
1.8, 8.465823793638846e-6
1.81, 9.015246242541075e-6
1.82, 9.496880400234771e-6
1.83, 9.94508224293685e-6
1.84, 1.0372704154913064e-5
1.85, 1.0782554588124091e-5
1.86, 1.117047366606072e-5
1.87, 1.1525310505456429e-5
1.88, 1.1826983562325547e-5
1.89, 1.204253968688146e-5
1.9, 1.2118896587608056e-5
1.91, 1.1963945378461218e-5
1.92, 1.1313074795919197e-5
1.93, -3.500501274332492e-5
1.94, -3.6380198004195695e-5
1.95, -3.899316124358698e-5
1.96, -4.2298458143482604e-5
1.97, -4.637421309652043e-5
1.98, -5.147662290457069e-5
1.99, -5.811263370709355e-5
2.0, 0.00011420825381369545
2.01, -6.506325996354605e-5
2.02, -6.96946293274252e-5
2.03, -7.48600715338592e-5
2.04, -8.067687891693248e-5
2.05, -8.730476821786266e-5
2.06, -9.497415164599736e-5
2.07, -0.00010404223118684349
2.08, -0.0001151191047994235
2.09, -0.0001294027095373903
2.1, -0.0001498207704137697
2.11, -0.0001868524991128618
2.12, 0.00030773317824833886
2.13, -0.00011046032482609477
2.14, -9.154571392662464e-5
2.15, -8.241555741058415e-5
2.16, -7.874865428700905e-5
2.17, -7.961424567489723e-5
2.18, -0.00010119397437309011
2.19, 0.0002070797611090397
2.2, 0.00011727070239326189
2.21, 9.162238486650047e-5
2.22, 8.09868135029235e-5
2.23, 7.631181302231594e-5
2.24, 7.486104530538939e-5
2.25, 7.557454816724345e-5
2.26, 7.800884918375431e-5
2.27, 8.200518603680137e-5
2.28, 8.756582853672529e-5
2.29, 9.480496832355934e-5
2.3, 0.0001039318295536314
2.31, 0.00011525082058857293
2.32, 0.00012917326811198547
2.33, 0.00014623949493692832
2.34, 0.00016715242053389747
2.35, 0.0001928258901321559
2.36, 0.0002244533464223159
2.37, 0.0002636059916874955
2.38, 0.00031237540335058084
2.39, 0.0003735859645064905
2.4, 0.0004511228169308851
2.41, 0.0005504660663612483
2.42, 0.0006796420511304166
2.43, 0.0008512356343217701
2.44, 0.001088791982120149
2.45, 0.0015348437782424374
2.46, 0.0012223673780686027
2.47, 0.0015214091533923056
2.48, 0.001987253203017181
2.49, 0.00272223564708632
2.5, 0.0041622809480347375
2.51, 0.039690135644351664
2.52, 0.009983334258687663
2.53, 0.015285453691181047
2.54, 0.021706252800142663
2.55, 0.024284744983383025
2.56, 0.025358870406521846
2.57, 0.02033301784904695
2.58, 0.01604720405114798
2.59, 0.013696014024358145
2.6, 0.012263326720877085
2.61, 0.011226786063126255
2.62, 0.010402296089132132
2.63, 0.009800788646544979
2.64, 0.009567033801410711
2.65, 0.009939529072594514
2.66, 0.011166445446763125
2.67, 0.013316598560427547
2.68, 0.016084209862408567
2.69, 0.018913310417301762
2.7, 0.02135462536708998
2.71, 0.02293235680583614
2.72, 0.022442638001900616
2.73, 0.01891876082041616
2.74, 0.017462749685681022
2.75, 0.0235990729751614
2.76, 0.038235828096398326
2.77, 0.02146259720233895
2.78, -0.019675815805922134
2.79, -0.011873132623317986
2.8, -0.008892253245513463
2.81, -0.007660816465480269
2.82, -0.007337529929861162
2.83, -0.007545781837431365
2.84, -0.008053041971016053
2.85, -0.008676926888161848
2.86, -0.009250614843200639
2.87, -0.009611981357657588
2.88, -0.009609234467051498
2.89, -0.009120906343754794
2.9, -0.008082982536035007
2.91, -0.0065086710404954114
2.92, -0.004487341678021484
2.93, -0.002161932625221717
2.94, 0.0003019478546274908
2.95, 0.0027396931086434463
2.96, 0.00499797334207472
2.97, 0.00693630550192115
2.98, 0.008428749705278224
2.99, 0.009371251667354004
3.0, 0.00969371436614727
