m, seta-20t10.0
-1.0, 0.003008415196689856
-0.8, 0.0033193596594819465
-0.6, 0.0036712396822147927
-0.4, 0.00406668855033944
-0.2, 0.0045055819237143765
-0.1, 0.004740080978519271
-0.01, 0.00495865054424908
0.01, 0.004052407945553621
0.05, 0.004136092663528467
0.055, 0.004147047958422398
0.06, 0.004158149871962927
0.065, 0.004169414930381426
0.07, 0.004180862948671211
0.075, 0.0041925179867926205
0.08, 0.004204409687829879
0.085, 0.004216575199072518
0.09, 0.00422906201298277
0.095, 0.004241932317861978
0.1, 0.004255269944729502
0.105, 0.004269192039372426
0.11, 0.004283869961867928
0.115, 0.004299569905759597
0.12, 0.004316741042897738
0.125, 0.004336239471862919
0.13, 0.004360058739521632
0.135, 0.004395226339659723
0.14, 0.03189284052215614
0.15, 0.0318862409387335
0.16, 0.03188550707082028
0.17, 0.031885443303425326
0.18, 0.03188566420112873
0.19, 0.03188605147345536
0.2, 0.03188655339563867
0.21, 0.03188714277079993
0.22, 0.0318878035528975
0.23, 0.03188852549771263
0.24, 0.03188930168114876
0.25, 0.03189012721934412
0.26, 0.03189099855388997
0.27, 0.03189191302698636
0.28, 0.03189286861592898
0.29, 0.03189386376017092
0.3, 0.03189489724470222
0.31, 0.03189596811905225
0.32, 0.031897075639575036
0.33, 0.03189821922740444
0.34, 0.03189939843721262
0.35, 0.031900612933590526
0.36, 0.03190186247290632
0.37, 0.03190314688917403
0.38, 0.031904466082901504
0.39, 0.0319058200121879
0.4, 0.03190720868553557
0.41, 0.031908632155988055
0.42, 0.031910090516308935
0.43, 0.031911583894973665
0.44, 0.03191311245281681
0.45, 0.03191467638020138
0.46, 0.03191627589461465
0.47, 0.03191791123860481
0.48, 0.031919582678010955
0.49, 0.03192129050041848
0.5, 0.031923035013818817
0.51, 0.03192481654543077
0.52, 0.03192663544065309
0.53, 0.03192849206214723
0.54, 0.03193038678900949
0.55, 0.03193232001602945
0.56, 0.03193429215302524
0.57, 0.031936303624235565
0.58, 0.03193835486777252
0.59, 0.031940446335114905
0.6, 0.031942578490644684
0.61, 0.03194475181122171
0.62, 0.03194696678578296
0.63, 0.03194922391497241
0.64, 0.03195152371079524
0.65, 0.031953866696288004
0.66, 0.03195625340520925
0.67, 0.03195868438174636
0.68, 0.03196116018023044
0.69, 0.03196368136486914
0.7, 0.03196624850948207
0.71, 0.03196886219724831
0.72, 0.031971523020460565
0.73, 0.031974231580280815
0.74, 0.03197698848650386
0.75, 0.03197979435731996
0.76, 0.03198264981908482
0.77, 0.03198555550608314
0.78, 0.03198851206029809
0.79, 0.03199152013117758
0.8, 0.031994580375398735
0.81, 0.031997693456631775
0.82, 0.03200086004529747
0.83, 0.032004080818325675
0.84, 0.03200735645890494
0.85, 0.0320106876562308
0.86, 0.0320140751052461
0.87, 0.03201751950637682
0.88, 0.03202102156526068
0.89, 0.03202458199247025
0.9, 0.03202820150322589
0.91, 0.032031880817103904
0.92, 0.0320356206577338
0.93, 0.03203942175248806
0.94, 0.03204328483216337
0.95, 0.032047210630651995
0.96, 0.032051199884601644
0.97, 0.03205525333306876
0.98, 0.0320593717171583
0.99, 0.03206355577965445
1.0, 0.03206780626464105
1.01, 0.0320721239171094
1.02, 0.032076509482556734
1.03, 0.03208096370657062
1.04, 0.032085487334408413
1.05, 0.03209008111055559
1.06, 0.03209474577828303
1.07, 0.032099482079185344
1.08, 0.03210429075271286
1.09, 0.03210917253569177
1.1, 0.03211412816183129
1.11, 0.03211915836122427
1.12, 0.03212426385983524
1.13, 0.03212944537898109
1.14, 0.03213470363480144
1.15, 0.03214003933772128
1.16, 0.03214545319190781
1.17, 0.032150945894717224
1.18, 0.032156518136139255
1.19, 0.03216217059823529
1.2, 0.032167903954572113
1.21, 0.03217371886965477
1.22, 0.032179615998356496
1.23, 0.032185595985349265
1.24, 0.03219165946453556
1.25, 0.03219780705848235
1.26, 0.03220403937785963
1.27, 0.03221035702088551
1.28, 0.032216760572778363
1.29, 0.03222325060521568
1.3, 0.03222982767580779
1.31, 0.03223649232758309
1.32, 0.032243245088486215
1.33, 0.03225008647089583
1.34, 0.03225701697115646
1.35, 0.032264037069135595
1.36, 0.032271147227801264
1.37, 0.03227834789282322
1.38, 0.032285639492202776
1.39, 0.03229302243592862
1.4, 0.032300497115666744
1.41, 0.032308063904480294
1.42, 0.03231572315658616
1.43, 0.032323475207148865
1.44, 0.03233132037211107
1.45, 0.03233925894806939
1.46, 0.03234729121219331
1.47, 0.03235541742218693
1.48, 0.03236363781630462
1.49, 0.032371952613413094
1.5, 0.03238036201311171
1.51, 0.03238886619590398
1.52, 0.0323974653234355
1.53, 0.032406159538787935
1.54, 0.03241494896684487
1.55, 0.03242383371472287
1.56, 0.03243281387228039
1.57, 0.03244188951270145
