m, seta0t2.0
-1.0, 0.01948222408722383
-0.8, 0.02211811675860992
-0.6, 0.025402992835760238
-0.4, 0.02961014913476955
-0.2, 0.03520563507458048
-0.1, 0.03876919725729937
-0.01, 0.042589246868717894
0.01, 0.04341342700972128
0.05, 0.04533461392156716
0.055, 0.04558506100484797
0.06, 0.04583789265468039
0.065, 0.04609313863777341
0.07, 0.04635082908184422
0.075, 0.046610994477744326
0.08, 0.046873665681544344
0.085, 0.04713887391656419
0.09, 0.04740665077535828
0.095, 0.047677028221650035
0.1, 0.047950038592217144
0.105, 0.04822571459873053
0.11, 0.04850408932954217
0.115, 0.04878519625142585
0.12, 0.04906906921127032
0.125, 0.049355742437724094
0.13, 0.04964525054279422
0.135, 0.04993762852339832
0.14, 0.05023291176287081
0.15, 0.05083233749256829
0.16, 0.051443818581339826
0.17, 0.05206765215031869
0.18, 0.052704141632956225
0.19, 0.05335359681311597
0.2, 0.05401633386074864
0.21, 0.054692675365269505
0.22, 0.05538295036675403
0.23, 0.05608749438504597
0.24, 0.056806649446857434
0.25, 0.05754076411090446
0.26, 0.05829019349107206
0.27, 0.05905529927754768
0.28, 0.059836449755782214
0.29, 0.060634019823049126
0.3, 0.06144839100223132
0.31, 0.062279951452337966
0.32, 0.06312909597506035
0.33, 0.06399622601645816
0.34, 0.06488174966260055
0.35, 0.06578608162770722
0.36, 0.06670964323292211
0.37, 0.06765286237349943
0.38, 0.06861617347166396
0.39, 0.06960001741188093
0.4, 0.07060484145469148
0.41, 0.0716310991245881
0.42, 0.07267925006669879
0.43, 0.07374975986628715
0.44, 0.07484309982426361
0.45, 0.07595974668108786
0.46, 0.0771001822806022
0.47, 0.07826489316455343
0.48, 0.07945437008779223
0.49, 0.08066910744352539
0.5, 0.0819096025874607
0.51, 0.08317635504940615
0.52, 0.08446986562080568
0.53, 0.08579063530695544
0.54, 0.08713916413326173
0.55, 0.08851594979594854
0.56, 0.08992148614914736
0.57, 0.09135626152234821
0.58, 0.09282075686477978
0.59, 0.09431544371644185
0.6, 0.09584078200918998
0.61, 0.09739721770543616
0.62, 0.09898518028661801
0.63, 0.10060508010843945
0.64, 0.10225730564487523
0.65, 0.10394222064789516
0.66, 0.10566016125452049
0.67, 0.10741143307702038
0.68, 0.10919630831553569
0.69, 0.11101502293488238
0.7, 0.11286777394870316
0.71, 0.1147547168541629
0.72, 0.11667596325907438
0.73, 0.11863157874058539
0.74, 0.12062158097045288
0.75, 0.12264593813665217
0.76, 0.12470456768467614
0.77, 0.12679733539495933
0.78, 0.12892405480538116
0.79, 0.13108448698044986
0.8, 0.1332783406217128
0.81, 0.13550527250761615
0.82, 0.13776488824562455
0.83, 0.14005674331538892
0.84, 0.14238034437886113
0.85, 0.14473515083193014
0.86, 0.14712057657210506
0.87, 0.1495359919579472
0.88, 0.1519807259381175
0.89, 0.1544540683308696
0.9, 0.15695527223815972
0.91, 0.1594835565821113
0.92, 0.16203810875492616
0.93, 0.1646180873763447
0.94, 0.16722262515509703
0.95, 0.1698508318523569
0.96, 0.1725017973459054
0.97, 0.17517459479344524
0.98, 0.1778682838923669
0.99, 0.18058191423128256
1.0, 0.1833145287259737
1.01, 0.18606516712917148
1.02, 0.18883286960003848
1.03, 0.19161668031552728
1.04, 0.19441565110216177
1.05, 0.19722884506344848
1.06, 0.2000553401752666
1.07, 0.2028942328193376
1.08, 0.2057446412234381
