m, seta-20t2.0
-1.0, 0.006589175789388481
-0.8, 0.007641680097065946
-0.6, 0.008975836421012337
-0.4, 0.010692691298205185
-0.2, 0.012925706187371702
-0.1, 0.014283508389014312
-0.01, 0.015663275506662383
0.01, 0.01422823020990224
0.05, 0.01525551184360426
0.055, 0.0154146981869281
0.06, 0.015583931037570265
0.065, 0.01576474977695998
0.07, 0.01595905684306434
0.075, 0.016169237433361325
0.08, 0.016398331858866792
0.085, 0.01665029055680281
0.09, 0.01693036354801231
0.095, 0.017245717851714387
0.1, 0.017606461052062563
0.105, 0.01802743340718714
0.11, 0.018531567266553882
0.115, 0.01915676460338357
0.12, 0.01997175210783241
0.125, 0.02111942666529525
0.13, 0.022972401436340998
0.135, 0.02709540098436409
0.14, 0.04154918005597837
0.15, 0.03427779229784399
0.16, 0.03367416211503985
0.17, 0.033393644190547106
0.18, 0.03321693644278543
0.19, 0.03308934610269762
0.2, 0.03298991566227444
0.21, 0.03290864672266354
0.22, 0.03284007261373165
0.23, 0.03278091060192629
0.24, 0.03272904933171458
0.25, 0.03268305771502447
0.26, 0.03264192482347024
0.27, 0.03260491233904946
0.28, 0.03257146610879306
0.29, 0.03254116066831121
0.3, 0.032513663097653835
0.31, 0.0324887086996746
0.32, 0.03246608417226843
0.33, 0.032445615680140365
0.34, 0.03242716021769068
0.35, 0.032410599235866276
0.36, 0.03239583385964693
0.37, 0.03238278124439259
0.38, 0.03237137176153983
0.39, 0.03236154679759719
0.4, 0.032353257013029324
0.41, 0.03234646095041556
0.42, 0.032341123910982844
0.43, 0.03233721703957635
0.44, 0.03233471657312708
0.45, 0.03233360321856119
0.46, 0.03233386163405076
0.47, 0.03233547999344614
0.48, 0.032338449618156226
0.49, 0.03234276466410591
0.5, 0.032348421853967635
0.51, 0.032355420246840697
0.52, 0.03236376103909073
0.53, 0.03237344739126067
0.54, 0.03238448427691416
0.55, 0.032396878350024166
0.56, 0.03241063782811806
0.57, 0.032425772388871295
0.58, 0.03244229307823737
0.59, 0.032460212228507306
0.6, 0.03247954338495492
0.61, 0.03250030123993954
0.62, 0.03252250157350284
0.63, 0.03254616119964367
0.64, 0.032571297917577534
0.65, 0.03259793046738381
0.66, 0.03262607848952175
0.67, 0.03265576248777818
0.68, 0.032687003795256846
0.69, 0.03271982454307577
0.7, 0.03275424763147847
0.71, 0.03279029670310149
0.72, 0.032827996118172414
0.73, 0.032867370931437025
0.74, 0.032908446870635
0.75, 0.0329512503163688
0.76, 0.032995808283221524
0.77, 0.03304214840199873
0.78, 0.033090298902971625
0.79, 0.03314028860002727
0.8, 0.03319214687562505
0.81, 0.033245903666472225
0.82, 0.0333015894498438
0.83, 0.033359235230469166
0.84, 0.033418872527921285
0.85, 0.033480533364444544
0.86, 0.03354425025316334
0.87, 0.03361005618661606
0.88, 0.033677984625567564
0.89, 0.033748069488044374
0.9, 0.033820345138553545
0.91, 0.03389484637744264
0.92, 0.033971608430350915
0.93, 0.0340506669377251
0.94, 0.03413205794435021
0.95, 0.034215817888870625
0.96, 0.03430198359325641
0.97, 0.0343905922521912
0.98, 0.034481681422343625
0.99, 0.03457528901149732
1.0, 0.03467145326750568
1.01, 0.0347702127670496
1.02, 0.034871606404168476
1.03, 0.034975673378540934
1.04, 0.03508245318349744
1.05, 0.035191985593736194
1.06, 0.035304310652732755
1.07, 0.035419468659819715
1.08, 0.035537500156925445
1.09, 0.035658445914960576
1.1, 0.035782346919840106
1.11, 0.03590924435813761
1.12, 0.03603917960236517
1.13, 0.03617219419587822
1.14, 0.03630832983741116
1.15, 0.036447628365241784
1.16, 0.036590131741001466
1.17, 0.036735882033137345
1.18, 0.03688492140004428
1.19, 0.03703729207288658
1.2, 0.03719303633813106
1.21, 0.03735219651981785
1.22, 0.03751481496160147
1.23, 0.03768093400859208
1.24, 0.037850595989037464
1.25, 0.03802384319588718
1.26, 0.03820071786827934
1.27, 0.038381262173002126
1.28, 0.03856551818598068
1.29, 0.03875352787383987
1.3, 0.03894533307560674
1.31, 0.039140975484608105
1.32, 0.03934049663062998
1.33, 0.03954393786240628
1.34, 0.039751340330501594
1.35, 0.03996274497066922
1.36, 0.04017819248775409
1.37, 0.040397723340223804
1.38, 0.04062137772541012
1.39, 0.0408491955655511
1.4, 0.041081216494724224
1.41, 0.041317479846773204
1.42, 0.04155802464432935
1.43, 0.041802889589043594
1.44, 0.042052113053150986
1.45, 0.042305733072500296
1.46, 0.04256378734119347
1.47, 0.042826313207994154
1.48, 0.04309334767468303
1.49, 0.043364927396556174
1.5, 0.04364108868528366
1.51, 0.04392186751437329
1.52, 0.04420729952751868
1.53, 0.04449742005013283
1.54, 0.04479226410442235
1.55, 0.045091866428389166
1.56, 0.04539626149920234
1.57, 0.045705483561439324
1.58, 0.04601956666075448
1.59, 0.046338544683605556
1.6, 0.04666245140374862
1.61, 0.04699132053630011
1.62, 0.04732518580025881
1.63, 0.04766408099049771
1.64, 0.048008040060353266
