m, wheta-10t10.0
-1.0, 6.282108921847008e-6
-0.8, 1.1220494032105478e-5
-0.6, 2.1186850809308257e-5
-0.4, 4.262976614323998e-5
-0.2, 9.155836547508941e-5
-0.1, 0.00013686541959676197
-0.01, 0.00019763051365824256
0.01, 0.0005037714298393633
0.05, 0.9084111503072974
0.055, 0.9254311603461839
0.06, 0.9312007682072245
0.065, 0.934363969296815
0.07, 0.9364412340229822
0.075, 0.9379443459903183
0.08, 0.9391002457638369
0.085, 0.9400270499569838
0.09, 0.9407931252028375
0.095, 0.9414411695849993
0.1, 0.9419994229955488
0.105, 0.9424874188866558
0.11, 0.9429191642257803
0.115, 0.9433050050561362
0.12, 0.9436527751685334
0.125, 0.9439685323835599
0.13, 0.9442570468140016
0.135, 0.9445221342224985
0.14, 0.9447668894384856
0.15, 0.9452051353625092
0.16, 0.945587451249784
0.17, 0.9459250061802249
0.18, 0.9462260155771756
0.19, 0.9464966816085609
0.2, 0.9467417907681506
0.21, 0.9469651073863328
0.22, 0.9471696407602006
0.23, 0.9473578313181985
0.24, 0.9475316833679016
0.25, 0.9476928616847233
0.26, 0.9478427630612156
0.27, 0.9479825701637546
0.28, 0.9481132926591606
0.29, 0.9482357990319484
0.3, 0.9483508414915833
0.31, 0.9484590756821654
0.32, 0.948561076433659
0.33, 0.9486573504642751
0.34, 0.9487483467101208
0.35, 0.948834464790381
0.36, 0.9489160619940586
0.37, 0.9489934590850614
0.38, 0.9490669451548254
0.39, 0.9491367817022871
0.4, 0.9492032060822047
0.41, 0.949266434434369
0.42, 0.9493266641830027
0.43, 0.9493840761788115
0.44, 0.9494388365421194
0.45, 0.949491098254902
0.46, 0.9495410025404408
0.47, 0.9495886800634629
0.48, 0.9496342519769345
0.49, 0.9496778308383637
0.5, 0.9497195214138772
0.51, 0.9497594213859776
0.52, 0.94979762197857
0.53, 0.9498342085099035
0.54, 0.9498692608839023
0.55, 0.9499028540273319
0.56, 0.9499350582807673
0.57, 0.949965939748551
0.58, 0.9499955606135634
0.59, 0.9500239794215153
0.6, 0.9500512513380011
0.61, 0.9500774283826883
0.62, 0.9501025596424609
0.63, 0.9501266914674062
0.64, 0.950149867650809
0.65, 0.9501721295955323
0.66, 0.9501935164684648
0.67, 0.9502140653444715
0.68, 0.95023381134111
0.69, 0.9502527877449779
0.7, 0.9502710261310542
0.71, 0.9502885564753657
